{'statement': 'Between Guangzhou and Antofagasta, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': 'Between Luanda and Cabo San Lucas, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Jakarta and Manaus, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Manaus'}
{'statement': 'Between Buenos Aires and Brasília, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Brasília'}
{'statement': 'Between Rome and Antsiranana, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Antsiranana'}
{'statement': 'Between Ho Chi Minh City and Port Moresby, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Port Moresby'}
{'statement': 'Between Ürümqi and Mexicali, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Mexicali'}
{'statement': 'Between London and San José, the bigger city is London.', 'answer': 'London', 'candidate': 'San José'}
{'statement': 'Between Guadalajara and Indianapolis, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Indianapolis'}
{'statement': 'Between Kano and Malabo, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Malabo'}
{'statement': 'Between Mexico City and Minsk, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Minsk'}
{'statement': 'Between Sydney and Piura, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Piura'}
{'statement': 'Between Lagos and Asmara, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Asmara'}
{'statement': 'Between Tashkent and Cape Town, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Cape Town'}
{'statement': 'Between Baghdad and Tashkent, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Tashkent'}
{'statement': 'Between London and Tampa, the bigger city is London.', 'answer': 'London', 'candidate': 'Tampa'}
{'statement': 'Between Johannesburg and Dublin, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Dublin'}
{'statement': 'Between Nairobi and Kuwait City, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Kuwait City'}
{'statement': 'Between Shanghai and Bangui, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Bangui'}
{'statement': 'Between Manila and Sokoto, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Sokoto'}
{'statement': 'Between Hanoi and Ottawa, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ottawa'}
{'statement': 'Between Hanoi and Almaty, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Almaty'}
{'statement': 'Between Jakarta and Johannesburg, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Johannesburg'}
{'statement': 'Between Mumbai and Nouadhibou, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Nouadhibou'}
{'statement': 'Between Manila and Sapporo, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Sapporo'}
{'statement': 'Between Dar es Salaam and Río Gallegos, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Río Gallegos'}
{'statement': 'Between Luanda and Mombasa, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Mombasa'}
{'statement': 'Between Mexico City and Pretoria, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Pretoria'}
{'statement': 'Between Kabul and Thiès, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Thiès'}
{'statement': 'Between Phoenix and Albuquerque, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Albuquerque'}
{'statement': 'Between Hanoi and Suwałki, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Suwałki'}
{'statement': 'Between Sydney and Cotonou, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Cotonou'}
{'statement': 'Between Paris and Zürich, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Zürich'}
{'statement': 'Between Beijing and Viedma, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Viedma'}
{'statement': 'Between Rome and Cayenne, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Cayenne'}
{'statement': 'Between Melbourne and Bratislava, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Bratislava'}
{'statement': 'Between Guadalajara and Baku, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Baku'}
{'statement': 'Between Kuwait City and Piura, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Piura'}
{'statement': 'Between Paris and Skopje, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Skopje'}
{'statement': 'Between Shanghai and Hamilton, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Hamilton'}
{'statement': 'Between Jakarta and Tampa, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Tampa'}
{'statement': 'Between Mumbai and Quito, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Quito'}
{'statement': 'Between Rome and Hamilton, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Hamilton'}
{'statement': 'Between Baltimore and Viedma, the bigger city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Viedma'}
{'statement': 'Between Santiago and Campos do Jordão, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Algiers and Mandalay, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Mandalay'}
{'statement': 'Between Monterrey and Hat Yai, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Hat Yai'}
{'statement': 'Between Hanoi and Florianópolis, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Florianópolis'}
{'statement': 'Between Karachi and Nairobi, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Nairobi'}
{'statement': 'Between Paris and Djibouti, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Djibouti'}
{'statement': 'Between Chicago and La Paz, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'La Paz'}
{'statement': 'Between Mumbai and Paris, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Paris'}
{'statement': 'Between Lahore and Oslo, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Oslo'}
{'statement': 'Between Algiers and Ushuaia, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Ushuaia'}
{'statement': 'Between Cairo and Toamasina, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Toamasina'}
{'statement': 'Between Chicago and Malabo, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Malabo'}
{'statement': 'Between Medellín and Garoua, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': 'Between San Diego and Port Moresby, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Port Moresby'}
{'statement': 'Between Surabaya and Quito, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Quito'}
{'statement': 'Between Kunming and Yinchuan, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Yinchuan'}
{'statement': 'Between Monterrey and Asmara, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Asmara'}
{'statement': 'Between Phoenix and Garoua, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Garoua'}
{'statement': 'Between Bangkok and Toliara, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Toliara'}
{'statement': 'Between Phoenix and Murmansk, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Murmansk'}
{'statement': 'Between Shanghai and Bucharest, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Bucharest'}
{'statement': 'Between Monterrey and Zürich, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Zürich'}
{'statement': 'Between Paris and Paramaribo, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Paramaribo'}
{'statement': 'Between Melbourne and Tashkent, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Tashkent'}
{'statement': 'Between Minneapolis and La Serena, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'La Serena'}
{'statement': 'Between Cairo and Halifax, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Halifax'}
{'statement': 'Between Ürümqi and Darwin, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Darwin'}
{'statement': 'Between Surabaya and Kuopio, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Kuopio'}
{'statement': 'Between Brisbane and Thiès, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Thiès'}
{'statement': 'Between Baghdad and Malabo, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Malabo'}
{'statement': 'Between Lahore and Addis Ababa, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Addis Ababa'}
{'statement': 'Between Houston and Addis Ababa, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Addis Ababa'}
{'statement': 'Between Cairo and Palmerston North, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Palmerston North'}
{'statement': 'Between Denver and Chihuahua, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Chihuahua'}
{'statement': 'Between Minneapolis and Zürich, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Zürich'}
{'statement': 'Between Jakarta and Yakutsk, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Yakutsk'}
{'statement': 'Between Rome and Mahajanga, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Mahajanga'}
{'statement': 'Between Ho Chi Minh City and Pretoria, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Pretoria'}
{'statement': 'Between Brasília and Mahajanga, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Mahajanga'}
{'statement': 'Between Baku and Wau, the bigger city is Baku.', 'answer': 'Baku', 'candidate': 'Wau'}
{'statement': 'Between Alexandria and Barranquilla, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Barranquilla'}
{'statement': 'Between Baghdad and Thiès, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Thiès'}
{'statement': 'Between Ankara and Calgary, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Calgary'}
{'statement': 'Between Riyadh and Omaha, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Omaha'}
{'statement': 'Between Guadalajara and Toluca, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Toluca'}
{'statement': 'Between Kunming and Brasília, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Brasília'}
{'statement': 'Between Brasília and Rabat, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Rabat'}
{'statement': 'Between Bogotá and Rangpur, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Rangpur'}
{'statement': 'Between Mexico City and Bratislava, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Bratislava'}
{'statement': 'Between Johannesburg and Amsterdam, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Amsterdam'}
{'statement': 'Between Douala and Christchurch, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Christchurch'}
{'statement': 'Between Melbourne and Saskatoon, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Saskatoon'}
{'statement': 'Between Perth and Río Gallegos, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Río Gallegos'}
{'statement': 'Between Mexico City and Moscow, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Moscow'}
{'statement': 'Between Karachi and Thiès, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Thiès'}
{'statement': 'Between Lagos and Beirut, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Beirut'}
{'statement': 'Between Lagos and Santiago del Estero, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Santiago del Estero'}
{'statement': 'Between Guadalajara and Asmara, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Asmara'}
{'statement': 'Between Melbourne and Addis Ababa, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Addis Ababa'}
{'statement': 'Between Toronto and La Paz, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'La Paz'}
{'statement': 'Between Ankara and Dublin, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Dublin'}
{'statement': 'Between Shanghai and Panama City, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Panama City'}
{'statement': 'Between Riyadh and Florianópolis, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Florianópolis'}
{'statement': 'Between Shanghai and Valencia, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Valencia'}
{'statement': 'Between Ho Chi Minh City and Sucre, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Sucre'}
{'statement': 'Between Sydney and Chihuahua, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Chihuahua'}
{'statement': 'Between Sydney and Brussels, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'Between Mexico City and Copenhagen, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Copenhagen'}
{'statement': 'Between Luanda and Yaoundé, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Yaoundé'}
{'statement': 'Between Paris and Sapporo, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Sapporo'}
{'statement': 'Between Houston and El Paso, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'El Paso'}
{'statement': 'Between Brasília and Tamanrasset, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Tamanrasset'}
{'statement': 'Between Cairo and Pontianak, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Pontianak'}
{'statement': 'Between Medellín and Cape Town, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Cape Town'}
{'statement': 'Between Algiers and Tripoli, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Tripoli'}
{'statement': 'Between Lima and Yerevan, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Yerevan'}
{'statement': 'Between Addis Ababa and Wellington, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Wellington'}
{'statement': 'Between Dar es Salaam and Wellington, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Wellington'}
{'statement': 'Between Moscow and Douala, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Douala'}
{'statement': 'Between Rome and Hat Yai, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Hat Yai'}
{'statement': 'Between San Diego and Lake Havasu City, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Addis Ababa and San Juan, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'San Juan'}
{'statement': 'Between Shanghai and Parakou, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Parakou'}
{'statement': 'Between Shanghai and Tripoli, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tripoli'}
{'statement': 'Between Shanghai and Wau, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Wau'}
{'statement': 'Between Shanghai and Bishkek, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Bishkek'}
{'statement': 'Between Houston and Milan, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Milan'}
{'statement': 'Between Alexandria and Maputo, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Maputo'}
{'statement': 'Between Guadalajara and Podgorica, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Podgorica'}
{'statement': 'Between Tashkent and Hobart, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Hobart'}
{'statement': 'Between Luanda and Canberra, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Canberra'}
{'statement': 'Between Riyadh and Tamanrasset, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Tamanrasset'}
{'statement': 'Between Surabaya and Yaoundé, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Yaoundé'}
{'statement': 'Between Monterrey and Palembang, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Palembang'}
{'statement': 'Between London and Maputo, the bigger city is London.', 'answer': 'London', 'candidate': 'Maputo'}
{'statement': 'Between Jakarta and Bucharest, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Bucharest'}
{'statement': 'Between Ho Chi Minh City and Manaus, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Manaus'}
{'statement': 'Between Los Angeles and Harare, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Harare'}
{'statement': 'Between Cairo and Hobart, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Hobart'}
{'statement': 'Between Guadalajara and Vladivostok, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Vladivostok'}
{'statement': 'Between Bangkok and Fukuoka, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Fukuoka'}
{'statement': 'Between Nairobi and Córdoba, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Córdoba'}
{'statement': 'Between Cairo and Murmansk, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Murmansk'}
{'statement': 'Between Jakarta and Riyadh, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Riyadh'}
{'statement': 'Between Mumbai and Wellington, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Wellington'}
{'statement': 'Between Berlin and Albuquerque, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Albuquerque'}
{'statement': 'Between Baghdad and Lyon, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Lyon'}
{'statement': 'Between Medellín and Florianópolis, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Florianópolis'}
{'statement': 'Between Santiago and Kuopio, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Kuopio'}
{'statement': 'Between Lima and Lhasa, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Lhasa'}
{'statement': 'Between Ürümqi and Frankfurt, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Frankfurt'}
{'statement': 'Between Chicago and Yaoundé, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Yaoundé'}
{'statement': 'Between Moscow and Milwaukee, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Milwaukee'}
{'statement': 'Between Ankara and Kuwait City, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Kuwait City'}
{'statement': 'Between Alexandria and San Juan, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'San Juan'}
{'statement': 'Between Mumbai and Dodoma, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Dodoma'}
{'statement': 'Between San Diego and Vladivostok, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Vladivostok'}
{'statement': 'Between Chicago and Chihuahua, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Chihuahua'}
{'statement': 'Between Tampa and La Paz, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'La Paz'}
{'statement': 'Between Minneapolis and Entebbe, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Entebbe'}
{'statement': 'Between Johannesburg and Managua, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Managua'}
{'statement': 'Between Johannesburg and Mandalay, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Mandalay'}
{'statement': 'Between Dar es Salaam and Lyon, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Lyon'}
{'statement': 'Between Mumbai and Mexico City, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mexico City'}
{'statement': 'Between Brasília and Ségou, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Ségou'}
{'statement': 'Between Kabul and Bahía Blanca, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Algiers and Port Moresby, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Port Moresby'}
