{'statement': "I don't like expensive restaurants. Between Piper's Pub And Grill and Branca, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Pisco 1641 and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Pisco 1641'}
{'statement': "I don't like expensive restaurants. Between Itamae Ayce Sushi and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between The Empire and Amaya Express, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Amaya Express'}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and Thompson Rooftop, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and Domino's Pizza, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Domino's Pizza"}
{'statement': "I don't like expensive restaurants. Between Thompson Rooftop and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Modo Mio Italian Bistro and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and Tierra Azteca, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Tierra Azteca'}
{'statement': "I don't like expensive restaurants. Between The Duke of Devon and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Galata Cafe and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Galata Cafe'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Sizzlers and Nook, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Nook'}
{'statement': "I don't like expensive restaurants. Between Sushi Time Japanese Restaurant and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Big Al's Diner and Tian An Cuisine, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like expensive restaurants. Between Hina Sushi and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Hina Sushi'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and To-ne Sushi, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'To-ne Sushi'}
{'statement': "I don't like expensive restaurants. Between El Fogón and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'El Fogón'}
{'statement': "I don't like expensive restaurants. Between Marcello’s pizzeria and Dinah's Cupboard, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Cafe Jules and La Cocina De Dona Luz, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I don't like expensive restaurants. Between Marcello’s pizzeria and Smoke's Weinerie, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and Banjara Indian Cuisine, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Helena's Magic Kitchen and Nutella Cafe by Pusateri's, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Cafe Jules and Juice & Java Cafe, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like expensive restaurants. Between Sushi World and Sheriff Broaster Chicken, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like expensive restaurants. Between Taste of Greek Cuisine and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Eggspectation and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between Green Room and Dangerous Dan's Diner, I should go to Green Room.", 'answer': 'Green Room', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like expensive restaurants. Between JJ Bean and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'JJ Bean'}
{'statement': "I don't like expensive restaurants. Between Capitol Trattoria Pizzeria and Bake Island, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Pisco 1641 and Nutella Cafe by Pusateri's, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Evoo Ristorante and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like expensive restaurants. Between Goldstone Noodle Restaurant and Hapa Toronto, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like expensive restaurants. Between Milestones Restaurants and Grappa Ristorante, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Topham Corner and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Topham Corner'}
{'statement': "I don't like expensive restaurants. Between Mt Everest Restaurant and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like expensive restaurants. Between Le Papillon Park and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Le Papillon Park'}
{'statement': "I don't like expensive restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like expensive restaurants. Between Bagel Nash and Oxygen Restaurant & Lounge, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Villa Madina and Hina Sushi, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Hina Sushi'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Basil Express Restaurant and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like expensive restaurants. Between New Bilan Restaurant and Dangerous Dan's Diner, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like expensive restaurants. Between Buk Chang Dong Soon Tofu and Modo Mio Italian Bistro, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like expensive restaurants. Between Eastern legend and Cantine Bar & Grill, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and St. Louis Bar & Grill, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like expensive restaurants. Between McDonald's and Harry's Char Broil & Dining Lounge, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like expensive restaurants. Between Marcello’s pizzeria and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Taste of Greek Cuisine and Ici Bistro, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Shawarma Twist and Kim PO Vietnamese, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like expensive restaurants. Between Assembly Chef's Hall and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like expensive restaurants. Between Mamma's Pizza and Pisco 1641, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Pisco 1641'}
{'statement': "I don't like expensive restaurants. Between Capitol Trattoria Pizzeria and Sichuan Landscape Chinese Restaurant, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between St. Clair Shawarma and Falafel and Harvey's, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Harvey's"}
{'statement': "I don't like expensive restaurants. Between z-teca Gourmet Burritos and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like expensive restaurants. Between Aris Place and Freshii, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Freshii'}
{'statement': "I don't like expensive restaurants. Between Branca and FreshCo, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Watson's and Evoo Ristorante, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like expensive restaurants. Between 9 Restaurant and Cake Opera, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between EJ Sushi and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'EJ Sushi'}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Shawarma Twist and FreshCo, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'FreshCo'}
{'statement': "I don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Pho 88 and It's All Grk, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': "It's All Grk"}
{'statement': "I don't like expensive restaurants. Between Chick Fiesta and Farmacia Health Bar, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like expensive restaurants. Between El Fogón and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'El Fogón'}
{'statement': "I don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Bake Island and Joe Badali's Ristorante Italiano & Bar, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like expensive restaurants. Between Supermodel Pizza and Piper's Pub And Grill, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like expensive restaurants. Between Bonne Journee and Basil Express Restaurant, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like expensive restaurants. Between Chipotle Mexican Grill and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like expensive restaurants. Between Amaya Express and Adega Restaurante, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Adega Restaurante'}
{'statement': "I don't like expensive restaurants. Between Sushi World and Basha Middle Eastern Grill, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like expensive restaurants. Between Druxy's Famous Deli and Tian An Cuisine, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like expensive restaurants. Between Bagel Nash and Carole's Cheesecake Cafe, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like expensive restaurants. Between Sushi World and Assembly Chef's Hall, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like expensive restaurants. Between Freshii and Hapa Toronto, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Fitness Avenue and Breakfast Room, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Breakfast Room'}
{'statement': "I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Banjara Indian Cuisine and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like expensive restaurants. Between Madras Pantry and Watson's, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Watson's"}
{'statement': "I don't like expensive restaurants. Between Green Room and Thai 4 You Restaurant, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I don't like expensive restaurants. Between Pizza Pizza and LCBO, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'LCBO'}
{'statement': "I don't like expensive restaurants. Between Falafel House and Aroma Espresso Bar, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like expensive restaurants. Between Chick Fiesta and It's All Grk, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "It's All Grk"}
{'statement': "I don't like expensive restaurants. Between Farmacia Health Bar and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like expensive restaurants. Between Adega Restaurante and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Adega Restaurante'}
{'statement': "I don't like expensive restaurants. Between EJ Sushi and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'EJ Sushi'}
{'statement': "I don't like expensive restaurants. Between Nook and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Nook'}
{'statement': "I don't like expensive restaurants. Between Solero Mediterranean Bakery and The Duke of Devon, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like expensive restaurants. Between Branca and Cake Opera, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between La Pupusa Loka and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like expensive restaurants. Between Sushi Time Japanese Restaurant and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Pizza Pizza and Basil Express Restaurant, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and El Fogón, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'El Fogón'}
{'statement': "I don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and Cake Opera, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like expensive restaurants. Between Chipotle Mexican Grill and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like expensive restaurants. Between Sizzlers and Capitol Trattoria Pizzeria, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and Mirage Grill & Lounge, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like expensive restaurants. Between Modo Mio Italian Bistro and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like expensive restaurants. Between Mirage Grill & Lounge and Evoo Ristorante, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like expensive restaurants. Between Pizzeria Via Mercanti and Dinah's Cupboard, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Adega Restaurante and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Adega Restaurante'}
{'statement': "I don't like expensive restaurants. Between Bonne Journee and Farmacia Health Bar, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like expensive restaurants. Between Shawarma Twist and Juice & Java Cafe, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like expensive restaurants. Between Lebanese Bakery and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Lebanese Bakery'}
{'statement': "I don't like expensive restaurants. Between Harry's Char Broil & Dining Lounge and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like expensive restaurants. Between KFC and Le Papillon Park, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Le Papillon Park'}
{'statement': "I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Edible Arrangements and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Kairali - Taste of Kerala and Edible Arrangements, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Chick Fiesta and Sheriff Broaster Chicken, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like expensive restaurants. Between Harry's Char Broil & Dining Lounge and Oxygen Restaurant & Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Pizza Pizza and Amaya Express, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Amaya Express'}
{'statement': "I don't like expensive restaurants. Between Bagel Nash and Eggspectation, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between Sweet Jesus and To-ne Sushi, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'To-ne Sushi'}
{'statement': "I don't like expensive restaurants. Between Fit For Life and Marcello’s pizzeria, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between Sushi World and Capitol Trattoria Pizzeria, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like expensive restaurants. Between KFC and Dangerous Dan's Diner, I should go to KFC.", 'answer': 'KFC', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like expensive restaurants. Between Green Room and Sheriff Broaster Chicken, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like expensive restaurants. Between Chipotle Mexican Grill and Smoke's Weinerie, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like expensive restaurants. Between Big Al's Diner and Evoo Ristorante, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like expensive restaurants. Between Hapa Toronto and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Hapa Toronto'}
