{'statement': 'Between Vientiane and Nairobi, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Vientiane'}
{'statement': 'Between Nairobi and Darwin, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Darwin'}
{'statement': 'Between Bamako and Beijing, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Bamako'}
{'statement': 'Between Erbil and San Diego, the city with a larger population is San Diego.', 'answer': 'San Diego', 'candidate': 'Erbil'}
{'statement': 'Between Baku and Fianarantsoa, the city with a larger population is Baku.', 'answer': 'Baku', 'candidate': 'Fianarantsoa'}
{'statement': 'Between Campos do Jordão and Baku, the city with a larger population is Baku.', 'answer': 'Baku', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Bogotá and Djibouti, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Djibouti'}
{'statement': 'Between Guangzhou and Upington, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Upington'}
{'statement': 'Between Garissa and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Garissa'}
{'statement': 'Between Port Moresby and Alexandria, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Port Moresby'}
{'statement': 'Between Palembang and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Palembang'}
{'statement': 'Between Kuwait City and Parakou, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Parakou'}
{'statement': 'Between Denver and Durban, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Durban'}
{'statement': 'Between Panama City and Ankara, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Panama City'}
{'statement': 'Between Hobart and Monterrey, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Hobart'}
{'statement': 'Between Santiago and Nouadhibou, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Nouadhibou'}
{'statement': 'Between Phoenix and Pontianak, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Pontianak'}
{'statement': 'Between Toronto and Córdoba, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Córdoba'}
{'statement': 'Between Beijing and Pontianak, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Pontianak'}
{'statement': 'Between Beijing and Phnom Penh, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Phnom Penh'}
{'statement': 'Between Fairbanks and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Fairbanks'}
{'statement': 'Between El Paso and Mumbai, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'El Paso'}
{'statement': 'Between Yakutsk and Beijing, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Yakutsk'}
{'statement': 'Between Kano and Mumbai, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Kano'}
{'statement': 'Between Boise and Baghdad, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Boise'}
{'statement': 'Between Bata and Algiers, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Bata'}
{'statement': 'Between Toronto and Antsiranana, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Antsiranana'}
{'statement': 'Between Medellín and Kuopio, the city with a larger population is Medellín.', 'answer': 'Medellín', 'candidate': 'Kuopio'}
{'statement': 'Between Ottawa and Guangzhou, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ottawa'}
{'statement': 'Between Rabat and Bangkok, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Rabat'}
{'statement': 'Between Santiago and Rome, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Rome'}
{'statement': 'Between Rosario and Sydney, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Rosario'}
{'statement': 'Between Dodoma and Beijing, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Dodoma'}
{'statement': 'Between Juba and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Juba'}
{'statement': 'Between Hanoi and Boise, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Boise'}
{'statement': 'Between Auckland and Nairobi, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Auckland'}
{'statement': 'Between Kabul and Bujumbura, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Bujumbura'}
{'statement': 'Between Bahía Blanca and Toronto, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Karachi and La Ceiba, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'La Ceiba'}
{'statement': 'Between Douala and Toamasina, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Toamasina'}
{'statement': 'Between Pontianak and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Pontianak'}
{'statement': 'Between Paramaribo and Karachi, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Paramaribo'}
{'statement': 'Between Guadalajara and Viedma, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Viedma'}
{'statement': 'Between Anchorage and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Anchorage'}
{'statement': 'Between Lima and La Serena, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'La Serena'}
{'statement': 'Between Alexandria and Lisbon, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lisbon'}
{'statement': 'Between Oslo and Monterrey, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Oslo'}
{'statement': 'Between Jakarta and Lusaka, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Lusaka'}
{'statement': 'Between Nouadhibou and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Nouadhibou'}
{'statement': 'Between Ürümqi and Cotonou, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cotonou'}
{'statement': 'Between Viedma and Los Angeles, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Viedma'}
{'statement': 'Between Bamako and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Bamako'}
{'statement': 'Between Kabul and Lomé, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Lomé'}
{'statement': 'Between Riyadh and Palmerston North, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Palmerston North'}
{'statement': 'Between Antofagasta and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Antofagasta'}
{'statement': 'Between Brasília and Anchorage, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Anchorage'}
{'statement': 'Between Halifax and Surabaya, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Halifax'}
{'statement': 'Between Bangui and Los Angeles, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Bangui'}
{'statement': 'Between Bujumbura and Denver, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Bujumbura'}
{'statement': 'Between Lviv and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Lviv'}
{'statement': 'Between Riyadh and Christchurch, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Christchurch'}
{'statement': 'Between Curitiba and Nairobi, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Curitiba'}
{'statement': 'Between Cotonou and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cotonou'}
{'statement': 'Between Mumbai and Sacramento, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Sacramento'}
{'statement': 'Between Guadalajara and Suwałki, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Suwałki'}
{'statement': 'Between Buenos Aires and Napier, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Napier'}
{'statement': 'Between Murmansk and Mexico City, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Murmansk'}
{'statement': 'Between Lahore and Upington, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Upington'}
{'statement': 'Between Melbourne and Erbil, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Erbil'}
{'statement': 'Between Hanoi and Bujumbura, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bujumbura'}
{'statement': 'Between Murmansk and Moscow, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Murmansk'}
{'statement': 'Between Port Sudan and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Port Sudan'}
{'statement': 'Between Suwałki and Guangzhou, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Suwałki'}
{'statement': 'Between Sacramento and Jakarta, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Sacramento'}
{'statement': 'Between Luanda and Porto Alegre, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Porto Alegre'}
{'statement': 'Between Dar es Salaam and Conakry, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Conakry'}
