{'statement': "You don't like restaurants further away. Between Mi Mi Restaurant and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between Kairali - Taste of Kerala and Tierra Azteca, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between Modo Mio Italian Bistro and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "You don't like restaurants further away. Between KFC and Bagel Nash, you should go to KFC.", 'answer': 'KFC', 'candidate': 'Bagel Nash'}
{'statement': "You don't like restaurants further away. Between Cake Opera and Tortería San Cosme, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Cake Opera'}
{'statement': "You don't like restaurants further away. Between Carole's Cheesecake Cafe and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You don't like restaurants further away. Between St. Louis Bar & Grill and Eggspectation, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Chipotle Mexican Grill and Eggspectation, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Tierra Azteca and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and Kibo Sushi House, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Adega Restaurante and Ici Bistro, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Topham Corner and Le Papillon Park, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Topham Corner'}
{'statement': "You don't like restaurants further away. Between St. Louis Bar & Grill and Ici Bistro, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Beryl's Pepper Pot and Assembly Chef's Hall, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like restaurants further away. Between St. Clair Shawarma and Falafel and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like restaurants further away. Between EJ Sushi and Tian An Cuisine, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'EJ Sushi'}
{'statement': "You don't like restaurants further away. Between Shawarma Twist and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like restaurants further away. Between Warung Indonesia D'Eglinton and Phil's Original BBQ, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like restaurants further away. Between Thompson Rooftop and Magic Oven, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between Queen Pita and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Druxy's Famous Deli and La Pupusa Loka, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like restaurants further away. Between Breakfast Room and Topham Corner, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Topham Corner'}
{'statement': "You don't like restaurants further away. Between EJ Sushi and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'EJ Sushi'}
{'statement': "You don't like restaurants further away. Between Piper's Pub And Grill and Joe Badali's Ristorante Italiano & Bar, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You don't like restaurants further away. Between St. Louis Bar & Grill and Edible Arrangements, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You don't like restaurants further away. Between Falafel House and La Pupusa Loka, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Falafel House'}
{'statement': "You don't like restaurants further away. Between Mt Everest Restaurant and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like restaurants further away. Between Lahore Grill & Fast Food and Freshii, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between Tik Talk Cafe and Verona Restaurant, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like restaurants further away. Between Mt Everest Restaurant and Mamma's Pizza, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like restaurants further away. Between Grappa Ristorante and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between Sichuan Landscape Chinese Restaurant and Galata Cafe, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "You don't like restaurants further away. Between Delicious Paradise Kitchen and New Bilan Restaurant, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between New Bilan Restaurant and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between Pisco 1641 and Sushi Time Japanese Restaurant, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Bonne Journee and Green Grotto, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Bonne Journee'}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Chipotle Mexican Grill and Pizzeria Via Mercanti, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like restaurants further away. Between Pizza Pizza and Big Al's Diner, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Big Al's Diner"}
{'statement': "You don't like restaurants further away. Between Sheriff Broaster Chicken and Verona Restaurant, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like restaurants further away. Between Edible Arrangements and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like restaurants further away. Between New Bilan Restaurant and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between Sweet Jesus and Amaya Express, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like restaurants further away. Between Big Al's Diner and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "You don't like restaurants further away. Between Cantine Bar & Grill and Phil's Original BBQ, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Warung Indonesia D'Eglinton and Shawarma Twist, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like restaurants further away. Between St. Clair Shawarma and Falafel and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like restaurants further away. Between Bonne Journee and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "You don't like restaurants further away. Between Magic Oven and Daily Press Juicery, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between Mt Everest Restaurant and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like restaurants further away. Between Sushi Shop and Fitness Avenue, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Bake Island, you should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Edible Arrangements and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like restaurants further away. Between Phil's Original BBQ and The Empire, you should go to The Empire.", 'answer': 'The Empire', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like restaurants further away. Between Shawarma Twist and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like restaurants further away. Between St. Louis Bar & Grill and Magic Oven, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between z-teca Gourmet Burritos and Top Sushi, you should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Shawarma Twist and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like restaurants further away. Between Queen Slice and 9 Restaurant, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Queen Slice'}
{'statement': "You don't like restaurants further away. Between Viccino Pizzeria and Kibo Sushi House, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Viccino Pizzeria'}
{'statement': "You don't like restaurants further away. Between Chipotle Mexican Grill and Smoke's Weinerie, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like restaurants further away. Between Bagel Nash and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Bagel Nash'}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Hawthorne Food and Drink, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between New Bilan Restaurant and Sky Dragon Chinese Restaurant, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between Top Sushi and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Top Sushi'}
{'statement': "You don't like restaurants further away. Between La Pupusa Loka and Top Sushi, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Top Sushi'}
{'statement': "You don't like restaurants further away. Between Cafe Jules and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "You don't like restaurants further away. Between St. Clair Shawarma and Falafel and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like restaurants further away. Between Freshii and Kibo Sushi House, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between z-teca Gourmet Burritos and KFC, you should go to KFC.", 'answer': 'KFC', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Dangerous Dan's Diner and Bagel Nash, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Bagel Nash'}
{'statement': "You don't like restaurants further away. Between Sizzlers and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "You don't like restaurants further away. Between Hina Sushi and Mamma's Pizza, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Hina Sushi'}
{'statement': "You don't like restaurants further away. Between z-teca Gourmet Burritos and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Fit For Life and Tierra Azteca, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between Bagel Nash and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "You don't like restaurants further away. Between McDonald's and Cafe Jules, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "You don't like restaurants further away. Between Carole's Cheesecake Cafe and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Nutella Cafe by Pusateri's and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like restaurants further away. Between Milo's Pita and Edible Arrangements, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Edible Arrangements'}
{'statement': "You don't like restaurants further away. Between Green Grotto and Falafel House, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Falafel House'}
