{'statement': "You don't like the restaurants nearby. Between Sushi Shop and JJ Bean, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Amaya Express'}
{'statement': "You don't like the restaurants nearby. Between Buk Chang Dong Soon Tofu and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like the restaurants nearby. Between Sushi World and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "You don't like the restaurants nearby. Between Ici Bistro and La Pupusa Loka, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Chick Fiesta, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Chick Fiesta'}
{'statement': "You don't like the restaurants nearby. Between St. Louis Bar & Grill and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Oxygen Restaurant & Lounge, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Kim PO Vietnamese, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between Queen Pita and Paradise Farms Prime Beef Bistro, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like the restaurants nearby. Between Big Al's Diner and Tik Talk Cafe, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like the restaurants nearby. Between To-ne Sushi and Thai 4 You Restaurant, you should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Beryl's Pepper Pot and Mysteriously Yours Dinner Theatre, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between Grappa Ristorante and Cantine Bar & Grill, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Cake Opera and Kairali - Taste of Kerala, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Itamae Ayce Sushi and Nook, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You don't like the restaurants nearby. Between To-ne Sushi and Harvey's, you should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Harvey's"}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Aris Place and Madras Pantry, you should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Magic Oven and Mövenpick Café, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like the restaurants nearby. Between Cake Opera and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Cake Opera'}
{'statement': "You don't like the restaurants nearby. Between Madras Pantry and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like the restaurants nearby. Between Evoo Ristorante and FreshCo, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like the restaurants nearby. Between Fit For Life and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Basil Express Restaurant and Queen Pita, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Anatolia Restaurant and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like the restaurants nearby. Between It's All Grk and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': "It's All Grk"}
{'statement': "You don't like the restaurants nearby. Between Basha Middle Eastern Grill and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like the restaurants nearby. Between New Bilan Restaurant and Tim Hortons, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Tim Hortons'}
{'statement': "You don't like the restaurants nearby. Between Lahore Grill & Fast Food and LCBO, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like the restaurants nearby. Between z-teca Gourmet Burritos and JJ Bean, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'JJ Bean'}
{'statement': "You don't like the restaurants nearby. Between Sushi Time Japanese Restaurant and The Empire, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'The Empire'}
{'statement': "You don't like the restaurants nearby. Between Goldstone Noodle Restaurant and Topham Corner, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Sushi Shop, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Bao Bao Plus Dim Sum, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like the restaurants nearby. Between Pizzeria Via Mercanti and Ardor Bistro, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like the restaurants nearby. Between Roncy's Bean and Le Papillon Park, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Le Papillon Park'}
{'statement': "You don't like the restaurants nearby. Between Tierra Azteca and Kairali - Taste of Kerala, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Juice & Java Cafe and Tierra Azteca, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between Basha Middle Eastern Grill and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like the restaurants nearby. Between Verona Restaurant and Sushi Shop, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Sizzlers and Just Soups Take Out & Catering, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like the restaurants nearby. Between Mirage Grill & Lounge and Lebanese Bakery, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Lebanese Bakery'}
{'statement': "You don't like the restaurants nearby. Between LCBO and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'LCBO'}
{'statement': "You don't like the restaurants nearby. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Queen Pita and Mysteriously Yours Dinner Theatre, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between Evoo Ristorante and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like the restaurants nearby. Between Kairali - Taste of Kerala and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Big Al's Diner and Fit For Life, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Piper's Pub And Grill and Queen Slice, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between Dinah's Cupboard and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like the restaurants nearby. Between Thompson Rooftop and Breakfast Room, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Daily Press Juicery and Viccino Pizzeria, you should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like the restaurants nearby. Between Mövenpick Café and Tian An Cuisine, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like the restaurants nearby. Between Madras Pantry and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between Falafel House and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Falafel House'}
{'statement': "You don't like the restaurants nearby. Between Queen Pita and Chipotle Mexican Grill, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Basil Express Restaurant and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Dinah's Cupboard and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like the restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Itamae Ayce Sushi, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You don't like the restaurants nearby. Between Beryl's Pepper Pot and El Fogón, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'El Fogón'}
{'statement': "You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between Magic Oven and Piper's Pub And Grill, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Watson's, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Watson's"}
{'statement': "You don't like the restaurants nearby. Between Fitness Avenue and Tortería San Cosme, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like the restaurants nearby. Between Warung Indonesia D'Eglinton and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between Kim PO Vietnamese and Queen Pita, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between Ardor Bistro and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like the restaurants nearby. Between Mi Mi Restaurant and Goldstone Noodle Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between JJ Bean and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'JJ Bean'}
{'statement': "You don't like the restaurants nearby. Between Evoo Ristorante and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like the restaurants nearby. Between Juice & Java Cafe and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between Harvey's and Tortería San Cosme, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like the restaurants nearby. Between Phil's Original BBQ and Delicious Paradise Kitchen, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like the restaurants nearby. Between Kibo Sushi House and Druxy's Famous Deli, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Kibo Sushi House'}
{'statement': "You don't like the restaurants nearby. Between Green Room and Le Papillon Park, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Le Papillon Park'}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Kim PO Vietnamese, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like the restaurants nearby. Between Queen Pita and Goldstone Noodle Restaurant, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Madras Pantry and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Itamae Ayce Sushi, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You don't like the restaurants nearby. Between El Fogón and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'El Fogón'}
{'statement': "You don't like the restaurants nearby. Between Fit For Life and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Cafe Jules and Piper's Pub And Grill, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between Edible Arrangements and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Edible Arrangements'}
{'statement': "You don't like the restaurants nearby. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Grappa Ristorante and Milestones Restaurants, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': "You don't like the restaurants nearby. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like the restaurants nearby. Between Tim Hortons and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Tim Hortons'}
{'statement': "You don't like the restaurants nearby. Between Roncy's Bean and Tian An Cuisine, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Chick Fiesta, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like the restaurants nearby. Between Maurya East Indian Roti and Sizzlers, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Maurya East Indian Roti'}
{'statement': "You don't like the restaurants nearby. Between Topham Corner and Mysteriously Yours Dinner Theatre, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between It's All Grk and Green Room, you should go to Green Room.", 'answer': 'Green Room', 'candidate': "It's All Grk"}
{'statement': "You don't like the restaurants nearby. Between Dangerous Dan's Diner and Viccino Pizzeria, you should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like the restaurants nearby. Between Juice & Java Cafe and Mövenpick Café, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between Fitness Avenue and It's All Grk, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "It's All Grk"}
{'statement': "You don't like the restaurants nearby. Between Queen Pita and JJ Bean, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'JJ Bean'}
{'statement': "You don't like the restaurants nearby. Between Mövenpick Café and Madras Pantry, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between LCBO and Delicious Paradise Kitchen, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like the restaurants nearby. Between Sushi Shop and Popeyes Louisiana Kitchen, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Phil's Original BBQ and FreshCo, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'FreshCo'}
{'statement': "You don't like the restaurants nearby. Between Ardor Bistro and Green Grotto, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': "You don't like the restaurants nearby. Between Tortería San Cosme and Pasta Pantry, you should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like the restaurants nearby. Between Solero Mediterranean Bakery and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like the restaurants nearby. Between Ici Bistro and Falafel House, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel House'}
{'statement': "You don't like the restaurants nearby. Between Tierra Azteca and La Cocina De Dona Luz, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Dangerous Dan's Diner, you should go to Freshii.", 'answer': 'Freshii', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like the restaurants nearby. Between Magic Oven and It's All Grk, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "It's All Grk"}
{'statement': "You don't like the restaurants nearby. Between Helena's Magic Kitchen and Evoo Ristorante, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Lahore Grill & Fast Food, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and Cafe Jules, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Mövenpick Café, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between Cake Opera and Supermodel Pizza, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like the restaurants nearby. Between Bonne Journee and Dinah's Cupboard, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like the restaurants nearby. Between Edible Arrangements and Just Soups Take Out & Catering, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like the restaurants nearby. Between Nook and Cantine Bar & Grill, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between 9 Restaurant and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': '9 Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Branca and Mi Mi Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Branca'}
{'statement': "You don't like the restaurants nearby. Between Sushi Time Japanese Restaurant and Phil's Original BBQ, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Falafel Hut Village and Bagel Nash, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like the restaurants nearby. Between Kim PO Vietnamese and Big Al's Diner, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like the restaurants nearby. Between Tim Hortons and Daily Press Juicery, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like the restaurants nearby. Between Falafel Hut Village and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and Bagel Nash, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Harry's Char Broil & Dining Lounge"}
