{'statement': "Someone doesn't like the restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Tik Talk Cafe, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between EJ Sushi and Tian An Cuisine, this person should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like the restaurants nearby. Between Milo's Pita and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like the restaurants nearby. Between Thompson Rooftop and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like the restaurants nearby. Between Cake Opera and Queen Pita, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like the restaurants nearby. Between La Pupusa Loka and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like the restaurants nearby. Between Topham Corner and Breakfast Room, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like the restaurants nearby. Between EJ Sushi and Chipotle Mexican Grill, this person should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Piper's Pub And Grill, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like the restaurants nearby. Between Edible Arrangements and St. Louis Bar & Grill, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Goldstone Noodle Restaurant and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like the restaurants nearby. Between Falafel House and La Pupusa Loka, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like the restaurants nearby. Between Piper's Pub And Grill and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like the restaurants nearby. Between Lahore Grill & Fast Food and Freshii, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like the restaurants nearby. Between Tik Talk Cafe and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like the restaurants nearby. Between Grappa Ristorante and McDonald's, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like the restaurants nearby. Between Galata Cafe and Sichuan Landscape Chinese Restaurant, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between New Bilan Restaurant and Delicious Paradise Kitchen, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kairali - Taste of Kerala and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like the restaurants nearby. Between Pisco 1641 and Sushi Time Japanese Restaurant, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like the restaurants nearby. Between The Coffee Pocket and Thompson Rooftop, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bonne Journee and Green Grotto, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like the restaurants nearby. Between Tik Talk Cafe and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Chipotle Mexican Grill and Pizzeria Via Mercanti, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Pizza Pizza and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sheriff Broaster Chicken and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like the restaurants nearby. Between Edible Arrangements and Goldstone Noodle Restaurant, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sushi World and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sweet Jesus and Amaya Express, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like the restaurants nearby. Between Goldstone Noodle Restaurant and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Cantine Bar & Grill and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between The Coffee Pocket and Piper's Pub And Grill, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like the restaurants nearby. Between Dinah's Cupboard and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like the restaurants nearby. Between Bonne Journee and Breakfast Room, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like the restaurants nearby. Between Daily Press Juicery and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone doesn't like the restaurants nearby. Between Basil Express Restaurant and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Fitness Avenue and Sushi Shop, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Sushi Shop'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bake Island and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like the restaurants nearby. Between Edible Arrangements and El Fogón, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like the restaurants nearby. Between The Empire and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Empire'}
{'statement': "Someone doesn't like the restaurants nearby. Between It's All Grk and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "It's All Grk"}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Louis Bar & Grill and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between z-teca Gourmet Burritos and Top Sushi, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like the restaurants nearby. Between Shawarma Twist and Chipotle Mexican Grill, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Queen Slice and 9 Restaurant, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kibo Sushi House and Viccino Pizzeria, this person should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Kibo Sushi House'}
{'statement': "Someone doesn't like the restaurants nearby. Between Smoke's Weinerie and Chipotle Mexican Grill, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between El Fogón and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like the restaurants nearby. Between The Coffee Pocket and Hawthorne Food and Drink, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Top Sushi and Piper's Pub And Grill, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like the restaurants nearby. Between La Pupusa Loka and Top Sushi, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like the restaurants nearby. Between Cafe Jules and McDonald's, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Paradise Farms Prime Beef Bistro, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kibo Sushi House and Freshii, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kibo Sushi House'}
{'statement': "Someone doesn't like the restaurants nearby. Between z-teca Gourmet Burritos and KFC, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'KFC'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bagel Nash and Dangerous Dan's Diner, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like the restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Hina Sushi and Mamma's Pizza, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like the restaurants nearby. Between Breakfast Room and z-teca Gourmet Burritos, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like the restaurants nearby. Between Fit For Life and Tierra Azteca, this person should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bagel Nash and Warung Indonesia D'Eglinton, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like the restaurants nearby. Between Cafe Jules and McDonald's, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like the restaurants nearby. Between Milo's Pita and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like the restaurants nearby. Between Watson's and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Watson's"}
{'statement': "Someone doesn't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Fit For Life, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like the restaurants nearby. Between Milo's Pita and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like the restaurants nearby. Between Falafel House and Green Grotto, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Green Grotto'}
