{'statement': 'Between Chicago and Mandalay, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Mandalay'}
{'statement': 'Between Riyadh and Ulaanbaatar, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Yaoundé and Bata, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Bata'}
{'statement': 'Between Moscow and Gabès, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Gabès'}
{'statement': 'Between Algiers and Lake Havasu City, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Santiago and Copenhagen, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Copenhagen'}
{'statement': 'Between Johannesburg and Saskatoon, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Saskatoon'}
{'statement': 'Between Dar es Salaam and Willemstad, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Willemstad'}
{'statement': 'Between Guangzhou and Río Gallegos, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Río Gallegos'}
{'statement': 'Between Moscow and Río Gallegos, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Río Gallegos'}
{'statement': 'Between Rome and Chihuahua, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Chihuahua'}
{'statement': 'Between Jakarta and Niamey, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Niamey'}
{'statement': 'Between Ankara and San José, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'San José'}
{'statement': 'Between San Diego and Port Moresby, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Port Moresby'}
{'statement': 'Between Mumbai and Albuquerque, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Albuquerque'}
{'statement': 'Between Jakarta and Ankara, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Ankara'}
{'statement': 'Between Shanghai and Ulaanbaatar, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Lahore and Managua, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Managua'}
{'statement': 'Between Beijing and Lisbon, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Lisbon'}
{'statement': 'Between Phoenix and Hobart, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Hobart'}
{'statement': 'Between Surabaya and Suwałki, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Suwałki'}
{'statement': 'Between Lima and Damascus, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Damascus'}
{'statement': 'Between Toronto and San José, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'San José'}
{'statement': 'Between Manila and La Paz, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'La Paz'}
{'statement': 'Between Toronto and Tamanrasset, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Tamanrasset'}
{'statement': 'Between Shanghai and Ushuaia, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Ushuaia'}
{'statement': 'Between Toronto and Phnom Penh, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Phnom Penh'}
{'statement': 'Between Beijing and Johannesburg, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Johannesburg'}
{'statement': 'Between Perth and Nouadhibou, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Nouadhibou'}
{'statement': 'Between Nairobi and La Serena, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'La Serena'}
{'statement': 'Between Lagos and Parakou, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Parakou'}
{'statement': 'Between Lagos and Fairbanks, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Fairbanks'}
{'statement': 'Between Moscow and Ushuaia, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Ushuaia'}
{'statement': 'Between Beijing and Murmansk, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Murmansk'}
{'statement': 'Between Kunming and Asmara, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Asmara'}
{'statement': 'Between Kunming and Nouakchott, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Nouakchott'}
{'statement': 'Between Buenos Aires and Los Angeles, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Los Angeles'}
{'statement': 'Between Berlin and Hamilton, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Hamilton'}
{'statement': 'Between Guadalajara and Piura, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Piura'}
{'statement': 'Between Algiers and Antsiranana, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Antsiranana'}
{'statement': 'Between Johannesburg and Erbil, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Erbil'}
{'statement': 'Between Lima and Lake Havasu City, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Sydney and Yinchuan, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Yinchuan'}
{'statement': 'Between Hanoi and Antsiranana, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Antsiranana'}
{'statement': 'Between Guadalajara and Aden, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Aden'}
{'statement': 'Between San Diego and Wau, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Wau'}
{'statement': 'Between Ankara and Caracas, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Caracas'}
{'statement': 'Between Cairo and Ushuaia, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Ushuaia'}
{'statement': 'Between Luanda and Ségou, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Ségou'}
{'statement': 'Between Ho Chi Minh City and Entebbe, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Entebbe'}
{'statement': 'Between Beijing and Palermo, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Palermo'}
{'statement': 'Between Kuwait City and Kathmandu, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Kathmandu'}
{'statement': 'Between Shanghai and Hamilton, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Hamilton'}
{'statement': 'Between Jakarta and Denpasar, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Denpasar'}
{'statement': 'Between Chicago and Nairobi, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Nairobi'}
{'statement': 'Between Johannesburg and Perth, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Perth'}
{'statement': 'Between Melbourne and Bucharest, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Bucharest'}
{'statement': 'Between Surabaya and La Serena, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'La Serena'}
{'statement': 'Between Kabul and Malabo, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Malabo'}
{'statement': 'Between Shanghai and Tamanrasset, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tamanrasset'}
{'statement': 'Between Minneapolis and San Juan, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'San Juan'}
{'statement': 'Between Baghdad and Paramaribo, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Paramaribo'}
{'statement': 'Between Manila and Rosario, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Rosario'}
{'statement': 'Between San Diego and Changsha, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Changsha'}
{'statement': 'Between Ho Chi Minh City and Saskatoon, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Saskatoon'}
{'statement': 'Between Sydney and Vientiane, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Vientiane'}
{'statement': 'Between Cairo and Lagos, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Lagos'}
{'statement': 'Between Manila and Berlin, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Berlin'}
{'statement': 'Between Lagos and Ljubljana, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Ljubljana'}
{'statement': 'Between Dar es Salaam and Gabès, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Gabès'}
{'statement': 'Between Buenos Aires and Bamako, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Bamako'}
{'statement': 'Between Toronto and Saskatoon, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Saskatoon'}
{'statement': 'Between Bogotá and San Diego, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'San Diego'}
{'statement': 'Between Moscow and Alexandria, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Alexandria'}
{'statement': 'Between Sydney and Belgrade, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Belgrade'}
{'statement': 'Between Alexandria and Tauranga, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Tauranga'}
{'statement': 'Between Paris and Omaha, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Omaha'}
{'statement': 'Between Ankara and Rome, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Rome'}
{'statement': 'Between Buenos Aires and Suwałki, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Suwałki'}
{'statement': 'Between Sydney and Cabo San Lucas, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Kabul and Kathmandu, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Kathmandu'}
{'statement': 'Between Mumbai and Monterrey, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Monterrey'}
{'statement': 'Between Shanghai and Moscow, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Moscow'}
{'statement': 'Between Jakarta and Bergen, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Bergen'}
{'statement': 'Between Kuwait City and Wellington, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Wellington'}
{'statement': 'Between Luanda and Houston, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Houston'}
{'statement': 'Between Ho Chi Minh City and Calgary, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Calgary'}
{'statement': 'Between Riyadh and Mahajanga, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Mahajanga'}
{'statement': 'Between Moscow and Albuquerque, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Albuquerque'}
{'statement': 'Between Mexico City and La Ceiba, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'La Ceiba'}
{'statement': 'Between Ürümqi and Reykjavík, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Reykjavík'}
{'statement': 'Between Toronto and Amsterdam, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Amsterdam'}
{'statement': 'Between Manila and Damascus, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Damascus'}
{'statement': 'Between Algiers and Panama City, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Panama City'}
{'statement': 'Between Los Angeles and Guadalajara, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Guadalajara'}
{'statement': 'Between Ho Chi Minh City and Nakhon Ratchasima, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Shanghai and Port Moresby, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Port Moresby'}
{'statement': 'Between Yaoundé and Malabo, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Malabo'}
{'statement': 'Between London and Ushuaia, the bigger city is London.', 'answer': 'London', 'candidate': 'Ushuaia'}
{'statement': 'Between Johannesburg and Yinchuan, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Yinchuan'}
{'statement': 'Between Phnom Penh and Belize City, the bigger city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Belize City'}
{'statement': 'Between Kuwait City and Belize City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Belize City'}
{'statement': 'Between Berlin and Mexicali, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Mexicali'}
{'statement': 'Between Ürümqi and Sokoto, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Sokoto'}
{'statement': 'Between Dar es Salaam and Wau, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Wau'}
{'statement': 'Between Dar es Salaam and Tashkent, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Tashkent'}
{'statement': 'Between Mumbai and Bishkek, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Bishkek'}
{'statement': 'Between Cairo and Anchorage, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Anchorage'}
{'statement': 'Between Melbourne and Curitiba, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Curitiba'}
{'statement': 'Between Baghdad and Valencia, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Valencia'}
{'statement': 'Between Kabul and Palermo, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Palermo'}
{'statement': 'Between Mexico City and Antsiranana, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Antsiranana'}
{'statement': 'Between Luanda and Changsha, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Changsha'}
{'statement': 'Between Chicago and Ségou, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Ségou'}
{'statement': 'Between Manila and Santiago, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Santiago'}
{'statement': 'Between Ürümqi and Mahajanga, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Mahajanga'}
{'statement': 'Between Tashkent and Kuopio, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Kuopio'}
{'statement': 'Between Johannesburg and Mombasa, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Mombasa'}
{'statement': 'Between Kabul and Lyon, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Lyon'}
{'statement': 'Between Shanghai and Mahajanga, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Mahajanga'}
{'statement': 'Between Buenos Aires and Caracas, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Caracas'}
{'statement': 'Between Bangkok and Garissa, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Garissa'}
{'statement': 'Between Monterrey and Hat Yai, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Hat Yai'}
{'statement': 'Between Melbourne and Muscat, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Muscat'}
{'statement': 'Between Shanghai and Oslo, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Oslo'}
{'statement': 'Between Tampa and Djibouti, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Djibouti'}
{'statement': 'Between Dar es Salaam and Monterrey, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Monterrey'}
{'statement': 'Between Denver and Skopje, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Skopje'}
{'statement': 'Between Mumbai and Tauranga, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tauranga'}
{'statement': 'Between Surabaya and Port Sudan, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Port Sudan'}
{'statement': 'Between Riyadh and Tampa, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Tampa'}
{'statement': 'Between Karachi and Sokoto, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Sokoto'}
{'statement': 'Between Mumbai and Lhasa, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Lhasa'}
{'statement': 'Between Cairo and Canberra, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Canberra'}
{'statement': 'Between Toronto and Ouahigouya, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Ouahigouya'}
{'statement': 'Between Denver and Rabat, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Rabat'}
{'statement': 'Between Lahore and Pontianak, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Pontianak'}
{'statement': 'Between Paris and Palmerston North, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Palmerston North'}
{'statement': 'Between Lima and Rome, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Rome'}
{'statement': 'Between Mumbai and Tirana, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tirana'}
{'statement': 'Between Guangzhou and Alexandria, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Alexandria'}
{'statement': 'Between Santiago and Ségou, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Ségou'}
{'statement': 'Between Beijing and Vienna, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Vienna'}
{'statement': 'Between Lahore and Antsiranana, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Antsiranana'}
{'statement': 'Between Saint Petersburg and Hamilton, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hamilton'}
{'statement': 'Between Manila and San Juan, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'San Juan'}
{'statement': 'Between Sydney and Chihuahua, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Chihuahua'}
{'statement': 'Between Johannesburg and Ottawa, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Ottawa'}
{'statement': 'Between Paris and Managua, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Managua'}
{'statement': 'Between Sydney and Dodoma, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Dodoma'}
{'statement': 'Between Addis Ababa and Upington, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Upington'}
