{'statement': 'Between Guangzhou and Bujumbura, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Bujumbura'}
{'statement': 'Between Mexico City and Piura, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Piura'}
{'statement': 'Between Santiago and Guangzhou, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Santiago'}
{'statement': 'Between Jakarta and Moscow, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Moscow'}
{'statement': 'Between Cairo and Lagos, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Lagos'}
{'statement': 'Between Guangzhou and Honolulu, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Honolulu'}
{'statement': 'Between Brussels and Sydney, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'Between Belize City and Perth, the city with a larger population is Perth.', 'answer': 'Perth', 'candidate': 'Belize City'}
{'statement': 'Between San Antonio and Jakarta, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'San Antonio'}
{'statement': 'Between Buenos Aires and Beijing, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Buenos Aires'}
{'statement': 'Between Mahajanga and Minneapolis, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Mahajanga'}
{'statement': 'Between Phnom Penh and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Phnom Penh'}
{'statement': 'Between Makurdi and Johannesburg, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Makurdi'}
{'statement': 'Between Alexandria and Entebbe, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Entebbe'}
{'statement': 'Between Los Angeles and Palmerston North, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Palmerston North'}
{'statement': 'Between Cotonou and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cotonou'}
{'statement': 'Between Riyadh and Curitiba, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Curitiba'}
{'statement': 'Between Chicago and Port-Gentil, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Port-Gentil'}
{'statement': 'Between Kuwait City and Zagreb, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Zagreb'}
{'statement': 'Between Guangzhou and Palermo, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Palermo'}
{'statement': 'Between Halifax and Toronto, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Halifax'}
{'statement': 'Between Rome and Jakarta, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Rome'}
{'statement': 'Between Kano and Djibouti, the city with a larger population is Kano.', 'answer': 'Kano', 'candidate': 'Djibouti'}
{'statement': 'Between Harare and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Harare'}
{'statement': 'Between Pontianak and Kunming, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'Pontianak'}
{'statement': 'Between Cayenne and Hanoi, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Cayenne'}
{'statement': 'Between Toliara and Riyadh, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Toliara'}
{'statement': 'Between Brisbane and Ndola, the city with a larger population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ndola'}
{'statement': 'Between Saint Petersburg and San José, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'San José'}
{'statement': 'Between San Diego and Lima, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'San Diego'}
{'statement': 'Between Baku and Manila, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Baku'}
{'statement': 'Between Shanghai and Kano, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Kano'}
{'statement': 'Between Guadalajara and Tucson, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Tucson'}
{'statement': 'Between Reykjavík and Cairo, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Reykjavík'}
{'statement': 'Between Bishkek and Kunming, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'Bishkek'}
{'statement': 'Between Brasília and San Juan, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'San Juan'}
{'statement': 'Between Moscow and Santiago, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Santiago'}
{'statement': 'Between Río Gallegos and Riyadh, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Río Gallegos'}
{'statement': 'Between Halifax and Lagos, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Halifax'}
{'statement': 'Between Garoua and Jakarta, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Garoua'}
{'statement': 'Between Sucre and Kano, the city with a larger population is Kano.', 'answer': 'Kano', 'candidate': 'Sucre'}
{'statement': 'Between Milwaukee and Lagos, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Milwaukee'}
{'statement': 'Between Los Angeles and Entebbe, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Entebbe'}
{'statement': 'Between Addis Ababa and Cayenne, the city with a larger population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cayenne'}
{'statement': 'Between Fianarantsoa and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Fianarantsoa'}
{'statement': 'Between Manila and Zagreb, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Zagreb'}
{'statement': 'Between Medellín and Thiès, the city with a larger population is Medellín.', 'answer': 'Medellín', 'candidate': 'Thiès'}
{'statement': 'Between Benghazi and Tampa, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Benghazi'}
{'statement': 'Between Surabaya and Cayenne, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Cayenne'}
{'statement': 'Between Ho Chi Minh City and Toliara, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Toliara'}
{'statement': 'Between Denpasar and Sydney, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Denpasar'}
{'statement': 'Between Mumbai and Cairo, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Cairo'}
{'statement': 'Between Lagos and Sucre, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Sucre'}
{'statement': 'Between Toronto and Mexicali, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Mexicali'}
{'statement': 'Between Johannesburg and Mexicali, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Mexicali'}
{'statement': 'Between Kuwait City and Buenos Aires, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Kuwait City'}
{'statement': 'Between Auckland and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Auckland'}
{'statement': 'Between Kunming and Porto Alegre, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'Porto Alegre'}
{'statement': 'Between Rabat and Chicago, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Rabat'}
{'statement': 'Between Surabaya and Mendoza, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Mendoza'}
{'statement': 'Between Lisbon and Melbourne, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lisbon'}
{'statement': 'Between Los Angeles and Zagreb, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Zagreb'}
{'statement': 'Between Ho Chi Minh City and Fukuoka, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Fukuoka'}
{'statement': 'Between Ho Chi Minh City and Chicago, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Chicago'}
{'statement': 'Between Ségou and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Ségou'}
{'statement': 'Between Almaty and Riyadh, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Almaty'}
{'statement': 'Between Panama City and Berlin, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Panama City'}
{'statement': 'Between Podgorica and Rome, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'Podgorica'}
{'statement': 'Between Kuwait City and Hanoi, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kuwait City'}
{'statement': 'Between Hat Yai and Kano, the city with a larger population is Kano.', 'answer': 'Kano', 'candidate': 'Hat Yai'}
{'statement': 'Between Yakutsk and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Yakutsk'}
{'statement': 'Between Guangzhou and Río Gallegos, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Río Gallegos'}
{'statement': 'Between Kabul and Porto Alegre, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Porto Alegre'}
{'statement': 'Between La Serena and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'La Serena'}
{'statement': 'Between Tampa and San José, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'San José'}
{'statement': 'Between Johannesburg and Anchorage, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Anchorage'}
{'statement': 'Between London and Cairo, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'London'}
{'statement': 'Between Vientiane and Brasília, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Vientiane'}
{'statement': 'Between Kuwait City and Sydney, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Kuwait City'}
{'statement': 'Between Lahore and Antsiranana, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Antsiranana'}
