{'statement': "Someone doesn't like restaurants further away. Between JJ Bean and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "Someone doesn't like restaurants further away. Between Basil Express Restaurant and The Duke of Devon, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like restaurants further away. Between Dinah's Cupboard and Capitol Trattoria Pizzeria, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Joe Badali's Ristorante Italiano & Bar and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "Someone doesn't like restaurants further away. Between El Fogón and Beryl's Pepper Pot, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Piper's Pub And Grill and Magic Oven, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between Watson's and Eggspectation, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Fitness Avenue and Tortería San Cosme, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like restaurants further away. Between The Duke of Devon and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like restaurants further away. Between Queen Pita and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Modo Mio Italian Bistro, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between The Coffee Pocket and Ardor Bistro, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like restaurants further away. Between Mi Mi Restaurant and Goldstone Noodle Restaurant, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between JJ Bean and Ici Bistro, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Pizzeria Via Mercanti and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like restaurants further away. Between Assembly Chef's Hall and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like restaurants further away. Between Harvey's and Tortería San Cosme, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Harvey's"}
{'statement': "Someone doesn't like restaurants further away. Between Phil's Original BBQ and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like restaurants further away. Between Kibo Sushi House and Druxy's Famous Deli, this person should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like restaurants further away. Between Green Room and Le Papillon Park, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like restaurants further away. Between Kim PO Vietnamese and Eggspectation, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Queen Pita and Goldstone Noodle Restaurant, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like restaurants further away. Between St. Clair Shawarma and Falafel and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like restaurants further away. Between Capitol Trattoria Pizzeria and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Galata Cafe and El Fogón, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Galata Cafe'}
{'statement': "Someone doesn't like restaurants further away. Between Fit For Life and Galata Cafe, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Galata Cafe'}
{'statement': "Someone doesn't like restaurants further away. Between Piper's Pub And Grill and Cafe Jules, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like restaurants further away. Between Assembly Chef's Hall and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like restaurants further away. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like restaurants further away. Between Milestones Restaurants and Grappa Ristorante, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Capitol Trattoria Pizzeria and Tim Hortons, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Tian An Cuisine and Roncy's Bean, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Maurya East Indian Roti and Sizzlers, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Topham Corner, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Topham Corner'}
{'statement': "Someone doesn't like restaurants further away. Between Green Room and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Green Room'}
{'statement': "Someone doesn't like restaurants further away. Between Viccino Pizzeria and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Viccino Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Juice & Java Cafe and Mövenpick Café, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "Someone doesn't like restaurants further away. Between It's All Grk and Fitness Avenue, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like restaurants further away. Between Queen Pita and JJ Bean, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like restaurants further away. Between Mövenpick Café and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Mövenpick Café'}
{'statement': "Someone doesn't like restaurants further away. Between Delicious Paradise Kitchen and LCBO, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone doesn't like restaurants further away. Between Phil's Original BBQ and FreshCo, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like restaurants further away. Between Ardor Bistro and Green Grotto, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Tortería San Cosme and Pasta Pantry, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Pasta Pantry'}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Solero Mediterranean Bakery, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Ici Bistro and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Tierra Azteca and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Tierra Azteca'}
{'statement': "Someone doesn't like restaurants further away. Between Freshii and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Freshii'}
{'statement': "Someone doesn't like restaurants further away. Between It's All Grk and Magic Oven, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between Helena's Magic Kitchen and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like restaurants further away. Between Lahore Grill & Fast Food and Eggspectation, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Cafe Jules and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like restaurants further away. Between Mövenpick Café and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Mövenpick Café'}
{'statement': "Someone doesn't like restaurants further away. Between Supermodel Pizza and Cake Opera, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like restaurants further away. Between Bonne Journee and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like restaurants further away. Between Edible Arrangements and Just Soups Take Out & Catering, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like restaurants further away. Between Nook and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Nook'}
{'statement': "Someone doesn't like restaurants further away. Between 9 Restaurant and Hina Sushi, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Hina Sushi'}
