{'statement': "I'm looking for an expensive restaurant. Between Piper's Pub And Grill and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for an expensive restaurant. Between Carole's Cheesecake Cafe and McDonald's, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Bonne Journee, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between Juice & Java Cafe and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an expensive restaurant. Between The Empire and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Thompson Rooftop and Delicious Paradise Kitchen, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Domino's Pizza and Delicious Paradise Kitchen, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between La Pupusa Loka and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and Modo Mio Italian Bistro, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Smoke's Weinerie and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between The Duke of Devon and Just Soups Take Out & Catering, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Falafel House, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Galata Cafe and Falafel House, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Domino's Pizza and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "Domino's Pizza"}
{'statement': "I'm looking for an expensive restaurant. Between Nook and Sizzlers, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Supermodel Pizza and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Big Al's Diner and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Hina Sushi and Supermodel Pizza, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Smoke's Weinerie and To-ne Sushi, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Marcello’s pizzeria and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Marcello’s pizzeria'}
{'statement': "I'm looking for an expensive restaurant. Between Cafe Jules and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for an expensive restaurant. Between Marcello’s pizzeria and Smoke's Weinerie, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and Banjara Indian Cuisine, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for an expensive restaurant. Between Helena's Magic Kitchen and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Cafe Jules and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for an expensive restaurant. Between Sheriff Broaster Chicken and Sushi World, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Taste of Greek Cuisine and Sushi World, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Eggspectation and Chick Fiesta, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Dangerous Dan's Diner and Green Room, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Cafe Jules and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for an expensive restaurant. Between Bake Island and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Bake Island'}
{'statement': "I'm looking for an expensive restaurant. Between Milo's Pita and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Pisco 1641 and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for an expensive restaurant. Between Evoo Ristorante and Green Grotto, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for an expensive restaurant. Between Warung Indonesia D'Eglinton and Aris Place, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Goldstone Noodle Restaurant, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between New Bilan Restaurant and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Grappa Ristorante and Milestones Restaurants, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': "I'm looking for an expensive restaurant. Between Topham Corner and Supermodel Pizza, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Mt Everest Restaurant and Queen Pita, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between Milo's Pita and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Sweet Jesus and Sheriff Broaster Chicken, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for an expensive restaurant. Between Bagel Nash and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Juice & Java Cafe, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an expensive restaurant. Between Hina Sushi and Villa Madina, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between Grappa Ristorante and Nook, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Nook'}
{'statement': "I'm looking for an expensive restaurant. Between Solero Mediterranean Bakery and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between Dangerous Dan's Diner and New Bilan Restaurant, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and Modo Mio Italian Bistro, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for an expensive restaurant. Between Cantine Bar & Grill and Eastern legend, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between St. Louis Bar & Grill and Milo's Pita, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Harry's Char Broil & Dining Lounge and McDonald's, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Helena's Magic Kitchen and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and Amaya Express, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for an expensive restaurant. Between Taste of Greek Cuisine and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I'm looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Capitol Trattoria Pizzeria, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for an expensive restaurant. Between Shawarma Twist and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Shawarma Twist and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Mamma's Pizza and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for an expensive restaurant. Between Capitol Trattoria Pizzeria and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for an expensive restaurant. Between St. Clair Shawarma and Falafel and Harvey's, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between z-teca Gourmet Burritos and Eastern legend, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between FreshCo and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'FreshCo'}
{'statement': "I'm looking for an expensive restaurant. Between Evoo Ristorante and Watson's, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Watson's"}
{'statement': "I'm looking for an expensive restaurant. Between 9 Restaurant and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': '9 Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Top Sushi and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Supermodel Pizza and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between FreshCo and Shawarma Twist, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between St. Clair Shawarma and Falafel and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between It's All Grk and Pho 88, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Pho 88'}
{'statement': "I'm looking for an expensive restaurant. Between Chick Fiesta and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Druxy's Famous Deli and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Dangerous Dan's Diner and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Joe Badali's Ristorante Italiano & Bar and Bake Island, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Bake Island'}
{'statement': "I'm looking for an expensive restaurant. Between Supermodel Pizza and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Basil Express Restaurant and Bonne Journee, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between Chipotle Mexican Grill and The Empire, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Adega Restaurante and Amaya Express, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Tian An Cuisine and Druxy's Famous Deli, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Bagel Nash and Carole's Cheesecake Cafe, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Freshii, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Freshii'}
{'statement': "I'm looking for an expensive restaurant. Between Breakfast Room and Fitness Avenue, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Top Sushi, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Queen Pita and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between Banjara Indian Cuisine and Villa Madina, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between Madras Pantry and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between Thai 4 You Restaurant and Green Room, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between LCBO and Pizza Pizza, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Aroma Espresso Bar and Falafel House, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between It's All Grk and Chick Fiesta, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Farmacia Health Bar and The Empire, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Adega Restaurante and Itamae Ayce Sushi, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Cafe Jules and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for an expensive restaurant. Between Supermodel Pizza and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Solero Mediterranean Bakery and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and Branca, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Branca'}
{'statement': "I'm looking for an expensive restaurant. Between La Pupusa Loka and Bagel Nash, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Eastern legend and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Pizza Pizza and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between El Fogón and Delicious Paradise Kitchen, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Bagel Nash, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and Milo's Pita, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and Carole's Cheesecake Cafe, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Madras Pantry and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between Capitol Trattoria Pizzeria and Sizzlers, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Freshii and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Freshii'}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and Milestones Restaurants, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Milestones Restaurants'}
{'statement': "I'm looking for an expensive restaurant. Between Milo's Pita and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Chick Fiesta and Carole's Cheesecake Cafe, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Modo Mio Italian Bistro and Chick Fiesta, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Evoo Ristorante and Mirage Grill & Lounge, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for an expensive restaurant. Between Pizzeria Via Mercanti and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for an expensive restaurant. Between Adega Restaurante and Just Soups Take Out & Catering, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Bonne Journee and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between Juice & Java Cafe and Shawarma Twist, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Fit For Life and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for an expensive restaurant. Between Harry's Char Broil & Dining Lounge and Mi Mi Restaurant, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Le Papillon Park and KFC, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'KFC'}
{'statement': "I'm looking for an expensive restaurant. Between La Pupusa Loka and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and Marcello’s pizzeria, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and Kairali - Taste of Kerala, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for an expensive restaurant. Between Chick Fiesta and Sheriff Broaster Chicken, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Harry's Char Broil & Dining Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for an expensive restaurant. Between Pizza Pizza and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Eggspectation and Bagel Nash, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Sweet Jesus and To-ne Sushi, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Sweet Jesus'}
