{'statement': 'Between Addis Ababa and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Addis Ababa'}
{'statement': 'Between Shanghai and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Shanghai'}
{'statement': 'Between Riyadh and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Riyadh'}
{'statement': 'Between Buenos Aires and Pittsburgh, the smaller city is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Buenos Aires'}
{'statement': 'Between Phoenix and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Phoenix'}
{'statement': 'Between Minneapolis and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Minneapolis'}
{'statement': 'Between Monterrey and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Monterrey'}
{'statement': 'Between Baghdad and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Baghdad'}
{'statement': 'Between London and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'London'}
{'statement': 'Between Surabaya and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Surabaya'}
{'statement': 'Between Melbourne and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Melbourne'}
{'statement': 'Between Sydney and Ulaanbaatar, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Kabul'}
{'statement': 'Between Jakarta and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Jakarta'}
{'statement': 'Between Rome and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Rome'}
{'statement': 'Between Karachi and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Karachi'}
{'statement': 'Between Santiago and Durban, the smaller city is Durban.', 'answer': 'Durban', 'candidate': 'Santiago'}
{'statement': 'Between Lima and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Lima'}
{'statement': 'Between Manila and Brussels, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Manila'}
{'statement': 'Between Lima and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Lima'}
{'statement': 'Between Johannesburg and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Johannesburg'}
{'statement': 'Between Baghdad and Novosibirsk, the smaller city is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Baghdad'}
{'statement': 'Between Shanghai and Baltimore, the smaller city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Shanghai'}
{'statement': 'Between Guangzhou and Melbourne, the smaller city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Guangzhou'}
{'statement': 'Between Ankara and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Ankara'}
{'statement': 'Between Johannesburg and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Johannesburg'}
{'statement': 'Between Alexandria and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Alexandria'}
{'statement': 'Between Buenos Aires and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Buenos Aires'}
{'statement': 'Between Houston and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Houston'}
{'statement': 'Between Harare and Abéché, the smaller city is Abéché.', 'answer': 'Abéché', 'candidate': 'Harare'}
{'statement': 'Between Kuwait City and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Kuwait City'}
{'statement': 'Between Kuwait City and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Kuwait City'}
{'statement': 'Between Sydney and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Sydney'}
{'statement': 'Between Dar es Salaam and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ho Chi Minh City and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Shanghai and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Shanghai'}
{'statement': 'Between Douala and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Douala'}
{'statement': 'Between Ankara and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Ankara'}
{'statement': 'Between Tashkent and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tashkent'}
{'statement': 'Between Phoenix and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Phoenix'}
{'statement': 'Between Mexico City and Luanda, the smaller city is Luanda.', 'answer': 'Luanda', 'candidate': 'Mexico City'}
{'statement': 'Between Harare and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Harare'}
{'statement': 'Between Shanghai and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Shanghai'}
{'statement': 'Between Beijing and Toronto, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Beijing'}
{'statement': 'Between Cairo and Medellín, the smaller city is Medellín.', 'answer': 'Medellín', 'candidate': 'Cairo'}
{'statement': 'Between Surabaya and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Surabaya'}
{'statement': 'Between Ho Chi Minh City and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Tampa and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Tampa'}
{'statement': 'Between Bangkok and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Bangkok'}
{'statement': 'Between Los Angeles and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Los Angeles'}
{'statement': 'Between Mumbai and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Mumbai'}
{'statement': 'Between Dar es Salaam and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Rome and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Rome'}
{'statement': 'Between Paris and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Paris'}
{'statement': 'Between Bangkok and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Bangkok'}
{'statement': 'Between Karachi and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Karachi'}
{'statement': 'Between Ürümqi and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Ürümqi'}
{'statement': 'Between Kunming and Lisbon, the smaller city is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Kunming'}
{'statement': 'Between Dar es Salaam and Curitiba, the smaller city is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Kuwait City and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Kuwait City'}
{'statement': 'Between Kano and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Kano'}
{'statement': 'Between Luanda and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Luanda'}
{'statement': 'Between Phoenix and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Phoenix'}
{'statement': 'Between Toronto and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Toronto'}
{'statement': 'Between Bangkok and Medellín, the smaller city is Medellín.', 'answer': 'Medellín', 'candidate': 'Bangkok'}
{'statement': 'Between Alexandria and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Alexandria'}
{'statement': 'Between Kunming and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Kunming'}
{'statement': 'Between Kabul and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Kabul'}
{'statement': 'Between Saint Petersburg and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Lahore and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lahore'}
{'statement': 'Between Harare and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Harare'}
{'statement': 'Between Kabul and Pittsburgh, the smaller city is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Kabul'}
{'statement': 'Between Bangkok and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Bangkok'}
{'statement': 'Between Harare and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Harare'}
{'statement': 'Between Ürümqi and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Ürümqi'}
{'statement': 'Between Toronto and Tucson, the smaller city is Tucson.', 'answer': 'Tucson', 'candidate': 'Toronto'}
{'statement': 'Between Alexandria and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Alexandria'}
{'statement': 'Between Karachi and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Karachi'}
{'statement': 'Between Phoenix and Toamasina, the smaller city is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Phoenix'}
{'statement': 'Between Lima and Riyadh, the smaller city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Lima'}
{'statement': 'Between Mexico City and Benghazi, the smaller city is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Mexico City'}
{'statement': 'Between Mexico City and Novosibirsk, the smaller city is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Mexico City'}
{'statement': 'Between Algiers and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Algiers'}
{'statement': 'Between Hanoi and Yaoundé, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Hanoi'}
{'statement': 'Between Cairo and Bata, the smaller city is Bata.', 'answer': 'Bata', 'candidate': 'Cairo'}
{'statement': 'Between Beijing and Santiago del Estero, the smaller city is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Beijing'}
{'statement': 'Between Saint Petersburg and Frankfurt, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Alexandria and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Alexandria'}
{'statement': 'Between Cairo and Dar es Salaam, the smaller city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Cairo'}
{'statement': 'Between Phnom Penh and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Phnom Penh'}
{'statement': 'Between Kabul and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'Kabul'}
{'statement': 'Between San Diego and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'San Diego'}
{'statement': 'Between Bogotá and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Bogotá'}
{'statement': 'Between Yaoundé and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Yaoundé'}
{'statement': 'Between Saint Petersburg and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Karachi and Abéché, the smaller city is Abéché.', 'answer': 'Abéché', 'candidate': 'Karachi'}
{'statement': 'Between Lahore and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Lahore'}
{'statement': 'Between Denver and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Denver'}
{'statement': 'Between Lahore and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Lahore'}
{'statement': 'Between San Diego and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'San Diego'}
{'statement': 'Between Kunming and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Kunming'}
{'statement': 'Between Ürümqi and Lisbon, the smaller city is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Ürümqi'}
{'statement': 'Between Denver and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Denver'}
{'statement': 'Between Ho Chi Minh City and Yaoundé, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between London and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'London'}
{'statement': 'Between Surabaya and Nakhon Ratchasima, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Surabaya'}
{'statement': 'Between Guadalajara and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Guadalajara'}
{'statement': 'Between Algiers and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Algiers'}
{'statement': 'Between Manila and Erzurum, the smaller city is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Manila'}
{'statement': 'Between Riyadh and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Riyadh'}
{'statement': 'Between Los Angeles and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Los Angeles'}
{'statement': 'Between Santiago and Phnom Penh, the smaller city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Santiago'}
{'statement': 'Between Dar es Salaam and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Nairobi and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Nairobi'}
{'statement': 'Between Algiers and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Algiers'}
{'statement': 'Between Cairo and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Cairo'}
{'statement': 'Between Guadalajara and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Guadalajara'}
{'statement': 'Between Tampa and El Paso, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Tampa'}
{'statement': 'Between London and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'London'}
{'statement': 'Between Bogotá and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Bogotá'}
{'statement': 'Between Ankara and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Ankara'}
{'statement': 'Between Los Angeles and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Los Angeles'}
{'statement': 'Between Buenos Aires and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Buenos Aires'}
{'statement': 'Between Ho Chi Minh City and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Melbourne and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Melbourne'}
{'statement': 'Between Guadalajara and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Guadalajara'}
{'statement': 'Between Lagos and Nakhon Ratchasima, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Lagos'}
{'statement': 'Between Alexandria and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Alexandria'}
{'statement': 'Between Phoenix and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Shanghai'}
{'statement': 'Between Surabaya and Douala, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Surabaya'}
{'statement': 'Between Bangkok and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Bangkok'}
{'statement': 'Between Buenos Aires and Campos do Jordão, the smaller city is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Buenos Aires'}
{'statement': 'Between Sydney and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Sydney'}
{'statement': 'Between Sydney and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Sydney'}
{'statement': 'Between Bangkok and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Bangkok'}
{'statement': 'Between Hanoi and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Hanoi'}
{'statement': 'Between Ho Chi Minh City and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Paris and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Paris'}
{'statement': 'Between Ürümqi and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Ürümqi'}
{'statement': 'Between Mexico City and Frankfurt, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Mexico City'}
{'statement': 'Between Alexandria and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Alexandria'}
{'statement': 'Between Karachi and Baghdad, the smaller city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Karachi'}
{'statement': 'Between Ho Chi Minh City and Dar es Salaam, the smaller city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Dar es Salaam and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Saint Petersburg and Goiânia, the smaller city is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Beijing and Monterrey, the smaller city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Beijing'}
{'statement': 'Between Shanghai and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Shanghai'}
{'statement': 'Between Dar es Salaam and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Guadalajara and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Guadalajara'}
{'statement': 'Between Dar es Salaam and Milan, the smaller city is Milan.', 'answer': 'Milan', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Baltimore and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Baltimore'}
{'statement': 'Between Kuwait City and Cayenne, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Kuwait City'}
