{'statement': 'Between Rome and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Rome'}
{'statement': 'Between Riyadh and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Riyadh'}
{'statement': 'Between Ankara and Damascus, the smaller city is Damascus.', 'answer': 'Damascus', 'candidate': 'Ankara'}
{'statement': 'Between Berlin and Milan, the smaller city is Milan.', 'answer': 'Milan', 'candidate': 'Berlin'}
{'statement': 'Between Johannesburg and Baltimore, the smaller city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Johannesburg'}
{'statement': 'Between London and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'London'}
{'statement': 'Between Houston and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Houston'}
{'statement': 'Between Phoenix and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Manaus, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Shanghai'}
{'statement': 'Between Minneapolis and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Minneapolis'}
{'statement': 'Between Baku and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Baku'}
{'statement': 'Between Medellín and Port Sudan, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Medellín'}
{'statement': 'Between Shanghai and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Shanghai'}
{'statement': 'Between Riyadh and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Riyadh'}
{'statement': 'Between Lima and Perth, the smaller city is Perth.', 'answer': 'Perth', 'candidate': 'Lima'}
{'statement': 'Between Luanda and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Luanda'}
{'statement': 'Between Hanoi and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Hanoi'}
{'statement': 'Between Manila and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Manila'}
{'statement': 'Between Guadalajara and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Guadalajara'}
{'statement': 'Between Bangkok and Bogotá, the smaller city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Bangkok'}
{'statement': 'Between Los Angeles and Hanoi, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Los Angeles'}
{'statement': 'Between Beijing and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Beijing'}
{'statement': 'Between Hanoi and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Hanoi'}
{'statement': 'Between Lahore and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Lahore'}
{'statement': 'Between Alexandria and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Alexandria'}
{'statement': 'Between Beijing and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Beijing'}
{'statement': 'Between Berlin and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Berlin'}
{'statement': 'Between Monterrey and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Monterrey'}
{'statement': 'Between Houston and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Houston'}
{'statement': 'Between Cairo and Lomé, the smaller city is Lomé.', 'answer': 'Lomé', 'candidate': 'Cairo'}
{'statement': 'Between Brisbane and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Brisbane'}
{'statement': 'Between Brasília and Frankfurt, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Brasília'}
{'statement': 'Between Baghdad and Yerevan, the smaller city is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Baghdad'}
{'statement': 'Between Chicago and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Chicago'}
{'statement': 'Between Toronto and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Toronto'}
{'statement': 'Between Moscow and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Moscow'}
{'statement': 'Between Nairobi and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Nairobi'}
{'statement': 'Between Hanoi and Toamasina, the smaller city is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Hanoi'}
{'statement': 'Between Karachi and Kunming, the smaller city is Kunming.', 'answer': 'Kunming', 'candidate': 'Karachi'}
{'statement': 'Between Lagos and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Lagos'}
{'statement': 'Between Mexico City and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Mexico City'}
{'statement': 'Between Tampa and Durban, the smaller city is Durban.', 'answer': 'Durban', 'candidate': 'Tampa'}
{'statement': 'Between Moscow and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Moscow'}
{'statement': 'Between Bogotá and Ankara, the smaller city is Ankara.', 'answer': 'Ankara', 'candidate': 'Bogotá'}
{'statement': 'Between Lahore and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Lahore'}
{'statement': 'Between Brasília and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Brasília'}
{'statement': 'Between Sydney and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Sydney'}
{'statement': 'Between London and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'London'}
{'statement': 'Between Guangzhou and Bangkok, the smaller city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Guangzhou'}
{'statement': 'Between Bogotá and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Bogotá'}
{'statement': 'Between Rome and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Rome'}
{'statement': 'Between Lagos and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Lagos'}
{'statement': 'Between Bangkok and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Lima'}
{'statement': 'Between Dar es Salaam and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Nairobi and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Nairobi'}
{'statement': 'Between Chicago and Kuwait City, the smaller city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Chicago'}
{'statement': 'Between Fukuoka and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Fukuoka'}
{'statement': 'Between Mumbai and Mendoza, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Mumbai'}
{'statement': 'Between Guangzhou and Punta Arenas, the smaller city is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Guangzhou'}
{'statement': 'Between Nairobi and Fianarantsoa, the smaller city is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Nairobi'}
{'statement': 'Between Ho Chi Minh City and Bogotá, the smaller city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Buenos Aires and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Buenos Aires'}
{'statement': 'Between Brasília and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Brasília'}
{'statement': 'Between Mumbai and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Mumbai'}
{'statement': 'Between Santiago and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Santiago'}
{'statement': 'Between Sydney and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Sydney'}
{'statement': 'Between Chicago and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Chicago'}
{'statement': 'Between Guangzhou and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Guangzhou'}
{'statement': 'Between Lahore and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Lahore'}
{'statement': 'Between Cairo and Aden, the smaller city is Aden.', 'answer': 'Aden', 'candidate': 'Cairo'}
{'statement': 'Between Chicago and Medellín, the smaller city is Medellín.', 'answer': 'Medellín', 'candidate': 'Chicago'}
{'statement': 'Between Guangzhou and Yerevan, the smaller city is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Guangzhou'}
{'statement': 'Between Hanoi and Mendoza, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Hanoi'}
{'statement': 'Between Ürümqi and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Ürümqi'}
{'statement': 'Between Los Angeles and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Los Angeles'}
{'statement': 'Between Riyadh and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Riyadh'}
{'statement': 'Between Bangkok and Baltimore, the smaller city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Bangkok'}
{'statement': 'Between Baghdad and Auckland, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Baghdad'}
{'statement': 'Between Ankara and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Ankara'}
{'statement': 'Between Buenos Aires and San Antonio, the smaller city is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Buenos Aires'}
{'statement': 'Between Alexandria and Brussels, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Alexandria'}
{'statement': 'Between Guangzhou and Brisbane, the smaller city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Guangzhou'}
{'statement': 'Between Lahore and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Lahore'}
{'statement': 'Between Nairobi and Ulaanbaatar, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Nairobi'}
{'statement': 'Between Guadalajara and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Guadalajara'}
{'statement': 'Between Surabaya and Palermo, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Surabaya'}
{'statement': 'Between Sydney and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Sydney'}
{'statement': 'Between Berlin and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Berlin'}
{'statement': 'Between Los Angeles and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Los Angeles'}
{'statement': 'Between Mumbai and Houston, the smaller city is Houston.', 'answer': 'Houston', 'candidate': 'Mumbai'}
{'statement': 'Between Surabaya and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Surabaya'}
{'statement': 'Between Mumbai and Milan, the smaller city is Milan.', 'answer': 'Milan', 'candidate': 'Mumbai'}
{'statement': 'Between Algiers and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Algiers'}
{'statement': 'Between Mumbai and Surabaya, the smaller city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Mumbai'}
{'statement': 'Between Toronto and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Toronto'}
{'statement': 'Between Phoenix and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Phoenix'}
{'statement': 'Between San Diego and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'San Diego'}
{'statement': 'Between Alexandria and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Alexandria'}
{'statement': 'Between Jakarta and Baltimore, the smaller city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Jakarta'}
{'statement': 'Between Johannesburg and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Johannesburg'}
{'statement': 'Between Buenos Aires and Kunming, the smaller city is Kunming.', 'answer': 'Kunming', 'candidate': 'Buenos Aires'}
{'statement': 'Between Ho Chi Minh City and El Paso, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Alexandria and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Alexandria'}
{'statement': 'Between Phnom Penh and Campos do Jordão, the smaller city is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Phnom Penh'}
{'statement': 'Between Monterrey and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Monterrey'}
{'statement': 'Between Tampa and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Tampa'}
{'statement': 'Between Riyadh and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Riyadh'}
{'statement': 'Between Karachi and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Karachi'}
{'statement': 'Between Kano and Fianarantsoa, the smaller city is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Kano'}
{'statement': 'Between Ankara and Bata, the smaller city is Bata.', 'answer': 'Bata', 'candidate': 'Ankara'}
{'statement': 'Between Johannesburg and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Johannesburg'}
{'statement': 'Between Cairo and Hanoi, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Cairo'}
{'statement': 'Between Douala and Punta Arenas, the smaller city is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Douala'}
{'statement': 'Between Mumbai and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Mumbai'}
{'statement': 'Between Surabaya and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Surabaya'}
{'statement': 'Between Baghdad and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Baghdad'}
{'statement': 'Between Ankara and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Ankara'}
{'statement': 'Between Algiers and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Algiers'}
{'statement': 'Between Paris and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Paris'}
{'statement': 'Between Chicago and Vladivostok, the smaller city is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Chicago'}
{'statement': 'Between Chicago and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Chicago'}
{'statement': 'Between Minneapolis and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Minneapolis'}
{'statement': 'Between Bogotá and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Bogotá'}
{'statement': 'Between Manila and Valencia, the smaller city is Valencia.', 'answer': 'Valencia', 'candidate': 'Manila'}
{'statement': 'Between Kunming and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Kunming'}
{'statement': 'Between Mexico City and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Mexico City'}
{'statement': 'Between Los Angeles and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Los Angeles'}
{'statement': 'Between Kuwait City and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Kuwait City'}
{'statement': 'Between Beijing and Bishkek, the smaller city is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Beijing'}
{'statement': 'Between Santiago and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Santiago'}
{'statement': 'Between Tampa and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Tampa'}
{'statement': 'Between Paris and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Paris'}
{'statement': 'Between Nairobi and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Nairobi'}
{'statement': 'Between Alexandria and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Alexandria'}
{'statement': 'Between Sydney and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Sydney'}
{'statement': 'Between Shanghai and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Shanghai'}
{'statement': 'Between Los Angeles and Rabat, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Los Angeles'}
{'statement': 'Between Berlin and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Berlin'}
{'statement': 'Between Ho Chi Minh City and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Nairobi and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Nairobi'}
{'statement': 'Between Kuwait City and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Kuwait City'}
{'statement': 'Between Houston and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Houston'}
{'statement': 'Between Guadalajara and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Guadalajara'}
{'statement': 'Between Manila and Kuwait City, the smaller city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Manila'}
{'statement': 'Between Bangkok and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Bangkok'}
{'statement': 'Between Hanoi and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Hanoi'}
{'statement': 'Between Shanghai and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Shanghai'}
{'statement': 'Between Buenos Aires and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Buenos Aires'}
{'statement': 'Between Hanoi and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Hanoi'}
{'statement': 'Between Guadalajara and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Guadalajara'}
{'statement': 'Between Brasília and Punta Arenas, the smaller city is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Brasília'}
{'statement': 'Between Algiers and Rabat, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Algiers'}
{'statement': 'Between Mexico City and Cayenne, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Mexico City'}
{'statement': 'Between Alexandria and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Alexandria'}
{'statement': 'Between Luanda and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Luanda'}
{'statement': 'Between Alexandria and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Alexandria'}
{'statement': 'Between Paris and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Paris'}
{'statement': 'Between Guangzhou and Johannesburg, the smaller city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Guangzhou'}
{'statement': 'Between Riyadh and Santiago del Estero, the smaller city is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Riyadh'}
{'statement': 'Between Hanoi and Novosibirsk, the smaller city is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Hanoi'}
{'statement': 'Between Ankara and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Ankara'}
{'statement': 'Between Phoenix and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Phoenix'}
{'statement': 'Between Toronto and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Toronto'}
{'statement': 'Between Guadalajara and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Guadalajara'}
{'statement': 'Between San Diego and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'San Diego'}
