{'statement': "You don't like restaurants further away. Between JJ Bean and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "You don't like restaurants further away. Between Cake Opera and Eggspectation, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Solero Mediterranean Bakery and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like restaurants further away. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Domino's Pizza"}
{'statement': "You don't like restaurants further away. Between Evoo Ristorante and FreshCo, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'FreshCo'}
{'statement': "You don't like restaurants further away. Between Fit For Life and Bao Bao Plus Dim Sum, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like restaurants further away. Between Basil Express Restaurant and Queen Pita, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Anatolia Restaurant and Ici Bistro, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between It's All Grk and z-teca Gourmet Burritos, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Basha Middle Eastern Grill and Domino's Pizza, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Domino's Pizza"}
{'statement': "You don't like restaurants further away. Between New Bilan Restaurant and Tim Hortons, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between LCBO and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'LCBO'}
{'statement': "You don't like restaurants further away. Between JJ Bean and z-teca Gourmet Burritos, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between The Empire and Sushi Time Japanese Restaurant, you should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like restaurants further away. Between Topham Corner and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Topham Corner'}
{'statement': "You don't like restaurants further away. Between Sushi Shop and Freshii, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between Eggspectation and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Pizzeria Via Mercanti and Ardor Bistro, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like restaurants further away. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Roncy's Bean"}
{'statement': "You don't like restaurants further away. Between Le Papillon Park and Roncy's Bean, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Roncy's Bean"}
{'statement': "You don't like restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between Tierra Azteca and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between Basha Middle Eastern Grill and The Duke of Devon, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'The Duke of Devon'}
{'statement': "You don't like restaurants further away. Between Verona Restaurant and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like restaurants further away. Between Sizzlers and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Sizzlers'}
{'statement': "You don't like restaurants further away. Between Mirage Grill & Lounge and Lebanese Bakery, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like restaurants further away. Between LCBO and z-teca Gourmet Burritos, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like restaurants further away. Between Queen Pita and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Eggspectation and Evoo Ristorante, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Kairali - Taste of Kerala and Mt Everest Restaurant, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like restaurants further away. Between Fit For Life and Big Al's Diner, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Big Al's Diner"}
{'statement': "You don't like restaurants further away. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "You don't like restaurants further away. Between Queen Slice and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Queen Slice'}
{'statement': "You don't like restaurants further away. Between Roncy's Bean and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Roncy's Bean"}
{'statement': "You don't like restaurants further away. Between Thompson Rooftop and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like restaurants further away. Between Daily Press Juicery and Viccino Pizzeria, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Viccino Pizzeria'}
{'statement': "You don't like restaurants further away. Between Tian An Cuisine and Mövenpick Café, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like restaurants further away. Between Roncy's Bean and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Roncy's Bean"}
{'statement': "You don't like restaurants further away. Between Assembly Chef's Hall and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like restaurants further away. Between Queen Pita and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between The Duke of Devon and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'The Duke of Devon'}
{'statement': "You don't like restaurants further away. Between Capitol Trattoria Pizzeria and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like restaurants further away. Between Itamae Ayce Sushi and Joe Badali's Ristorante Italiano & Bar, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You don't like restaurants further away. Between El Fogón and Beryl's Pepper Pot, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like restaurants further away. Between Eggspectation and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Magic Oven and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between Watson's and Eggspectation, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Tortería San Cosme and Fitness Avenue, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like restaurants further away. Between Warung Indonesia D'Eglinton and The Duke of Devon, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'The Duke of Devon'}
{'statement': "You don't like restaurants further away. Between Queen Pita and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Modo Mio Italian Bistro and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "You don't like restaurants further away. Between Ardor Bistro and The Coffee Pocket, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and JJ Bean, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Evoo Ristorante and Pizzeria Via Mercanti, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like restaurants further away. Between Juice & Java Cafe and Assembly Chef's Hall, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like restaurants further away. Between Tortería San Cosme and Harvey's, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Harvey's"}
{'statement': "You don't like restaurants further away. Between Phil's Original BBQ and Delicious Paradise Kitchen, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like restaurants further away. Between Kibo Sushi House and Druxy's Famous Deli, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like restaurants further away. Between Green Room and Le Papillon Park, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Green Room'}
{'statement': "You don't like restaurants further away. Between Eggspectation and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Goldstone Noodle Restaurant and Queen Pita, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Madras Pantry and St. Clair Shawarma and Falafel, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like restaurants further away. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like restaurants further away. Between El Fogón and Galata Cafe, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Galata Cafe'}
{'statement': "You don't like restaurants further away. Between Galata Cafe and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Galata Cafe'}
{'statement': "You don't like restaurants further away. Between Piper's Pub And Grill and Cafe Jules, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Cafe Jules'}
{'statement': "You don't like restaurants further away. Between Edible Arrangements and Assembly Chef's Hall, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like restaurants further away. Between Sushi Time Japanese Restaurant and Smoke's Weinerie, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like restaurants further away. Between Milestones Restaurants and Grappa Ristorante, you should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between Capitol Trattoria Pizzeria and Tim Hortons, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like restaurants further away. Between Tian An Cuisine and Roncy's Bean, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Roncy's Bean"}
{'statement': "You don't like restaurants further away. Between Eggspectation and Chick Fiesta, you should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Maurya East Indian Roti and Sizzlers, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Sizzlers'}
{'statement': "You don't like restaurants further away. Between Topham Corner and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Topham Corner'}
{'statement': "You don't like restaurants further away. Between Green Room and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Green Room'}
{'statement': "You don't like restaurants further away. Between Viccino Pizzeria and Dangerous Dan's Diner, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Viccino Pizzeria'}
{'statement': "You don't like restaurants further away. Between Mövenpick Café and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like restaurants further away. Between Fitness Avenue and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Fitness Avenue'}
{'statement': "You don't like restaurants further away. Between JJ Bean and Queen Pita, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Madras Pantry and Mövenpick Café, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like restaurants further away. Between LCBO and Delicious Paradise Kitchen, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'LCBO'}
{'statement': "You don't like restaurants further away. Between Sushi Shop and Popeyes Louisiana Kitchen, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like restaurants further away. Between FreshCo and Phil's Original BBQ, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like restaurants further away. Between Green Grotto and Ardor Bistro, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like restaurants further away. Between Tortería San Cosme and Pasta Pantry, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Pasta Pantry'}
{'statement': "You don't like restaurants further away. Between Solero Mediterranean Bakery and Eggspectation, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Tierra Azteca and La Cocina De Dona Luz, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between Dangerous Dan's Diner and Freshii, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between It's All Grk and Magic Oven, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between Evoo Ristorante and Helena's Magic Kitchen, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like restaurants further away. Between Eggspectation and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Sky Dragon Chinese Restaurant and Cafe Jules, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "You don't like restaurants further away. Between Mövenpick Café and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Mövenpick Café'}
{'statement': "You don't like restaurants further away. Between Supermodel Pizza and Cake Opera, you should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Cake Opera'}
{'statement': "You don't like restaurants further away. Between Dinah's Cupboard and Bonne Journee, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Bonne Journee'}
{'statement': "You don't like restaurants further away. Between Edible Arrangements and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like restaurants further away. Between Cantine Bar & Grill and Nook, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Nook'}
{'statement': "You don't like restaurants further away. Between 9 Restaurant and Hina Sushi, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "You don't like restaurants further away. Between Mi Mi Restaurant and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like restaurants further away. Between Falafel Hut Village and Bagel Nash, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Bagel Nash'}
{'statement': "You don't like restaurants further away. Between Big Al's Diner and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': "Big Al's Diner"}
{'statement': "You don't like restaurants further away. Between Daily Press Juicery and Tim Hortons, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and Falafel Hut Village, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Bagel Nash and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Bagel Nash'}
