{'statement': 'You are looking for restaurants further away. Between Sushi Shop and JJ Bean, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "You are looking for restaurants further away. Between Delicious Paradise Kitchen and Phil's Original BBQ, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You are looking for restaurants further away. Between Druxy's Famous Deli and Kibo Sushi House, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Kibo Sushi House'}
{'statement': 'You are looking for restaurants further away. Between Green Room and Le Papillon Park, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Le Papillon Park'}
{'statement': 'You are looking for restaurants further away. Between Kim PO Vietnamese and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'You are looking for restaurants further away. Between Queen Pita and Goldstone Noodle Restaurant, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Madras Pantry and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Madras Pantry'}
{'statement': 'You are looking for restaurants further away. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Itamae Ayce Sushi'}
{'statement': 'You are looking for restaurants further away. Between Galata Cafe and El Fogón, you should go to Galata Cafe.', 'answer': 'Galata Cafe', 'candidate': 'El Fogón'}
{'statement': 'You are looking for restaurants further away. Between Fit For Life and Galata Cafe, you should go to Galata Cafe.', 'answer': 'Galata Cafe', 'candidate': 'Fit For Life'}
{'statement': "You are looking for restaurants further away. Between Cafe Jules and Piper's Pub And Grill, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Piper's Pub And Grill"}
{'statement': "You are looking for restaurants further away. Between Edible Arrangements and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Edible Arrangements'}
{'statement': "You are looking for restaurants further away. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Grappa Ristorante and Milestones Restaurants, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': 'You are looking for restaurants further away. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, you should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': 'You are looking for restaurants further away. Between Tim Hortons and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Tim Hortons'}
{'statement': "You are looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Tian An Cuisine'}
{'statement': 'You are looking for restaurants further away. Between Eggspectation and Chick Fiesta, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': 'You are looking for restaurants further away. Between Maurya East Indian Roti and Sizzlers, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'You are looking for restaurants further away. Between Topham Corner and Mysteriously Yours Dinner Theatre, you should go to Topham Corner.', 'answer': 'Topham Corner', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You are looking for restaurants further away. Between It's All Grk and Green Room, you should go to Green Room.", 'answer': 'Green Room', 'candidate': "It's All Grk"}
{'statement': "You are looking for restaurants further away. Between Viccino Pizzeria and Dangerous Dan's Diner, you should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'You are looking for restaurants further away. Between Mövenpick Café and Juice & Java Cafe, you should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Juice & Java Cafe'}
{'statement': "You are looking for restaurants further away. Between Fitness Avenue and It's All Grk, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "It's All Grk"}
{'statement': 'You are looking for restaurants further away. Between JJ Bean and Queen Pita, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'JJ Bean'}
{'statement': 'You are looking for restaurants further away. Between Madras Pantry and Mövenpick Café, you should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Madras Pantry'}
{'statement': 'You are looking for restaurants further away. Between LCBO and Delicious Paradise Kitchen, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'You are looking for restaurants further away. Between Popeyes Louisiana Kitchen and Sushi Shop, you should go to Popeyes Louisiana Kitchen.', 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi Shop'}
{'statement': "You are looking for restaurants further away. Between FreshCo and Phil's Original BBQ, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'FreshCo'}
{'statement': 'You are looking for restaurants further away. Between Ardor Bistro and Green Grotto, you should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': 'You are looking for restaurants further away. Between Tortería San Cosme and Pasta Pantry, you should go to Pasta Pantry.', 'answer': 'Pasta Pantry', 'candidate': 'Tortería San Cosme'}
{'statement': 'You are looking for restaurants further away. Between Solero Mediterranean Bakery and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': 'You are looking for restaurants further away. Between Falafel House and Ici Bistro, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Falafel House'}
{'statement': 'You are looking for restaurants further away. Between Tierra Azteca and La Cocina De Dona Luz, you should go to Tierra Azteca.', 'answer': 'Tierra Azteca', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You are looking for restaurants further away. Between Freshii and Dangerous Dan's Diner, you should go to Freshii.", 'answer': 'Freshii', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You are looking for restaurants further away. Between It's All Grk and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "It's All Grk"}
{'statement': "You are looking for restaurants further away. Between Evoo Ristorante and Helena's Magic Kitchen, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Evoo Ristorante'}
{'statement': 'You are looking for restaurants further away. Between Eggspectation and Lahore Grill & Fast Food, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'You are looking for restaurants further away. Between Cafe Jules and Sky Dragon Chinese Restaurant, you should go to Cafe Jules.', 'answer': 'Cafe Jules', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You are looking for restaurants further away. Between Mövenpick Café and Warung Indonesia D'Eglinton, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'You are looking for restaurants further away. Between Cake Opera and Supermodel Pizza, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Supermodel Pizza'}
{'statement': "You are looking for restaurants further away. Between Dinah's Cupboard and Bonne Journee, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for restaurants further away. Between Edible Arrangements and Just Soups Take Out & Catering, you should go to Edible Arrangements.', 'answer': 'Edible Arrangements', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': 'You are looking for restaurants further away. Between Nook and Cantine Bar & Grill, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Cantine Bar & Grill'}
{'statement': 'You are looking for restaurants further away. Between 9 Restaurant and Hina Sushi, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': '9 Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Branca and Mi Mi Restaurant, you should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Branca'}
{'statement': "You are looking for restaurants further away. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Falafel Hut Village and Bagel Nash, you should go to Bagel Nash.', 'answer': 'Bagel Nash', 'candidate': 'Falafel Hut Village'}
{'statement': "You are looking for restaurants further away. Between Big Al's Diner and Kim PO Vietnamese, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Kim PO Vietnamese'}
{'statement': 'You are looking for restaurants further away. Between Daily Press Juicery and Tim Hortons, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': 'You are looking for restaurants further away. Between Falafel Hut Village and Ici Bistro, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Falafel Hut Village'}
{'statement': "You are looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and Bagel Nash, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Harry's Char Broil & Dining Lounge"}
