{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and JJ Bean, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for restaurants nearby. Between Dangerous Dan's Diner and Tierra Azteca, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between The Empire and Eastern legend, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for restaurants nearby. Between Grappa Ristorante and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Domino's Pizza, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Domino's Pizza"}
{'statement': "I'm looking for restaurants nearby. Between Sushi World and Magic Oven, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between La Pupusa Loka and Ici Bistro, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for restaurants nearby. Between St. Louis Bar & Grill and Cake Opera, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for restaurants nearby. Between Oxygen Restaurant & Lounge and Freshii, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between Freshii and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for restaurants nearby. Between Queen Pita and Paradise Farms Prime Beef Bistro, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Big Al's Diner and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for restaurants nearby. Between Thai 4 You Restaurant and To-ne Sushi, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'To-ne Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I'm looking for restaurants nearby. Between Grappa Ristorante and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and Cake Opera, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for restaurants nearby. Between Nook and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Nook'}
{'statement': "I'm looking for restaurants nearby. Between To-ne Sushi and Harvey's, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'To-ne Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Madras Pantry and Aris Place, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Aris Place'}
{'statement': "I'm looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and Hina Sushi, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Magic Oven and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Solero Mediterranean Bakery and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for restaurants nearby. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Domino's Pizza"}
{'statement': "I'm looking for restaurants nearby. Between FreshCo and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'FreshCo'}
{'statement': "I'm looking for restaurants nearby. Between Bao Bao Plus Dim Sum and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I'm looking for restaurants nearby. Between Queen Pita and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Anatolia Restaurant and Ici Bistro, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and It's All Grk, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Domino's Pizza and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Domino's Pizza"}
{'statement': "I'm looking for restaurants nearby. Between Tim Hortons and New Bilan Restaurant, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between LCBO and Lahore Grill & Fast Food, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'LCBO'}
{'statement': "I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between The Empire and Sushi Time Japanese Restaurant, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Goldstone Noodle Restaurant and Topham Corner, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and Freshii, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between Bao Bao Plus Dim Sum and Eggspectation, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Ardor Bistro and Pizzeria Via Mercanti, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for restaurants nearby. Between Roncy's Bean and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for restaurants nearby. Between Roncy's Bean and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for restaurants nearby. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between Tierra Azteca and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between Basha Middle Eastern Grill and The Duke of Devon, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and Verona Restaurant, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Just Soups Take Out & Catering and Sizzlers, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for restaurants nearby. Between Lebanese Bakery and Mirage Grill & Lounge, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between LCBO and z-teca Gourmet Burritos, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Queen Pita, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and Mt Everest Restaurant, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Big Al's Diner and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for restaurants nearby. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Piper's Pub And Grill and Queen Slice, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Queen Slice'}
{'statement': "I'm looking for restaurants nearby. Between Roncy's Bean and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for restaurants nearby. Between Thompson Rooftop and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Thompson Rooftop'}
{'statement': "I'm looking for restaurants nearby. Between Daily Press Juicery and Viccino Pizzeria, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Viccino Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Tian An Cuisine and Mövenpick Café, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for restaurants nearby. Between Madras Pantry and Roncy's Bean, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for restaurants nearby. Between Assembly Chef's Hall and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for restaurants nearby. Between Queen Pita and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Basil Express Restaurant and The Duke of Devon, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for restaurants nearby. Between Dinah's Cupboard and Capitol Trattoria Pizzeria, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Itamae Ayce Sushi and Joe Badali's Ristorante Italiano & Bar, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I'm looking for restaurants nearby. Between Beryl's Pepper Pot and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Magic Oven and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Tortería San Cosme and Fitness Avenue, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for restaurants nearby. Between Warung Indonesia D'Eglinton and The Duke of Devon, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for restaurants nearby. Between Queen Pita and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Modo Mio Italian Bistro, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Ardor Bistro and The Coffee Pocket, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Ici Bistro and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Evoo Ristorante and Pizzeria Via Mercanti, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for restaurants nearby. Between Assembly Chef's Hall and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for restaurants nearby. Between Harvey's and Tortería San Cosme, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Harvey's"}
{'statement': "I'm looking for restaurants nearby. Between Delicious Paradise Kitchen and Phil's Original BBQ, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for restaurants nearby. Between Kibo Sushi House and Druxy's Famous Deli, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for restaurants nearby. Between Green Room and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Green Room'}
{'statement': "I'm looking for restaurants nearby. Between Kim PO Vietnamese and Eggspectation, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Goldstone Noodle Restaurant and Queen Pita, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Madras Pantry and St. Clair Shawarma and Falafel, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between El Fogón and Galata Cafe, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Galata Cafe'}
{'statement': "I'm looking for restaurants nearby. Between Galata Cafe and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Galata Cafe'}
{'statement': "I'm looking for restaurants nearby. Between Piper's Pub And Grill and Cafe Jules, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for restaurants nearby. Between Assembly Chef's Hall and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for restaurants nearby. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for restaurants nearby. Between Grappa Ristorante and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Tim Hortons, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Tian An Cuisine and Roncy's Bean, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Sizzlers and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for restaurants nearby. Between Topham Corner and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for restaurants nearby. Between It's All Grk and Green Room, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Green Room'}
{'statement': "I'm looking for restaurants nearby. Between Viccino Pizzeria and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Viccino Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Mövenpick Café and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for restaurants nearby. Between It's All Grk and Fitness Avenue, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for restaurants nearby. Between JJ Bean and Queen Pita, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Mövenpick Café and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for restaurants nearby. Between Delicious Paradise Kitchen and LCBO, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'LCBO'}
{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and Popeyes Louisiana Kitchen, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I'm looking for restaurants nearby. Between Phil's Original BBQ and FreshCo, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for restaurants nearby. Between Ardor Bistro and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Tortería San Cosme and Pasta Pantry, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Pasta Pantry'}
{'statement': "I'm looking for restaurants nearby. Between Solero Mediterranean Bakery and Eggspectation, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Ici Bistro and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Tierra Azteca and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between Freshii and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between It's All Grk and Magic Oven, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Evoo Ristorante and Helena's Magic Kitchen, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for restaurants nearby. Between Lahore Grill & Fast Food and Eggspectation, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Cafe Jules and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for restaurants nearby. Between Mövenpick Café and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for restaurants nearby. Between Cake Opera and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for restaurants nearby. Between Bonne Journee and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for restaurants nearby. Between Just Soups Take Out & Catering and Edible Arrangements, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for restaurants nearby. Between Nook and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Nook'}
{'statement': "I'm looking for restaurants nearby. Between Hina Sushi and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Mi Mi Restaurant and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for restaurants nearby. Between Falafel Hut Village and Bagel Nash, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Bagel Nash'}
