{'statement': "I'm looking for restaurants further away. Between Sushi Shop and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Chipotle Mexican Grill, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between Branca and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Branca'}
{'statement': "I'm looking for restaurants further away. Between Kibo Sushi House and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Kibo Sushi House'}
{'statement': "I'm looking for restaurants further away. Between Adega Restaurante and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Adega Restaurante'}
{'statement': "I'm looking for restaurants further away. Between Le Papillon Park and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for restaurants further away. Between St. Louis Bar & Grill and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Beryl's Pepper Pot and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': "Beryl's Pepper Pot"}
{'statement': "I'm looking for restaurants further away. Between St. Clair Shawarma and Falafel and Tik Talk Cafe, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for restaurants further away. Between EJ Sushi and Tian An Cuisine, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for restaurants further away. Between Milo's Pita and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for restaurants further away. Between Phil's Original BBQ and Warung Indonesia D'Eglinton, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and Thompson Rooftop, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Thompson Rooftop'}
{'statement': "I'm looking for restaurants further away. Between Queen Pita and Cake Opera, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for restaurants further away. Between La Pupusa Loka and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for restaurants further away. Between Topham Corner and Breakfast Room, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Chipotle Mexican Grill and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between Joe Badali's Ristorante Italiano & Bar and Piper's Pub And Grill, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between St. Louis Bar & Grill and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Goldstone Noodle Restaurant and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Fit For Life and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between La Pupusa Loka and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for restaurants further away. Between Piper's Pub And Grill and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between Freshii and Lahore Grill & Fast Food, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for restaurants further away. Between Tik Talk Cafe and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for restaurants further away. Between Mamma's Pizza and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for restaurants further away. Between Grappa Ristorante and McDonald's, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "McDonald's"}
{'statement': "I'm looking for restaurants further away. Between Sichuan Landscape Chinese Restaurant and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between New Bilan Restaurant and Delicious Paradise Kitchen, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for restaurants further away. Between Kairali - Taste of Kerala and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Sushi Time Japanese Restaurant and Pisco 1641, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Thompson Rooftop, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Thompson Rooftop'}
{'statement': "I'm looking for restaurants further away. Between Bonne Journee and Green Grotto, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Tik Talk Cafe, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for restaurants further away. Between Pizzeria Via Mercanti and Chipotle Mexican Grill, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between Pizza Pizza and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for restaurants further away. Between Verona Restaurant and Sheriff Broaster Chicken, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for restaurants further away. Between Edible Arrangements and Goldstone Noodle Restaurant, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between New Bilan Restaurant and Sushi World, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sushi World'}
{'statement': "I'm looking for restaurants further away. Between Amaya Express and Sweet Jesus, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for restaurants further away. Between Goldstone Noodle Restaurant and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Phil's Original BBQ and Cantine Bar & Grill, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Piper's Pub And Grill and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between Shawarma Twist and Warung Indonesia D'Eglinton, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between St. Clair Shawarma and Falafel and Dinah's Cupboard, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for restaurants further away. Between Bonne Journee and Breakfast Room, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and Daily Press Juicery, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Daily Press Juicery'}
{'statement': "I'm looking for restaurants further away. Between Basil Express Restaurant and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Sushi Shop and Fitness Avenue, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Bake Island, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Bake Island'}
{'statement': "I'm looking for restaurants further away. Between Edible Arrangements and El Fogón, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'El Fogón'}
{'statement': "I'm looking for restaurants further away. Between Phil's Original BBQ and The Empire, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Empire'}
{'statement': "I'm looking for restaurants further away. Between Shawarma Twist and It's All Grk, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "It's All Grk"}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and St. Louis Bar & Grill, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Top Sushi and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for restaurants further away. Between Chipotle Mexican Grill and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between 9 Restaurant and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': '9 Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Kibo Sushi House and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Kibo Sushi House'}
{'statement': "I'm looking for restaurants further away. Between Smoke's Weinerie and Chipotle Mexican Grill, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between El Fogón and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'El Fogón'}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Hawthorne Food and Drink, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I'm looking for restaurants further away. Between New Bilan Restaurant and Sky Dragon Chinese Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Piper's Pub And Grill and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between Top Sushi and La Pupusa Loka, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for restaurants further away. Between Cafe Jules and McDonald's, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "I'm looking for restaurants further away. Between Paradise Farms Prime Beef Bistro and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for restaurants further away. Between Kibo Sushi House and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kibo Sushi House'}
{'statement': "I'm looking for restaurants further away. Between z-teca Gourmet Burritos and KFC, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'KFC'}
{'statement': "I'm looking for restaurants further away. Between Bagel Nash and Dangerous Dan's Diner, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for restaurants further away. Between Sizzlers and Goldstone Noodle Restaurant, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Hina Sushi and Mamma's Pizza, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for restaurants further away. Between Breakfast Room and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Fit For Life and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Warung Indonesia D'Eglinton and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between McDonald's and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "I'm looking for restaurants further away. Between Carole's Cheesecake Cafe and Milo's Pita, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "Milo's Pita"}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Watson's, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Watson's"}
{'statement': "I'm looking for restaurants further away. Between Nutella Cafe by Pusateri's and Fit For Life, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Edible Arrangements and Milo's Pita, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for restaurants further away. Between Green Grotto and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Green Grotto'}
