{'statement': 'You are looking for restaurants nearby. Between JJ Bean and Sushi Shop, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "You are looking for restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, you should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'You are looking for restaurants nearby. Between Cake Opera and St. Louis Bar & Grill, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for restaurants nearby. Between Oxygen Restaurant & Lounge and Freshii, you should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Freshii'}
{'statement': 'You are looking for restaurants nearby. Between Freshii and Kim PO Vietnamese, you should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Freshii'}
{'statement': "You are looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Assembly Chef's Hall"}
{'statement': 'You are looking for restaurants nearby. Between Queen Pita and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Queen Pita'}
{'statement': "You are looking for restaurants nearby. Between Big Al's Diner and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Big Al's Diner"}
{'statement': 'You are looking for restaurants nearby. Between Thai 4 You Restaurant and To-ne Sushi, you should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'To-ne Sushi'}
{'statement': "You are looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': 'You are looking for restaurants nearby. Between Cantine Bar & Grill and Grappa Ristorante, you should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between Kairali - Taste of Kerala and Cake Opera, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for restaurants nearby. Between Nook and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Nook'}
{'statement': "You are looking for restaurants nearby. Between Harvey's and To-ne Sushi, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'To-ne Sushi'}
{'statement': 'You are looking for restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Madras Pantry and Aris Place, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Aris Place'}
{'statement': 'You are looking for restaurants nearby. Between Hina Sushi and Sky Dragon Chinese Restaurant, you should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': 'You are looking for restaurants nearby. Between Mövenpick Café and Magic Oven, you should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between Eggspectation and Cake Opera, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Madras Pantry and Solero Mediterranean Bakery, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You are looking for restaurants nearby. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Domino's Pizza"}
{'statement': 'You are looking for restaurants nearby. Between FreshCo and Evoo Ristorante, you should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'FreshCo'}
{'statement': 'You are looking for restaurants nearby. Between Bao Bao Plus Dim Sum and Fit For Life, you should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'You are looking for restaurants nearby. Between Queen Pita and Basil Express Restaurant, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for restaurants nearby. Between Anatolia Restaurant and Ici Bistro, you should go to Anatolia Restaurant.', 'answer': 'Anatolia Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "You are looking for restaurants nearby. Between It's All Grk and z-teca Gourmet Burritos, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You are looking for restaurants nearby. Between Domino's Pizza and Basha Middle Eastern Grill, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Domino's Pizza"}
{'statement': 'You are looking for restaurants nearby. Between Tim Hortons and New Bilan Restaurant, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Lahore Grill & Fast Food and LCBO, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'LCBO'}
{'statement': 'You are looking for restaurants nearby. Between z-teca Gourmet Burritos and JJ Bean, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for restaurants nearby. Between The Empire and Sushi Time Japanese Restaurant, you should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Topham Corner and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Topham Corner'}
{'statement': 'You are looking for restaurants nearby. Between Sushi Shop and Freshii, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Freshii'}
{'statement': 'You are looking for restaurants nearby. Between Eggspectation and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Pizzeria Via Mercanti and Ardor Bistro, you should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You are looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Roncy's Bean"}
{'statement': "You are looking for restaurants nearby. Between Roncy's Bean and Le Papillon Park, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Roncy's Bean"}
{'statement': 'You are looking for restaurants nearby. Between Kairali - Taste of Kerala and Tierra Azteca, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': 'You are looking for restaurants nearby. Between Juice & Java Cafe and Tierra Azteca, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Tierra Azteca'}
{'statement': 'You are looking for restaurants nearby. Between The Duke of Devon and Basha Middle Eastern Grill, you should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'The Duke of Devon'}
{'statement': 'You are looking for restaurants nearby. Between Sushi Shop and Verona Restaurant, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Sizzlers and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Sizzlers'}
{'statement': 'You are looking for restaurants nearby. Between Lebanese Bakery and Mirage Grill & Lounge, you should go to Lebanese Bakery.', 'answer': 'Lebanese Bakery', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'You are looking for restaurants nearby. Between z-teca Gourmet Burritos and LCBO, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for restaurants nearby. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'You are looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Queen Pita, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for restaurants nearby. Between Evoo Ristorante and Eggspectation, you should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Mt Everest Restaurant and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mt Everest Restaurant'}
{'statement': "You are looking for restaurants nearby. Between Big Al's Diner and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Big Al's Diner"}
{'statement': 'You are looking for restaurants nearby. Between Sichuan Landscape Chinese Restaurant and Hina Sushi, you should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "You are looking for restaurants nearby. Between Queen Slice and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Queen Slice'}
{'statement': "You are looking for restaurants nearby. Between Roncy's Bean and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Roncy's Bean"}
{'statement': 'You are looking for restaurants nearby. Between Thompson Rooftop and Breakfast Room, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Thompson Rooftop'}
{'statement': 'You are looking for restaurants nearby. Between Daily Press Juicery and Viccino Pizzeria, you should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Viccino Pizzeria'}
{'statement': 'You are looking for restaurants nearby. Between Tian An Cuisine and Mövenpick Café, you should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Mövenpick Café'}
{'statement': "You are looking for restaurants nearby. Between Roncy's Bean and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Roncy's Bean"}
{'statement': "You are looking for restaurants nearby. Between Assembly Chef's Hall and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Assembly Chef's Hall"}
{'statement': 'You are looking for restaurants nearby. Between Chipotle Mexican Grill and Queen Pita, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for restaurants nearby. Between The Duke of Devon and Basil Express Restaurant, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'The Duke of Devon'}
{'statement': "You are looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You are looking for restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You are looking for restaurants nearby. Between El Fogón and Beryl's Pepper Pot, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Beryl's Pepper Pot"}
{'statement': 'You are looking for restaurants nearby. Between Eggspectation and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Eggspectation'}
{'statement': "You are looking for restaurants nearby. Between Magic Oven and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Magic Oven'}
{'statement': "You are looking for restaurants nearby. Between Eggspectation and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Tortería San Cosme and Fitness Avenue, you should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Fitness Avenue'}
{'statement': "You are looking for restaurants nearby. Between Warung Indonesia D'Eglinton and The Duke of Devon, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'The Duke of Devon'}
{'statement': 'You are looking for restaurants nearby. Between Queen Pita and Kim PO Vietnamese, you should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Modo Mio Italian Bistro, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': 'You are looking for restaurants nearby. Between The Coffee Pocket and Ardor Bistro, you should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for restaurants nearby. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Ici Bistro and JJ Bean, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Evoo Ristorante and Pizzeria Via Mercanti, you should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You are looking for restaurants nearby. Between Juice & Java Cafe and Assembly Chef's Hall, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': "Assembly Chef's Hall"}
{'statement': "You are looking for restaurants nearby. Between Harvey's and Tortería San Cosme, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Harvey's"}
{'statement': "You are looking for restaurants nearby. Between Delicious Paradise Kitchen and Phil's Original BBQ, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "You are looking for restaurants nearby. Between Kibo Sushi House and Druxy's Famous Deli, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': "Druxy's Famous Deli"}
{'statement': 'You are looking for restaurants nearby. Between Green Room and Le Papillon Park, you should go to Le Papillon Park.', 'answer': 'Le Papillon Park', 'candidate': 'Green Room'}
{'statement': 'You are looking for restaurants nearby. Between Kim PO Vietnamese and Eggspectation, you should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Queen Pita and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for restaurants nearby. Between Madras Pantry and St. Clair Shawarma and Falafel, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for restaurants nearby. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, you should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': 'You are looking for restaurants nearby. Between El Fogón and Galata Cafe, you should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Galata Cafe'}
{'statement': 'You are looking for restaurants nearby. Between Fit For Life and Galata Cafe, you should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Galata Cafe'}
{'statement': "You are looking for restaurants nearby. Between Cafe Jules and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Cafe Jules'}
{'statement': "You are looking for restaurants nearby. Between Assembly Chef's Hall and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Assembly Chef's Hall"}
{'statement': "You are looking for restaurants nearby. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': 'You are looking for restaurants nearby. Between Milestones Restaurants and Grappa Ristorante, you should go to Milestones Restaurants.', 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between Mi Mi Restaurant and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Tim Hortons and Capitol Trattoria Pizzeria, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You are looking for restaurants nearby. Between Roncy's Bean and Tian An Cuisine, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Roncy's Bean"}
{'statement': 'You are looking for restaurants nearby. Between Eggspectation and Chick Fiesta, you should go to Chick Fiesta.', 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Sizzlers and Maurya East Indian Roti, you should go to Maurya East Indian Roti.', 'answer': 'Maurya East Indian Roti', 'candidate': 'Sizzlers'}
{'statement': 'You are looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Topham Corner, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Topham Corner'}
{'statement': "You are looking for restaurants nearby. Between Green Room and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Green Room'}
{'statement': "You are looking for restaurants nearby. Between Dangerous Dan's Diner and Viccino Pizzeria, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Viccino Pizzeria'}
{'statement': 'You are looking for restaurants nearby. Between Juice & Java Cafe and Mövenpick Café, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "You are looking for restaurants nearby. Between Fitness Avenue and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Fitness Avenue'}
{'statement': 'You are looking for restaurants nearby. Between JJ Bean and Queen Pita, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for restaurants nearby. Between Madras Pantry and Mövenpick Café, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Mövenpick Café'}
{'statement': 'You are looking for restaurants nearby. Between Delicious Paradise Kitchen and LCBO, you should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'LCBO'}
{'statement': 'You are looking for restaurants nearby. Between Popeyes Louisiana Kitchen and Sushi Shop, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You are looking for restaurants nearby. Between FreshCo and Phil's Original BBQ, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Phil's Original BBQ"}
{'statement': 'You are looking for restaurants nearby. Between Ardor Bistro and Green Grotto, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Pasta Pantry and Tortería San Cosme, you should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Pasta Pantry'}
{'statement': 'You are looking for restaurants nearby. Between Solero Mediterranean Bakery and Eggspectation, you should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Falafel House and Ici Bistro, you should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Tierra Azteca and La Cocina De Dona Luz, you should go to La Cocina De Dona Luz.', 'answer': 'La Cocina De Dona Luz', 'candidate': 'Tierra Azteca'}
{'statement': "You are looking for restaurants nearby. Between Dangerous Dan's Diner and Freshii, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Freshii'}
{'statement': "You are looking for restaurants nearby. Between Magic Oven and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Magic Oven'}
{'statement': "You are looking for restaurants nearby. Between Evoo Ristorante and Helena's Magic Kitchen, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Helena's Magic Kitchen"}
{'statement': 'You are looking for restaurants nearby. Between Lahore Grill & Fast Food and Eggspectation, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Cafe Jules and Sky Dragon Chinese Restaurant, you should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "You are looking for restaurants nearby. Between Mövenpick Café and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Mövenpick Café'}
{'statement': 'You are looking for restaurants nearby. Between Cake Opera and Supermodel Pizza, you should go to Supermodel Pizza.', 'answer': 'Supermodel Pizza', 'candidate': 'Cake Opera'}
{'statement': "You are looking for restaurants nearby. Between Bonne Journee and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Bonne Journee'}
{'statement': 'You are looking for restaurants nearby. Between Just Soups Take Out & Catering and Edible Arrangements, you should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for restaurants nearby. Between Nook and Cantine Bar & Grill, you should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Nook'}
{'statement': 'You are looking for restaurants nearby. Between Hina Sushi and 9 Restaurant, you should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Hina Sushi'}
{'statement': 'You are looking for restaurants nearby. Between Branca and Mi Mi Restaurant, you should go to Branca.', 'answer': 'Branca', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You are looking for restaurants nearby. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Phil's Original BBQ"}
{'statement': 'You are looking for restaurants nearby. Between Falafel Hut Village and Bagel Nash, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Bagel Nash'}
