{'statement': "Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and Branca, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Juice & Java Cafe and Cafe Jules, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Sheriff Broaster Chicken, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Taste of Greek Cuisine, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Eggspectation and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like expensive restaurants. Between Green Room and Dangerous Dan's Diner, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like expensive restaurants. Between Cafe Jules and JJ Bean, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'JJ Bean'}
{'statement': "Someone doesn't like expensive restaurants. Between Bake Island and Capitol Trattoria Pizzeria, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Pisco 1641, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Green Grotto and Evoo Ristorante, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Warung Indonesia D'Eglinton and Aris Place, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like expensive restaurants. Between Goldstone Noodle Restaurant and Hapa Toronto, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between New Bilan Restaurant and Warung Indonesia D'Eglinton, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like expensive restaurants. Between Grappa Ristorante and Milestones Restaurants, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Topham Corner, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Topham Corner'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Pita and Mt Everest Restaurant, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Le Papillon Park and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Le Papillon Park'}
{'statement': "Someone doesn't like expensive restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Juice & Java Cafe and Verona Restaurant, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Hina Sushi and Villa Madina, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Nook and Grappa Ristorante, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Basil Express Restaurant and Solero Mediterranean Bakery, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Dangerous Dan's Diner and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like expensive restaurants. Between Modo Mio Italian Bistro and Buk Chang Dong Soon Tofu, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Cantine Bar & Grill and Eastern legend, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between St. Louis Bar & Grill and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between McDonald's and Harry's Char Broil & Dining Lounge, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like expensive restaurants. Between Helena's Magic Kitchen and Marcello’s pizzeria, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Ici Bistro and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Taste of Greek Cuisine and Ici Bistro, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Capitol Trattoria Pizzeria and Oxygen Restaurant & Lounge, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Kim PO Vietnamese and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like expensive restaurants. Between Shawarma Twist and Assembly Chef's Hall, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like expensive restaurants. Between Pisco 1641 and Mamma's Pizza, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like expensive restaurants. Between Capitol Trattoria Pizzeria and Sichuan Landscape Chinese Restaurant, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between St. Clair Shawarma and Falafel and Harvey's, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Harvey's"}
{'statement': "Someone doesn't like expensive restaurants. Between Eastern legend and z-teca Gourmet Burritos, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like expensive restaurants. Between Aris Place and Freshii, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like expensive restaurants. Between Branca and FreshCo, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Evoo Ristorante and Watson's, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Cake Opera and 9 Restaurant, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Top Sushi and EJ Sushi, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'EJ Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Verona Restaurant, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Shawarma Twist and FreshCo, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'FreshCo'}
{'statement': "Someone doesn't like expensive restaurants. Between St. Clair Shawarma and Falafel and Mysteriously Yours Dinner Theatre, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Pho 88 and It's All Grk, this person should go to Pho 88.", 'answer': 'Pho 88', 'candidate': "It's All Grk"}
{'statement': "Someone doesn't like expensive restaurants. Between Chick Fiesta and Farmacia Health Bar, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between El Fogón and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Bake Island and Joe Badali's Ristorante Italiano & Bar, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and Supermodel Pizza, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like expensive restaurants. Between Bonne Journee and Basil Express Restaurant, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Chipotle Mexican Grill and The Empire, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Adega Restaurante and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Basha Middle Eastern Grill, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Tian An Cuisine and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Carole's Cheesecake Cafe and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Assembly Chef's Hall, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like expensive restaurants. Between Hapa Toronto and Freshii, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Breakfast Room and Fitness Avenue, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and Top Sushi, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Villa Madina and Banjara Indian Cuisine, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Madras Pantry and Watson's, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Watson's"}
{'statement': "Someone doesn't like expensive restaurants. Between Thai 4 You Restaurant and Green Room, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizza Pizza and LCBO, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like expensive restaurants. Between Falafel House and Aroma Espresso Bar, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Aroma Espresso Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between It's All Grk and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "It's All Grk"}
{'statement': "Someone doesn't like expensive restaurants. Between The Empire and Farmacia Health Bar, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Itamae Ayce Sushi and Adega Restaurante, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like expensive restaurants. Between Cafe Jules and EJ Sushi, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'EJ Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Nook and Supermodel Pizza, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Nook'}
{'statement': "Someone doesn't like expensive restaurants. Between The Duke of Devon and Solero Mediterranean Bakery, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like expensive restaurants. Between Cake Opera and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between La Pupusa Loka and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi Time Japanese Restaurant and Eastern legend, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Basil Express Restaurant and Pizza Pizza, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between El Fogón and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Cake Opera and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Carole's Cheesecake Cafe and Aris Place, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like expensive restaurants. Between Chipotle Mexican Grill and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Capitol Trattoria Pizzeria and Sizzlers, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Ici Bistro and Freshii, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Milestones Restaurants and Ici Bistro, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Mirage Grill & Lounge and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Carole's Cheesecake Cafe and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like expensive restaurants. Between Modo Mio Italian Bistro and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Mirage Grill & Lounge and Evoo Ristorante, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Dinah's Cupboard and Pizzeria Via Mercanti, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Just Soups Take Out & Catering and Adega Restaurante, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like expensive restaurants. Between Farmacia Health Bar and Bonne Journee, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Shawarma Twist and Juice & Java Cafe, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Lebanese Bakery and Fit For Life, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Lebanese Bakery'}
{'statement': "Someone doesn't like expensive restaurants. Between Harry's Char Broil & Dining Lounge and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like expensive restaurants. Between KFC and Le Papillon Park, this person should go to KFC.", 'answer': 'KFC', 'candidate': 'Le Papillon Park'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and La Pupusa Loka, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Edible Arrangements, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Edible Arrangements and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Sheriff Broaster Chicken and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizza Pizza and Amaya Express, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like expensive restaurants. Between Bagel Nash and Eggspectation, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
