{'statement': 'Between Muscat and Nur-Sultan, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Los Angeles and Murmansk, the city with higher average temperature is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': 'Between San Salvador and Milwaukee, the city with higher average temperature is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Milwaukee'}
{'statement': 'Between Lagos and Suwałki, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Suwałki'}
{'statement': 'Between Paramaribo and Auckland, the city with higher average temperature is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Auckland'}
{'statement': 'Between Niamey and Chihuahua, the city with higher average temperature is Niamey.', 'answer': 'Niamey', 'candidate': 'Chihuahua'}
{'statement': 'Between Surabaya and Zagreb, the city with higher average temperature is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Zagreb'}
{'statement': 'Between Kuwait City and Irkutsk, the city with higher average temperature is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Irkutsk'}
{'statement': 'Between Niamey and Quito, the city with higher average temperature is Niamey.', 'answer': 'Niamey', 'candidate': 'Quito'}
{'statement': 'Between San Juan and Yinchuan, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Yinchuan'}
{'statement': 'Between Willemstad and Nairobi, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Nairobi'}
{'statement': 'Between Vientiane and Ljubljana, the city with higher average temperature is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Ljubljana'}
{'statement': 'Between Belize City and Suwałki, the city with higher average temperature is Belize City.', 'answer': 'Belize City', 'candidate': 'Suwałki'}
{'statement': 'Between Parakou and Bucharest, the city with higher average temperature is Parakou.', 'answer': 'Parakou', 'candidate': 'Bucharest'}
{'statement': 'Between Garoua and Rabat, the city with higher average temperature is Garoua.', 'answer': 'Garoua', 'candidate': 'Rabat'}
{'statement': 'Between Santiago del Estero and Anchorage, the city with higher average temperature is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Anchorage'}
{'statement': 'Between San Juan and Bishkek, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Bishkek'}
{'statement': 'Between Durban and Yakutsk, the city with higher average temperature is Durban.', 'answer': 'Durban', 'candidate': 'Yakutsk'}
{'statement': 'Between Garoua and Quito, the city with higher average temperature is Garoua.', 'answer': 'Garoua', 'candidate': 'Quito'}
{'statement': 'Between Barranquilla and Auckland, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Auckland'}
{'statement': 'Between Juba and Kansas City, the city with higher average temperature is Juba.', 'answer': 'Juba', 'candidate': 'Kansas City'}
{'statement': 'Between Tucson and Kuopio, the city with higher average temperature is Tucson.', 'answer': 'Tucson', 'candidate': 'Kuopio'}
{'statement': 'Between Damascus and Ushuaia, the city with higher average temperature is Damascus.', 'answer': 'Damascus', 'candidate': 'Ushuaia'}
{'statement': 'Between Nouakchott and Kansas City, the city with higher average temperature is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Kansas City'}
{'statement': 'Between Bujumbura and Berlin, the city with higher average temperature is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Berlin'}
{'statement': 'Between Nouakchott and Pittsburgh, the city with higher average temperature is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Pittsburgh'}
{'statement': 'Between Suva and Toronto, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Toronto'}
{'statement': 'Between Hat Yai and Ulaanbaatar, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Houston and Irkutsk, the city with higher average temperature is Houston.', 'answer': 'Houston', 'candidate': 'Irkutsk'}
{'statement': 'Between Ho Chi Minh City and Canberra, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Canberra'}
{'statement': 'Between Bangui and Bergen, the city with higher average temperature is Bangui.', 'answer': 'Bangui', 'candidate': 'Bergen'}
{'statement': 'Between Darwin and Vladivostok, the city with higher average temperature is Darwin.', 'answer': 'Darwin', 'candidate': 'Vladivostok'}
{'statement': 'Between Manila and Bucharest, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Bucharest'}
{'statement': 'Between Bamako and Tashkent, the city with higher average temperature is Bamako.', 'answer': 'Bamako', 'candidate': 'Tashkent'}
{'statement': 'Between San Juan and Ankara, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Ankara'}
{'statement': 'Between Phnom Penh and Murmansk, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Murmansk'}
{'statement': 'Between Willemstad and Bishkek, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Bishkek'}
{'statement': 'Between Toamasina and Skopje, the city with higher average temperature is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Skopje'}
{'statement': 'Between Lima and Nur-Sultan, the city with higher average temperature is Lima.', 'answer': 'Lima', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Kuwait City and Denver, the city with higher average temperature is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Denver'}
{'statement': 'Between La Ceiba and Baltimore, the city with higher average temperature is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Baltimore'}
{'statement': 'Between Tampa and Christchurch, the city with higher average temperature is Tampa.', 'answer': 'Tampa', 'candidate': 'Christchurch'}
{'statement': 'Between Sokoto and Tirana, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Tirana'}
{'statement': 'Between Los Angeles and Irkutsk, the city with higher average temperature is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Irkutsk'}
{'statement': 'Between Pontianak and Paris, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Paris'}
{'statement': 'Between Bujumbura and Punta Arenas, the city with higher average temperature is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Punta Arenas'}
{'statement': 'Between Hanoi and Bucharest, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bucharest'}
{'statement': 'Between Mahajanga and Amsterdam, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Amsterdam'}
{'statement': 'Between Garissa and Ushuaia, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Ushuaia'}
{'statement': 'Between Mandalay and Rabat, the city with higher average temperature is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Rabat'}
{'statement': 'Between Goiânia and Frankfurt, the city with higher average temperature is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Frankfurt'}
{'statement': 'Between Ho Chi Minh City and Cape Town, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Cape Town'}
{'statement': 'Between Panama City and Skopje, the city with higher average temperature is Panama City.', 'answer': 'Panama City', 'candidate': 'Skopje'}
{'statement': 'Between Mumbai and Zürich, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Zürich'}
{'statement': 'Between Douala and Paris, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Paris'}
{'statement': 'Between Aden and Reykjavík, the city with higher average temperature is Aden.', 'answer': 'Aden', 'candidate': 'Reykjavík'}
{'statement': 'Between Garissa and Changsha, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Changsha'}
{'statement': 'Between Phnom Penh and Skopje, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Skopje'}
{'statement': 'Between Guangzhou and Kabul, the city with higher average temperature is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Kabul'}
{'statement': 'Between Djibouti and Denver, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Denver'}
{'statement': 'Between Sokoto and Reykjavík, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Reykjavík'}
{'statement': 'Between Jakarta and Zürich, the city with higher average temperature is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Zürich'}
{'statement': 'Between La Paz and Anchorage, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Anchorage'}
{'statement': 'Between Lagos and Irkutsk, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Irkutsk'}
{'statement': 'Between Vientiane and Skopje, the city with higher average temperature is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Skopje'}
{'statement': 'Between Nakhon Ratchasima and Auckland, the city with higher average temperature is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Auckland'}
{'statement': 'Between Paramaribo and Quito, the city with higher average temperature is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Quito'}
{'statement': 'Between Villahermosa and Canberra, the city with higher average temperature is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Canberra'}
{'statement': 'Between Lagos and Asmara, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Asmara'}
{'statement': 'Between Sokoto and Minneapolis, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Minneapolis'}
{'statement': 'Between Medellín and Vienna, the city with higher average temperature is Medellín.', 'answer': 'Medellín', 'candidate': 'Vienna'}
{'statement': 'Between Wau and Halifax, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Halifax'}
{'statement': 'Between Monterrey and Halifax, the city with higher average temperature is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Halifax'}
{'statement': 'Between Ho Chi Minh City and Frankfurt, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Frankfurt'}
{'statement': 'Between Mumbai and Canberra, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Canberra'}
{'statement': 'Between Bamako and Brussels, the city with higher average temperature is Bamako.', 'answer': 'Bamako', 'candidate': 'Brussels'}
{'statement': 'Between Parakou and Toluca, the city with higher average temperature is Parakou.', 'answer': 'Parakou', 'candidate': 'Toluca'}
{'statement': 'Between Sydney and Punta Arenas, the city with higher average temperature is Sydney.', 'answer': 'Sydney', 'candidate': 'Punta Arenas'}
{'statement': 'Between Parakou and Río Gallegos, the city with higher average temperature is Parakou.', 'answer': 'Parakou', 'candidate': 'Río Gallegos'}
{'statement': 'Between Sokoto and Bahía Blanca, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Bangkok and Boise, the city with higher average temperature is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Boise'}
{'statement': 'Between Thiès and Irkutsk, the city with higher average temperature is Thiès.', 'answer': 'Thiès', 'candidate': 'Irkutsk'}
{'statement': 'Between Willemstad and Saint Petersburg, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Toluca and Irkutsk, the city with higher average temperature is Toluca.', 'answer': 'Toluca', 'candidate': 'Irkutsk'}
{'statement': 'Between Phnom Penh and Kunming, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Kunming'}
{'statement': 'Between Caracas and Fairbanks, the city with higher average temperature is Caracas.', 'answer': 'Caracas', 'candidate': 'Fairbanks'}
{'statement': 'Between Sokoto and Fianarantsoa, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Fianarantsoa'}
{'statement': 'Between Mahajanga and Saint Petersburg, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Mandalay and Berlin, the city with higher average temperature is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Berlin'}
{'statement': 'Between Port-Gentil and Auckland, the city with higher average temperature is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Auckland'}
{'statement': 'Between Phnom Penh and Halifax, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Halifax'}
{'statement': 'Between Darwin and Albuquerque, the city with higher average temperature is Darwin.', 'answer': 'Darwin', 'candidate': 'Albuquerque'}
{'statement': 'Between Lagos and Almaty, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Almaty'}
{'statement': 'Between Damascus and Novosibirsk, the city with higher average temperature is Damascus.', 'answer': 'Damascus', 'candidate': 'Novosibirsk'}
{'statement': 'Between San Antonio and Lhasa, the city with higher average temperature is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Lhasa'}
{'statement': 'Between Rabat and Kuopio, the city with higher average temperature is Rabat.', 'answer': 'Rabat', 'candidate': 'Kuopio'}
{'statement': 'Between Cayenne and Omaha, the city with higher average temperature is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Omaha'}
{'statement': 'Between Douala and Johannesburg, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Johannesburg'}
{'statement': 'Between Kingston and Tirana, the city with higher average temperature is Kingston.', 'answer': 'Kingston', 'candidate': 'Tirana'}
{'statement': 'Between Kuwait City and Bogotá, the city with higher average temperature is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Bogotá'}
{'statement': 'Between Manaus and Podgorica, the city with higher average temperature is Manaus.', 'answer': 'Manaus', 'candidate': 'Podgorica'}
{'statement': 'Between Douala and Calgary, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Calgary'}
{'statement': 'Between Santiago del Estero and Fairbanks, the city with higher average temperature is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Fairbanks'}
{'statement': 'Between Barranquilla and Cape Town, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Cape Town'}
{'statement': 'Between Sucre and Vladivostok, the city with higher average temperature is Sucre.', 'answer': 'Sucre', 'candidate': 'Vladivostok'}
{'statement': 'Between Manila and Copenhagen, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Copenhagen'}
{'statement': 'Between Gabès and Calgary, the city with higher average temperature is Gabès.', 'answer': 'Gabès', 'candidate': 'Calgary'}
{'statement': 'Between Brisbane and Ulaanbaatar, the city with higher average temperature is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Malabo and Bucharest, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Bucharest'}
{'statement': 'Between Managua and Johannesburg, the city with higher average temperature is Managua.', 'answer': 'Managua', 'candidate': 'Johannesburg'}
{'statement': 'Between Sokoto and Frankfurt, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Frankfurt'}
{'statement': 'Between San Juan and La Serena, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'La Serena'}
{'statement': 'Between Goiânia and Anchorage, the city with higher average temperature is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Anchorage'}
{'statement': 'Between San Juan and Milan, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Milan'}
{'statement': 'Between Skopje and Irkutsk, the city with higher average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Irkutsk'}
{'statement': 'Between Niamey and Brussels, the city with higher average temperature is Niamey.', 'answer': 'Niamey', 'candidate': 'Brussels'}
{'statement': 'Between Toliara and Ankara, the city with higher average temperature is Toliara.', 'answer': 'Toliara', 'candidate': 'Ankara'}
{'statement': 'Between Djibouti and Kuopio, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Kuopio'}
{'statement': 'Between Guangzhou and Saint Petersburg, the city with higher average temperature is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Port Moresby and Vladivostok, the city with higher average temperature is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Vladivostok'}
{'statement': 'Between Barranquilla and Saint Petersburg, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Cabo San Lucas and Punta Arenas, the city with higher average temperature is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Punta Arenas'}
{'statement': 'Between Villahermosa and Auckland, the city with higher average temperature is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Auckland'}
{'statement': 'Between Niamey and Bishkek, the city with higher average temperature is Niamey.', 'answer': 'Niamey', 'candidate': 'Bishkek'}
{'statement': 'Between Darwin and Podgorica, the city with higher average temperature is Darwin.', 'answer': 'Darwin', 'candidate': 'Podgorica'}
{'statement': 'Between Mexico City and Ürümqi, the city with higher average temperature is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Ürümqi'}
{'statement': 'Between Makurdi and Paris, the city with higher average temperature is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Paris'}
{'statement': 'Between Ndola and Kuopio, the city with higher average temperature is Ndola.', 'answer': 'Ndola', 'candidate': 'Kuopio'}
{'statement': 'Between Honolulu and Oslo, the city with higher average temperature is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Oslo'}
{'statement': 'Between Barranquilla and Irkutsk, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Irkutsk'}
{'statement': 'Between Beirut and Suwałki, the city with higher average temperature is Beirut.', 'answer': 'Beirut', 'candidate': 'Suwałki'}
{'statement': 'Between Nakhon Ratchasima and Berlin, the city with higher average temperature is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Berlin'}
{'statement': 'Between Erbil and Río Gallegos, the city with higher average temperature is Erbil.', 'answer': 'Erbil', 'candidate': 'Río Gallegos'}
{'statement': 'Between Mahajanga and Irkutsk, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Irkutsk'}
{'statement': 'Between Lomé and Asmara, the city with higher average temperature is Lomé.', 'answer': 'Lomé', 'candidate': 'Asmara'}
{'statement': 'Between Lake Havasu City and Saskatoon, the city with higher average temperature is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Saskatoon'}
{'statement': 'Between Kuwait City and Río Gallegos, the city with higher average temperature is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Río Gallegos'}
{'statement': 'Between Hanoi and Ottawa, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ottawa'}
{'statement': 'Between Santiago del Estero and Chicago, the city with higher average temperature is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Chicago'}
{'statement': 'Between Djibouti and Beijing, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Beijing'}
{'statement': 'Between Shanghai and Irkutsk, the city with higher average temperature is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Irkutsk'}
{'statement': 'Between Barranquilla and Yakutsk, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Yakutsk'}
{'statement': 'Between Kingston and Río Gallegos, the city with higher average temperature is Kingston.', 'answer': 'Kingston', 'candidate': 'Río Gallegos'}
{'statement': 'Between Port Moresby and Johannesburg, the city with higher average temperature is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Johannesburg'}
{'statement': 'Between Cayenne and Melbourne, the city with higher average temperature is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Melbourne'}
{'statement': 'Between Entebbe and Ottawa, the city with higher average temperature is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Ottawa'}
{'statement': 'Between Rome and Novosibirsk, the city with higher average temperature is Rome.', 'answer': 'Rome', 'candidate': 'Novosibirsk'}
{'statement': 'Between Lagos and Minneapolis, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Minneapolis'}
{'statement': 'Between Nakhon Ratchasima and Asmara, the city with higher average temperature is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Asmara'}
{'statement': 'Between Rabat and Saint Petersburg, the city with higher average temperature is Rabat.', 'answer': 'Rabat', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Bergen and Yakutsk, the city with higher average temperature is Bergen.', 'answer': 'Bergen', 'candidate': 'Yakutsk'}
{'statement': 'Between Lagos and Santiago, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Santiago'}
{'statement': 'Between Port-Gentil and Fairbanks, the city with higher average temperature is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Fairbanks'}
{'statement': 'Between San Juan and Cape Town, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Cape Town'}
{'statement': 'Between Karachi and Saskatoon, the city with higher average temperature is Karachi.', 'answer': 'Karachi', 'candidate': 'Saskatoon'}
{'statement': 'Between Panama City and Calgary, the city with higher average temperature is Panama City.', 'answer': 'Panama City', 'candidate': 'Calgary'}
{'statement': 'Between Riyadh and Ulaanbaatar, the city with higher average temperature is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between San Juan and Kansas City, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Kansas City'}
{'statement': 'Between Wau and Viedma, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Viedma'}
{'statement': 'Between Monterrey and Boise, the city with higher average temperature is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Boise'}
{'statement': 'Between Makassar and Quito, the city with higher average temperature is Makassar.', 'answer': 'Makassar', 'candidate': 'Quito'}
{'statement': 'Between Pontianak and Ulaanbaatar, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Djibouti and Bratislava, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Bratislava'}
{'statement': 'Between Panama City and Brussels, the city with higher average temperature is Panama City.', 'answer': 'Panama City', 'candidate': 'Brussels'}
{'statement': 'Between La Paz and Yakutsk, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Yakutsk'}
{'statement': 'Between Brisbane and Vladivostok, the city with higher average temperature is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Vladivostok'}
{'statement': 'Between Abéché and Rosario, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Rosario'}
{'statement': 'Between Jakarta and Canberra, the city with higher average temperature is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Canberra'}
{'statement': 'Between Manaus and Palmerston North, the city with higher average temperature is Manaus.', 'answer': 'Manaus', 'candidate': 'Palmerston North'}
{'statement': 'Between Villahermosa and Asmara, the city with higher average temperature is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Asmara'}
{'statement': 'Between Durban and Novosibirsk, the city with higher average temperature is Durban.', 'answer': 'Durban', 'candidate': 'Novosibirsk'}
{'statement': 'Between Cayenne and Canberra, the city with higher average temperature is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Canberra'}
{'statement': 'Between Vienna and Fairbanks, the city with higher average temperature is Vienna.', 'answer': 'Vienna', 'candidate': 'Fairbanks'}
{'statement': 'Between Cairo and Zagreb, the city with higher average temperature is Cairo.', 'answer': 'Cairo', 'candidate': 'Zagreb'}
{'statement': 'Between Benghazi and Yinchuan, the city with higher average temperature is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Yinchuan'}
{'statement': 'Between Bangkok and Minneapolis, the city with higher average temperature is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Minneapolis'}
{'statement': 'Between Hat Yai and Shanghai, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Shanghai'}
