{'statement': 'Between San Diego and Yakutsk, the city with a larger population is San Diego.', 'answer': 'San Diego', 'candidate': 'Yakutsk'}
{'statement': 'Between Yaoundé and Viedma, the city with a larger population is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Viedma'}
{'statement': 'Between Ho Chi Minh City and Lhasa, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Lhasa'}
{'statement': 'Between Cairo and Bujumbura, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Bujumbura'}
{'statement': 'Between Auckland and Riyadh, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Auckland'}
{'statement': 'Between Riyadh and Bergen, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Bergen'}
{'statement': 'Between Brasília and Parakou, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Parakou'}
{'statement': 'Between Nairobi and Tabora, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Tabora'}
{'statement': 'Between Tampa and Irkutsk, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Irkutsk'}
{'statement': 'Between Phoenix and Ulaanbaatar, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Baghdad and El Paso, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'El Paso'}
{'statement': 'Between Kano and Saint Petersburg, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Kano'}
{'statement': 'Between Yinchuan and Dar es Salaam, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Yinchuan'}
{'statement': 'Between Kunming and Lviv, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'Lviv'}
{'statement': 'Between Rabat and Santiago, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Rabat'}
{'statement': 'Between Kuwait City and Tucson, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Tucson'}
{'statement': 'Between Paramaribo and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Paramaribo'}
{'statement': 'Between La Ceiba and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'La Ceiba'}
{'statement': 'Between Santiago and Bergen, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Bergen'}
{'statement': 'Between Monterrey and Bangui, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Bangui'}
{'statement': 'Between Houston and Albuquerque, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Albuquerque'}
{'statement': 'Between Lahore and Toronto, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Toronto'}
{'statement': 'Between Santiago and Milwaukee, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Milwaukee'}
{'statement': 'Between Irkutsk and Bangkok, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Irkutsk'}
{'statement': 'Between Ushuaia and Alexandria, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Ushuaia'}
{'statement': 'Between Monterrey and Denpasar, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Denpasar'}
{'statement': 'Between Lima and Bangui, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Bangui'}
{'statement': 'Between Algiers and Tabora, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Tabora'}
{'statement': 'Between Nairobi and Halifax, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Halifax'}
{'statement': 'Between Djibouti and San Diego, the city with a larger population is San Diego.', 'answer': 'San Diego', 'candidate': 'Djibouti'}
{'statement': 'Between Minsk and Toronto, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Minsk'}
{'statement': 'Between Karachi and Manaus, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Manaus'}
{'statement': 'Between Canberra and Tashkent, the city with a larger population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Canberra'}
{'statement': 'Between Bangui and Berlin, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Bangui'}
{'statement': 'Between Toliara and Manila, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Toliara'}
{'statement': 'Between Christchurch and Saint Petersburg, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Christchurch'}
{'statement': 'Between Ljubljana and Ürümqi, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Ljubljana'}
{'statement': 'Between Belize City and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Belize City'}
{'statement': 'Between Malabo and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Malabo'}
{'statement': 'Between Upington and Baghdad, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Upington'}
