{'statement': 'Between Guangzhou and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Guangzhou'}
{'statement': 'Between Lahore and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Lahore'}
{'statement': 'Between Kunming and Pontianak, the city with a smaller population is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Kunming'}
{'statement': 'Between Cayenne and Hanoi, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Hanoi'}
{'statement': 'Between Riyadh and Toliara, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Riyadh'}
{'statement': 'Between Ndola and Brisbane, the city with a smaller population is Ndola.', 'answer': 'Ndola', 'candidate': 'Brisbane'}
{'statement': 'Between San José and Saint Petersburg, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Lima and San Diego, the city with a smaller population is San Diego.', 'answer': 'San Diego', 'candidate': 'Lima'}
{'statement': 'Between Manila and Baku, the city with a smaller population is Baku.', 'answer': 'Baku', 'candidate': 'Manila'}
{'statement': 'Between Shanghai and Kano, the city with a smaller population is Kano.', 'answer': 'Kano', 'candidate': 'Shanghai'}
{'statement': 'Between Guadalajara and Tucson, the city with a smaller population is Tucson.', 'answer': 'Tucson', 'candidate': 'Guadalajara'}
{'statement': 'Between Cairo and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Cairo'}
{'statement': 'Between Kunming and Bishkek, the city with a smaller population is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Kunming'}
{'statement': 'Between Brasília and San Juan, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Brasília'}
{'statement': 'Between Moscow and Santiago, the city with a smaller population is Santiago.', 'answer': 'Santiago', 'candidate': 'Moscow'}
{'statement': 'Between Río Gallegos and Riyadh, the city with a smaller population is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Riyadh'}
{'statement': 'Between Lagos and Halifax, the city with a smaller population is Halifax.', 'answer': 'Halifax', 'candidate': 'Lagos'}
{'statement': 'Between Garoua and Jakarta, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Jakarta'}
{'statement': 'Between Sucre and Kano, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Kano'}
{'statement': 'Between Milwaukee and Lagos, the city with a smaller population is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Lagos'}
{'statement': 'Between Entebbe and Los Angeles, the city with a smaller population is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Los Angeles'}
{'statement': 'Between Addis Ababa and Cayenne, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Addis Ababa'}
{'statement': 'Between Paris and Fianarantsoa, the city with a smaller population is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Paris'}
{'statement': 'Between Zagreb and Manila, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Manila'}
{'statement': 'Between Medellín and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'Medellín'}
{'statement': 'Between Tampa and Benghazi, the city with a smaller population is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Tampa'}
{'statement': 'Between Surabaya and Cayenne, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Surabaya'}
{'statement': 'Between Toliara and Ho Chi Minh City, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Denpasar and Sydney, the city with a smaller population is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Sydney'}
{'statement': 'Between Mumbai and Cairo, the city with a smaller population is Cairo.', 'answer': 'Cairo', 'candidate': 'Mumbai'}
{'statement': 'Between Sucre and Lagos, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Lagos'}
{'statement': 'Between Toronto and Mexicali, the city with a smaller population is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Toronto'}
{'statement': 'Between Johannesburg and Mexicali, the city with a smaller population is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Johannesburg'}
{'statement': 'Between Kuwait City and Buenos Aires, the city with a smaller population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Buenos Aires'}
{'statement': 'Between Auckland and Shanghai, the city with a smaller population is Auckland.', 'answer': 'Auckland', 'candidate': 'Shanghai'}
{'statement': 'Between Porto Alegre and Kunming, the city with a smaller population is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Kunming'}
{'statement': 'Between Chicago and Rabat, the city with a smaller population is Rabat.', 'answer': 'Rabat', 'candidate': 'Chicago'}
{'statement': 'Between Surabaya and Mendoza, the city with a smaller population is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Surabaya'}
{'statement': 'Between Lisbon and Melbourne, the city with a smaller population is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Melbourne'}
{'statement': 'Between Los Angeles and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Los Angeles'}
{'statement': 'Between Fukuoka and Ho Chi Minh City, the city with a smaller population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Chicago and Ho Chi Minh City, the city with a smaller population is Chicago.', 'answer': 'Chicago', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Houston and Ségou, the city with a smaller population is Ségou.', 'answer': 'Ségou', 'candidate': 'Houston'}
{'statement': 'Between Almaty and Riyadh, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Riyadh'}
{'statement': 'Between Berlin and Panama City, the city with a smaller population is Panama City.', 'answer': 'Panama City', 'candidate': 'Berlin'}
{'statement': 'Between Podgorica and Rome, the city with a smaller population is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Rome'}
{'statement': 'Between Kuwait City and Hanoi, the city with a smaller population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Hanoi'}
{'statement': 'Between Hat Yai and Kano, the city with a smaller population is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Kano'}
{'statement': 'Between Yakutsk and Lahore, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Lahore'}
{'statement': 'Between Guangzhou and Río Gallegos, the city with a smaller population is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Guangzhou'}
{'statement': 'Between Kabul and Porto Alegre, the city with a smaller population is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Kabul'}
{'statement': 'Between La Serena and Shanghai, the city with a smaller population is La Serena.', 'answer': 'La Serena', 'candidate': 'Shanghai'}
{'statement': 'Between Tampa and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Tampa'}
{'statement': 'Between Johannesburg and Anchorage, the city with a smaller population is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Johannesburg'}
{'statement': 'Between London and Cairo, the city with a smaller population is London.', 'answer': 'London', 'candidate': 'Cairo'}
{'statement': 'Between Vientiane and Brasília, the city with a smaller population is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Brasília'}
{'statement': 'Between Kuwait City and Sydney, the city with a smaller population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Sydney'}
{'statement': 'Between Lahore and Antsiranana, the city with a smaller population is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Lahore'}
