{'statement': 'Between Córdoba and Abéché, the city with warmer weather is Abéché.', 'answer': 'Abéché', 'candidate': 'Córdoba'}
{'statement': 'Between Melbourne and Cayenne, the city with warmer weather is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Melbourne'}
{'statement': 'Between Porto Alegre and Murmansk, the city with warmer weather is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Murmansk'}
{'statement': 'Between Bangkok and Melbourne, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Melbourne'}
{'statement': 'Between Lyon and Bangui, the city with warmer weather is Bangui.', 'answer': 'Bangui', 'candidate': 'Lyon'}
{'statement': 'Between Lisbon and Panama City, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Lisbon'}
{'statement': 'Between Gabès and Lhasa, the city with warmer weather is Gabès.', 'answer': 'Gabès', 'candidate': 'Lhasa'}
{'statement': 'Between Surabaya and Pittsburgh, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Pittsburgh'}
{'statement': 'Between Santiago and Ségou, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Santiago'}
{'statement': 'Between Berlin and Palembang, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Berlin'}
{'statement': 'Between Punta Arenas and Palermo, the city with warmer weather is Palermo.', 'answer': 'Palermo', 'candidate': 'Punta Arenas'}
{'statement': 'Between Novosibirsk and Entebbe, the city with warmer weather is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Novosibirsk'}
{'statement': 'Between Kuwait City and Lviv, the city with warmer weather is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Lviv'}
{'statement': 'Between Pontianak and Moscow, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Moscow'}
{'statement': 'Between Lhasa and Bujumbura, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Lhasa'}
{'statement': 'Between Damascus and Garissa, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Damascus'}
{'statement': 'Between Dublin and Hamilton, the city with warmer weather is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Dublin'}
{'statement': 'Between Entebbe and Fairbanks, the city with warmer weather is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Fairbanks'}
{'statement': 'Between Lake Havasu City and Ulaanbaatar, the city with warmer weather is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Bishkek and La Paz, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Bishkek'}
{'statement': 'Between Ushuaia and Lima, the city with warmer weather is Lima.', 'answer': 'Lima', 'candidate': 'Ushuaia'}
{'statement': 'Between Porto Alegre and Kuopio, the city with warmer weather is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Kuopio'}
{'statement': 'Between Baltimore and Toliara, the city with warmer weather is Toliara.', 'answer': 'Toliara', 'candidate': 'Baltimore'}
{'statement': 'Between Toamasina and Reykjavík, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Reykjavík'}
{'statement': 'Between Lviv and Guangzhou, the city with warmer weather is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Lviv'}
{'statement': 'Between Wellington and Cayenne, the city with warmer weather is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Wellington'}
{'statement': 'Between Lomé and Johannesburg, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Johannesburg'}
{'statement': 'Between Tauranga and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Tauranga'}
{'statement': 'Between Sapporo and Vientiane, the city with warmer weather is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Sapporo'}
{'statement': 'Between San Juan and Ottawa, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Ottawa'}
{'statement': 'Between Lake Havasu City and Yakutsk, the city with warmer weather is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Yakutsk'}
{'statement': 'Between Harare and Bangkok, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Harare'}
{'statement': 'Between Panama City and Quito, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Quito'}
{'statement': 'Between Halifax and Brisbane, the city with warmer weather is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Halifax'}
{'statement': 'Between Maputo and Milwaukee, the city with warmer weather is Maputo.', 'answer': 'Maputo', 'candidate': 'Milwaukee'}
{'statement': 'Between Pontianak and Brussels, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Brussels'}
{'statement': 'Between Mexico City and Ürümqi, the city with warmer weather is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Ürümqi'}
{'statement': 'Between Bucharest and Ulaanbaatar, the city with warmer weather is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Djibouti and Brussels, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Brussels'}
{'statement': 'Between Willemstad and Kabul, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Kabul'}
{'statement': 'Between Nur-Sultan and Sokoto, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Rosario and Willemstad, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Rosario'}
{'statement': 'Between Tamanrasset and Saskatoon, the city with warmer weather is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Saskatoon'}
{'statement': 'Between Bata and Yinchuan, the city with warmer weather is Bata.', 'answer': 'Bata', 'candidate': 'Yinchuan'}
{'statement': 'Between Mendoza and Juba, the city with warmer weather is Juba.', 'answer': 'Juba', 'candidate': 'Mendoza'}
{'statement': 'Between Lomé and La Serena, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'La Serena'}
{'statement': 'Between Neuquén and Ouahigouya, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Neuquén'}
{'statement': 'Between Mombasa and Vladivostok, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Vladivostok'}
{'statement': 'Between Berlin and Aden, the city with warmer weather is Aden.', 'answer': 'Aden', 'candidate': 'Berlin'}
{'statement': 'Between Darwin and Mendoza, the city with warmer weather is Darwin.', 'answer': 'Darwin', 'candidate': 'Mendoza'}
{'statement': 'Between Lviv and Djibouti, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Lviv'}
{'statement': 'Between Mandalay and Melbourne, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Melbourne'}
{'statement': 'Between Chicago and Alexandria, the city with warmer weather is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Chicago'}
{'statement': 'Between Luanda and Nur-Sultan, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Irkutsk and Nairobi, the city with warmer weather is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Irkutsk'}
{'statement': 'Between Phnom Penh and Campos do Jordão, the city with warmer weather is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Minneapolis and Pontianak, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Minneapolis'}
{'statement': 'Between Nur-Sultan and Tabora, the city with warmer weather is Tabora.', 'answer': 'Tabora', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Hobart and Garissa, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Hobart'}
{'statement': 'Between Sapporo and Garoua, the city with warmer weather is Garoua.', 'answer': 'Garoua', 'candidate': 'Sapporo'}
{'statement': 'Between Ségou and Vladivostok, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Vladivostok'}
{'statement': 'Between Kampala and Yinchuan, the city with warmer weather is Kampala.', 'answer': 'Kampala', 'candidate': 'Yinchuan'}
{'statement': 'Between Monterrey and Yakutsk, the city with warmer weather is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Yakutsk'}
{'statement': 'Between Los Angeles and Bergen, the city with warmer weather is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Bergen'}
{'statement': 'Between Luanda and Hobart, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Hobart'}
{'statement': 'Between Managua and Sucre, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Sucre'}
{'statement': 'Between Cairo and Erzurum, the city with warmer weather is Cairo.', 'answer': 'Cairo', 'candidate': 'Erzurum'}
{'statement': 'Between Nairobi and Panama City, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Nairobi'}
{'statement': 'Between Irkutsk and Ho Chi Minh City, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Irkutsk'}
{'statement': 'Between Hamilton and Denver, the city with warmer weather is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Denver'}
{'statement': 'Between Djibouti and Minsk, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Minsk'}
{'statement': 'Between Skopje and Ho Chi Minh City, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Skopje'}
{'statement': 'Between Thiès and Pittsburgh, the city with warmer weather is Thiès.', 'answer': 'Thiès', 'candidate': 'Pittsburgh'}
{'statement': 'Between Lagos and London, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'London'}
{'statement': 'Between Bata and Baku, the city with warmer weather is Bata.', 'answer': 'Bata', 'candidate': 'Baku'}
{'statement': 'Between Podgorica and Garissa, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Podgorica'}
{'statement': 'Between Ankara and Riyadh, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ankara'}
{'statement': 'Between Kuopio and Antofagasta, the city with warmer weather is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Kuopio'}
{'statement': 'Between Asmara and La Ceiba, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Asmara'}
{'statement': 'Between Chicago and La Paz, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Chicago'}
{'statement': 'Between Neuquén and Hat Yai, the city with warmer weather is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Neuquén'}
{'statement': 'Between Yakutsk and Rosario, the city with warmer weather is Rosario.', 'answer': 'Rosario', 'candidate': 'Yakutsk'}
{'statement': 'Between Ürümqi and Palermo, the city with warmer weather is Palermo.', 'answer': 'Palermo', 'candidate': 'Ürümqi'}
{'statement': 'Between Fukuoka and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Fukuoka'}
{'statement': 'Between Ségou and Bergen, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Bergen'}
{'statement': 'Between Dodoma and Brussels, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Brussels'}
{'statement': 'Between Milan and Ségou, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Milan'}
{'statement': 'Between Port Sudan and Berlin, the city with warmer weather is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Berlin'}
{'statement': 'Between Ürümqi and San Diego, the city with warmer weather is San Diego.', 'answer': 'San Diego', 'candidate': 'Ürümqi'}
{'statement': 'Between Ushuaia and Mandalay, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Ushuaia'}
{'statement': 'Between Novosibirsk and Tabora, the city with warmer weather is Tabora.', 'answer': 'Tabora', 'candidate': 'Novosibirsk'}
{'statement': 'Between Hobart and Lagos, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'Hobart'}
{'statement': 'Between Novosibirsk and Benghazi, the city with warmer weather is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Novosibirsk'}
{'statement': 'Between Tauranga and La Ceiba, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Tauranga'}
{'statement': 'Between Manila and Nur-Sultan, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Nakhon Ratchasima and Sapporo, the city with warmer weather is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Sapporo'}
{'statement': 'Between Toamasina and Denver, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Denver'}
{'statement': 'Between Muscat and Christchurch, the city with warmer weather is Muscat.', 'answer': 'Muscat', 'candidate': 'Christchurch'}
{'statement': 'Between Nakhon Ratchasima and Skopje, the city with warmer weather is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Skopje'}
{'statement': 'Between Belgrade and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Belgrade'}
{'statement': 'Between La Paz and Belgrade, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Belgrade'}
{'statement': 'Between Milwaukee and Aden, the city with warmer weather is Aden.', 'answer': 'Aden', 'candidate': 'Milwaukee'}
{'statement': 'Between Saskatoon and Cabo San Lucas, the city with warmer weather is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Saskatoon'}
{'statement': 'Between Pittsburgh and Bujumbura, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Pittsburgh'}
{'statement': 'Between Fairbanks and Damascus, the city with warmer weather is Damascus.', 'answer': 'Damascus', 'candidate': 'Fairbanks'}
{'statement': 'Between Lhasa and Kampala, the city with warmer weather is Kampala.', 'answer': 'Kampala', 'candidate': 'Lhasa'}
{'statement': 'Between Jakarta and Addis Ababa, the city with warmer weather is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Addis Ababa'}
{'statement': 'Between Ankara and Mexicali, the city with warmer weather is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Ankara'}
{'statement': 'Between Suva and Lyon, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Lyon'}
{'statement': 'Between Podgorica and Murmansk, the city with warmer weather is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Murmansk'}
{'statement': 'Between Algiers and Irkutsk, the city with warmer weather is Algiers.', 'answer': 'Algiers', 'candidate': 'Irkutsk'}
{'statement': 'Between Kano and Tauranga, the city with warmer weather is Kano.', 'answer': 'Kano', 'candidate': 'Tauranga'}
{'statement': 'Between Tampa and Novosibirsk, the city with warmer weather is Tampa.', 'answer': 'Tampa', 'candidate': 'Novosibirsk'}
{'statement': 'Between San Juan and Boise, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Boise'}
{'statement': 'Between La Ceiba and Neuquén, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Neuquén'}
{'statement': 'Between Minsk and Managua, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Minsk'}
{'statement': 'Between Monterrey and Anchorage, the city with warmer weather is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Anchorage'}
{'statement': 'Between Bangkok and Ottawa, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Ottawa'}
{'statement': 'Between La Ceiba and Albuquerque, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Albuquerque'}
{'statement': 'Between Garissa and Suwałki, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Suwałki'}
{'statement': 'Between Brisbane and Sapporo, the city with warmer weather is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Sapporo'}
{'statement': 'Between Hanoi and Anchorage, the city with warmer weather is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Anchorage'}
{'statement': 'Between Murmansk and Tauranga, the city with warmer weather is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Murmansk'}
{'statement': 'Between Dodoma and Milwaukee, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Milwaukee'}
{'statement': 'Between Garissa and San Diego, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'San Diego'}
{'statement': 'Between Changsha and Calgary, the city with warmer weather is Changsha.', 'answer': 'Changsha', 'candidate': 'Calgary'}
{'statement': 'Between Yerevan and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Yerevan'}
{'statement': 'Between Sapporo and Guadalajara, the city with warmer weather is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Sapporo'}
{'statement': 'Between Christchurch and Port-Gentil, the city with warmer weather is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Christchurch'}
{'statement': 'Between Belgrade and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Belgrade'}
{'statement': 'Between Sucre and Nur-Sultan, the city with warmer weather is Sucre.', 'answer': 'Sucre', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Palermo and Suwałki, the city with warmer weather is Palermo.', 'answer': 'Palermo', 'candidate': 'Suwałki'}
{'statement': 'Between Nur-Sultan and Phoenix, the city with warmer weather is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Vientiane and Calgary, the city with warmer weather is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Calgary'}
{'statement': 'Between Omaha and Sokoto, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Omaha'}
{'statement': 'Between Zagreb and Aden, the city with warmer weather is Aden.', 'answer': 'Aden', 'candidate': 'Zagreb'}
{'statement': 'Between Toamasina and Yakutsk, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Yakutsk'}
