{'statement': 'Between Ljubljana and Phoenix, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phoenix'}
{'statement': 'Between Tashkent and Melbourne, the city with a smaller population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Melbourne'}
{'statement': 'Between Manila and Lviv, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Manila'}
{'statement': 'Between Willemstad and Tashkent, the city with a smaller population is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Tashkent'}
{'statement': 'Between Sydney and Sapporo, the city with a smaller population is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Sydney'}
{'statement': 'Between Parakou and Mumbai, the city with a smaller population is Parakou.', 'answer': 'Parakou', 'candidate': 'Mumbai'}
{'statement': 'Between Karachi and Muscat, the city with a smaller population is Muscat.', 'answer': 'Muscat', 'candidate': 'Karachi'}
{'statement': 'Between Napier and Guadalajara, the city with a smaller population is Napier.', 'answer': 'Napier', 'candidate': 'Guadalajara'}
{'statement': 'Between Los Angeles and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Los Angeles'}
{'statement': 'Between Sucre and Karachi, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Karachi'}
{'statement': 'Between Fukuoka and Chicago, the city with a smaller population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Chicago'}
{'statement': 'Between Los Angeles and Chihuahua, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Los Angeles'}
{'statement': 'Between Melbourne and Beijing, the city with a smaller population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Beijing'}
{'statement': 'Between Bucharest and Alexandria, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Alexandria'}
{'statement': 'Between Irkutsk and Algiers, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Algiers'}
{'statement': 'Between Aden and San Diego, the city with a smaller population is Aden.', 'answer': 'Aden', 'candidate': 'San Diego'}
{'statement': 'Between Suva and Tampa, the city with a smaller population is Suva.', 'answer': 'Suva', 'candidate': 'Tampa'}
{'statement': 'Between Minneapolis and Ushuaia, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Minneapolis'}
{'statement': 'Between Darwin and Bangkok, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Bangkok'}
{'statement': 'Between Hat Yai and San Diego, the city with a smaller population is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'San Diego'}
{'statement': 'Between Palmerston North and Sydney, the city with a smaller population is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Sydney'}
{'statement': 'Between Monterrey and Belgrade, the city with a smaller population is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Monterrey'}
{'statement': 'Between Ankara and Sokoto, the city with a smaller population is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Ankara'}
{'statement': 'Between Santiago and Asmara, the city with a smaller population is Asmara.', 'answer': 'Asmara', 'candidate': 'Santiago'}
{'statement': 'Between Ürümqi and San Juan, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Ürümqi'}
{'statement': 'Between Tamanrasset and Manila, the city with a smaller population is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Manila'}
{'statement': 'Between Barranquilla and Beijing, the city with a smaller population is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Beijing'}
{'statement': 'Between Ankara and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'Ankara'}
{'statement': 'Between Zagreb and Moscow, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Moscow'}
{'statement': 'Between Bangkok and Saskatoon, the city with a smaller population is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Bangkok'}
{'statement': 'Between Hobart and Saint Petersburg, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Amsterdam and Lima, the city with a smaller population is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Lima'}
{'statement': 'Between Tampa and Hanoi, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'Hanoi'}
{'statement': 'Between Melbourne and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Melbourne'}
{'statement': 'Between Addis Ababa and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Addis Ababa'}
{'statement': 'Between Albuquerque and San Diego, the city with a smaller population is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'San Diego'}
{'statement': 'Between Santiago del Estero and Hanoi, the city with a smaller population is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Hanoi'}
{'statement': 'Between Omaha and Ho Chi Minh City, the city with a smaller population is Omaha.', 'answer': 'Omaha', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Lagos and Boise, the city with a smaller population is Boise.', 'answer': 'Boise', 'candidate': 'Lagos'}
{'statement': 'Between Suva and Lahore, the city with a smaller population is Suva.', 'answer': 'Suva', 'candidate': 'Lahore'}
{'statement': 'Between Beijing and Hanoi, the city with a smaller population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Beijing'}
{'statement': 'Between Tamanrasset and Baltimore, the city with a smaller population is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Baltimore'}
{'statement': 'Between Santiago and Wau, the city with a smaller population is Wau.', 'answer': 'Wau', 'candidate': 'Santiago'}
{'statement': 'Between Bogotá and Darwin, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Bogotá'}
{'statement': 'Between Hat Yai and Ürümqi, the city with a smaller population is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Ürümqi'}
{'statement': 'Between Mumbai and Halifax, the city with a smaller population is Halifax.', 'answer': 'Halifax', 'candidate': 'Mumbai'}
{'statement': 'Between Hanoi and Lagos, the city with a smaller population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Lagos'}
{'statement': 'Between Douala and Malabo, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Douala'}
{'statement': 'Between Managua and Guadalajara, the city with a smaller population is Managua.', 'answer': 'Managua', 'candidate': 'Guadalajara'}
{'statement': 'Between Bangui and Guadalajara, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Guadalajara'}
{'statement': 'Between Murmansk and Chicago, the city with a smaller population is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Chicago'}
{'statement': 'Between Nakhon Ratchasima and Mexico City, the city with a smaller population is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Mexico City'}
{'statement': 'Between Vienna and Monterrey, the city with a smaller population is Vienna.', 'answer': 'Vienna', 'candidate': 'Monterrey'}
{'statement': 'Between Florianópolis and Riyadh, the city with a smaller population is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Riyadh'}
{'statement': 'Between Bucharest and Dar es Salaam, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Piura and Toronto, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Toronto'}
{'statement': 'Between Skopje and Ürümqi, the city with a smaller population is Skopje.', 'answer': 'Skopje', 'candidate': 'Ürümqi'}
{'statement': 'Between Phoenix and Kampala, the city with a smaller population is Kampala.', 'answer': 'Kampala', 'candidate': 'Phoenix'}
{'statement': 'Between Sokoto and Riyadh, the city with a smaller population is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Riyadh'}
{'statement': 'Between Chihuahua and Nairobi, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Nairobi'}
{'statement': 'Between London and Brasília, the city with a smaller population is Brasília.', 'answer': 'Brasília', 'candidate': 'London'}
{'statement': 'Between Bogotá and Guangzhou, the city with a smaller population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Guangzhou'}
{'statement': 'Between Dodoma and Karachi, the city with a smaller population is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Karachi'}
{'statement': 'Between Rome and Rabat, the city with a smaller population is Rabat.', 'answer': 'Rabat', 'candidate': 'Rome'}
{'statement': 'Between Riyadh and Erzurum, the city with a smaller population is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Riyadh'}
{'statement': 'Between Mexico City and Darwin, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Mexico City'}
{'statement': 'Between London and Tampa, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'London'}
{'statement': 'Between Ho Chi Minh City and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Frankfurt and Addis Ababa, the city with a smaller population is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Addis Ababa'}
{'statement': 'Between Johannesburg and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Johannesburg'}
{'statement': 'Between Entebbe and San Diego, the city with a smaller population is Entebbe.', 'answer': 'Entebbe', 'candidate': 'San Diego'}
{'statement': 'Between Baghdad and Perth, the city with a smaller population is Perth.', 'answer': 'Perth', 'candidate': 'Baghdad'}
{'statement': 'Between Ottawa and Ürümqi, the city with a smaller population is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Ürümqi'}
{'statement': 'Between Melbourne and Denver, the city with a smaller population is Denver.', 'answer': 'Denver', 'candidate': 'Melbourne'}
{'statement': 'Between Wellington and London, the city with a smaller population is Wellington.', 'answer': 'Wellington', 'candidate': 'London'}
{'statement': 'Between Brussels and Lahore, the city with a smaller population is Brussels.', 'answer': 'Brussels', 'candidate': 'Lahore'}
{'statement': 'Between Moscow and Kingston, the city with a smaller population is Kingston.', 'answer': 'Kingston', 'candidate': 'Moscow'}
{'statement': 'Between Karachi and Lima, the city with a smaller population is Lima.', 'answer': 'Lima', 'candidate': 'Karachi'}
{'statement': 'Between Sydney and Phnom Penh, the city with a smaller population is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Sydney'}
{'statement': 'Between Chicago and Lyon, the city with a smaller population is Lyon.', 'answer': 'Lyon', 'candidate': 'Chicago'}
{'statement': 'Between San Diego and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'San Diego'}
{'statement': 'Between Mexico City and Kampala, the city with a smaller population is Kampala.', 'answer': 'Kampala', 'candidate': 'Mexico City'}
{'statement': 'Between Cotonou and Ho Chi Minh City, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Ürümqi and Vientiane, the city with a smaller population is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Ürümqi'}
{'statement': 'Between Karachi and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Karachi'}
{'statement': 'Between Lahore and Rangpur, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Lahore'}
{'statement': 'Between Port-Gentil and Chicago, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Chicago'}
{'statement': 'Between Denver and Bata, the city with a smaller population is Bata.', 'answer': 'Bata', 'candidate': 'Denver'}
{'statement': 'Between Chicago and London, the city with a smaller population is Chicago.', 'answer': 'Chicago', 'candidate': 'London'}
{'statement': 'Between Luanda and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Luanda'}
{'statement': 'Between Ho Chi Minh City and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Mumbai and Port Sudan, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Mumbai'}
{'statement': 'Between Mumbai and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Mumbai'}
{'statement': 'Between Dar es Salaam and Los Angeles, the city with a smaller population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Los Angeles'}
{'statement': 'Between Cape Town and Paris, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Paris'}
{'statement': 'Between Paris and Tucson, the city with a smaller population is Tucson.', 'answer': 'Tucson', 'candidate': 'Paris'}
{'statement': 'Between La Ceiba and Surabaya, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Surabaya'}
{'statement': 'Between Bahía Blanca and Kuwait City, the city with a smaller population is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Kuwait City'}
{'statement': 'Between Muscat and Manila, the city with a smaller population is Muscat.', 'answer': 'Muscat', 'candidate': 'Manila'}
{'statement': 'Between Port Sudan and Phoenix, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Phoenix'}
{'statement': 'Between Tamanrasset and Houston, the city with a smaller population is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Houston'}
{'statement': 'Between Zürich and Phoenix, the city with a smaller population is Zürich.', 'answer': 'Zürich', 'candidate': 'Phoenix'}
{'statement': 'Between Buenos Aires and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Buenos Aires'}
{'statement': 'Between Los Angeles and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Los Angeles'}
{'statement': 'Between Kunming and Parakou, the city with a smaller population is Parakou.', 'answer': 'Parakou', 'candidate': 'Kunming'}
{'statement': 'Between Reykjavík and Manila, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Manila'}
{'statement': 'Between Lagos and Managua, the city with a smaller population is Managua.', 'answer': 'Managua', 'candidate': 'Lagos'}
{'statement': 'Between Beijing and Chihuahua, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Beijing'}
{'statement': 'Between Dar es Salaam and Albuquerque, the city with a smaller population is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Garissa and Bangkok, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'Between Viedma and Baku, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Baku'}
{'statement': 'Between Wau and Tashkent, the city with a smaller population is Wau.', 'answer': 'Wau', 'candidate': 'Tashkent'}
{'statement': 'Between Pontianak and Manila, the city with a smaller population is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Manila'}
{'statement': 'Between Phnom Penh and Manila, the city with a smaller population is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Manila'}
{'statement': 'Between Makurdi and Karachi, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Karachi'}
{'statement': 'Between Fairbanks and Baghdad, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Baghdad'}
{'statement': 'Between Yaoundé and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Yaoundé'}
{'statement': 'Between Los Angeles and Ottawa, the city with a smaller population is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Los Angeles'}
{'statement': 'Between Juba and London, the city with a smaller population is Juba.', 'answer': 'Juba', 'candidate': 'London'}
{'statement': 'Between Santiago and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Santiago'}
{'statement': 'Between Irkutsk and Kabul, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Kabul'}
{'statement': 'Between Phoenix and Karachi, the city with a smaller population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Karachi'}
{'statement': 'Between Houston and Douala, the city with a smaller population is Douala.', 'answer': 'Douala', 'candidate': 'Houston'}
{'statement': 'Between Brisbane and Houston, the city with a smaller population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Houston'}
{'statement': 'Between Bogotá and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Bogotá'}
{'statement': 'Between Lima and Canberra, the city with a smaller population is Canberra.', 'answer': 'Canberra', 'candidate': 'Lima'}
