{'statement': "You don't like expensive restaurants. Between Thompson Rooftop and Nook, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Tim Hortons and Tortería San Cosme, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like expensive restaurants. Between Supermodel Pizza and Grappa Ristorante, you should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like expensive restaurants. Between Mi Mi Restaurant and Ardor Bistro, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like expensive restaurants. Between Bake Island and Cantine Bar & Grill, you should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like expensive restaurants. Between Watson's and Edible Arrangements, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Edible Arrangements'}
{'statement': "You don't like expensive restaurants. Between Pizza Pizza and Hina Sushi, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Hina Sushi'}
{'statement': "You don't like expensive restaurants. Between 9 Restaurant and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': '9 Restaurant'}
{'statement': "You don't like expensive restaurants. Between Maurya East Indian Roti and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Maurya East Indian Roti'}
{'statement': "You don't like expensive restaurants. Between The Coffee Pocket and Nutella Cafe by Pusateri's, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between Edible Arrangements and Top Sushi, you should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You don't like expensive restaurants. Between Taste of Greek Cuisine and Falafel Hut Village, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "You don't like expensive restaurants. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like expensive restaurants. Between Nook and Druxy's Famous Deli, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Nook'}
{'statement': "You don't like expensive restaurants. Between Goldstone Noodle Restaurant and Hina Sushi, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "You don't like expensive restaurants. Between Eggspectation and Smoke's Weinerie, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Eggspectation'}
{'statement': "You don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Pisco 1641, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like expensive restaurants. Between Tim Hortons and Kibo Sushi House, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Kibo Sushi House'}
{'statement': "You don't like expensive restaurants. Between Aroma Espresso Bar and Helena's Magic Kitchen, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Aroma Espresso Bar'}
{'statement': "You don't like expensive restaurants. Between Freshii and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Freshii'}
{'statement': "You don't like expensive restaurants. Between Pasta Pantry and Mysteriously Yours Dinner Theatre, you should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like expensive restaurants. Between La Cocina De Dona Luz and KFC, you should go to KFC.", 'answer': 'KFC', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You don't like expensive restaurants. Between Smoke's Weinerie and Hawthorne Food and Drink, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "You don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Branca, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Branca'}
{'statement': "You don't like expensive restaurants. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like expensive restaurants. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You don't like expensive restaurants. Between Bao Bao Plus Dim Sum and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like expensive restaurants. Between Solero Mediterranean Bakery and Milestones Restaurants, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Milestones Restaurants'}
{'statement': "You don't like expensive restaurants. Between Anatolia Restaurant and Druxy's Famous Deli, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like expensive restaurants. Between Chick Fiesta and Cake Opera, you should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Cake Opera'}
{'statement': "You don't like expensive restaurants. Between Delicious Paradise Kitchen and Marcello’s pizzeria, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like expensive restaurants. Between Bake Island and Verona Restaurant, you should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between Modo Mio Italian Bistro and Verona Restaurant, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, you should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like expensive restaurants. Between Druxy's Famous Deli and Paradise Farms Prime Beef Bistro, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like expensive restaurants. Between Solero Mediterranean Bakery and Aroma Espresso Bar, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Cafe Jules, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like expensive restaurants. Between The Empire and LCBO, you should go to The Empire.", 'answer': 'The Empire', 'candidate': 'LCBO'}
{'statement': "You don't like expensive restaurants. Between Verona Restaurant and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between JJ Bean and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'JJ Bean'}
{'statement': "You don't like expensive restaurants. Between Lahore Grill & Fast Food and La Pupusa Loka, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like expensive restaurants. Between Queen Pita and Marcello’s pizzeria, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like expensive restaurants. Between La Cocina De Dona Luz and Sizzlers, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Sweet Jesus, you should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between Green Room and Nook, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Nook'}
{'statement': "You don't like expensive restaurants. Between Bake Island and The Duke of Devon, you should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'The Duke of Devon'}
{'statement': "You don't like expensive restaurants. Between Sushi Time Japanese Restaurant and Ici Bistro, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "You don't like expensive restaurants. Between Shawarma Twist and Marcello’s pizzeria, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like expensive restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between McDonald's and Sushi Time Japanese Restaurant, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like expensive restaurants. Between z-teca Gourmet Burritos and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like expensive restaurants. Between Taste of Greek Cuisine and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "You don't like expensive restaurants. Between Villa Madina and Kairali - Taste of Kerala, you should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Bonne Journee, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like expensive restaurants. Between McDonald's and Bao Bao Plus Dim Sum, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like expensive restaurants. Between Shawarma Twist and Taste of Greek Cuisine, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "You don't like expensive restaurants. Between Branca and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Branca'}
{'statement': "You don't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and Harvey's, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You don't like expensive restaurants. Between Milo's Pita and Tik Talk Cafe, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like expensive restaurants. Between The Duke of Devon and Cake Opera, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Cake Opera'}
{'statement': "You don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Thompson Rooftop, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Green Grotto and Grappa Ristorante, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like expensive restaurants. Between Freshii and Tim Hortons, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Freshii'}
{'statement': "You don't like expensive restaurants. Between Basil Express Restaurant and Queen Slice, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like expensive restaurants. Between Sizzlers and Ciao Europa wine bar, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Ciao Europa wine bar'}
{'statement': "You don't like expensive restaurants. Between Cake Opera and Aris Place, you should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Cake Opera'}
{'statement': "You don't like expensive restaurants. Between Banjara Indian Cuisine and Verona Restaurant, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between Bonne Journee and Sushi Time Japanese Restaurant, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like expensive restaurants. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like expensive restaurants. Between KFC and Assembly Chef's Hall, you should go to KFC.", 'answer': 'KFC', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like expensive restaurants. Between Eastern legend and Thai 4 You Restaurant, you should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You don't like expensive restaurants. Between Smoke's Weinerie and The Duke of Devon, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'The Duke of Devon'}
{'statement': "You don't like expensive restaurants. Between Sushi World and Lebanese Bakery, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Lebanese Bakery'}
{'statement': "You don't like expensive restaurants. Between Banjara Indian Cuisine and Green Room, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like expensive restaurants. Between Pizza Pizza and Assembly Chef's Hall, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like expensive restaurants. Between Tortería San Cosme and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like expensive restaurants. Between Assembly Chef's Hall and Supermodel Pizza, you should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like expensive restaurants. Between Druxy's Famous Deli and Chipotle Mexican Grill, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like expensive restaurants. Between LCBO and Queen Slice, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'LCBO'}
{'statement': "You don't like expensive restaurants. Between Big Al's Diner and Pisco 1641, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pisco 1641'}
{'statement': "You don't like expensive restaurants. Between Dinah's Cupboard and Farmacia Health Bar, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like expensive restaurants. Between Edible Arrangements and Mamma's Pizza, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Edible Arrangements'}
{'statement': "You don't like expensive restaurants. Between Kairali - Taste of Kerala and Thompson Rooftop, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Tortería San Cosme and Queen Slice, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like expensive restaurants. Between The Coffee Pocket and Eggspectation, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Eggspectation'}
{'statement': "You don't like expensive restaurants. Between Bagel Nash and Eggspectation, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
{'statement': "You don't like expensive restaurants. Between Grappa Ristorante and Farmacia Health Bar, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like expensive restaurants. Between Smoke's Weinerie and Watson's, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': "Watson's"}
{'statement': "You don't like expensive restaurants. Between Watson's and Verona Restaurant, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between Pisco 1641 and Aris Place, you should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Pisco 1641'}
{'statement': "You don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Villa Madina, you should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like expensive restaurants. Between McDonald's and The Duke of Devon, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'The Duke of Devon'}
{'statement': "You don't like expensive restaurants. Between Eastern legend and Itamae Ayce Sushi, you should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You don't like expensive restaurants. Between Bake Island and Scaddabush Italian Kitchen & Bar, you should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "You don't like expensive restaurants. Between Branca and Chick Fiesta, you should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Branca'}
{'statement': "You don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like expensive restaurants. Between Villa Madina and Basha Middle Eastern Grill, you should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like expensive restaurants. Between Pizza Pizza and Mirage Grill & Lounge, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like expensive restaurants. Between Aris Place and Bao Bao Plus Dim Sum, you should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like expensive restaurants. Between Eggspectation and Queen Pita, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Eggspectation'}
{'statement': "You don't like expensive restaurants. Between Tian An Cuisine and Nutella Cafe by Pusateri's, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between Green Grotto and Mamma's Pizza, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Green Grotto'}
{'statement': "You don't like expensive restaurants. Between Dinah's Cupboard and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like expensive restaurants. Between Evoo Ristorante and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like expensive restaurants. Between Delicious Paradise Kitchen and Dangerous Dan's Diner, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like expensive restaurants. Between Verona Restaurant and Cantine Bar & Grill, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between Green Grotto and Cake Opera, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Cake Opera'}
{'statement': "You don't like expensive restaurants. Between Sizzlers and Galata Cafe, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Galata Cafe'}
{'statement': "You don't like expensive restaurants. Between McDonald's and Beryl's Pepper Pot, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like expensive restaurants. Between Madras Pantry and Daily Press Juicery, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like expensive restaurants. Between Le Papillon Park and Mi Mi Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Le Papillon Park'}
{'statement': "You don't like expensive restaurants. Between Thai 4 You Restaurant and Queen Pita, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You don't like expensive restaurants. Between Delicious Paradise Kitchen and Cantine Bar & Grill, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like expensive restaurants. Between Phil's Original BBQ and Dinah's Cupboard, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Dinah's Cupboard"}
