{'statement': 'Between San Diego and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'Between Monterrey and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Monterrey'}
{'statement': 'Between Albuquerque and Houston, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Houston'}
{'statement': 'Between Lahore and Toronto, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Lahore'}
{'statement': 'Between Santiago and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Santiago'}
{'statement': 'Between Irkutsk and Bangkok, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bangkok'}
{'statement': 'Between Alexandria and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Alexandria'}
{'statement': 'Between Monterrey and Denpasar, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Monterrey'}
{'statement': 'Between Lima and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Lima'}
{'statement': 'Between Tabora and Algiers, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Algiers'}
{'statement': 'Between Nairobi and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Nairobi'}
{'statement': 'Between Djibouti and San Diego, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'San Diego'}
{'statement': 'Between Minsk and Toronto, the smaller city is Minsk.', 'answer': 'Minsk', 'candidate': 'Toronto'}
{'statement': 'Between Karachi and Manaus, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Karachi'}
{'statement': 'Between Tashkent and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Tashkent'}
{'statement': 'Between Berlin and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Berlin'}
{'statement': 'Between Toliara and Manila, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Manila'}
{'statement': 'Between Christchurch and Saint Petersburg, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Ürümqi and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Ürümqi'}
{'statement': 'Between Houston and Belize City, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Houston'}
{'statement': 'Between Lahore and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Lahore'}
{'statement': 'Between Upington and Baghdad, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Baghdad'}
