{'statement': "You don't like cheap restaurants. Between Nook and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Aris Place, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between 9 Restaurant and Fit For Life, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fit For Life'}
{'statement': "You don't like cheap restaurants. Between Popeyes Louisiana Kitchen and Big Al's Diner, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Farmacia Health Bar'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like cheap restaurants. Between Edible Arrangements and Bao Bao Plus Dim Sum, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like cheap restaurants. Between Phil's Original BBQ and Queen Slice, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Ciao Europa wine bar and Top Sushi, you should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between Tim Hortons and Tortería San Cosme, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Mi Mi Restaurant and Ardor Bistro, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like cheap restaurants. Between Cantine Bar & Grill and Bake Island, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Watson's and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Watson's"}
{'statement': "You don't like cheap restaurants. Between Hina Sushi and Pizza Pizza, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between 9 Restaurant and Lahore Grill & Fast Food, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between Milo's Pita and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and The Coffee Pocket, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Top Sushi and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like cheap restaurants. Between Taste of Greek Cuisine and Falafel Hut Village, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Solero Mediterranean Bakery and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Nook, you should go to Nook.", 'answer': 'Nook', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between Eggspectation and Smoke's Weinerie, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Pisco 1641, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Pisco 1641'}
{'statement': "You don't like cheap restaurants. Between Kibo Sushi House and Tim Hortons, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Freshii and St. Clair Shawarma and Falafel, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Pasta Pantry, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pasta Pantry'}
{'statement': "You don't like cheap restaurants. Between La Cocina De Dona Luz and KFC, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Hawthorne Food and Drink, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hapa Toronto'}
{'statement': "You don't like cheap restaurants. Between Queen Slice and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Bao Bao Plus Dim Sum and Milo's Pita, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Solero Mediterranean Bakery and Milestones Restaurants, you should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Anatolia Restaurant and Druxy's Famous Deli, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Chick Fiesta, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Delicious Paradise Kitchen, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Bake Island and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Modo Mio Italian Bistro, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Viccino Pizzeria'}
{'statement': "You don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Druxy's Famous Deli, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Aroma Espresso Bar and Solero Mediterranean Bakery, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Cafe Jules, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between LCBO and The Empire, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Sushi World, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between JJ Bean and Sushi World, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between La Pupusa Loka and Lahore Grill & Fast Food, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Queen Pita, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Sizzlers and La Cocina De Dona Luz, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Sweet Jesus, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Nook and Green Room, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between The Duke of Devon and Bake Island, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Sushi Time Japanese Restaurant and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Marcello’s pizzeria, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Queen Pita, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between McDonald's and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between z-teca Gourmet Burritos and Sushi World, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Lahore Grill & Fast Food and Taste of Greek Cuisine, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between Kairali - Taste of Kerala and Villa Madina, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Bonne Journee and Sky Dragon Chinese Restaurant, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between McDonald's and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Taste of Greek Cuisine and Shawarma Twist, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Maurya East Indian Roti and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Maurya East Indian Roti'}
{'statement': "You don't like cheap restaurants. Between Harvey's and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': "Harvey's"}
{'statement': "You don't like cheap restaurants. Between Milo's Pita and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between The Duke of Devon and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'The Duke of Devon'}
{'statement': "You don't like cheap restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like cheap restaurants. Between Green Grotto and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': "You don't like cheap restaurants. Between Freshii and Tim Hortons, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between Queen Slice and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Ciao Europa wine bar and Sizzlers, you should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Aris Place, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Banjara Indian Cuisine and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like cheap restaurants. Between Sushi Time Japanese Restaurant and Bonne Journee, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between KFC and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Thai 4 You Restaurant and Eastern legend, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Sushi World and Lebanese Bakery, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Banjara Indian Cuisine and Green Room, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Pizza Pizza and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Just Soups Take Out & Catering and Tortería San Cosme, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between LCBO and Queen Slice, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Big Al's Diner and Pisco 1641, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Farmacia Health Bar'}
{'statement': "You don't like cheap restaurants. Between Edible Arrangements and Mamma's Pizza, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Kairali - Taste of Kerala and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like cheap restaurants. Between Queen Slice and Tortería San Cosme, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Eggspectation and The Coffee Pocket, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Eggspectation and Bagel Nash, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and Farmacia Health Bar, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Farmacia Health Bar'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Watson's and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Watson's"}
{'statement': "You don't like cheap restaurants. Between Pisco 1641 and Aris Place, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Villa Madina and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between The Duke of Devon and McDonald's, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Eastern legend and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Bake Island and Scaddabush Italian Kitchen & Bar, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Chick Fiesta and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Villa Madina and Basha Middle Eastern Grill, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Mirage Grill & Lounge and Pizza Pizza, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Aris Place and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Queen Pita and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Tian An Cuisine and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like cheap restaurants. Between Green Grotto and Mamma's Pizza, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Dinah's Cupboard and The Coffee Pocket, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Sushi Shop and Evoo Ristorante, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sushi Shop'}
{'statement': "You don't like cheap restaurants. Between Dangerous Dan's Diner and Delicious Paradise Kitchen, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Cantine Bar & Grill, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Green Grotto, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Green Grotto'}
{'statement': "You don't like cheap restaurants. Between Sizzlers and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Beryl's Pepper Pot and McDonald's, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Madras Pantry and Daily Press Juicery, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Mi Mi Restaurant and Le Papillon Park, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Mi Mi Restaurant'}
