{'statement': "I don't like cheap restaurants. Between Nook and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "I don't like cheap restaurants. Between Piper's Pub And Grill and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like cheap restaurants. Between Top Sushi and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Top Sushi'}
{'statement': "I don't like cheap restaurants. Between KFC and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between Topham Corner and Milo's Pita, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Milo's Pita"}
{'statement': "I don't like cheap restaurants. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Carole's Cheesecake Cafe and Solero Mediterranean Bakery, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between Domino's Pizza and Sushi World, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between LCBO and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'LCBO'}
{'statement': "I don't like cheap restaurants. Between Kim PO Vietnamese and St. Clair Shawarma and Falafel, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Nook and Falafel House, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between z-teca Gourmet Burritos and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Carole's Cheesecake Cafe and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like cheap restaurants. Between Marcello’s pizzeria and Aris Place, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Fit For Life and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fit For Life'}
{'statement': "I don't like cheap restaurants. Between Big Al's Diner and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Farmacia Health Bar and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like cheap restaurants. Between Bao Bao Plus Dim Sum and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like cheap restaurants. Between Queen Slice and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Ciao Europa wine bar and Top Sushi, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Top Sushi'}
{'statement': "I don't like cheap restaurants. Between Tortería San Cosme and Tim Hortons, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Supermodel Pizza and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Mi Mi Restaurant and Ardor Bistro, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like cheap restaurants. Between Cantine Bar & Grill and Bake Island, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Bake Island'}
{'statement': "I don't like cheap restaurants. Between Edible Arrangements and Watson's, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Watson's"}
{'statement': "I don't like cheap restaurants. Between Hina Sushi and Pizza Pizza, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Lahore Grill & Fast Food and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between Milo's Pita and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Milo's Pita"}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Top Sushi and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Top Sushi'}
{'statement': "I don't like cheap restaurants. Between Tian An Cuisine and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between Druxy's Famous Deli and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Goldstone Noodle Restaurant and Hina Sushi, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Pisco 1641, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Pisco 1641'}
{'statement': "I don't like cheap restaurants. Between Tim Hortons and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Aroma Espresso Bar and Helena's Magic Kitchen, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Pasta Pantry and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pasta Pantry'}
{'statement': "I don't like cheap restaurants. Between La Cocina De Dona Luz and KFC, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Branca and Warung Indonesia D'Eglinton, I should go to Branca.", 'answer': 'Branca', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like cheap restaurants. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Bao Bao Plus Dim Sum and Milo's Pita, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Milo's Pita"}
{'statement': "I don't like cheap restaurants. Between Milestones Restaurants and Solero Mediterranean Bakery, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between Anatolia Restaurant and Druxy's Famous Deli, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Chick Fiesta and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Marcello’s pizzeria and Delicious Paradise Kitchen, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like cheap restaurants. Between Bake Island and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bake Island'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Modo Mio Italian Bistro, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Viccino Pizzeria'}
{'statement': "I don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Druxy's Famous Deli, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Aroma Espresso Bar and Solero Mediterranean Bakery, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Cafe Jules, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between LCBO and The Empire, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'The Empire'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Sushi World, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between JJ Bean and Sushi World, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Lahore Grill & Fast Food and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between Queen Pita and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between La Cocina De Dona Luz and Sizzlers, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Sweet Jesus, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Nook and Green Room, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between The Duke of Devon and Bake Island, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Bake Island'}
{'statement': "I don't like cheap restaurants. Between Sushi Time Japanese Restaurant and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like cheap restaurants. Between Marcello’s pizzeria and Shawarma Twist, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between Sushi Time Japanese Restaurant and McDonald's, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Sushi World and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Taste of Greek Cuisine and Lahore Grill & Fast Food, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Bonne Journee, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "I don't like cheap restaurants. Between Bao Bao Plus Dim Sum and McDonald's, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Shawarma Twist and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Maurya East Indian Roti and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I don't like cheap restaurants. Between Harvey's and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': "Harvey's"}
{'statement': "I don't like cheap restaurants. Between Milo's Pita and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Milo's Pita"}
{'statement': "I don't like cheap restaurants. Between Cake Opera and The Duke of Devon, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like cheap restaurants. Between Grappa Ristorante and Green Grotto, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': "I don't like cheap restaurants. Between Freshii and Tim Hortons, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Queen Slice and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Ciao Europa wine bar and Sizzlers, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Aris Place and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Banjara Indian Cuisine and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like cheap restaurants. Between Sushi Time Japanese Restaurant and Bonne Journee, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "I don't like cheap restaurants. Between Goldstone Noodle Restaurant and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between KFC and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Thai 4 You Restaurant and Eastern legend, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Lebanese Bakery and Sushi World, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Green Room and Banjara Indian Cuisine, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Pizza Pizza and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Tortería San Cosme and Just Soups Take Out & Catering, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Supermodel Pizza and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Druxy's Famous Deli and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Queen Slice and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Pisco 1641 and Big Al's Diner, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Farmacia Health Bar and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like cheap restaurants. Between Edible Arrangements and Mamma's Pizza, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like cheap restaurants. Between Kairali - Taste of Kerala and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like cheap restaurants. Between Queen Slice and Tortería San Cosme, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Bagel Nash and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "I don't like cheap restaurants. Between Grappa Ristorante and Farmacia Health Bar, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Watson's and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Watson's"}
{'statement': "I don't like cheap restaurants. Between Pisco 1641 and Aris Place, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Villa Madina, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between The Duke of Devon and McDonald's, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Itamae Ayce Sushi and Eastern legend, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Eastern legend'}
{'statement': "I don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Bake Island, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Bake Island'}
{'statement': "I don't like cheap restaurants. Between Chick Fiesta and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Basha Middle Eastern Grill and Villa Madina, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Mirage Grill & Lounge and Pizza Pizza, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Aris Place and Bao Bao Plus Dim Sum, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Eggspectation and Queen Pita, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Tian An Cuisine, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like cheap restaurants. Between Green Grotto and Mamma's Pizza, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Evoo Ristorante and Sushi Shop, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sushi Shop'}
{'statement': "I don't like cheap restaurants. Between Dangerous Dan's Diner and Delicious Paradise Kitchen, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like cheap restaurants. Between Cantine Bar & Grill and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like cheap restaurants. Between Cake Opera and Green Grotto, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Green Grotto'}
{'statement': "I don't like cheap restaurants. Between Galata Cafe and Sizzlers, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Beryl's Pepper Pot and McDonald's, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Daily Press Juicery and Madras Pantry, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between Le Papillon Park and Mi Mi Restaurant, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Mi Mi Restaurant'}
