{'statement': "I don't like cheap restaurants. Between Chick Fiesta and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Mirage Grill & Lounge and Basha Middle Eastern Grill, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like cheap restaurants. Between Bonne Journee and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Bonne Journee'}
{'statement': "I don't like cheap restaurants. Between Madras Pantry and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between Shawarma Twist and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Pisco 1641 and Cafe Jules, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Mamma's Pizza and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like cheap restaurants. Between Nook and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Nook'}
{'statement': "I don't like cheap restaurants. Between Nook and Helena's Magic Kitchen, I should go to Nook.", 'answer': 'Nook', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between Sweet Jesus and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Big Al's Diner and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and LCBO, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'LCBO'}
{'statement': "I don't like cheap restaurants. Between Lahore Grill & Fast Food and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between Beryl's Pepper Pot and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like cheap restaurants. Between Bagel Nash and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bagel Nash'}
{'statement': "I don't like cheap restaurants. Between Tian An Cuisine and Goldstone Noodle Restaurant, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Basil Express Restaurant and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like cheap restaurants. Between Kibo Sushi House and Just Soups Take Out & Catering, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Farmacia Health Bar and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like cheap restaurants. Between Aroma Espresso Bar and Lahore Grill & Fast Food, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between Pizzeria Via Mercanti and Chick Fiesta, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Supermodel Pizza and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Cake Opera and Tim Hortons, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Grappa Ristorante and Basha Middle Eastern Grill, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like cheap restaurants. Between Daily Press Juicery and Sweet Jesus, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Pizza Pizza and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Bagel Nash, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "I don't like cheap restaurants. Between Sizzlers and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between McDonald's and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Pho 88, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Hawthorne Food and Drink and St. Clair Shawarma and Falafel, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Aris Place and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like cheap restaurants. Between Mirage Grill & Lounge and Solero Mediterranean Bakery, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Banjara Indian Cuisine, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like cheap restaurants. Between Falafel House and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between Piper's Pub And Grill and Pizza Pizza, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Tik Talk Cafe and Sizzlers, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Cafe Jules and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Taste of Greek Cuisine and Shawarma Twist, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Queen Slice and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Madras Pantry and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between Big Al's Diner and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Helena's Magic Kitchen and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between Cafe Jules and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Dinah's Cupboard and Lebanese Bakery, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Lebanese Bakery'}
{'statement': "I don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like cheap restaurants. Between Kairali - Taste of Kerala and Smoke's Weinerie, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Villa Madina and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Bao Bao Plus Dim Sum, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and EJ Sushi, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'EJ Sushi'}
{'statement': "I don't like cheap restaurants. Between Amaya Express and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Amaya Express'}
{'statement': "I don't like cheap restaurants. Between Tik Talk Cafe and Supermodel Pizza, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Sheriff Broaster Chicken and Cafe Jules, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Green Room and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like cheap restaurants. Between Hapa Toronto and Sushi Time Japanese Restaurant, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Eggspectation, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Eggspectation'}
{'statement': "I don't like cheap restaurants. Between El Fogón and McDonald's, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between The Duke of Devon and Top Sushi, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Top Sushi'}
{'statement': "I don't like cheap restaurants. Between Dinah's Cupboard and Scaddabush Italian Kitchen & Bar, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like cheap restaurants. Between Dangerous Dan's Diner and Sweet Jesus, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Green Room and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Sweet Jesus and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Aris Place and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Kibo Sushi House and The Coffee Pocket, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Itamae Ayce Sushi and Bagel Nash, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Bagel Nash'}
{'statement': "I don't like cheap restaurants. Between Branca and Piper's Pub And Grill, I should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like cheap restaurants. Between McDonald's and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Mirage Grill & Lounge and FreshCo, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'FreshCo'}
{'statement': "I don't like cheap restaurants. Between Capitol Trattoria Pizzeria and Helena's Magic Kitchen, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between Harvey's and Helena's Magic Kitchen, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between McDonald's and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Hina Sushi and Cafe Jules, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Supermodel Pizza and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Adega Restaurante and Mövenpick Café, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Aroma Espresso Bar, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like cheap restaurants. Between Eastern legend and Adega Restaurante, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Eastern legend'}
{'statement': "I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between z-teca Gourmet Burritos and Villa Madina, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and EJ Sushi, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'EJ Sushi'}
{'statement': "I don't like cheap restaurants. Between Breakfast Room and Buk Chang Dong Soon Tofu, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between McDonald's and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Marcello’s pizzeria and Falafel Hut Village, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Sweet Jesus and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Taste of Greek Cuisine and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like cheap restaurants. Between Pho 88 and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Tim Hortons and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Piper's Pub And Grill and KFC, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Galata Cafe and St. Louis Bar & Grill, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and The Coffee Pocket, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Galata Cafe and Green Room, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Modo Mio Italian Bistro and New Bilan Restaurant, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Watson's, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Watson's"}
{'statement': "I don't like cheap restaurants. Between Aris Place and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Fit For Life and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Fit For Life'}
{'statement': "I don't like cheap restaurants. Between Sizzlers and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Anatolia Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like cheap restaurants. Between Branca and Mamma's Pizza, I should go to Branca.", 'answer': 'Branca', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like cheap restaurants. Between New Bilan Restaurant and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Juice & Java Cafe and Villa Madina, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Freshii and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Freshii'}
{'statement': "I don't like cheap restaurants. Between Solero Mediterranean Bakery and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Ciao Europa wine bar and Bonne Journee, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Bonne Journee'}
{'statement': "I don't like cheap restaurants. Between Green Room and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Sushi World, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Goldstone Noodle Restaurant and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Bonne Journee, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bonne Journee'}
{'statement': "I don't like cheap restaurants. Between Shawarma Twist and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Branca and Druxy's Famous Deli, I should go to Branca.", 'answer': 'Branca', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Kim PO Vietnamese and Queen Slice, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Pasta Pantry and Pizza Pizza, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Le Papillon Park and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Le Papillon Park'}
{'statement': "I don't like cheap restaurants. Between It's All Grk and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "It's All Grk"}
{'statement': "I don't like cheap restaurants. Between Solero Mediterranean Bakery and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between La Pupusa Loka and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like cheap restaurants. Between Kim PO Vietnamese and Top Sushi, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Top Sushi'}
{'statement': "I don't like cheap restaurants. Between Adega Restaurante and Hawthorne Food and Drink, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Goldstone Noodle Restaurant and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Dinah's Cupboard and Nook, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Nook'}
{'statement': "I don't like cheap restaurants. Between Branca and Breakfast Room, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Breakfast Room'}
{'statement': "I don't like cheap restaurants. Between Banjara Indian Cuisine and Bagel Nash, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Bagel Nash'}
{'statement': "I don't like cheap restaurants. Between El Fogón and Madras Pantry, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between z-teca Gourmet Burritos and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like cheap restaurants. Between Galata Cafe and McDonald's, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': "McDonald's"}
