{'statement': 'Between Guangzhou and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Guangzhou'}
{'statement': 'Between Mexico City and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Mexico City'}
{'statement': 'Between Kabul and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Kabul'}
{'statement': 'Between Phoenix and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Phoenix'}
{'statement': 'Between Hanoi and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Hanoi'}
{'statement': 'Between Sydney and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Sydney'}
{'statement': 'Between Paris and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Paris'}
{'statement': 'Between Beijing and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Beijing'}
{'statement': 'Between Rome and Cayenne, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Rome'}
{'statement': 'Between Melbourne and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Melbourne'}
{'statement': 'Between Guadalajara and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Guadalajara'}
{'statement': 'Between Kuwait City and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Kuwait City'}
{'statement': 'Between Paris and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Paris'}
{'statement': 'Between Shanghai and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Shanghai'}
{'statement': 'Between Jakarta and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Jakarta'}
{'statement': 'Between Mumbai and Quito, the smaller city is Quito.', 'answer': 'Quito', 'candidate': 'Mumbai'}
{'statement': 'Between Rome and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Rome'}
{'statement': 'Between Baltimore and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Baltimore'}
{'statement': 'Between Santiago and Campos do Jordão, the smaller city is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Santiago'}
{'statement': 'Between Algiers and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Algiers'}
{'statement': 'Between Monterrey and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Monterrey'}
{'statement': 'Between Hanoi and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Hanoi'}
{'statement': 'Between Karachi and Nairobi, the smaller city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Karachi'}
{'statement': 'Between Paris and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Paris'}
{'statement': 'Between Chicago and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Chicago'}
{'statement': 'Between Mumbai and Paris, the smaller city is Paris.', 'answer': 'Paris', 'candidate': 'Mumbai'}
{'statement': 'Between Lahore and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Lahore'}
{'statement': 'Between Algiers and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Algiers'}
{'statement': 'Between Cairo and Toamasina, the smaller city is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Cairo'}
{'statement': 'Between Chicago and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Between Medellín and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Medellín'}
{'statement': 'Between San Diego and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'San Diego'}
{'statement': 'Between Surabaya and Quito, the smaller city is Quito.', 'answer': 'Quito', 'candidate': 'Surabaya'}
{'statement': 'Between Kunming and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Kunming'}
{'statement': 'Between Monterrey and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Monterrey'}
{'statement': 'Between Phoenix and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Phoenix'}
{'statement': 'Between Bangkok and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Bangkok'}
{'statement': 'Between Phoenix and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Shanghai'}
{'statement': 'Between Monterrey and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Monterrey'}
{'statement': 'Between Paris and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Paris'}
{'statement': 'Between Melbourne and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Melbourne'}
{'statement': 'Between Minneapolis and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Minneapolis'}
{'statement': 'Between Cairo and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Cairo'}
{'statement': 'Between Ürümqi and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Ürümqi'}
{'statement': 'Between Surabaya and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Surabaya'}
{'statement': 'Between Brisbane and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Brisbane'}
{'statement': 'Between Baghdad and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Baghdad'}
{'statement': 'Between Lahore and Addis Ababa, the smaller city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Lahore'}
{'statement': 'Between Houston and Addis Ababa, the smaller city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Houston'}
{'statement': 'Between Cairo and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Cairo'}
{'statement': 'Between Denver and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Denver'}
{'statement': 'Between Minneapolis and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Minneapolis'}
{'statement': 'Between Jakarta and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Jakarta'}
{'statement': 'Between Rome and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Rome'}
{'statement': 'Between Ho Chi Minh City and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Brasília and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Brasília'}
{'statement': 'Between Baku and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Baku'}
{'statement': 'Between Alexandria and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Alexandria'}
{'statement': 'Between Baghdad and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Baghdad'}
{'statement': 'Between Ankara and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Ankara'}
{'statement': 'Between Riyadh and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Riyadh'}
{'statement': 'Between Guadalajara and Toluca, the smaller city is Toluca.', 'answer': 'Toluca', 'candidate': 'Guadalajara'}
{'statement': 'Between Kunming and Brasília, the smaller city is Brasília.', 'answer': 'Brasília', 'candidate': 'Kunming'}
{'statement': 'Between Brasília and Rabat, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Brasília'}
{'statement': 'Between Bogotá and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Bogotá'}
{'statement': 'Between Mexico City and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Mexico City'}
{'statement': 'Between Johannesburg and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Johannesburg'}
{'statement': 'Between Douala and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Douala'}
{'statement': 'Between Melbourne and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Melbourne'}
{'statement': 'Between Perth and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Perth'}
{'statement': 'Between Mexico City and Moscow, the smaller city is Moscow.', 'answer': 'Moscow', 'candidate': 'Mexico City'}
{'statement': 'Between Karachi and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Karachi'}
{'statement': 'Between Lagos and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Lagos'}
{'statement': 'Between Lagos and Santiago del Estero, the smaller city is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Lagos'}
{'statement': 'Between Guadalajara and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Guadalajara'}
{'statement': 'Between Melbourne and Addis Ababa, the smaller city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Melbourne'}
{'statement': 'Between Toronto and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Toronto'}
{'statement': 'Between Ankara and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Ankara'}
{'statement': 'Between Shanghai and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Shanghai'}
{'statement': 'Between Riyadh and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Riyadh'}
{'statement': 'Between Shanghai and Valencia, the smaller city is Valencia.', 'answer': 'Valencia', 'candidate': 'Shanghai'}
{'statement': 'Between Ho Chi Minh City and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Sydney and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Sydney'}
{'statement': 'Between Sydney and Brussels, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Sydney'}
{'statement': 'Between Mexico City and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Mexico City'}
{'statement': 'Between Luanda and Yaoundé, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Luanda'}
{'statement': 'Between Paris and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Paris'}
{'statement': 'Between Houston and El Paso, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Houston'}
{'statement': 'Between Brasília and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Brasília'}
{'statement': 'Between Cairo and Pontianak, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Cairo'}
{'statement': 'Between Medellín and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Medellín'}
{'statement': 'Between Algiers and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Algiers'}
{'statement': 'Between Lima and Yerevan, the smaller city is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Lima'}
{'statement': 'Between Addis Ababa and Wellington, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Addis Ababa'}
{'statement': 'Between Dar es Salaam and Wellington, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Moscow and Douala, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Moscow'}
{'statement': 'Between Rome and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Rome'}
{'statement': 'Between San Diego and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'San Diego'}
{'statement': 'Between Addis Ababa and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Addis Ababa'}
{'statement': 'Between Shanghai and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and Bishkek, the smaller city is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Shanghai'}
{'statement': 'Between Houston and Milan, the smaller city is Milan.', 'answer': 'Milan', 'candidate': 'Houston'}
{'statement': 'Between Alexandria and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'Alexandria'}
{'statement': 'Between Guadalajara and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Guadalajara'}
{'statement': 'Between Tashkent and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Tashkent'}
{'statement': 'Between Luanda and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Luanda'}
{'statement': 'Between Riyadh and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Riyadh'}
{'statement': 'Between Surabaya and Yaoundé, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Surabaya'}
{'statement': 'Between Monterrey and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Monterrey'}
{'statement': 'Between London and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'London'}
{'statement': 'Between Jakarta and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Jakarta'}
{'statement': 'Between Ho Chi Minh City and Manaus, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Los Angeles and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Los Angeles'}
{'statement': 'Between Cairo and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Cairo'}
{'statement': 'Between Guadalajara and Vladivostok, the smaller city is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Guadalajara'}
{'statement': 'Between Bangkok and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Bangkok'}
{'statement': 'Between Nairobi and Córdoba, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Nairobi'}
{'statement': 'Between Cairo and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Cairo'}
{'statement': 'Between Jakarta and Riyadh, the smaller city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Jakarta'}
{'statement': 'Between Mumbai and Wellington, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Mumbai'}
{'statement': 'Between Berlin and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Berlin'}
{'statement': 'Between Baghdad and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Baghdad'}
{'statement': 'Between Medellín and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Medellín'}
{'statement': 'Between Santiago and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Santiago'}
{'statement': 'Between Lima and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lima'}
{'statement': 'Between Ürümqi and Frankfurt, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Ürümqi'}
{'statement': 'Between Chicago and Yaoundé, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Chicago'}
{'statement': 'Between Moscow and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Moscow'}
{'statement': 'Between Ankara and Kuwait City, the smaller city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Ankara'}
{'statement': 'Between Alexandria and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Alexandria'}
{'statement': 'Between Mumbai and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Mumbai'}
{'statement': 'Between San Diego and Vladivostok, the smaller city is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'San Diego'}
{'statement': 'Between Chicago and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Chicago'}
{'statement': 'Between Tampa and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Tampa'}
{'statement': 'Between Minneapolis and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Minneapolis'}
{'statement': 'Between Johannesburg and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Johannesburg'}
{'statement': 'Between Johannesburg and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Johannesburg'}
{'statement': 'Between Dar es Salaam and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Mumbai and Mexico City, the smaller city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Mumbai'}
{'statement': 'Between Brasília and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Brasília'}
{'statement': 'Between Kabul and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Kabul'}
{'statement': 'Between Algiers and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Algiers'}
