{'statement': 'You are looking for restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Bonne Journee and Breakfast Room, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': 'You are looking for restaurants nearby. Between Magic Oven and Daily Press Juicery, you should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between Basil Express Restaurant and Mt Everest Restaurant, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Mt Everest Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Sushi Shop and Fitness Avenue, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Fitness Avenue'}
{'statement': 'You are looking for restaurants nearby. Between The Coffee Pocket and Bake Island, you should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for restaurants nearby. Between El Fogón and Edible Arrangements, you should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Edible Arrangements'}
{'statement': "You are looking for restaurants nearby. Between The Empire and Phil's Original BBQ, you should go to The Empire.", 'answer': 'The Empire', 'candidate': "Phil's Original BBQ"}
{'statement': "You are looking for restaurants nearby. Between Shawarma Twist and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Shawarma Twist'}
{'statement': 'You are looking for restaurants nearby. Between St. Louis Bar & Grill and Magic Oven, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between z-teca Gourmet Burritos and Top Sushi, you should go to Top Sushi.', 'answer': 'Top Sushi', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for restaurants nearby. Between Shawarma Twist and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Shawarma Twist'}
{'statement': 'You are looking for restaurants nearby. Between 9 Restaurant and Queen Slice, you should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Queen Slice'}
{'statement': 'You are looking for restaurants nearby. Between Kibo Sushi House and Viccino Pizzeria, you should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Viccino Pizzeria'}
{'statement': "You are looking for restaurants nearby. Between Smoke's Weinerie and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': 'You are looking for restaurants nearby. Between Bagel Nash and El Fogón, you should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Bagel Nash'}
{'statement': 'You are looking for restaurants nearby. Between Hawthorne Food and Drink and The Coffee Pocket, you should go to Hawthorne Food and Drink.', 'answer': 'Hawthorne Food and Drink', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and New Bilan Restaurant, you should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "You are looking for restaurants nearby. Between Piper's Pub And Grill and Top Sushi, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Top Sushi'}
{'statement': 'You are looking for restaurants nearby. Between La Pupusa Loka and Top Sushi, you should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Top Sushi'}
{'statement': "You are looking for restaurants nearby. Between McDonald's and Cafe Jules, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': 'You are looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for restaurants nearby. Between Freshii and Kibo Sushi House, you should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Freshii'}
{'statement': 'You are looking for restaurants nearby. Between z-teca Gourmet Burritos and KFC, you should go to KFC.', 'answer': 'KFC', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You are looking for restaurants nearby. Between Bagel Nash and Dangerous Dan's Diner, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Bagel Nash'}
{'statement': 'You are looking for restaurants nearby. Between Goldstone Noodle Restaurant and Sizzlers, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "You are looking for restaurants nearby. Between Mamma's Pizza and Hina Sushi, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Hina Sushi'}
{'statement': 'You are looking for restaurants nearby. Between z-teca Gourmet Burritos and Breakfast Room, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for restaurants nearby. Between Fit For Life and Tierra Azteca, you should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Tierra Azteca'}
{'statement': "You are looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Bagel Nash, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "You are looking for restaurants nearby. Between Cafe Jules and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "You are looking for restaurants nearby. Between Milo's Pita and Carole's Cheesecake Cafe, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You are looking for restaurants nearby. Between The Coffee Pocket and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'The Coffee Pocket'}
{'statement': "You are looking for restaurants nearby. Between Fit For Life and Nutella Cafe by Pusateri's, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You are looking for restaurants nearby. Between Milo's Pita and Edible Arrangements, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for restaurants nearby. Between Green Grotto and Falafel House, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Falafel House'}
