{'statement': 'Someone is looking for a small city to visit. Between San Diego and Yakutsk, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Mahajanga, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Yaoundé and Jakarta, this person should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Phoenix and San Juan, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Suva, this person should visit Suva.', 'answer': 'Suva', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Wellington, this person should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Tirana and Mexico City, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and Mumbai, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and Sucre, this person should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Sapporo, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Baltimore and Tamanrasset, this person should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Baltimore'}
{'statement': 'Someone is looking for a small city to visit. Between Garissa and Tampa, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Curitiba, this person should visit Curitiba.', 'answer': 'Curitiba', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Palermo, this person should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Lomé, this person should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Fukuoka, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Wellington, this person should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Antsiranana and Harare, this person should visit Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Harare'}
{'statement': 'Someone is looking for a small city to visit. Between Denver and El Paso, this person should visit El Paso.', 'answer': 'El Paso', 'candidate': 'Denver'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Cairo, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between San Juan and Brasília, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Los Angeles, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Quito, this person should visit Quito.', 'answer': 'Quito', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Nakhon Ratchasima and Berlin, this person should visit Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Denpasar, this person should visit Denpasar.', 'answer': 'Denpasar', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Surabaya and Christchurch, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and Garoua, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Cayenne and Bangkok, this person should visit Cayenne.', 'answer': 'Cayenne', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Almaty, this person should visit Almaty.', 'answer': 'Almaty', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Rosario, this person should visit Rosario.', 'answer': 'Rosario', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Viedma and Yaoundé, this person should visit Viedma.', 'answer': 'Viedma', 'candidate': 'Yaoundé'}
{'statement': 'Someone is looking for a small city to visit. Between Lhasa and Ho Chi Minh City, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Bujumbura, this person should visit Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Auckland and Riyadh, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Bergen, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Parakou and Brasília, this person should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Tabora, this person should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Irkutsk and Tampa, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Ulaanbaatar and Phoenix, this person should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Baghdad and El Paso, this person should visit El Paso.', 'answer': 'El Paso', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Kano and Saint Petersburg, this person should visit Kano.', 'answer': 'Kano', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Yinchuan, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Kunming and Lviv, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a small city to visit. Between Rabat and Santiago, this person should visit Rabat.', 'answer': 'Rabat', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Tucson and Kuwait City, this person should visit Tucson.', 'answer': 'Tucson', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Paramaribo and Kabul, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and La Ceiba, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Bergen and Santiago, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Monterrey and Bangui, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Albuquerque and Houston, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Houston'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Toronto, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Milwaukee and Santiago, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Irkutsk and Bangkok, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Ushuaia and Alexandria, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Denpasar and Monterrey, this person should visit Denpasar.', 'answer': 'Denpasar', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Bangui, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Tabora and Algiers, this person should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Algiers'}
{'statement': 'Someone is looking for a small city to visit. Between Halifax and Nairobi, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between San Diego and Djibouti, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Minsk and Toronto, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a small city to visit. Between Karachi and Manaus, this person should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between Tashkent and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Tashkent'}
{'statement': 'Someone is looking for a small city to visit. Between Berlin and Bangui, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Toliara, this person should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Christchurch, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Ljubljana and Ürümqi, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a small city to visit. Between Belize City and Houston, this person should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Houston'}
{'statement': 'Someone is looking for a small city to visit. Between Malabo and Lahore, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Upington and Baghdad, this person should visit Upington.', 'answer': 'Upington', 'candidate': 'Baghdad'}
