{'statement': 'Between Kabul and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Kabul'}
{'statement': 'Between Honolulu and Jakarta, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Jakarta'}
{'statement': 'Between Muscat and Paris, the smaller city is Muscat.', 'answer': 'Muscat', 'candidate': 'Paris'}
{'statement': 'Between Nakhon Ratchasima and Baghdad, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Baghdad'}
{'statement': 'Between Oslo and Alexandria, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Alexandria'}
{'statement': 'Between Ouahigouya and Kabul, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Kabul'}
{'statement': 'Between Tauranga and Paris, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Paris'}
{'statement': 'Between Johannesburg and Brussels, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Johannesburg'}
{'statement': 'Between Parakou and Baghdad, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Baghdad'}
{'statement': 'Between Moscow and Baghdad, the smaller city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Moscow'}
{'statement': 'Between London and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'London'}
{'statement': 'Between Mumbai and Mexico City, the smaller city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Mumbai'}
{'statement': 'Between Paris and Guangzhou, the smaller city is Paris.', 'answer': 'Paris', 'candidate': 'Guangzhou'}
{'statement': 'Between Lima and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Lima'}
{'statement': 'Between Ankara and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Ankara'}
{'statement': 'Between Luanda and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Luanda'}
{'statement': 'Between Tampa and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Tampa'}
{'statement': 'Between Frankfurt and Beijing, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Beijing'}
{'statement': 'Between Alexandria and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Alexandria'}
{'statement': 'Between Toronto and Lima, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Lima'}
{'statement': 'Between Surabaya and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Surabaya'}
{'statement': 'Between Bogotá and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Bogotá'}
{'statement': 'Between Sucre and Buenos Aires, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Buenos Aires'}
{'statement': 'Between Ankara and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Ankara'}
{'statement': 'Between London and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'London'}
{'statement': 'Between Buenos Aires and Curitiba, the smaller city is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Buenos Aires'}
{'statement': 'Between Rome and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Rome'}
{'statement': 'Between Neuquén and Manila, the smaller city is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Manila'}
{'statement': 'Between Napier and Algiers, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Algiers'}
{'statement': 'Between Surabaya and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Surabaya'}
{'statement': 'Between Shanghai and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Shanghai'}
{'statement': 'Between Ndola and Kano, the smaller city is Ndola.', 'answer': 'Ndola', 'candidate': 'Kano'}
{'statement': 'Between Surabaya and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Surabaya'}
{'statement': 'Between Malabo and Ürümqi, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Ürümqi'}
{'statement': 'Between Manila and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Manila'}
{'statement': 'Between Minneapolis and Mexico City, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Mexico City'}
{'statement': 'Between Mendoza and Santiago, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Santiago'}
{'statement': 'Between Manaus and Riyadh, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Riyadh'}
{'statement': 'Between Cairo and Saint Petersburg, the smaller city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Cairo'}
{'statement': 'Between Chihuahua and Santiago, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Santiago'}
{'statement': 'Between Mumbai and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Mumbai'}
{'statement': 'Between Bahía Blanca and Karachi, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Karachi'}
{'statement': 'Between Paris and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Paris'}
{'statement': 'Between Ho Chi Minh City and Brisbane, the smaller city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Douala and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Douala'}
{'statement': 'Between Guangzhou and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Guangzhou'}
{'statement': 'Between Managua and Shanghai, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Shanghai'}
{'statement': 'Between Luanda and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Luanda'}
{'statement': 'Between Baghdad and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Baghdad'}
{'statement': 'Between Medellín and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Medellín'}
{'statement': 'Between London and Neuquén, the smaller city is Neuquén.', 'answer': 'Neuquén', 'candidate': 'London'}
{'statement': 'Between Bratislava and Guangzhou, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Guangzhou'}
{'statement': 'Between Lahore and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Lahore'}
{'statement': 'Between Lagos and Beijing, the smaller city is Lagos.', 'answer': 'Lagos', 'candidate': 'Beijing'}
{'statement': 'Between Guadalajara and Mexico City, the smaller city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Mexico City'}
{'statement': 'Between Podgorica and Hanoi, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Hanoi'}
{'statement': 'Between Nouakchott and Beijing, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Beijing'}
{'statement': 'Between Beijing and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Beijing'}
{'statement': 'Between Tashkent and Shanghai, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Shanghai'}
{'statement': 'Between Mexicali and Johannesburg, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Johannesburg'}
{'statement': 'Between Moscow and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Moscow'}
{'statement': 'Between Toronto and Rosario, the smaller city is Rosario.', 'answer': 'Rosario', 'candidate': 'Toronto'}
{'statement': 'Between Cairo and Ulaanbaatar, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Cairo'}
{'statement': 'Between Beijing and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Beijing'}
{'statement': 'Between Podgorica and Brisbane, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Brisbane'}
{'statement': 'Between Berlin and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Berlin'}
{'statement': 'Between Moscow and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Moscow'}
{'statement': 'Between Sacramento and Los Angeles, the smaller city is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Los Angeles'}
{'statement': 'Between San Diego and Mendoza, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'San Diego'}
{'statement': 'Between Kingston and Saint Petersburg, the smaller city is Kingston.', 'answer': 'Kingston', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Bucharest and Moscow, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Moscow'}
{'statement': 'Between Calgary and Algiers, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Algiers'}
{'statement': 'Between Tashkent and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Tashkent'}
{'statement': 'Between Christchurch and Addis Ababa, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Addis Ababa'}
{'statement': 'Between Mombasa and Berlin, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Berlin'}
{'statement': 'Between Luanda and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Luanda'}
{'statement': 'Between Cabo San Lucas and Phoenix, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Phoenix'}
{'statement': 'Between Kabul and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Kabul'}
{'statement': 'Between Sydney and Kano, the smaller city is Kano.', 'answer': 'Kano', 'candidate': 'Sydney'}
{'statement': 'Between Johannesburg and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Johannesburg'}
{'statement': 'Between Calgary and Chicago, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Chicago'}
{'statement': 'Between Hamilton and Mumbai, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Mumbai'}
{'statement': 'Between Buenos Aires and Neuquén, the smaller city is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Buenos Aires'}
{'statement': 'Between Shanghai and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Shanghai'}
{'statement': 'Between Paris and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Paris'}
{'statement': 'Between Paris and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Paris'}
{'statement': 'Between Ottawa and Surabaya, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Surabaya'}
{'statement': 'Between Lahore and Rome, the smaller city is Rome.', 'answer': 'Rome', 'candidate': 'Lahore'}
{'statement': 'Between Pontianak and Sydney, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Sydney'}
{'statement': 'Between London and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'London'}
{'statement': 'Between Neuquén and Cairo, the smaller city is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Cairo'}
{'statement': 'Between Port Moresby and Monterrey, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Monterrey'}
{'statement': 'Between Makassar and Surabaya, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Surabaya'}
{'statement': 'Between Florianópolis and Beijing, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Beijing'}
{'statement': 'Between Lagos and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Lagos'}
{'statement': 'Between Kuopio and Manila, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Manila'}
{'statement': 'Between Yinchuan and Saint Petersburg, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Shanghai and London, the smaller city is London.', 'answer': 'London', 'candidate': 'Shanghai'}
{'statement': 'Between Bujumbura and Alexandria, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Alexandria'}
{'statement': 'Between Thiès and Mexico City, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Mexico City'}
{'statement': 'Between Jakarta and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Jakarta'}
{'statement': 'Between Lagos and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Lagos'}
{'statement': 'Between Nairobi and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Nairobi'}
{'statement': 'Between Cairo and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Cairo'}
{'statement': 'Between Shanghai and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Shanghai'}
{'statement': 'Between Nairobi and Córdoba, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Nairobi'}
{'statement': 'Between Auckland and Lahore, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Lahore'}
{'statement': 'Between Bratislava and Santiago, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Santiago'}
{'statement': 'Between Willemstad and Melbourne, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Melbourne'}
{'statement': 'Between Fianarantsoa and Bogotá, the smaller city is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Bogotá'}
{'statement': 'Between Irkutsk and Sydney, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Sydney'}
{'statement': 'Between Cairo and Phoenix, the smaller city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Cairo'}
{'statement': 'Between Tauranga and Kano, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Kano'}
{'statement': 'Between Johannesburg and Córdoba, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Johannesburg'}
{'statement': 'Between Tripoli and London, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'London'}
{'statement': 'Between Caracas and Lahore, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Lahore'}
{'statement': 'Between Berlin and Paris, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Paris'}
{'statement': 'Between Los Angeles and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Los Angeles'}
{'statement': 'Between Chicago and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Chicago'}
{'statement': 'Between Jakarta and Kuwait City, the smaller city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Jakarta'}
{'statement': 'Between Buenos Aires and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Buenos Aires'}
{'statement': 'Between Ankara and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Ankara'}
{'statement': 'Between Hanoi and Jakarta, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Jakarta'}
{'statement': 'Between San Diego and Jakarta, the smaller city is San Diego.', 'answer': 'San Diego', 'candidate': 'Jakarta'}
{'statement': 'Between Chicago and Berlin, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Chicago'}
{'statement': 'Between Cairo and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Cairo'}
{'statement': 'Between Oslo and Houston, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Houston'}
{'statement': 'Between Belgrade and Chicago, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Chicago'}
{'statement': 'Between Guangzhou and Luanda, the smaller city is Luanda.', 'answer': 'Luanda', 'candidate': 'Guangzhou'}
{'statement': 'Between Paris and Bamako, the smaller city is Bamako.', 'answer': 'Bamako', 'candidate': 'Paris'}
{'statement': 'Between Johannesburg and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Johannesburg'}
{'statement': 'Between Pontianak and Riyadh, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Riyadh'}
{'statement': 'Between Kabul and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Kabul'}
{'statement': 'Between Fianarantsoa and Guadalajara, the smaller city is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Guadalajara'}
{'statement': 'Between Skopje and Lagos, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Lagos'}
{'statement': 'Between London and Dar es Salaam, the smaller city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'London'}
{'statement': 'Between Oslo and Tampa, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Tampa'}
{'statement': 'Between Moscow and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Moscow'}
{'statement': 'Between Ulaanbaatar and Ho Chi Minh City, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Sapporo and Mumbai, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Mumbai'}
{'statement': 'Between Bogotá and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Bogotá'}
{'statement': 'Between San Diego and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'San Diego'}
{'statement': 'Between Lomé and Karachi, the smaller city is Lomé.', 'answer': 'Lomé', 'candidate': 'Karachi'}
{'statement': 'Between Rome and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Rome'}
{'statement': 'Between Nur-Sultan and Ürümqi, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Ürümqi'}
{'statement': 'Between Johannesburg and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Johannesburg'}
{'statement': 'Between Moscow and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Moscow'}
{'statement': 'Between Niamey and Ürümqi, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Ürümqi'}
{'statement': 'Between Hanoi and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Hanoi'}
{'statement': 'Between Tashkent and Baghdad, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Baghdad'}
{'statement': 'Between Ankara and Ho Chi Minh City, the smaller city is Ankara.', 'answer': 'Ankara', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Mendoza and Ankara, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Ankara'}
{'statement': 'Between Riyadh and Punta Arenas, the smaller city is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Riyadh'}
{'statement': 'Between La Paz and Rome, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Rome'}
{'statement': 'Between Melbourne and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Melbourne'}
{'statement': 'Between Phoenix and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Phoenix'}
{'statement': 'Between Guangzhou and Kingston, the smaller city is Kingston.', 'answer': 'Kingston', 'candidate': 'Guangzhou'}
{'statement': 'Between Palembang and Bangkok, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Bangkok'}
{'statement': 'Between Harare and Buenos Aires, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Buenos Aires'}
{'statement': 'Between Nakhon Ratchasima and Ankara, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Ankara'}
{'statement': 'Between Kampala and Beijing, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Beijing'}
