{'statement': 'Between Guadalajara and Kansas City, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kansas City'}
{'statement': 'Between Nairobi and Bahía Blanca, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Johannesburg and Makassar, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Makassar'}
{'statement': 'Between Bangkok and Muscat, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Muscat'}
{'statement': 'Between Paris and Makassar, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Makassar'}
{'statement': 'Between Los Angeles and Cotonou, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Cotonou'}
{'statement': 'Between Dar es Salaam and Phoenix, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Bujumbura, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Bujumbura'}
{'statement': 'Between Baku and La Serena, the bigger city is Baku.', 'answer': 'Baku', 'candidate': 'La Serena'}
{'statement': 'Between Riyadh and Palmerston North, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Palmerston North'}
{'statement': 'Between Surabaya and Podgorica, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Podgorica'}
{'statement': 'Between Shanghai and Denver, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Denver'}
{'statement': 'Between Nairobi and Lhasa, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lhasa'}
{'statement': 'Between Douala and Zürich, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Zürich'}
{'statement': 'Between Lahore and Mahajanga, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Mahajanga'}
{'statement': 'Between Alexandria and Sucre, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Sucre'}
{'statement': 'Between Kuwait City and Rangpur, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Rangpur'}
{'statement': 'Between Beijing and Fukuoka, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Fukuoka'}
{'statement': 'Between Tampa and Mendoza, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Mendoza'}
{'statement': 'Between Tampa and San Juan, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'San Juan'}
{'statement': 'Between Lagos and Napier, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Napier'}
{'statement': 'Between Dar es Salaam and Tripoli, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Tripoli'}
{'statement': 'Between Fukuoka and Nouadhibou, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': 'Between Melbourne and Mombasa, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Mombasa'}
{'statement': 'Between Hanoi and Canberra, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Canberra'}
{'statement': 'Between Toronto and Fairbanks, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Fairbanks'}
{'statement': 'Between Houston and Denpasar, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Denpasar'}
{'statement': 'Between Brasília and Albuquerque, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Albuquerque'}
{'statement': 'Between Mumbai and Kunming, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Kunming'}
{'statement': 'Between Addis Ababa and Piura, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Piura'}
{'statement': 'Between Ankara and San Antonio, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'San Antonio'}
{'statement': 'Between Brisbane and Port Moresby, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Port Moresby'}
{'statement': 'Between Surabaya and Rangpur, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Rangpur'}
{'statement': 'Between Lahore and Canberra, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Canberra'}
{'statement': 'Between Jakarta and Yerevan, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Yerevan'}
{'statement': 'Between London and Antofagasta, the bigger city is London.', 'answer': 'London', 'candidate': 'Antofagasta'}
{'statement': 'Between Dar es Salaam and La Paz, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'La Paz'}
{'statement': 'Between Ankara and Garoua, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Garoua'}
{'statement': 'Between Santiago and Mexicali, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Mexicali'}
{'statement': 'Between Sydney and Perth, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Perth'}
{'statement': 'Between Minneapolis and Bahía Blanca, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Minneapolis and Lviv, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Lviv'}
{'statement': 'Between Kabul and Tirana, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Tirana'}
{'statement': 'Between Manila and Kathmandu, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Kathmandu'}
{'statement': 'Between Lagos and Nouadhibou, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Nouadhibou'}
{'statement': 'Between Los Angeles and San Salvador, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'San Salvador'}
{'statement': 'Between Santiago and San José, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'San José'}
{'statement': 'Between Kuwait City and Kansas City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Kansas City'}
{'statement': 'Between Guangzhou and Valencia, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Valencia'}
{'statement': 'Between Moscow and Dublin, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Dublin'}
{'statement': 'Between Alexandria and San Antonio, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'San Antonio'}
{'statement': 'Between Paris and El Paso, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'El Paso'}
{'statement': 'Between Kano and Rangpur, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Rangpur'}
{'statement': 'Between Monterrey and Saskatoon, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Saskatoon'}
{'statement': 'Between Yaoundé and Suva, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Suva'}
{'statement': 'Between Phoenix and Parakou, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Parakou'}
{'statement': 'Between Dar es Salaam and La Ceiba, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'La Ceiba'}
{'statement': 'Between Houston and Río Gallegos, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Río Gallegos'}
{'statement': 'Between Mumbai and Ljubljana, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ljubljana'}
{'statement': 'Between Melbourne and Auckland, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Auckland'}
{'statement': 'Between Lahore and Palmerston North, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Palmerston North'}
{'statement': 'Between San Diego and Florianópolis, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Florianópolis'}
{'statement': 'Between Ho Chi Minh City and Valencia, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Valencia'}
{'statement': 'Between Melbourne and Tripoli, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Tripoli'}
{'statement': 'Between Ankara and Tamanrasset, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Tamanrasset'}
{'statement': 'Between Medellín and Suva, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Suva'}
{'statement': 'Between Los Angeles and Thiès, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Thiès'}
{'statement': 'Between Tashkent and Fairbanks, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Fairbanks'}
{'statement': 'Between Cairo and Vladivostok, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Vladivostok'}
{'statement': 'Between Perth and Port-Gentil, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Port-Gentil'}
{'statement': 'Between Mumbai and Ndola, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ndola'}
{'statement': 'Between Yaoundé and Mahajanga, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Mahajanga'}
{'statement': 'Between Jakarta and Napier, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Napier'}
{'statement': 'Between Riyadh and Beirut, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Beirut'}
{'statement': 'Between Johannesburg and Palembang, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Palembang'}
{'statement': 'Between Monterrey and Sucre, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Sucre'}
{'statement': 'Between Addis Ababa and Halifax, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Halifax'}
{'statement': 'Between Los Angeles and Porto Alegre, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Porto Alegre'}
{'statement': 'Between Houston and Bahía Blanca, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Baghdad and Lhasa, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Lhasa'}
{'statement': 'Between Riyadh and Douala, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Douala'}
{'statement': 'Between Kabul and Panama City, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Panama City'}
{'statement': 'Between Phoenix and Yakutsk, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Yakutsk'}
{'statement': 'Between Shanghai and Alexandria, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Alexandria'}
{'statement': 'Between Chicago and Porto Alegre, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Porto Alegre'}
{'statement': 'Between Lahore and Tabora, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Tabora'}
{'statement': 'Between Karachi and Asmara, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Asmara'}
{'statement': 'Between Lagos and Ushuaia, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Ushuaia'}
{'statement': 'Between Surabaya and Makassar, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Makassar'}
{'statement': 'Between Algiers and Napier, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Napier'}
{'statement': 'Between Guangzhou and Ouahigouya, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ouahigouya'}
{'statement': 'Between Moscow and Parakou, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Parakou'}
{'statement': 'Between Alexandria and Copenhagen, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Copenhagen'}
{'statement': 'Between Bogotá and Irkutsk, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Irkutsk'}
{'statement': 'Between Denver and Napier, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Napier'}
{'statement': 'Between Brasília and Hat Yai, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Hat Yai'}
{'statement': 'Between Berlin and Dublin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Dublin'}
{'statement': 'Between Hanoi and Garissa, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Garissa'}
{'statement': 'Between Ankara and Parakou, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Parakou'}
{'statement': 'Between Tashkent and Malabo, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Malabo'}
{'statement': 'Between Bangkok and Brussels, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Brussels'}
{'statement': 'Between Paris and Vientiane, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Vientiane'}
{'statement': 'Between Guadalajara and Pretoria, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Pretoria'}
{'statement': 'Between Cairo and Ouahigouya, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Ouahigouya'}
{'statement': 'Between Cairo and Belize City, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Belize City'}
{'statement': 'Between Surabaya and Gabès, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Gabès'}
{'statement': 'Between Brasília and Oslo, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Oslo'}
{'statement': 'Between London and Lviv, the bigger city is London.', 'answer': 'London', 'candidate': 'Lviv'}
{'statement': 'Between Santiago and Calgary, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Calgary'}
{'statement': 'Between Lahore and Yerevan, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Yerevan'}
{'statement': 'Between Bogotá and Benghazi, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Benghazi'}
{'statement': 'Between Alexandria and Ljubljana, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Ljubljana'}
{'statement': 'Between Surabaya and Cotonou, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Cotonou'}
{'statement': 'Between Addis Ababa and Cayenne, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cayenne'}
{'statement': 'Between Medellín and Napier, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Napier'}
{'statement': 'Between Hanoi and Mandalay, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Mandalay'}
{'statement': 'Between San Diego and Irkutsk, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Irkutsk'}
{'statement': 'Between Monterrey and Caracas, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Caracas'}
{'statement': 'Between London and Sokoto, the bigger city is London.', 'answer': 'London', 'candidate': 'Sokoto'}
{'statement': 'Between London and Hanoi, the bigger city is London.', 'answer': 'London', 'candidate': 'Hanoi'}
{'statement': 'Between Manila and Karachi, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Karachi'}
{'statement': 'Between Nairobi and Nouadhibou, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Nouadhibou'}
{'statement': 'Between Paris and Porto Alegre, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Porto Alegre'}
{'statement': 'Between Melbourne and Lyon, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lyon'}
{'statement': 'Between Dar es Salaam and Mombasa, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Mombasa'}
{'statement': 'Between Lahore and Lhasa, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Lhasa'}
{'statement': 'Between Beijing and Río Gallegos, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Río Gallegos'}
{'statement': 'Between Los Angeles and Hat Yai, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Hat Yai'}
{'statement': 'Between Johannesburg and Malabo, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Malabo'}
{'statement': 'Between Saint Petersburg and Auckland, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Auckland'}
{'statement': 'Between Denver and Antsiranana, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Antsiranana'}
{'statement': 'Between Addis Ababa and Skopje, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Skopje'}
{'statement': 'Between Mumbai and Mandalay, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mandalay'}
{'statement': 'Between Ankara and Honolulu, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Honolulu'}
{'statement': 'Between Kano and Nakhon Ratchasima, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Moscow and Amsterdam, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Amsterdam'}
{'statement': 'Between Karachi and Baghdad, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Baghdad'}
{'statement': 'Between Manila and Phnom Penh, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Phnom Penh'}
{'statement': 'Between Melbourne and Caracas, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Caracas'}
{'statement': 'Between Lima and Abéché, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Abéché'}
{'statement': 'Between Luanda and Ushuaia, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Ushuaia'}
{'statement': 'Between Lima and Houston, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Houston'}
{'statement': 'Between Moscow and Rome, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Rome'}
{'statement': 'Between Yaoundé and Cabo San Lucas, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Jakarta and Omaha, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Omaha'}
{'statement': 'Between Baghdad and San Juan, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'San Juan'}
{'statement': 'Between Karachi and Beirut, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Beirut'}
{'statement': 'Between Baghdad and Kuopio, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Kuopio'}
