{'statement': "You don't like cheap restaurants. Between Branca and Piper's Pub And Grill, you should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like cheap restaurants. Between Carole's Cheesecake Cafe and McDonald's, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Bonne Journee, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Juice & Java Cafe and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like cheap restaurants. Between Amaya Express and The Empire, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Delicious Paradise Kitchen and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Delicious Paradise Kitchen and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between La Pupusa Loka and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like cheap restaurants. Between Aris Place and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Tierra Azteca, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Just Soups Take Out & Catering and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Falafel House, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Falafel House and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Domino's Pizza and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "Domino's Pizza"}
{'statement': "You don't like cheap restaurants. Between Nook and Sizzlers, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Sushi Time Japanese Restaurant and Supermodel Pizza, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Tian An Cuisine and Big Al's Diner, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between To-ne Sushi and Smoke's Weinerie, you should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Aris Place and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Dinah's Cupboard and Marcello’s pizzeria, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and La Cocina De Dona Luz, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Smoke's Weinerie, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and Banjara Indian Cuisine, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Juice & Java Cafe and Cafe Jules, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sushi World, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Sushi World and Taste of Greek Cuisine, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Eggspectation and Chick Fiesta, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Dangerous Dan's Diner and Green Room, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and JJ Bean, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Capitol Trattoria Pizzeria and Bake Island, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Milo's Pita, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Pisco 1641, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Pisco 1641'}
{'statement': "You don't like cheap restaurants. Between Green Grotto and Evoo Ristorante, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Green Grotto'}
{'statement': "You don't like cheap restaurants. Between Aris Place and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Goldstone Noodle Restaurant, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between New Bilan Restaurant and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and Milestones Restaurants, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': "You don't like cheap restaurants. Between Topham Corner and Supermodel Pizza, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Queen Pita and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Le Papillon Park and Milo's Pita, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Bagel Nash and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Juice & Java Cafe, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like cheap restaurants. Between Villa Madina and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Nook and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Nook'}
{'statement': "You don't like cheap restaurants. Between Solero Mediterranean Bakery and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between New Bilan Restaurant and Dangerous Dan's Diner, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Modo Mio Italian Bistro and Buk Chang Dong Soon Tofu, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between Eastern legend and Cantine Bar & Grill, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between St. Louis Bar & Grill and Milo's Pita, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and McDonald's, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Helena's Magic Kitchen, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and Amaya Express, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Amaya Express'}
{'statement': "You don't like cheap restaurants. Between Taste of Greek Cuisine and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Capitol Trattoria Pizzeria, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Mamma's Pizza and Pisco 1641, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Capitol Trattoria Pizzeria and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Harvey's, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Eastern legend and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Freshii and Aris Place, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between FreshCo and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'FreshCo'}
{'statement': "You don't like cheap restaurants. Between Evoo Ristorante and Watson's, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Watson's"}
{'statement': "You don't like cheap restaurants. Between 9 Restaurant and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': '9 Restaurant'}
{'statement': "You don't like cheap restaurants. Between EJ Sushi and Top Sushi, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Supermodel Pizza, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between FreshCo and Shawarma Twist, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and St. Clair Shawarma and Falafel, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between It's All Grk and Pho 88, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and Chick Fiesta, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between El Fogón and Druxy's Famous Deli, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Dangerous Dan's Diner, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like cheap restaurants. Between Bake Island and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Bonne Journee and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Chipotle Mexican Grill and The Empire, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Amaya Express and Adega Restaurante, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Amaya Express'}
{'statement': "You don't like cheap restaurants. Between Basha Middle Eastern Grill and Sushi World, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Tian An Cuisine, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Carole's Cheesecake Cafe and Bagel Nash, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Assembly Chef's Hall and Sushi World, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Freshii and Hapa Toronto, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Freshii'}
{'statement': "You don't like cheap restaurants. Between Breakfast Room and Fitness Avenue, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Top Sushi, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Banjara Indian Cuisine and Villa Madina, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Watson's and Madras Pantry, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Thai 4 You Restaurant and Green Room, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Pizza Pizza and LCBO, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Aroma Espresso Bar and Falafel House, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between It's All Grk and Chick Fiesta, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and The Empire, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Itamae Ayce Sushi and Adega Restaurante, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and EJ Sushi, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Nook, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Solero Mediterranean Bakery and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Branca and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Branca'}
{'statement': "You don't like cheap restaurants. Between La Pupusa Loka and Bagel Nash, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Sushi Time Japanese Restaurant and Eastern legend, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Pizza Pizza and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between El Fogón and Delicious Paradise Kitchen, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Bagel Nash, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Milo's Pita and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Aris Place and Carole's Cheesecake Cafe, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Madras Pantry and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Sizzlers and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and Freshii, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Freshii'}
{'statement': "You don't like cheap restaurants. Between Milestones Restaurants and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Milestones Restaurants'}
{'statement': "You don't like cheap restaurants. Between Milo's Pita and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Carole's Cheesecake Cafe and Chick Fiesta, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Modo Mio Italian Bistro and Chick Fiesta, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Mirage Grill & Lounge and Evoo Ristorante, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like cheap restaurants. Between Pizzeria Via Mercanti and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like cheap restaurants. Between Adega Restaurante and Just Soups Take Out & Catering, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and Bonne Journee, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Lebanese Bakery and Fit For Life, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Fit For Life'}
{'statement': "You don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Mi Mi Restaurant, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like cheap restaurants. Between Le Papillon Park and KFC, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and La Pupusa Loka, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like cheap restaurants. Between Kairali - Taste of Kerala and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like cheap restaurants. Between Chick Fiesta and Sheriff Broaster Chicken, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like cheap restaurants. Between Amaya Express and Pizza Pizza, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Bagel Nash and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and To-ne Sushi, you should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Fit For Life and Marcello’s pizzeria, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Fit For Life'}
{'statement': "You don't like cheap restaurants. Between Sushi World and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Dangerous Dan's Diner and KFC, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Green Room and Sheriff Broaster Chicken, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Green Room'}
