{'statement': "I don't like restaurants further away. Between Mi Mi Restaurant and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between St. Clair Shawarma and Falafel and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between Basil Express Restaurant and Modo Mio Italian Bistro, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like restaurants further away. Between Bagel Nash and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Bagel Nash'}
{'statement': "I don't like restaurants further away. Between Tortería San Cosme and Cake Opera, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Cake Opera'}
{'statement': "I don't like restaurants further away. Between Fit For Life and Carole's Cheesecake Cafe, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like restaurants further away. Between St. Louis Bar & Grill and Eggspectation, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Chipotle Mexican Grill and Eggspectation, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Branca and Tierra Azteca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between Kibo Sushi House and Ici Bistro, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Adega Restaurante and Ici Bistro, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Topham Corner and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Topham Corner'}
{'statement': "I don't like restaurants further away. Between Ici Bistro and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Beryl's Pepper Pot and Assembly Chef's Hall, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like restaurants further away. Between St. Clair Shawarma and Falafel and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Tian An Cuisine and EJ Sushi, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'EJ Sushi'}
{'statement': "I don't like restaurants further away. Between Shawarma Twist and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Shawarma Twist'}
{'statement': "I don't like restaurants further away. Between Phil's Original BBQ and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like restaurants further away. Between Magic Oven and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Queen Pita and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Druxy's Famous Deli and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like restaurants further away. Between Topham Corner and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Topham Corner'}
{'statement': "I don't like restaurants further away. Between Chipotle Mexican Grill and EJ Sushi, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'EJ Sushi'}
{'statement': "I don't like restaurants further away. Between Joe Badali's Ristorante Italiano & Bar and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like restaurants further away. Between St. Louis Bar & Grill and Edible Arrangements, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like restaurants further away. Between Goldstone Noodle Restaurant and Ici Bistro, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like restaurants further away. Between Falafel House and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Falafel House'}
{'statement': "I don't like restaurants further away. Between Mt Everest Restaurant and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like restaurants further away. Between Lahore Grill & Fast Food and Freshii, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between Tik Talk Cafe and Verona Restaurant, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like restaurants further away. Between Mt Everest Restaurant and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like restaurants further away. Between Grappa Ristorante and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between Sichuan Landscape Chinese Restaurant and Galata Cafe, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "I don't like restaurants further away. Between Delicious Paradise Kitchen and New Bilan Restaurant, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Kairali - Taste of Kerala and New Bilan Restaurant, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Pisco 1641 and Sushi Time Japanese Restaurant, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like restaurants further away. Between The Coffee Pocket and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between Bonne Journee and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Bonne Journee'}
{'statement': "I don't like restaurants further away. Between Tik Talk Cafe and The Coffee Pocket, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between Chipotle Mexican Grill and Pizzeria Via Mercanti, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I don't like restaurants further away. Between Pizza Pizza and Big Al's Diner, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Big Al's Diner"}
{'statement': "I don't like restaurants further away. Between Verona Restaurant and Sheriff Broaster Chicken, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like restaurants further away. Between Edible Arrangements and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like restaurants further away. Between Sushi World and New Bilan Restaurant, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Amaya Express and Sweet Jesus, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like restaurants further away. Between Goldstone Noodle Restaurant and Big Al's Diner, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "I don't like restaurants further away. Between Phil's Original BBQ and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like restaurants further away. Between The Coffee Pocket and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between Shawarma Twist and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Shawarma Twist'}
{'statement': "I don't like restaurants further away. Between Dinah's Cupboard and St. Clair Shawarma and Falafel, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Breakfast Room and Bonne Journee, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "I don't like restaurants further away. Between Daily Press Juicery and Magic Oven, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Mt Everest Restaurant and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like restaurants further away. Between Fitness Avenue and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Fitness Avenue'}
{'statement': "I don't like restaurants further away. Between Bake Island and The Coffee Pocket, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between El Fogón and Edible Arrangements, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like restaurants further away. Between Phil's Original BBQ and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like restaurants further away. Between Shawarma Twist and It's All Grk, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Shawarma Twist'}
{'statement': "I don't like restaurants further away. Between Magic Oven and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between z-teca Gourmet Burritos and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Chipotle Mexican Grill and Shawarma Twist, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like restaurants further away. Between Queen Slice and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Queen Slice'}
{'statement': "I don't like restaurants further away. Between Viccino Pizzeria and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Viccino Pizzeria'}
{'statement': "I don't like restaurants further away. Between Smoke's Weinerie and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like restaurants further away. Between El Fogón and Bagel Nash, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Bagel Nash'}
{'statement': "I don't like restaurants further away. Between Hawthorne Food and Drink and The Coffee Pocket, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between New Bilan Restaurant and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Piper's Pub And Grill and Top Sushi, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Top Sushi'}
{'statement': "I don't like restaurants further away. Between Top Sushi and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Top Sushi'}
{'statement': "I don't like restaurants further away. Between Cafe Jules and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "I don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and St. Clair Shawarma and Falafel, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Freshii and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between z-teca Gourmet Burritos and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Bagel Nash and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Bagel Nash'}
{'statement': "I don't like restaurants further away. Between Sizzlers and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I don't like restaurants further away. Between Hina Sushi and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Hina Sushi'}
{'statement': "I don't like restaurants further away. Between z-teca Gourmet Burritos and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Fit For Life and Tierra Azteca, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between Bagel Nash and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "I don't like restaurants further away. Between McDonald's and Cafe Jules, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "I don't like restaurants further away. Between Carole's Cheesecake Cafe and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like restaurants further away. Between The Coffee Pocket and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between Nutella Cafe by Pusateri's and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like restaurants further away. Between Milo's Pita and Edible Arrangements, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Edible Arrangements'}
{'statement': "I don't like restaurants further away. Between Green Grotto and Falafel House, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Falafel House'}
