{'statement': "I'm looking for restaurants further away. Between JJ Bean and Sushi Shop, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between St. Louis Bar & Grill and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Freshii and Oxygen Restaurant & Lounge, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for restaurants further away. Between Freshii and Kim PO Vietnamese, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for restaurants further away. Between Assembly Chef's Hall and Mysteriously Yours Dinner Theatre, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between Queen Pita and Paradise Farms Prime Beef Bistro, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for restaurants further away. Between Big Al's Diner and Tik Talk Cafe, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for restaurants further away. Between To-ne Sushi and Thai 4 You Restaurant, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between Grappa Ristorante and Cantine Bar & Grill, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Kairali - Taste of Kerala and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Itamae Ayce Sushi and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for restaurants further away. Between Harvey's and To-ne Sushi, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Harvey's"}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Chipotle Mexican Grill, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between Madras Pantry and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between Hina Sushi and Sky Dragon Chinese Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Mövenpick Café and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for restaurants further away. Between Cake Opera and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for restaurants further away. Between Madras Pantry and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for restaurants further away. Between FreshCo and Evoo Ristorante, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for restaurants further away. Between Fit For Life and Bao Bao Plus Dim Sum, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Queen Pita and Basil Express Restaurant, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Anatolia Restaurant and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for restaurants further away. Between It's All Grk and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': "It's All Grk"}
{'statement': "I'm looking for restaurants further away. Between Basha Middle Eastern Grill and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I'm looking for restaurants further away. Between New Bilan Restaurant and Tim Hortons, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for restaurants further away. Between Lahore Grill & Fast Food and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for restaurants further away. Between z-teca Gourmet Burritos and JJ Bean, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants further away. Between The Empire and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'The Empire'}
{'statement': "I'm looking for restaurants further away. Between Goldstone Noodle Restaurant and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Freshii and Sushi Shop, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between Bao Bao Plus Dim Sum and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I'm looking for restaurants further away. Between Ardor Bistro and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for restaurants further away. Between Roncy's Bean and Harry's Char Broil & Dining Lounge, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for restaurants further away. Between Roncy's Bean and Le Papillon Park, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Tierra Azteca and Juice & Java Cafe, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between Basha Middle Eastern Grill and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I'm looking for restaurants further away. Between Verona Restaurant and Sushi Shop, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between Sizzlers and Just Soups Take Out & Catering, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for restaurants further away. Between Mirage Grill & Lounge and Lebanese Bakery, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Lebanese Bakery'}
{'statement': "I'm looking for restaurants further away. Between LCBO and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'LCBO'}
{'statement': "I'm looking for restaurants further away. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Queen Pita and Mysteriously Yours Dinner Theatre, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Evoo Ristorante, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for restaurants further away. Between Kairali - Taste of Kerala and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Big Al's Diner and Fit For Life, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Sichuan Landscape Chinese Restaurant and Hina Sushi, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Piper's Pub And Grill and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between Roncy's Bean and Dinah's Cupboard, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for restaurants further away. Between Breakfast Room and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Daily Press Juicery and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Daily Press Juicery'}
{'statement': "I'm looking for restaurants further away. Between Tian An Cuisine and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for restaurants further away. Between Roncy's Bean and Madras Pantry, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between Falafel House and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Falafel House'}
{'statement': "I'm looking for restaurants further away. Between Chipotle Mexican Grill and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between Basil Express Restaurant and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Capitol Trattoria Pizzeria and Dinah's Cupboard, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for restaurants further away. Between Itamae Ayce Sushi and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for restaurants further away. Between El Fogón and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'El Fogón'}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Mysteriously Yours Dinner Theatre, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and Piper's Pub And Grill, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Watson's, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Watson's"}
{'statement': "I'm looking for restaurants further away. Between Tortería San Cosme and Fitness Avenue, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Tortería San Cosme'}
{'statement': "I'm looking for restaurants further away. Between Warung Indonesia D'Eglinton and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between Queen Pita and Kim PO Vietnamese, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for restaurants further away. Between Modo Mio Italian Bistro and Mysteriously Yours Dinner Theatre, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Ardor Bistro, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for restaurants further away. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Ici Bistro and JJ Bean, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants further away. Between Evoo Ristorante and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for restaurants further away. Between Juice & Java Cafe and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between Harvey's and Tortería San Cosme, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Tortería San Cosme'}
{'statement': "I'm looking for restaurants further away. Between Delicious Paradise Kitchen and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for restaurants further away. Between Druxy's Famous Deli and Kibo Sushi House, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Kibo Sushi House'}
{'statement': "I'm looking for restaurants further away. Between Green Room and Le Papillon Park, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for restaurants further away. Between Kim PO Vietnamese and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for restaurants further away. Between Goldstone Noodle Restaurant and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between St. Clair Shawarma and Falafel and Madras Pantry, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for restaurants further away. Between El Fogón and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'El Fogón'}
{'statement': "I'm looking for restaurants further away. Between Galata Cafe and Fit For Life, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Cafe Jules and Piper's Pub And Grill, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for restaurants further away. Between Assembly Chef's Hall and Edible Arrangements, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for restaurants further away. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Milestones Restaurants and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': "I'm looking for restaurants further away. Between Mi Mi Restaurant and Paradise Farms Prime Beef Bistro, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for restaurants further away. Between Tim Hortons and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for restaurants further away. Between Tian An Cuisine and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Chick Fiesta, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for restaurants further away. Between Sizzlers and Maurya East Indian Roti, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I'm looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between It's All Grk and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': "It's All Grk"}
{'statement': "I'm looking for restaurants further away. Between Viccino Pizzeria and Dangerous Dan's Diner, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for restaurants further away. Between Mövenpick Café and Juice & Java Cafe, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between Fitness Avenue and It's All Grk, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "It's All Grk"}
{'statement': "I'm looking for restaurants further away. Between Queen Pita and JJ Bean, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants further away. Between Mövenpick Café and Madras Pantry, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between LCBO and Delicious Paradise Kitchen, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for restaurants further away. Between Popeyes Louisiana Kitchen and Sushi Shop, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between FreshCo and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'FreshCo'}
{'statement': "I'm looking for restaurants further away. Between Ardor Bistro and Green Grotto, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for restaurants further away. Between Tortería San Cosme and Pasta Pantry, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Tortería San Cosme'}
{'statement': "I'm looking for restaurants further away. Between Solero Mediterranean Bakery and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for restaurants further away. Between Falafel House and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel House'}
{'statement': "I'm looking for restaurants further away. Between La Cocina De Dona Luz and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I'm looking for restaurants further away. Between Dangerous Dan's Diner and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for restaurants further away. Between It's All Grk and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "It's All Grk"}
{'statement': "I'm looking for restaurants further away. Between Evoo Ristorante and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and Lahore Grill & Fast Food, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for restaurants further away. Between Cafe Jules and Sky Dragon Chinese Restaurant, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Mövenpick Café and Warung Indonesia D'Eglinton, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between Cake Opera and Supermodel Pizza, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for restaurants further away. Between Dinah's Cupboard and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for restaurants further away. Between Edible Arrangements and Just Soups Take Out & Catering, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for restaurants further away. Between Nook and Cantine Bar & Grill, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Hina Sushi and 9 Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': '9 Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Mi Mi Restaurant and Branca, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Branca'}
{'statement': "I'm looking for restaurants further away. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Falafel Hut Village and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for restaurants further away. Between Kim PO Vietnamese and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for restaurants further away. Between Tim Hortons and Daily Press Juicery, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "I'm looking for restaurants further away. Between Falafel Hut Village and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for restaurants further away. Between Bagel Nash and Harry's Char Broil & Dining Lounge, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Harry's Char Broil & Dining Lounge"}
