{'statement': 'Between London and Milan, the bigger city is London.', 'answer': 'London', 'candidate': 'Milan'}
{'statement': 'Between Brasília and Sokoto, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Sokoto'}
{'statement': 'Between Buenos Aires and Ljubljana, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Ljubljana'}
{'statement': 'Between Sydney and Bujumbura, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Bujumbura'}
{'statement': 'Between Moscow and Bangui, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Bangui'}
{'statement': 'Between Karachi and Amsterdam, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Amsterdam'}
{'statement': 'Between Beijing and Honolulu, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Honolulu'}
{'statement': 'Between Nairobi and Denver, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Denver'}
{'statement': 'Between Buenos Aires and Kathmandu, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Kathmandu'}
{'statement': 'Between Johannesburg and Bishkek, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Bishkek'}
{'statement': 'Between Kabul and Tauranga, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Tauranga'}
{'statement': 'Between Paris and Phnom Penh, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Phnom Penh'}
{'statement': 'Between Los Angeles and Anchorage, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Anchorage'}
{'statement': 'Between Fukuoka and Tauranga, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Tauranga'}
{'statement': 'Between Sydney and San Antonio, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'San Antonio'}
{'statement': 'Between Moscow and Florianópolis, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Florianópolis'}
{'statement': 'Between Riyadh and Asmara, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Asmara'}
{'statement': 'Between Houston and Lake Havasu City, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Minneapolis and Nakhon Ratchasima, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Houston and Bahía Blanca, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Moscow and Dodoma, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Dodoma'}
{'statement': 'Between Minneapolis and Santiago del Estero, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Santiago del Estero'}
{'statement': 'Between Manila and Baltimore, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Baltimore'}
{'statement': 'Between Alexandria and Palmerston North, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Palmerston North'}
{'statement': 'Between Buenos Aires and Pittsburgh, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Pittsburgh'}
{'statement': 'Between Tampa and Chihuahua, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Chihuahua'}
{'statement': 'Between Beijing and Ndola, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Ndola'}
{'statement': 'Between Ankara and Parakou, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Parakou'}
{'statement': 'Between London and Mahajanga, the bigger city is London.', 'answer': 'London', 'candidate': 'Mahajanga'}
{'statement': 'Between Bangkok and Kampala, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Kampala'}
{'statement': 'Between Beijing and Guadalajara, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Guadalajara'}
{'statement': 'Between Monterrey and Frankfurt, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Frankfurt'}
{'statement': 'Between Cairo and Aden, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Aden'}
{'statement': 'Between London and Punta Arenas, the bigger city is London.', 'answer': 'London', 'candidate': 'Punta Arenas'}
{'statement': 'Between Harare and Toliara, the bigger city is Harare.', 'answer': 'Harare', 'candidate': 'Toliara'}
{'statement': 'Between Beijing and Baghdad, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Baghdad'}
{'statement': 'Between Bogotá and Christchurch, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Christchurch'}
{'statement': 'Between Ankara and Halifax, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Halifax'}
{'statement': 'Between Toronto and Kansas City, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Kansas City'}
{'statement': 'Between Brasília and Valencia, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Valencia'}
{'statement': 'Between Minneapolis and Entebbe, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Entebbe'}
{'statement': 'Between Phoenix and Toamasina, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Toamasina'}
{'statement': 'Between Phoenix and Erbil, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Erbil'}
{'statement': 'Between Ho Chi Minh City and Anchorage, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Anchorage'}
{'statement': 'Between Bangkok and San José, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'San José'}
{'statement': 'Between Chicago and Baghdad, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Baghdad'}
{'statement': 'Between Lagos and La Serena, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'La Serena'}
{'statement': 'Between Tampa and Panama City, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Panama City'}
{'statement': 'Between Lagos and Erzurum, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Erzurum'}
{'statement': 'Between Lagos and Saint Petersburg, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Lahore and Conakry, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Conakry'}
{'statement': 'Between Baghdad and Fukuoka, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Fukuoka'}
{'statement': 'Between Toronto and Harare, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Harare'}
{'statement': 'Between Houston and Hat Yai, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Hat Yai'}
{'statement': 'Between Buenos Aires and Beirut, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Beirut'}
{'statement': 'Between Lagos and Vienna, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Vienna'}
{'statement': 'Between London and Berlin, the bigger city is London.', 'answer': 'London', 'candidate': 'Berlin'}
{'statement': 'Between Mexico City and Bucharest, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Bucharest'}
{'statement': 'Between Kuwait City and Tamanrasset, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Tamanrasset'}
{'statement': 'Between Cairo and Piura, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Piura'}
{'statement': 'Between San Diego and Campos do Jordão, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Brisbane and Canberra, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Canberra'}
{'statement': 'Between Tampa and Dodoma, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Dodoma'}
{'statement': 'Between Lagos and Nur-Sultan, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Manila and Sucre, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Sucre'}
{'statement': 'Between Berlin and Denpasar, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Denpasar'}
{'statement': 'Between Yaoundé and Boise, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Boise'}
{'statement': 'Between Karachi and Kathmandu, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Kathmandu'}
{'statement': 'Between Lahore and Almaty, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Almaty'}
{'statement': 'Between Ho Chi Minh City and La Ceiba, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'La Ceiba'}
{'statement': 'Between Denver and Anchorage, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Anchorage'}
{'statement': 'Between Lima and Kathmandu, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Kathmandu'}
{'statement': 'Between Riyadh and Beirut, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Beirut'}
{'statement': 'Between Los Angeles and Lisbon, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Lisbon'}
{'statement': 'Between Buenos Aires and Sapporo, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Sapporo'}
{'statement': 'Between Monterrey and Tamanrasset, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Tamanrasset'}
{'statement': 'Between London and Beirut, the bigger city is London.', 'answer': 'London', 'candidate': 'Beirut'}
{'statement': 'Between Riyadh and Darwin, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Darwin'}
{'statement': 'Between Nairobi and Lviv, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lviv'}
{'statement': 'Between Chicago and Panama City, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Panama City'}
{'statement': 'Between Ho Chi Minh City and Viedma, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Viedma'}
{'statement': 'Between Saint Petersburg and Bergen, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Bergen'}
{'statement': 'Between Minneapolis and Oslo, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Oslo'}
{'statement': 'Between Saint Petersburg and Benghazi, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Benghazi'}
{'statement': 'Between Tampa and Bata, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Bata'}
{'statement': 'Between Sydney and Viedma, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Viedma'}
{'statement': 'Between Yaoundé and Port Moresby, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Port Moresby'}
{'statement': 'Between Los Angeles and Indianapolis, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Indianapolis'}
{'statement': 'Between Moscow and Yakutsk, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Yakutsk'}
{'statement': 'Between Lagos and Kingston, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Kingston'}
{'statement': 'Between Buenos Aires and Rosario, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Rosario'}
{'statement': 'Between Addis Ababa and Copenhagen, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Copenhagen'}
{'statement': 'Between Guangzhou and Addis Ababa, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Addis Ababa'}
{'statement': 'Between Mexico City and Calgary, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Calgary'}
{'statement': 'Between Johannesburg and San Juan, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'San Juan'}
{'statement': 'Between Houston and Viedma, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Viedma'}
{'statement': 'Between Algiers and Villahermosa, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Villahermosa'}
{'statement': 'Between Monterrey and Hat Yai, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Hat Yai'}
{'statement': 'Between Kuwait City and Reykjavík, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Reykjavík'}
{'statement': 'Between Jakarta and Minsk, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Minsk'}
{'statement': 'Between Dar es Salaam and Omaha, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Omaha'}
{'statement': 'Between Baghdad and Frankfurt, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Frankfurt'}
{'statement': 'Between Denver and Makurdi, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Makurdi'}
{'statement': 'Between Bangkok and Medellín, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Medellín'}
{'statement': 'Between Lagos and Toluca, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Toluca'}
{'statement': 'Between Riyadh and Sacramento, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Sacramento'}
{'statement': 'Between San Diego and Upington, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Upington'}
{'statement': 'Between Monterrey and Palembang, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Palembang'}
{'statement': 'Between Alexandria and Mombasa, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Mombasa'}
{'statement': 'Between Denver and San Juan, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'San Juan'}
{'statement': 'Between Berlin and Sokoto, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Sokoto'}
{'statement': 'Between Beijing and Albuquerque, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Albuquerque'}
{'statement': 'Between Lagos and San Salvador, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'San Salvador'}
{'statement': 'Between Saint Petersburg and Douala, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Douala'}
{'statement': 'Between Buenos Aires and Garoua, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Garoua'}
{'statement': 'Between Bogotá and San Diego, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'San Diego'}
{'statement': 'Between Brisbane and Cabo San Lucas, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Lahore and San Juan, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'San Juan'}
{'statement': 'Between Jakarta and Monterrey, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Monterrey'}
{'statement': 'Between Saint Petersburg and Toluca, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Toluca'}
{'statement': 'Between Hanoi and Yinchuan, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Yinchuan'}
{'statement': 'Between Sydney and Nouakchott, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Nouakchott'}
{'statement': 'Between Manila and Damascus, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Damascus'}
{'statement': 'Between Mexico City and Copenhagen, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Copenhagen'}
{'statement': 'Between Saint Petersburg and Panama City, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Panama City'}
{'statement': 'Between London and Tucson, the bigger city is London.', 'answer': 'London', 'candidate': 'Tucson'}
{'statement': 'Between Guadalajara and Bergen, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Bergen'}
{'statement': 'Between Brisbane and Palmerston North, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Palmerston North'}
{'statement': 'Between Houston and Brasília, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Brasília'}
{'statement': 'Between Johannesburg and Ushuaia, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Ushuaia'}
{'statement': 'Between Rome and Punta Arenas, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Punta Arenas'}
{'statement': 'Between San Diego and Malabo, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Malabo'}
{'statement': 'Between Hanoi and Piura, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Piura'}
{'statement': 'Between Phoenix and Cayenne, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Cayenne'}
{'statement': 'Between Surabaya and San Antonio, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'San Antonio'}
{'statement': 'Between Shanghai and Kabul, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Kabul'}
{'statement': 'Between Lagos and Lhasa, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Lhasa'}
{'statement': 'Between Bogotá and Baltimore, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Baltimore'}
{'statement': 'Between London and Palmerston North, the bigger city is London.', 'answer': 'London', 'candidate': 'Palmerston North'}
{'statement': 'Between Cairo and Muscat, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Muscat'}
{'statement': 'Between Surabaya and Ljubljana, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Ljubljana'}
{'statement': 'Between Saint Petersburg and Vienna, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Vienna'}
{'statement': 'Between Jakarta and Houston, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Houston'}
{'statement': 'Between Douala and Tabora, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Tabora'}
{'statement': 'Between Ho Chi Minh City and Podgorica, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Podgorica'}
{'statement': 'Between Los Angeles and Durban, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Durban'}
{'statement': 'Between Alexandria and Napier, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Napier'}
{'statement': 'Between Nairobi and Nakhon Ratchasima, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Johannesburg and Tauranga, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Tauranga'}
{'statement': 'Between Rome and Palmerston North, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Palmerston North'}
{'statement': 'Between Johannesburg and Mombasa, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Mombasa'}
{'statement': 'Between San Diego and Toamasina, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Toamasina'}
{'statement': 'Between Mexico City and Omaha, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Omaha'}
{'statement': 'Between Ürümqi and Kuopio, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Kuopio'}
{'statement': 'Between Jakarta and San Antonio, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'San Antonio'}
{'statement': 'Between Jakarta and Lagos, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Lagos'}
{'statement': 'Between Moscow and La Paz, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'La Paz'}
{'statement': 'Between Toronto and Bratislava, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Bratislava'}
{'statement': 'Between Kano and Ushuaia, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Ushuaia'}
{'statement': 'Between Guadalajara and Denpasar, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Denpasar'}
{'statement': 'Between Kabul and Omaha, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Omaha'}
{'statement': 'Between Cairo and Omaha, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Omaha'}
