{'statement': "I don't like the restaurants nearby. Between JJ Bean and Sushi Shop, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Eastern legend and The Empire, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'The Empire'}
{'statement': "I don't like the restaurants nearby. Between Grappa Ristorante and Basil Express Restaurant, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Mirage Grill & Lounge and Chick Fiesta, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like the restaurants nearby. Between Amaya Express and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Amaya Express'}
{'statement': "I don't like the restaurants nearby. Between Domino's Pizza and Buk Chang Dong Soon Tofu, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like the restaurants nearby. Between Magic Oven and Sushi World, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "I don't like the restaurants nearby. Between Ici Bistro and La Pupusa Loka, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like the restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Chick Fiesta'}
{'statement': "I don't like the restaurants nearby. Between Cake Opera and St. Louis Bar & Grill, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like the restaurants nearby. Between Freshii and Oxygen Restaurant & Lounge, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like the restaurants nearby. Between Kim PO Vietnamese and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between Paradise Farms Prime Beef Bistro and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like the restaurants nearby. Between Big Al's Diner and Tik Talk Cafe, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tik Talk Cafe'}
{'statement': "I don't like the restaurants nearby. Between To-ne Sushi and Thai 4 You Restaurant, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between Grappa Ristorante and Cantine Bar & Grill, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like the restaurants nearby. Between Cake Opera and Kairali - Taste of Kerala, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like the restaurants nearby. Between Itamae Ayce Sushi and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like the restaurants nearby. Between To-ne Sushi and Harvey's, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Harvey's"}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like the restaurants nearby. Between Aris Place and Madras Pantry, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Madras Pantry'}
{'statement': "I don't like the restaurants nearby. Between Hina Sushi and Sky Dragon Chinese Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Mövenpick Café and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Cake Opera, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Cake Opera'}
{'statement': "I don't like the restaurants nearby. Between Madras Pantry and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Madras Pantry'}
{'statement': "I don't like the restaurants nearby. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like the restaurants nearby. Between Evoo Ristorante and FreshCo, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like the restaurants nearby. Between Bao Bao Plus Dim Sum and Fit For Life, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Basil Express Restaurant and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Anatolia Restaurant and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like the restaurants nearby. Between z-teca Gourmet Burritos and It's All Grk, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': "It's All Grk"}
{'statement': "I don't like the restaurants nearby. Between Domino's Pizza and Basha Middle Eastern Grill, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like the restaurants nearby. Between Tim Hortons and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Tim Hortons'}
{'statement': "I don't like the restaurants nearby. Between Lahore Grill & Fast Food and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like the restaurants nearby. Between z-teca Gourmet Burritos and JJ Bean, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'JJ Bean'}
{'statement': "I don't like the restaurants nearby. Between Sushi Time Japanese Restaurant and The Empire, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'The Empire'}
{'statement': "I don't like the restaurants nearby. Between Topham Corner and Goldstone Noodle Restaurant, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Freshii and Sushi Shop, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Bao Bao Plus Dim Sum and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like the restaurants nearby. Between Ardor Bistro and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like the restaurants nearby. Between Roncy's Bean and Le Papillon Park, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Le Papillon Park'}
{'statement': "I don't like the restaurants nearby. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like the restaurants nearby. Between Tierra Azteca and Juice & Java Cafe, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between Basha Middle Eastern Grill and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like the restaurants nearby. Between Verona Restaurant and Sushi Shop, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Sizzlers and Just Soups Take Out & Catering, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like the restaurants nearby. Between Mirage Grill & Lounge and Lebanese Bakery, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Lebanese Bakery'}
{'statement': "I don't like the restaurants nearby. Between LCBO and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'LCBO'}
{'statement': "I don't like the restaurants nearby. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Evoo Ristorante, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like the restaurants nearby. Between Mt Everest Restaurant and Kairali - Taste of Kerala, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like the restaurants nearby. Between Big Al's Diner and Fit For Life, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Queen Slice and Piper's Pub And Grill, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like the restaurants nearby. Between Dinah's Cupboard and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like the restaurants nearby. Between Thompson Rooftop and Breakfast Room, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Breakfast Room'}
{'statement': "I don't like the restaurants nearby. Between Daily Press Juicery and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Daily Press Juicery'}
{'statement': "I don't like the restaurants nearby. Between Tian An Cuisine and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like the restaurants nearby. Between Madras Pantry and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Madras Pantry'}
{'statement': "I don't like the restaurants nearby. Between Falafel House and Assembly Chef's Hall, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Falafel House'}
{'statement': "I don't like the restaurants nearby. Between Queen Pita and Chipotle Mexican Grill, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like the restaurants nearby. Between Basil Express Restaurant and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Dinah's Cupboard, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like the restaurants nearby. Between Itamae Ayce Sushi and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like the restaurants nearby. Between Beryl's Pepper Pot and El Fogón, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'El Fogón'}
{'statement': "I don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between Magic Oven and Piper's Pub And Grill, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Watson's, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Watson's"}
{'statement': "I don't like the restaurants nearby. Between Fitness Avenue and Tortería San Cosme, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Tortería San Cosme'}
{'statement': "I don't like the restaurants nearby. Between The Duke of Devon and Warung Indonesia D'Eglinton, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like the restaurants nearby. Between Kim PO Vietnamese and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like the restaurants nearby. Between Modo Mio Italian Bistro and Mysteriously Yours Dinner Theatre, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between Ardor Bistro and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like the restaurants nearby. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like the restaurants nearby. Between JJ Bean and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'JJ Bean'}
{'statement': "I don't like the restaurants nearby. Between Evoo Ristorante and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like the restaurants nearby. Between Assembly Chef's Hall and Juice & Java Cafe, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between Tortería San Cosme and Harvey's, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Tortería San Cosme'}
{'statement': "I don't like the restaurants nearby. Between Phil's Original BBQ and Delicious Paradise Kitchen, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like the restaurants nearby. Between Druxy's Famous Deli and Kibo Sushi House, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Kibo Sushi House'}
{'statement': "I don't like the restaurants nearby. Between Le Papillon Park and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Le Papillon Park'}
{'statement': "I don't like the restaurants nearby. Between Kim PO Vietnamese and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like the restaurants nearby. Between Goldstone Noodle Restaurant and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Madras Pantry and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Madras Pantry'}
{'statement': "I don't like the restaurants nearby. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like the restaurants nearby. Between Galata Cafe and El Fogón, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'El Fogón'}
{'statement': "I don't like the restaurants nearby. Between Fit For Life and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Cafe Jules and Piper's Pub And Grill, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like the restaurants nearby. Between Assembly Chef's Hall and Edible Arrangements, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Edible Arrangements'}
{'statement': "I don't like the restaurants nearby. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Milestones Restaurants and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': "I don't like the restaurants nearby. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Tim Hortons, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Tim Hortons'}
{'statement': "I don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Chick Fiesta, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like the restaurants nearby. Between Maurya East Indian Roti and Sizzlers, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I don't like the restaurants nearby. Between Topham Corner and Mysteriously Yours Dinner Theatre, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between It's All Grk and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': "It's All Grk"}
{'statement': "I don't like the restaurants nearby. Between Viccino Pizzeria and Dangerous Dan's Diner, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like the restaurants nearby. Between Mövenpick Café and Juice & Java Cafe, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between Fitness Avenue and It's All Grk, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "It's All Grk"}
{'statement': "I don't like the restaurants nearby. Between JJ Bean and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'JJ Bean'}
{'statement': "I don't like the restaurants nearby. Between Mövenpick Café and Madras Pantry, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Madras Pantry'}
{'statement': "I don't like the restaurants nearby. Between LCBO and Delicious Paradise Kitchen, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like the restaurants nearby. Between Popeyes Louisiana Kitchen and Sushi Shop, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Phil's Original BBQ and FreshCo, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'FreshCo'}
{'statement': "I don't like the restaurants nearby. Between Ardor Bistro and Green Grotto, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': "I don't like the restaurants nearby. Between Tortería San Cosme and Pasta Pantry, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Tortería San Cosme'}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Solero Mediterranean Bakery, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like the restaurants nearby. Between Falafel House and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel House'}
{'statement': "I don't like the restaurants nearby. Between La Cocina De Dona Luz and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I don't like the restaurants nearby. Between Dangerous Dan's Diner and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like the restaurants nearby. Between It's All Grk and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "It's All Grk"}
{'statement': "I don't like the restaurants nearby. Between Helena's Magic Kitchen and Evoo Ristorante, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like the restaurants nearby. Between Lahore Grill & Fast Food and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like the restaurants nearby. Between Cafe Jules and Sky Dragon Chinese Restaurant, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Mövenpick Café and Warung Indonesia D'Eglinton, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like the restaurants nearby. Between Supermodel Pizza and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like the restaurants nearby. Between Bonne Journee and Dinah's Cupboard, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like the restaurants nearby. Between Just Soups Take Out & Catering and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like the restaurants nearby. Between Cantine Bar & Grill and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like the restaurants nearby. Between Hina Sushi and 9 Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': '9 Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Branca and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Branca'}
{'statement': "I don't like the restaurants nearby. Between Sushi Time Japanese Restaurant and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Falafel Hut Village and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like the restaurants nearby. Between Big Al's Diner and Kim PO Vietnamese, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like the restaurants nearby. Between Tim Hortons and Daily Press Juicery, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "I don't like the restaurants nearby. Between Falafel Hut Village and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like the restaurants nearby. Between Bagel Nash and Harry's Char Broil & Dining Lounge, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Harry's Char Broil & Dining Lounge"}
