{'statement': 'Between Phoenix and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phoenix'}
{'statement': 'Between Santiago and Aden, the smaller city is Aden.', 'answer': 'Aden', 'candidate': 'Santiago'}
{'statement': 'Between Chihuahua and Hanoi, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Hanoi'}
{'statement': 'Between Melbourne and Villahermosa, the smaller city is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Melbourne'}
{'statement': 'Between Johannesburg and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Johannesburg'}
{'statement': 'Between Córdoba and Surabaya, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Surabaya'}
{'statement': 'Between Wau and Riyadh, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Riyadh'}
{'statement': 'Between Palembang and Ho Chi Minh City, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Cayenne and Harare, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Harare'}
{'statement': 'Between Rangpur and Moscow, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Moscow'}
{'statement': 'Between Baghdad and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Baghdad'}
{'statement': 'Between Reykjavík and Yaoundé, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Yaoundé'}
{'statement': 'Between Alexandria and Brisbane, the smaller city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Alexandria'}
{'statement': 'Between Tampa and Manila, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Manila'}
{'statement': 'Between Houston and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Houston'}
{'statement': 'Between Suva and Toronto, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Toronto'}
{'statement': 'Between Ürümqi and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'Between Surabaya and Los Angeles, the smaller city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Los Angeles'}
{'statement': 'Between La Paz and Bangkok, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Bangkok'}
{'statement': 'Between Brussels and Alexandria, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Alexandria'}
{'statement': 'Between Quito and Mumbai, the smaller city is Quito.', 'answer': 'Quito', 'candidate': 'Mumbai'}
{'statement': 'Between Oslo and Paris, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Paris'}
{'statement': 'Between Antofagasta and Nairobi, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Nairobi'}
{'statement': 'Between Baltimore and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Baltimore'}
{'statement': 'Between Ankara and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Ankara'}
{'statement': 'Between Beirut and Santiago, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Santiago'}
{'statement': 'Between Djibouti and Alexandria, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Alexandria'}
{'statement': 'Between Tashkent and Melbourne, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Melbourne'}
{'statement': 'Between Manila and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Manila'}
{'statement': 'Between Tashkent and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Tashkent'}
{'statement': 'Between Sapporo and Sydney, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Sydney'}
{'statement': 'Between Mumbai and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Mumbai'}
{'statement': 'Between Muscat and Karachi, the smaller city is Muscat.', 'answer': 'Muscat', 'candidate': 'Karachi'}
{'statement': 'Between Guadalajara and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Guadalajara'}
{'statement': 'Between Garoua and Los Angeles, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Los Angeles'}
{'statement': 'Between Karachi and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Karachi'}
{'statement': 'Between Chicago and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Chicago'}
{'statement': 'Between Chihuahua and Los Angeles, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Los Angeles'}
{'statement': 'Between Beijing and Melbourne, the smaller city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Beijing'}
{'statement': 'Between Alexandria and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Alexandria'}
{'statement': 'Between Irkutsk and Algiers, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Algiers'}
{'statement': 'Between San Diego and Aden, the smaller city is Aden.', 'answer': 'Aden', 'candidate': 'San Diego'}
{'statement': 'Between Tampa and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Tampa'}
{'statement': 'Between Ushuaia and Minneapolis, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Minneapolis'}
{'statement': 'Between Darwin and Bangkok, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Bangkok'}
{'statement': 'Between Hat Yai and San Diego, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'San Diego'}
{'statement': 'Between Sydney and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Sydney'}
{'statement': 'Between Monterrey and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Monterrey'}
{'statement': 'Between Sokoto and Ankara, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Ankara'}
{'statement': 'Between Asmara and Santiago, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Santiago'}
{'statement': 'Between Ürümqi and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Ürümqi'}
{'statement': 'Between Manila and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Manila'}
{'statement': 'Between Beijing and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Beijing'}
{'statement': 'Between Ankara and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Ankara'}
{'statement': 'Between Zagreb and Moscow, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Moscow'}
{'statement': 'Between Bangkok and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Bangkok'}
{'statement': 'Between Hobart and Saint Petersburg, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Lima and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Lima'}
{'statement': 'Between Tampa and Hanoi, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Hanoi'}
{'statement': 'Between Dublin and Melbourne, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Melbourne'}
{'statement': 'Between Hobart and Addis Ababa, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Addis Ababa'}
{'statement': 'Between Albuquerque and San Diego, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'San Diego'}
{'statement': 'Between Santiago del Estero and Hanoi, the smaller city is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Hanoi'}
{'statement': 'Between Ho Chi Minh City and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Lagos and Boise, the smaller city is Boise.', 'answer': 'Boise', 'candidate': 'Lagos'}
{'statement': 'Between Lahore and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Lahore'}
{'statement': 'Between Beijing and Hanoi, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Beijing'}
{'statement': 'Between Tamanrasset and Baltimore, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Baltimore'}
{'statement': 'Between Santiago and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Santiago'}
{'statement': 'Between Darwin and Bogotá, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Bogotá'}
{'statement': 'Between Ürümqi and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Ürümqi'}
{'statement': 'Between Halifax and Mumbai, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Mumbai'}
{'statement': 'Between Hanoi and Lagos, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Lagos'}
{'statement': 'Between Douala and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Douala'}
{'statement': 'Between Managua and Guadalajara, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Guadalajara'}
{'statement': 'Between Guadalajara and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Guadalajara'}
{'statement': 'Between Chicago and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Chicago'}
{'statement': 'Between Mexico City and Nakhon Ratchasima, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Mexico City'}
{'statement': 'Between Monterrey and Vienna, the smaller city is Vienna.', 'answer': 'Vienna', 'candidate': 'Monterrey'}
{'statement': 'Between Florianópolis and Riyadh, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Riyadh'}
{'statement': 'Between Bucharest and Dar es Salaam, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Toronto and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Toronto'}
{'statement': 'Between Ürümqi and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Ürümqi'}
{'statement': 'Between Kampala and Phoenix, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Phoenix'}
{'statement': 'Between Sokoto and Riyadh, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Riyadh'}
{'statement': 'Between Chihuahua and Nairobi, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Nairobi'}
{'statement': 'Between Brasília and London, the smaller city is Brasília.', 'answer': 'Brasília', 'candidate': 'London'}
{'statement': 'Between Guangzhou and Bogotá, the smaller city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Guangzhou'}
{'statement': 'Between Karachi and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Karachi'}
{'statement': 'Between Rabat and Rome, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Rome'}
{'statement': 'Between Erzurum and Riyadh, the smaller city is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Riyadh'}
{'statement': 'Between Mexico City and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Mexico City'}
{'statement': 'Between London and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'London'}
{'statement': 'Between Ho Chi Minh City and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Addis Ababa and Frankfurt, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Addis Ababa'}
{'statement': 'Between Johannesburg and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Johannesburg'}
{'statement': 'Between Entebbe and San Diego, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'San Diego'}
{'statement': 'Between Baghdad and Perth, the smaller city is Perth.', 'answer': 'Perth', 'candidate': 'Baghdad'}
{'statement': 'Between Ürümqi and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Ürümqi'}
{'statement': 'Between Denver and Melbourne, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Melbourne'}
{'statement': 'Between London and Wellington, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'London'}
{'statement': 'Between Brussels and Lahore, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Lahore'}
{'statement': 'Between Kingston and Moscow, the smaller city is Kingston.', 'answer': 'Kingston', 'candidate': 'Moscow'}
{'statement': 'Between Karachi and Lima, the smaller city is Lima.', 'answer': 'Lima', 'candidate': 'Karachi'}
{'statement': 'Between Sydney and Phnom Penh, the smaller city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Sydney'}
{'statement': 'Between Lyon and Chicago, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Chicago'}
{'statement': 'Between San Diego and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'San Diego'}
{'statement': 'Between Kampala and Mexico City, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Mexico City'}
{'statement': 'Between Ho Chi Minh City and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Vientiane and Ürümqi, the smaller city is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Ürümqi'}
{'statement': 'Between Karachi and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Karachi'}
{'statement': 'Between Lahore and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Lahore'}
{'statement': 'Between Chicago and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Chicago'}
{'statement': 'Between Denver and Bata, the smaller city is Bata.', 'answer': 'Bata', 'candidate': 'Denver'}
{'statement': 'Between London and Chicago, the smaller city is Chicago.', 'answer': 'Chicago', 'candidate': 'London'}
{'statement': 'Between Luanda and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Luanda'}
{'statement': 'Between Ho Chi Minh City and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Port Sudan and Mumbai, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Mumbai'}
{'statement': 'Between Mumbai and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Mumbai'}
{'statement': 'Between Dar es Salaam and Los Angeles, the smaller city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Los Angeles'}
{'statement': 'Between Cape Town and Paris, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Paris'}
{'statement': 'Between Paris and Tucson, the smaller city is Tucson.', 'answer': 'Tucson', 'candidate': 'Paris'}
{'statement': 'Between Surabaya and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Surabaya'}
{'statement': 'Between Kuwait City and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Kuwait City'}
{'statement': 'Between Muscat and Manila, the smaller city is Muscat.', 'answer': 'Muscat', 'candidate': 'Manila'}
{'statement': 'Between Phoenix and Port Sudan, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Phoenix'}
{'statement': 'Between Tamanrasset and Houston, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Houston'}
{'statement': 'Between Zürich and Phoenix, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Phoenix'}
{'statement': 'Between Pretoria and Buenos Aires, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Buenos Aires'}
{'statement': 'Between Los Angeles and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Los Angeles'}
{'statement': 'Between Kunming and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Kunming'}
{'statement': 'Between Reykjavík and Manila, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Manila'}
{'statement': 'Between Managua and Lagos, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Lagos'}
{'statement': 'Between Beijing and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Beijing'}
{'statement': 'Between Albuquerque and Dar es Salaam, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Bangkok and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'Between Viedma and Baku, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Baku'}
{'statement': 'Between Tashkent and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Tashkent'}
{'statement': 'Between Pontianak and Manila, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Manila'}
{'statement': 'Between Manila and Phnom Penh, the smaller city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Manila'}
{'statement': 'Between Makurdi and Karachi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Karachi'}
{'statement': 'Between Baghdad and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Baghdad'}
{'statement': 'Between Yaoundé and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Yaoundé'}
{'statement': 'Between Ottawa and Los Angeles, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Los Angeles'}
{'statement': 'Between Juba and London, the smaller city is Juba.', 'answer': 'Juba', 'candidate': 'London'}
{'statement': 'Between Viedma and Santiago, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Santiago'}
{'statement': 'Between Irkutsk and Kabul, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Kabul'}
{'statement': 'Between Karachi and Phoenix, the smaller city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Karachi'}
{'statement': 'Between Houston and Douala, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Houston'}
{'statement': 'Between Houston and Brisbane, the smaller city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Houston'}
{'statement': 'Between Harare and Bogotá, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Bogotá'}
{'statement': 'Between Canberra and Lima, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Lima'}
