{'statement': "I'm looking for an expensive restaurant. Between Thompson Rooftop and Nook, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "I'm looking for an expensive restaurant. Between Watson's and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Watson's"}
{'statement': "I'm looking for an expensive restaurant. Between Hina Sushi and Pizza Pizza, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Lahore Grill & Fast Food and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for an expensive restaurant. Between Maurya East Indian Roti and Milo's Pita, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and The Coffee Pocket, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Top Sushi and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for an expensive restaurant. Between Taste of Greek Cuisine and Falafel Hut Village, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between Nook and Druxy's Famous Deli, I should go to Nook.", 'answer': 'Nook', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Hina Sushi and Goldstone Noodle Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Eggspectation and Smoke's Weinerie, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Pisco 1641, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for an expensive restaurant. Between Kibo Sushi House and Tim Hortons, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for an expensive restaurant. Between Helena's Magic Kitchen and Aroma Espresso Bar, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between St. Clair Shawarma and Falafel and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Pasta Pantry and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pasta Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between KFC and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'KFC'}
{'statement': "I'm looking for an expensive restaurant. Between Smoke's Weinerie and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Branca and Warung Indonesia D'Eglinton, I should go to Branca.", 'answer': 'Branca', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an expensive restaurant. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Queen Slice'}
{'statement': "I'm looking for an expensive restaurant. Between Milo's Pita and Bao Bao Plus Dim Sum, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Solero Mediterranean Bakery and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between Druxy's Famous Deli and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Chick Fiesta and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Marcello’s pizzeria and Delicious Paradise Kitchen, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Bake Island, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bake Island'}
{'statement': "I'm looking for an expensive restaurant. Between Modo Mio Italian Bistro and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Viccino Pizzeria'}
{'statement': "I'm looking for an expensive restaurant. Between Paradise Farms Prime Beef Bistro and Druxy's Famous Deli, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Aroma Espresso Bar and Solero Mediterranean Bakery, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between Warung Indonesia D'Eglinton and Cafe Jules, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for an expensive restaurant. Between The Empire and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between La Pupusa Loka and Lahore Grill & Fast Food, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for an expensive restaurant. Between Marcello’s pizzeria and Queen Pita, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between La Cocina De Dona Luz and Sizzlers, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Sweet Jesus and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for an expensive restaurant. Between Green Room and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between The Duke of Devon and Bake Island, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Bake Island'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi Time Japanese Restaurant and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Marcello’s pizzeria and Shawarma Twist, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Queen Pita, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between McDonald's and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between z-teca Gourmet Burritos and Sushi World, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Lahore Grill & Fast Food and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for an expensive restaurant. Between Kairali - Taste of Kerala and Villa Madina, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between Bonne Journee and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between McDonald's and Bao Bao Plus Dim Sum, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Shawarma Twist and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Maurya East Indian Roti and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I'm looking for an expensive restaurant. Between Sichuan Landscape Chinese Restaurant and Harvey's, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': "Harvey's"}
{'statement': "I'm looking for an expensive restaurant. Between Milo's Pita and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and The Duke of Devon, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for an expensive restaurant. Between Thompson Rooftop and Popeyes Louisiana Kitchen, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Green Grotto and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for an expensive restaurant. Between Tim Hortons and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for an expensive restaurant. Between Basil Express Restaurant and Queen Slice, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Slice'}
{'statement': "I'm looking for an expensive restaurant. Between Ciao Europa wine bar and Sizzlers, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and Aris Place, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Banjara Indian Cuisine and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for an expensive restaurant. Between Bonne Journee and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between Goldstone Noodle Restaurant and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Assembly Chef's Hall and KFC, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'KFC'}
{'statement': "I'm looking for an expensive restaurant. Between Eastern legend and Thai 4 You Restaurant, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Smoke's Weinerie and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Green Room and Banjara Indian Cuisine, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Assembly Chef's Hall and Pizza Pizza, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Tortería San Cosme and Just Soups Take Out & Catering, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Assembly Chef's Hall and Supermodel Pizza, I should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Druxy's Famous Deli and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Queen Slice and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Slice'}
{'statement': "I'm looking for an expensive restaurant. Between Big Al's Diner and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Dinah's Cupboard and Farmacia Health Bar, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an expensive restaurant. Between Mamma's Pizza and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for an expensive restaurant. Between Kairali - Taste of Kerala and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for an expensive restaurant. Between Tortería San Cosme and Queen Slice, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Queen Slice'}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Bagel Nash and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Grappa Ristorante and Farmacia Health Bar, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an expensive restaurant. Between Smoke's Weinerie and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Watson's, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Watson's"}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Villa Madina and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between McDonald's and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Eastern legend and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Bake Island and Scaddabush Italian Kitchen & Bar, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Bake Island'}
{'statement': "I'm looking for an expensive restaurant. Between Branca and Chick Fiesta, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Villa Madina and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between Mirage Grill & Lounge and Pizza Pizza, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Bao Bao Plus Dim Sum and Aris Place, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Queen Pita and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Tian An Cuisine, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for an expensive restaurant. Between Mamma's Pizza and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi Shop and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for an expensive restaurant. Between Delicious Paradise Kitchen and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Cantine Bar & Grill, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
