{'statement': "I don't like restaurants further away. Between Sushi Shop and JJ Bean, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "I don't like restaurants further away. Between Mi Mi Restaurant and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between Warung Indonesia D'Eglinton and Helena's Magic Kitchen, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like restaurants further away. Between Tierra Azteca and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between Eastern legend and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Eastern legend'}
{'statement': "I don't like restaurants further away. Between Grappa Ristorante and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between Mirage Grill & Lounge and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like restaurants further away. Between Amaya Express and Helena's Magic Kitchen, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like restaurants further away. Between Domino's Pizza and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Domino's Pizza"}
{'statement': "I don't like restaurants further away. Between Magic Oven and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Ici Bistro and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Chick Fiesta and Nutella Cafe by Pusateri's, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like restaurants further away. Between St. Louis Bar & Grill and Cake Opera, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "I don't like restaurants further away. Between Freshii and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between Kim PO Vietnamese and Freshii, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between Assembly Chef's Hall and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Queen Pita, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Big Al's Diner and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Big Al's Diner"}
{'statement': "I don't like restaurants further away. Between Thai 4 You Restaurant and To-ne Sushi, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'To-ne Sushi'}
{'statement': "I don't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like restaurants further away. Between Cantine Bar & Grill and Grappa Ristorante, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between Kairali - Taste of Kerala and Cake Opera, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Cake Opera'}
{'statement': "I don't like restaurants further away. Between Nook and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Nook'}
{'statement': "I don't like restaurants further away. Between To-ne Sushi and Harvey's, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'To-ne Sushi'}
{'statement': "I don't like restaurants further away. Between Eggspectation and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Madras Pantry and Aris Place, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Aris Place'}
{'statement': "I don't like restaurants further away. Between Sky Dragon Chinese Restaurant and Hina Sushi, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I don't like restaurants further away. Between Magic Oven and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Cake Opera and Eggspectation, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Solero Mediterranean Bakery and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like restaurants further away. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Domino's Pizza"}
{'statement': "I don't like restaurants further away. Between FreshCo and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'FreshCo'}
{'statement': "I don't like restaurants further away. Between Bao Bao Plus Dim Sum and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like restaurants further away. Between Queen Pita and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Ici Bistro and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between z-teca Gourmet Burritos and It's All Grk, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Domino's Pizza and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Domino's Pizza"}
{'statement': "I don't like restaurants further away. Between New Bilan Restaurant and Tim Hortons, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Lahore Grill & Fast Food and LCBO, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'LCBO'}
{'statement': "I don't like restaurants further away. Between JJ Bean and z-teca Gourmet Burritos, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between The Empire and Sushi Time Japanese Restaurant, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like restaurants further away. Between Goldstone Noodle Restaurant and Topham Corner, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Topham Corner'}
{'statement': "I don't like restaurants further away. Between Sushi Shop and Freshii, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between Eggspectation and Bao Bao Plus Dim Sum, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Pizzeria Via Mercanti and Ardor Bistro, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I don't like restaurants further away. Between Roncy's Bean and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Roncy's Bean"}
{'statement': "I don't like restaurants further away. Between Roncy's Bean and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Roncy's Bean"}
{'statement': "I don't like restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between Tierra Azteca and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between The Duke of Devon and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like restaurants further away. Between Verona Restaurant and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like restaurants further away. Between Just Soups Take Out & Catering and Sizzlers, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Sizzlers'}
{'statement': "I don't like restaurants further away. Between Mirage Grill & Lounge and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like restaurants further away. Between z-teca Gourmet Burritos and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like restaurants further away. Between Queen Pita and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Evoo Ristorante and Eggspectation, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Kairali - Taste of Kerala and Mt Everest Restaurant, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like restaurants further away. Between Big Al's Diner and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Big Al's Diner"}
{'statement': "I don't like restaurants further away. Between Sichuan Landscape Chinese Restaurant and Hina Sushi, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I don't like restaurants further away. Between Queen Slice and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Queen Slice'}
{'statement': "I don't like restaurants further away. Between Dinah's Cupboard and Roncy's Bean, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Roncy's Bean"}
{'statement': "I don't like restaurants further away. Between Breakfast Room and Thompson Rooftop, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like restaurants further away. Between Viccino Pizzeria and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Viccino Pizzeria'}
{'statement': "I don't like restaurants further away. Between Mövenpick Café and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like restaurants further away. Between Madras Pantry and Roncy's Bean, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Roncy's Bean"}
{'statement': "I don't like restaurants further away. Between Assembly Chef's Hall and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like restaurants further away. Between Queen Pita and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Basil Express Restaurant and The Duke of Devon, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like restaurants further away. Between Dinah's Cupboard and Capitol Trattoria Pizzeria, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like restaurants further away. Between Itamae Ayce Sushi and Joe Badali's Ristorante Italiano & Bar, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like restaurants further away. Between Beryl's Pepper Pot and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like restaurants further away. Between Eggspectation and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Magic Oven and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Watson's and Eggspectation, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Tortería San Cosme and Fitness Avenue, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Fitness Avenue'}
{'statement': "I don't like restaurants further away. Between Warung Indonesia D'Eglinton and The Duke of Devon, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'The Duke of Devon'}
{'statement': "I don't like restaurants further away. Between Queen Pita and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Modo Mio Italian Bistro and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like restaurants further away. Between Ardor Bistro and The Coffee Pocket, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between Ici Bistro and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Pizzeria Via Mercanti and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I don't like restaurants further away. Between Assembly Chef's Hall and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like restaurants further away. Between Tortería San Cosme and Harvey's, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Harvey's"}
{'statement': "I don't like restaurants further away. Between Delicious Paradise Kitchen and Phil's Original BBQ, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like restaurants further away. Between Kibo Sushi House and Druxy's Famous Deli, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like restaurants further away. Between Green Room and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Green Room'}
{'statement': "I don't like restaurants further away. Between Kim PO Vietnamese and Eggspectation, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Goldstone Noodle Restaurant and Queen Pita, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between St. Clair Shawarma and Falafel and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like restaurants further away. Between Galata Cafe and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Galata Cafe'}
{'statement': "I don't like restaurants further away. Between Fit For Life and Galata Cafe, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Galata Cafe'}
{'statement': "I don't like restaurants further away. Between Piper's Pub And Grill and Cafe Jules, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Cafe Jules'}
{'statement': "I don't like restaurants further away. Between Assembly Chef's Hall and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like restaurants further away. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like restaurants further away. Between Grappa Ristorante and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between Tim Hortons and Capitol Trattoria Pizzeria, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Roncy's Bean"}
{'statement': "I don't like restaurants further away. Between Eggspectation and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Sizzlers and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Sizzlers'}
{'statement': "I don't like restaurants further away. Between Topham Corner and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Topham Corner'}
{'statement': "I don't like restaurants further away. Between It's All Grk and Green Room, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Green Room'}
{'statement': "I don't like restaurants further away. Between Dangerous Dan's Diner and Viccino Pizzeria, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Viccino Pizzeria'}
{'statement': "I don't like restaurants further away. Between Mövenpick Café and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like restaurants further away. Between It's All Grk and Fitness Avenue, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Fitness Avenue'}
{'statement': "I don't like restaurants further away. Between Queen Pita and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Queen Pita'}
{'statement': "I don't like restaurants further away. Between Mövenpick Café and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like restaurants further away. Between Delicious Paradise Kitchen and LCBO, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'LCBO'}
{'statement': "I don't like restaurants further away. Between Popeyes Louisiana Kitchen and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like restaurants further away. Between FreshCo and Phil's Original BBQ, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like restaurants further away. Between Ardor Bistro and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like restaurants further away. Between Tortería San Cosme and Pasta Pantry, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Pasta Pantry'}
{'statement': "I don't like restaurants further away. Between Solero Mediterranean Bakery and Eggspectation, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Ici Bistro and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between La Cocina De Dona Luz and Tierra Azteca, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Tierra Azteca'}
{'statement': "I don't like restaurants further away. Between Dangerous Dan's Diner and Freshii, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between It's All Grk and Magic Oven, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Evoo Ristorante and Helena's Magic Kitchen, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like restaurants further away. Between Eggspectation and Lahore Grill & Fast Food, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Cafe Jules and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "I don't like restaurants further away. Between Mövenpick Café and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Mövenpick Café'}
{'statement': "I don't like restaurants further away. Between Supermodel Pizza and Cake Opera, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Cake Opera'}
{'statement': "I don't like restaurants further away. Between Bonne Journee and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Bonne Journee'}
{'statement': "I don't like restaurants further away. Between Edible Arrangements and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like restaurants further away. Between Nook and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Nook'}
{'statement': "I don't like restaurants further away. Between Hina Sushi and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I don't like restaurants further away. Between Mi Mi Restaurant and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like restaurants further away. Between Falafel Hut Village and Bagel Nash, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Bagel Nash'}
{'statement': "I don't like restaurants further away. Between Kim PO Vietnamese and Big Al's Diner, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': "Big Al's Diner"}
{'statement': "I don't like restaurants further away. Between Tim Hortons and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "I don't like restaurants further away. Between Falafel Hut Village and Ici Bistro, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Harry's Char Broil & Dining Lounge and Bagel Nash, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Bagel Nash'}
