{'statement': "Someone doesn't like cheap restaurants. Between Nook and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and LCBO, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'LCBO'}
{'statement': "Someone doesn't like cheap restaurants. Between St. Clair Shawarma and Falafel and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, this person should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Falafel House and Nook, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between z-teca Gourmet Burritos and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Falafel Hut Village, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between Edible Arrangements and Carole's Cheesecake Cafe, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like cheap restaurants. Between Marcello’s pizzeria and Aris Place, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between 9 Restaurant and Fit For Life, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like cheap restaurants. Between Big Al's Diner and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like cheap restaurants. Between Edible Arrangements and Bao Bao Plus Dim Sum, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Slice and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between Ciao Europa wine bar and Top Sushi, this person should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Tortería San Cosme and Tim Hortons, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Grappa Ristorante and Supermodel Pizza, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Ardor Bistro and Mi Mi Restaurant, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Bake Island and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Watson's and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Watson's"}
{'statement': "Someone doesn't like cheap restaurants. Between Hina Sushi and Pizza Pizza, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Lahore Grill & Fast Food and 9 Restaurant, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like cheap restaurants. Between Maurya East Indian Roti and Milo's Pita, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and The Coffee Pocket, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Top Sushi and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like cheap restaurants. Between Falafel Hut Village and Taste of Greek Cuisine, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Nook and Druxy's Famous Deli, this person should go to Nook.", 'answer': 'Nook', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Hina Sushi and Goldstone Noodle Restaurant, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and Eggspectation, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Pisco 1641, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like cheap restaurants. Between Kibo Sushi House and Tim Hortons, this person should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Aroma Espresso Bar and Helena's Magic Kitchen, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Freshii and St. Clair Shawarma and Falafel, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Pasta Pantry, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pasta Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between La Cocina De Dona Luz and KFC, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and Hawthorne Food and Drink, this person should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Branca and Warung Indonesia D'Eglinton, this person should go to Branca.", 'answer': 'Branca', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Hapa Toronto, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between Bao Bao Plus Dim Sum and Milo's Pita, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Solero Mediterranean Bakery and Milestones Restaurants, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Druxy's Famous Deli and Anatolia Restaurant, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and Chick Fiesta, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Delicious Paradise Kitchen and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Bake Island and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Modo Mio Italian Bistro, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Viccino Pizzeria'}
{'statement': "Someone doesn't like cheap restaurants. Between Druxy's Famous Deli and Paradise Farms Prime Beef Bistro, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Aroma Espresso Bar and Solero Mediterranean Bakery, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Warung Indonesia D'Eglinton and Cafe Jules, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between The Empire and LCBO, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Sushi World, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between JJ Bean and Sushi World, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between La Pupusa Loka and Lahore Grill & Fast Food, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Pita and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between La Cocina De Dona Luz and Sizzlers, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Sweet Jesus and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Nook, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Bake Island and The Duke of Devon, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi Time Japanese Restaurant and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Shawarma Twist and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi Time Japanese Restaurant and McDonald's, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between z-teca Gourmet Burritos and Sushi World, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Taste of Greek Cuisine and Lahore Grill & Fast Food, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Bonne Journee, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between McDonald's and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between Taste of Greek Cuisine and Shawarma Twist, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Maurya East Indian Roti and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Maurya East Indian Roti'}
{'statement': "Someone doesn't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Harvey's, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': "Harvey's"}
{'statement': "Someone doesn't like cheap restaurants. Between Tik Talk Cafe and Milo's Pita, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and The Duke of Devon, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like cheap restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Grotto and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like cheap restaurants. Between Freshii and Tim Hortons, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Slice and Basil Express Restaurant, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between Sizzlers and Ciao Europa wine bar, this person should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Aris Place and Cake Opera, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Banjara Indian Cuisine, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like cheap restaurants. Between Bonne Journee and Sushi Time Japanese Restaurant, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Assembly Chef's Hall and KFC, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Thai 4 You Restaurant and Eastern legend, this person should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and The Duke of Devon, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Lebanese Bakery and Sushi World, this person should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Pizza Pizza and Assembly Chef's Hall, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Tortería San Cosme and Just Soups Take Out & Catering, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Assembly Chef's Hall, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Druxy's Famous Deli and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Slice and LCBO, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between Big Al's Diner and Pisco 1641, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and Farmacia Health Bar, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like cheap restaurants. Between Mamma's Pizza and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like cheap restaurants. Between Thompson Rooftop and Kairali - Taste of Kerala, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like cheap restaurants. Between Tortería San Cosme and Queen Slice, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and Eggspectation, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Eggspectation and Bagel Nash, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Farmacia Health Bar and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like cheap restaurants. Between Watson's and Smoke's Weinerie, this person should go to Watson's.", 'answer': "Watson's", 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Watson's and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Watson's"}
{'statement': "Someone doesn't like cheap restaurants. Between Aris Place and Pisco 1641, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between The Duke of Devon and McDonald's, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between Itamae Ayce Sushi and Eastern legend, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Bake Island and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Chick Fiesta and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Basha Middle Eastern Grill and Villa Madina, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Pizza Pizza and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Bao Bao Plus Dim Sum and Aris Place, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Eggspectation and Queen Pita, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Tian An Cuisine, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like cheap restaurants. Between Mamma's Pizza and Green Grotto, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and The Coffee Pocket, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'The Coffee Pocket'}
