{'statement': "I don't like the restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Top Sushi and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Top Sushi'}
{'statement': "I don't like the restaurants nearby. Between Shawarma Twist and Chipotle Mexican Grill, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like the restaurants nearby. Between 9 Restaurant and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': '9 Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Kibo Sushi House and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Kibo Sushi House'}
{'statement': "I don't like the restaurants nearby. Between Chipotle Mexican Grill and Smoke's Weinerie, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like the restaurants nearby. Between Bagel Nash and El Fogón, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'El Fogón'}
{'statement': "I don't like the restaurants nearby. Between Hawthorne Food and Drink and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Piper's Pub And Grill and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like the restaurants nearby. Between Top Sushi and La Pupusa Loka, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like the restaurants nearby. Between McDonald's and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "I don't like the restaurants nearby. Between Paradise Farms Prime Beef Bistro and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like the restaurants nearby. Between Kibo Sushi House and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kibo Sushi House'}
{'statement': "I don't like the restaurants nearby. Between KFC and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'KFC'}
{'statement': "I don't like the restaurants nearby. Between Bagel Nash and Dangerous Dan's Diner, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like the restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Mamma's Pizza and Hina Sushi, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like the restaurants nearby. Between z-teca Gourmet Burritos and Breakfast Room, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Breakfast Room'}
{'statement': "I don't like the restaurants nearby. Between Tierra Azteca and Fit For Life, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like the restaurants nearby. Between McDonald's and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "I don't like the restaurants nearby. Between Carole's Cheesecake Cafe and Milo's Pita, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "Milo's Pita"}
{'statement': "I don't like the restaurants nearby. Between Watson's and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Watson's"}
{'statement': "I don't like the restaurants nearby. Between Fit For Life and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Milo's Pita and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Milo's Pita"}
{'statement': "I don't like the restaurants nearby. Between Falafel House and Green Grotto, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Green Grotto'}
