,prompt,answer,top_predictions,score
22,"Q: Is the following sentence plausible? ""Tobias Harris fumbled the ball in the NFC divisional round.""
A: The answer is ->",no,"['no', 'yes', 'o', 'basketball', 'No']",True
23,"Q: Is the following sentence plausible? ""Deshaun Watson took a corner kick.""
A: The answer is ->",no,"['no', 'yes', 'o', 'es', 'soccer']",True
24,"Q: Is the following sentence plausible? ""Whit Merrifield was caught in a rundown.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'YES', 'yeah']",True
25,"Q: Is the following sentence plausible? ""Kyle Connor eurostepped to the basket in the Western Conference Finals.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'es']",True
26,"Q: Is the following sentence plausible? ""Darijo Srna got on the end of a through ball.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
27,"Q: Is the following sentence plausible? ""David Luiz earned a direct kick.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
28,"Q: Is the following sentence plausible? ""Javier Zanetti earned a direct kick.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
29,"Q: Is the following sentence plausible? ""Ketel Marte got into the endzone.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'negative']",True
30,"Q: Is the following sentence plausible? ""Cavan Biggio hit a walkoff homer.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'YES', 'yeah']",True
31,"Q: Is the following sentence plausible? ""Toni Kroos scored a header goal.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
32,"Q: Is the following sentence plausible? ""Ramires lost control of the puck.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
33,"Q: Is the following sentence plausible? ""Kyle Palmieri did a double stepover.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'No', 'o']",True
34,"Q: Is the following sentence plausible? ""Kawhi Leonard took a turnaround jumper.""
A: The answer is ->",yes,"['yes', 'Yes', 'no', 'es', 'YES']",True
35,"Q: Is the following sentence plausible? ""Oscar took the snap.""
A: The answer is ->",no,"['no', 'yes', 'o', 'quarterback', 'yeah']",True
36,"Q: Is the following sentence plausible? ""Dejounte Murray hit the back of the rim.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
37,"Q: Is the following sentence plausible? ""Juan Soto flew out to center.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
38,"Q: Is the following sentence plausible? ""A.J. Green hit the back shoulder fade in the Superbowl.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
39,"Q: Is the following sentence plausible? ""Philip Rivers drove into the restricted area.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'basketball']",True
40,"Q: Is the following sentence plausible? ""Karl-Anthony Towns did a double stepover.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'o', 'not']",True
41,"Q: Is the following sentence plausible? ""Stephen Strasburg hit a triple.""
A: The answer is ->",yes,"['yes', 'no', 'yeah', 'Yes', 'es']",True
42,"Q: Is the following sentence plausible? ""Thomas Muller shot from outside the eighteen.""
A: The answer is ->",yes,"['no', 'yes', 'o', 'soccer', 'es']",False
43,"Q: Is the following sentence plausible? ""Jesus Luzardo was out at third.""
A: The answer is ->",yes,"['yes', 'Yes', 'no', 'es', 'YES']",True
44,"Q: Is the following sentence plausible? ""Marquise Brown did a maradona on the defender.""
A: The answer is ->",no,"['yes', 'no', 'es', 'Yes', 'yeah']",False
45,"Q: Is the following sentence plausible? ""Klaas Jan Huntelaar scored the easy layup.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
46,"Q: Is the following sentence plausible? ""Clint Capela drew a flag on the play.""
A: The answer is ->",no,"['no', 'yes', 'o', 'basketball', 'No']",True
47,"Q: Is the following sentence plausible? ""Walker Buehler was out at third.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
48,"Q: Is the following sentence plausible? ""Zach LaVine\xc2\xa0 hit a double.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'nobody']",True
49,"Q: Is the following sentence plausible? ""Terry Rozier\xc2\xa0 shot a free throw.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'YES', 'no']",True
50,"Q: Is the following sentence plausible? ""Julio Jones entered the attacking zone.""
A: The answer is ->",no,"['no', 'yes', 'o', 'hockey', 'No']",True
51,"Q: Is the following sentence plausible? ""Kevin Durant scored a penalty kick.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'o', 'No']",True
52,"Q: Is the following sentence plausible? ""John Carlson backhanded a shot in the Stanley Cup.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
53,"Q: Is the following sentence plausible? ""Blake Snell hit a single.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
54,"Q: Is the following sentence plausible? ""Gerrit Cole committed a handball in the European Cup.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
55,"Q: Is the following sentence plausible? ""Gerrit Cole set the hard screen.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
56,"Q: Is the following sentence plausible? ""Pedro scored a corner kick in the European Cup.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
57,"Q: Is the following sentence plausible? ""Henry Ruggs launched a hail mary in the NFC championship.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
58,"Q: Is the following sentence plausible? ""Deshaun Watson was called for the goal tend in the Eastern Conference Finals.""
A: The answer is ->",no,"['no', 'yes', 'es', 'o', 'yeah']",True
59,"Q: Is the following sentence plausible? ""Gordon Hayward launched the desperation heave.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'o']",True
60,"Q: Is the following sentence plausible? ""Hyun Jin Ryu beat the shot clock.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
61,"Q: Is the following sentence plausible? ""De\'Aaron Fox scored a bicycle kick.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'nobody']",True
62,"Q: Is the following sentence plausible? ""Caris LeVert scored the easy layup.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
63,"Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
64,"Q: Is the following sentence plausible? ""J.T. Realmuto walked to first base.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
65,"Q: Is the following sentence plausible? ""Luka Doncic\xc2\xa0 committed a three second violation.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
66,"Q: Is the following sentence plausible? ""Dwayne Haskins went for it on fourth down.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
67,"Q: Is the following sentence plausible? ""Ryan Nugent-Hopkins spent time in the penalty box.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'YES']",True
68,"Q: Is the following sentence plausible? ""Nemanja Vidic was safe at home.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'No']",True
69,"Q: Is the following sentence plausible? ""Shai Gilgeous-Alexander comitted a three second violation.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
70,"Q: Is the following sentence plausible? ""Aaron Nola scored a header goal.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'nobody']",True
71,"Q: Is the following sentence plausible? ""Ben Roethlisberger took a backhand shot.""
A: The answer is ->",no,"['no', 'yes', 'o', 'none', 'nobody']",True
72,"Q: Is the following sentence plausible? ""Rhys Hoskins hit a double in the American League Championship Series.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'YES']",True
73,"Q: Is the following sentence plausible? ""Gleyber Torres walked to first base in the National League Championship Series.""
A: The answer is ->",yes,"['yes', 'es', 'YES', 'yeah', 'Yes']",True
74,"Q: Is the following sentence plausible? ""Ben Roethlisberger lost control of the puck.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'none']",True
75,"Q: Is the following sentence plausible? ""Igor Shesterkin launched a hail mary.""
A: The answer is ->",no,"['no', 'yes', 'o', 'football', 'nobody']",True
76,"Q: Is the following sentence plausible? ""Mathieu Valbuena scored a windmill dunk in the Western Conference Finals.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'basketball']",True
77,"Q: Is the following sentence plausible? ""Jarrett Allen pitched a complete game in the National League Championship Series.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'nobody']",True
78,"Q: Is the following sentence plausible? ""Norman Powell committed a blocking foul.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
79,"Q: Is the following sentence plausible? ""Will Fuller was perfect from the line.""
A: The answer is ->",no,"['no', 'yes', 'o', 'nobody', 'No']",True
80,"Q: Is the following sentence plausible? ""Collin Sexton hit the buzzer beater.""
A: The answer is ->",yes,"['no', 'yes', 'es', 'No', 'basketball']",False
81,"Q: Is the following sentence plausible? ""Will Fuller caught the back shoulder fade in the NFC championship.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
82,"Q: Is the following sentence plausible? ""Claude Giroux went five hole.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
83,"Q: Is the following sentence plausible? ""Gordon Hayward was flagged on the play.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
84,"Q: Is the following sentence plausible? ""Mike Trout was out at first.""
A: The answer is ->",yes,"['yes', 'es', 'yeah', 'no', 'YES']",True
85,"Q: Is the following sentence plausible? ""Jarvis Landry gained five yards.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
86,"Q: Is the following sentence plausible? ""Devin Booker took a turnaround jumper.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
87,"Q: Is the following sentence plausible? ""Javi Martinez scored in the shootout.""
A: The answer is ->",no,"['no', 'o', 'soccer', 'No', 'yes']",True
88,"Q: Is the following sentence plausible? ""Brandin Cooks went for it on fourth down.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'o']",True
89,"Q: Is the following sentence plausible? ""Marco Reus backhanded a shot.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'soccer']",True
90,"Q: Is the following sentence plausible? ""Joe Hart went for it on fourth down.""
A: The answer is ->",no,"['no', 'o', 'yes', 'No', 'NO']",True
91,"Q: Is the following sentence plausible? ""Franck Ribery converted the first down.""
A: The answer is ->",no,"['no', 'o', 'yes', 'nobody', 'soccer']",True
92,"Q: Is the following sentence plausible? ""Patrice Bergeron took a backhand shot.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
93,"Q: Is the following sentence plausible? ""Leon Draisaitl converted the first down.""
A: The answer is ->",no,"['no', 'o', 'yes', 'soccer', 'football']",True
94,"Q: Is the following sentence plausible? ""Marcelo got on the end of a through ball.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
95,"Q: Is the following sentence plausible? ""Walker Buehler earned a trip to the penalty box.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'hockey']",True
96,"Q: Is the following sentence plausible? ""Luka Doncic\xc2\xa0 hit nothing but net.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
97,"Q: Is the following sentence plausible? ""Pierre-Luc Dubois passed the puck.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'YES']",True
98,"Q: Is the following sentence plausible? ""Miles Bridges worked a full count.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'baseball']",True
99,"Q: Is the following sentence plausible? ""Clayton Kershaw launched a hail mary.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'football']",True
100,"Q: Is the following sentence plausible? ""Jayson Tatum was called for the goal tend.""
A: The answer is ->",yes,"['no', 'yes', 'No', 'o', 'basketball']",False
101,"Q: Is the following sentence plausible? ""Miro Heiskanen was called for slashing.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
102,"Q: Is the following sentence plausible? ""Claude Giroux was called for icing.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'YES', 'no']",True
103,"Q: Is the following sentence plausible? ""Nerlens Noel was out at home.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'baseball']",True
104,"Q: Is the following sentence plausible? ""Mikko Rantanen entered the attacking zone.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
105,"Q: Is the following sentence plausible? ""Carlos Tevez fumbled the ball.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'none']",True
106,"Q: Is the following sentence plausible? ""John Tavares skated behind the net.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
107,"Q: Is the following sentence plausible? ""Jacob deGrom hit a triple.""
A: The answer is ->",yes,"['yes', 'no', 'No', 'yeah', 'es']",True
108,"Q: Is the following sentence plausible? ""Ashley Cole was caught offsides.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'o', 'yeah']",True
109,"Q: Is the following sentence plausible? ""Marcell Ozuna scored a touchdown.""
A: The answer is ->",no,"['no', 'o', 'yes', 'No', 'football']",True
110,"Q: Is the following sentence plausible? ""Iker Casillas got into the endzone in the AFC divisional round.""
A: The answer is ->",no,"['no', 'o', 'yes', 'soccer', 'No']",True
111,"Q: Is the following sentence plausible? ""Joao Moutinho scored a freekick.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
112,"Q: Is the following sentence plausible? ""Anthony Davis scored the easy layup in the Western Conference Finals.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'no', 'YES']",True
113,"Q: Is the following sentence plausible? ""Terry McLaurin beat the buzzer.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
114,"Q: Is the following sentence plausible? ""Klaas Jan Huntelaar dunked the ball.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'nobody']",True
115,"Q: Is the following sentence plausible? ""Didier Drogba gained five yards.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'none']",True
116,"Q: Is the following sentence plausible? ""Brandon Woodruff hit a single.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
117,"Q: Is the following sentence plausible? ""James Harden was called for the goal tend.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
118,"Q: Is the following sentence plausible? ""Evander Kane threw a touchdown.""
A: The answer is ->",no,"['no', 'o', 'No', 'yes', 'football']",True
119,"Q: Is the following sentence plausible? ""Gerard Pique watched the pitch go by in the National League Championship Series.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'baseball']",True
120,"Q: Is the following sentence plausible? ""Terry McLaurin committed a blocking foul in the Eastern Conference Finals.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'none']",True
121,"Q: Is the following sentence plausible? ""Mark Stone took to the ice.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
122,"Q: Is the following sentence plausible? ""Kailer Yamamoto caught the back shoulder fade.""
A: The answer is ->",no,"['no', 'yes', 'o', 'nobody', 'none']",True
123,"Q: Is the following sentence plausible? ""Didier Drogba got into the endzone.""
A: The answer is ->",no,"['no', 'o', 'yes', 'soccer', 'No']",True
124,"Q: Is the following sentence plausible? ""Cale Makar earned a trip to the penalty box.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
125,"Q: Is the following sentence plausible? ""Fred VanVleet took to the ice.""
A: The answer is ->",no,"['yes', 'no', 'No', 'es', 'o']",False
126,"Q: Is the following sentence plausible? ""Bryce Harper hit a double in the American League Championship Series.""
A: The answer is ->",yes,"['yes', 'no', 'yeah', 'es', 'YES']",True
127,"Q: Is the following sentence plausible? ""Khris Middleton scored a reverse dunk.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
128,"Q: Is the following sentence plausible? ""Tyler Lockett took the snap in the AFC championship.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
129,"Q: Is the following sentence plausible? ""Jonathan Marchessault went five hole.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'yeah', 'no']",True
130,"Q: Is the following sentence plausible? ""Juan Soto took a long two.""
A: The answer is ->",no,"['no', 'o', 'yes', 'nobody', 'No']",True
131,"Q: Is the following sentence plausible? ""Dani Alves took the snap.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'none']",True
132,"Q: Is the following sentence plausible? ""Michael Porter Jr. was out at home.""
A: The answer is ->",no,"['no', 'yes', 'basketball', 'No', 'o']",True
133,"Q: Is the following sentence plausible? ""Golden Tate converted the first down.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'o', 'Yes']",True
134,"Q: Is the following sentence plausible? ""Henrikh Mkhitaryan hit into a double play.""
A: The answer is ->",no,"['no', 'o', 'yes', 'soccer', 'No']",True
135,"Q: Is the following sentence plausible? ""Ezequiel Lavezzi hit the buzzer beater.""
A: The answer is ->",no,"['no', 'yes', 'basketball', 'o', 'soccer']",True
136,"Q: Is the following sentence plausible? ""Eden Hazard got a base hit.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
137,"Q: Is the following sentence plausible? ""Keenan Allen went for it on fourth down.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
138,"Q: Is the following sentence plausible? ""Derek Carr fumbled the ball.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
139,"Q: Is the following sentence plausible? ""Brent Burns shot the puck.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
140,"Q: Is the following sentence plausible? ""Jesus Luzardo hit a double.""
A: The answer is ->",yes,"['yes', 'no', 'YES', 'yeah', 'es']",True
141,"Q: Is the following sentence plausible? ""Nick Castellanos scored in extra time.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'o', 'No']",True
142,"Q: Is the following sentence plausible? ""Robin Lehner swung to protect the runner in the World Series.""
A: The answer is ->",no,"['no', 'yes', 'o', 'es', 'No']",True
143,"Q: Is the following sentence plausible? ""Jarrett Allen got on base.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
144,"Q: Is the following sentence plausible? ""Igor Shesterkin wristed a shot.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
145,"Q: Is the following sentence plausible? ""Jared Goff fumbled the ball.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
146,"Q: Is the following sentence plausible? ""Radamel Falcao hit the screen pass.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'nobody']",True
147,"Q: Is the following sentence plausible? ""DeMar DeRozan was safe at first.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'nobody']",True
148,"Q: Is the following sentence plausible? ""J.T. Miller was called for slashing.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
149,"Q: Is the following sentence plausible? ""Pepe converted the first down.""
A: The answer is ->",no,"['no', 'o', 'yes', 'soccer', 'No']",True
150,"Q: Is the following sentence plausible? ""Kyle Anderson skated backwards.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'es']",True
151,"Q: Is the following sentence plausible? ""Patrick Kane backhanded a shot in the Stanley Cup.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
152,"Q: Is the following sentence plausible? ""Brent Burns drove into the paint.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'nobody']",True
153,"Q: Is the following sentence plausible? ""Sean Monahan scored in the third period.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
154,"Q: Is the following sentence plausible? ""Tyrese Haliburton airballed the shot.""
A: The answer is ->",yes,"['no', 'yes', 'No', 'es', 'nobody']",False
155,"Q: Is the following sentence plausible? ""Pierre-Luc Dubois launched a hail mary.""
A: The answer is ->",no,"['no', 'yes', 'o', 'football', 'nobody']",True
156,"Q: Is the following sentence plausible? ""Yu Darvish walked to first base.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'yeah']",True
157,"Q: Is the following sentence plausible? ""Carlos Correa struck out the side.""
A: The answer is ->",yes,"['yes', 'es', 'YES', 'no', 'Yes']",True
158,"Q: Is the following sentence plausible? ""Darius Garland\xc2\xa0 went one for two from the line.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no']",True
159,"Q: Is the following sentence plausible? ""Iker Casillas earned a direct kick.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
160,"Q: Is the following sentence plausible? ""Karim Benzema committed a blocking foul in the NBA Championship.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'basketball']",True
161,"Q: Is the following sentence plausible? ""Jose Ramirez hit into a double play in the National League Championship Series.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'YES', 'Yes']",True
162,"Q: Is the following sentence plausible? ""Mapou Yanga-M\'Biwa did a double stepover.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
163,"Q: Is the following sentence plausible? ""Adalberto Mondesi was safe at first.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'o']",True
164,"Q: Is the following sentence plausible? ""Paulinho earned an indirect kick in the FA Cup.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
165,"Q: Is the following sentence plausible? ""Zach LaVine\xc2\xa0 committed a three second violation.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
166,"Q: Is the following sentence plausible? ""Bo Bichette threw to first base.""
A: The answer is ->",yes,"['yes', 'es', 'YES', 'Yes', 'no']",True
167,"Q: Is the following sentence plausible? ""Carson Wentz took to the ice.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'none']",True
168,"Q: Is the following sentence plausible? ""Juan Soto hit the slant pass in the NFC divisional round.""
A: The answer is ->",no,"['no', 'o', 'yes', 'No', 'football']",True
169,"Q: Is the following sentence plausible? ""Juan Mata scored a corner kick in the FA Cup.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
170,"Q: Is the following sentence plausible? ""Rhys Hoskins scored a bicycle kick.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'No']",True
171,"Q: Is the following sentence plausible? ""Dani Alves grounded out to second base.""
A: The answer is ->",no,"['no', 'yes', 'o', 'soccer', 'No']",True
172,"Q: Is the following sentence plausible? ""DK Metcalf hit the wheel route.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
173,"Q: Is the following sentence plausible? ""Cooper Kupp launched the half court shot in the Western Conference Finals.""
A: The answer is ->",no,"['no', 'yes', 'o', 'nobody', 'none']",True
174,"Q: Is the following sentence plausible? ""Nick Foles changed direction in the backfield.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
175,"Q: Is the following sentence plausible? ""Kyle Tucker grounded out to second base in the World Series.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'YES', 'no']",True
176,"Q: Is the following sentence plausible? ""Carlos Correa threw to first base.""
A: The answer is ->",yes,"['yes', 'es', 'YES', 'Yes', 'yeah']",True
177,"Q: Is the following sentence plausible? ""Tuukka Rask passed the puck.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
178,"Q: Is the following sentence plausible? ""James Karinchak worked a full count.""
A: The answer is ->",yes,"['yes', 'no', 'No', 'yeah', 'nobody']",True
179,"Q: Is the following sentence plausible? ""Nick Castellanos flew out to center.""
A: The answer is ->",yes,"['yes', 'no', 'yeah', 'YES', 'es']",True
180,"Q: Is the following sentence plausible? ""Manny Machado hit into a double play.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'YES']",True
181,"Q: Is the following sentence plausible? ""Tyreek Hill caught the screen pass.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
182,"Q: Is the following sentence plausible? ""Cam Newton converted the first down.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'o', 'Yes']",True
