{'statement': 'Between Guangzhou and Bujumbura, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Bujumbura'}
{'statement': 'Between Lake Havasu City and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Hamilton and Saint Petersburg, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hamilton'}
{'statement': 'Between Baltimore and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Baltimore'}
{'statement': 'Between Mexico City and Piura, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Piura'}
{'statement': 'Between Guangzhou and Santiago, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Santiago'}
{'statement': 'Between Jakarta and Moscow, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Moscow'}
{'statement': 'Between Cairo and Lagos, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Lagos'}
{'statement': 'Between Honolulu and Guangzhou, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Honolulu'}
{'statement': 'Between Sydney and Brussels, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'Between Belize City and Perth, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Belize City'}
{'statement': 'Between San Antonio and Jakarta, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'San Antonio'}
{'statement': 'Between Beijing and Buenos Aires, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Buenos Aires'}
{'statement': 'Between Minneapolis and Mahajanga, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Mahajanga'}
{'statement': 'Between Phnom Penh and Houston, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Phnom Penh'}
{'statement': 'Between Johannesburg and Makurdi, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Makurdi'}
{'statement': 'Between Alexandria and Entebbe, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Entebbe'}
{'statement': 'Between Palmerston North and Los Angeles, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Palmerston North'}
{'statement': 'Between Shanghai and Cotonou, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cotonou'}
{'statement': 'Between Curitiba and Riyadh, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Curitiba'}
{'statement': 'Between Chicago and Port-Gentil, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Port-Gentil'}
{'statement': 'Between Zagreb and Kuwait City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Zagreb'}
{'statement': 'Between Guangzhou and Palermo, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Palermo'}
{'statement': 'Between Toronto and Halifax, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Halifax'}
{'statement': 'Between Jakarta and Rome, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Rome'}
{'statement': 'Between Kano and Djibouti, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Djibouti'}
{'statement': 'Between Harare and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Harare'}
{'statement': 'Between Pontianak and Kunming, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Pontianak'}
{'statement': 'Between Hanoi and Cayenne, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Cayenne'}
{'statement': 'Between Riyadh and Toliara, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Toliara'}
{'statement': 'Between Ndola and Brisbane, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ndola'}
{'statement': 'Between Saint Petersburg and San José, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'San José'}
{'statement': 'Between San Diego and Lima, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'San Diego'}
{'statement': 'Between Manila and Baku, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Baku'}
{'statement': 'Between Shanghai and Kano, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Kano'}
{'statement': 'Between Tucson and Guadalajara, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Tucson'}
{'statement': 'Between Cairo and Reykjavík, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Reykjavík'}
{'statement': 'Between Bishkek and Kunming, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Bishkek'}
{'statement': 'Between San Juan and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'San Juan'}
{'statement': 'Between Moscow and Santiago, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Santiago'}
{'statement': 'Between Riyadh and Río Gallegos, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Río Gallegos'}
{'statement': 'Between Lagos and Halifax, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Halifax'}
{'statement': 'Between Jakarta and Garoua, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Garoua'}
{'statement': 'Between Kano and Sucre, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Sucre'}
{'statement': 'Between Lagos and Milwaukee, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Milwaukee'}
{'statement': 'Between Los Angeles and Entebbe, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Entebbe'}
{'statement': 'Between Cayenne and Addis Ababa, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cayenne'}
{'statement': 'Between Paris and Fianarantsoa, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Fianarantsoa'}
{'statement': 'Between Manila and Zagreb, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Zagreb'}
{'statement': 'Between Medellín and Thiès, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Thiès'}
{'statement': 'Between Tampa and Benghazi, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Benghazi'}
{'statement': 'Between Cayenne and Surabaya, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Cayenne'}
{'statement': 'Between Toliara and Ho Chi Minh City, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Toliara'}
{'statement': 'Between Denpasar and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Denpasar'}
{'statement': 'Between Mumbai and Cairo, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Cairo'}
{'statement': 'Between Lagos and Sucre, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Sucre'}
{'statement': 'Between Mexicali and Toronto, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Mexicali'}
{'statement': 'Between Johannesburg and Mexicali, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Mexicali'}
{'statement': 'Between Kuwait City and Buenos Aires, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Kuwait City'}
{'statement': 'Between Auckland and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Auckland'}
{'statement': 'Between Kunming and Porto Alegre, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Porto Alegre'}
{'statement': 'Between Chicago and Rabat, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Rabat'}
{'statement': 'Between Surabaya and Mendoza, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Mendoza'}
{'statement': 'Between Lisbon and Melbourne, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lisbon'}
{'statement': 'Between Los Angeles and Zagreb, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Zagreb'}
{'statement': 'Between Ho Chi Minh City and Fukuoka, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Fukuoka'}
{'statement': 'Between Ho Chi Minh City and Chicago, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Chicago'}
{'statement': 'Between Ségou and Houston, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Ségou'}
{'statement': 'Between Almaty and Riyadh, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Almaty'}
{'statement': 'Between Panama City and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Panama City'}
{'statement': 'Between Podgorica and Rome, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Podgorica'}
{'statement': 'Between Kuwait City and Hanoi, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kuwait City'}
{'statement': 'Between Hat Yai and Kano, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Hat Yai'}
{'statement': 'Between Lahore and Yakutsk, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Yakutsk'}
{'statement': 'Between Guangzhou and Río Gallegos, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Río Gallegos'}
{'statement': 'Between Kabul and Porto Alegre, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Porto Alegre'}
{'statement': 'Between La Serena and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'La Serena'}
{'statement': 'Between Tampa and San José, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'San José'}
{'statement': 'Between Johannesburg and Anchorage, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Anchorage'}
{'statement': 'Between Cairo and London, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'London'}
{'statement': 'Between Vientiane and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Vientiane'}
{'statement': 'Between Sydney and Kuwait City, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Kuwait City'}
{'statement': 'Between Antsiranana and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Antsiranana'}
