{'statement': 'You are looking for an expensive restaurant. Between Thompson Rooftop and Nook, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': 'You are looking for an expensive restaurant. Between Cake Opera and Chick Fiesta, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Chick Fiesta'}
{'statement': 'You are looking for an expensive restaurant. Between Delicious Paradise Kitchen and Marcello’s pizzeria, you should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'You are looking for an expensive restaurant. Between Verona Restaurant and Bake Island, you should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Bake Island'}
{'statement': 'You are looking for an expensive restaurant. Between Verona Restaurant and Modo Mio Italian Bistro, you should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': 'You are looking for an expensive restaurant. Between Viccino Pizzeria and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Viccino Pizzeria'}
{'statement': "You are looking for an expensive restaurant. Between Druxy's Famous Deli and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Druxy's Famous Deli"}
{'statement': 'You are looking for an expensive restaurant. Between Aroma Espresso Bar and Solero Mediterranean Bakery, you should go to Aroma Espresso Bar.', 'answer': 'Aroma Espresso Bar', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You are looking for an expensive restaurant. Between Warung Indonesia D'Eglinton and Cafe Jules, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Cafe Jules'}
{'statement': 'You are looking for an expensive restaurant. Between The Empire and LCBO, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'The Empire'}
{'statement': 'You are looking for an expensive restaurant. Between Verona Restaurant and Sushi World, you should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Sushi World'}
{'statement': 'You are looking for an expensive restaurant. Between JJ Bean and Sushi World, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi World'}
{'statement': 'You are looking for an expensive restaurant. Between Lahore Grill & Fast Food and La Pupusa Loka, you should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'You are looking for an expensive restaurant. Between Marcello’s pizzeria and Queen Pita, you should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for an expensive restaurant. Between Sizzlers and La Cocina De Dona Luz, you should go to La Cocina De Dona Luz.', 'answer': 'La Cocina De Dona Luz', 'candidate': 'Sizzlers'}
{'statement': "You are looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Sweet Jesus, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sweet Jesus'}
{'statement': 'You are looking for an expensive restaurant. Between Green Room and Nook, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Green Room'}
{'statement': 'You are looking for an expensive restaurant. Between Bake Island and The Duke of Devon, you should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Bake Island'}
{'statement': 'You are looking for an expensive restaurant. Between Sushi Time Japanese Restaurant and Ici Bistro, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for an expensive restaurant. Between Marcello’s pizzeria and Shawarma Twist, you should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Shawarma Twist'}
{'statement': "You are looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Queen Pita, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "You are looking for an expensive restaurant. Between McDonald's and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "McDonald's"}
{'statement': 'You are looking for an expensive restaurant. Between Sushi World and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Sushi World'}
{'statement': 'You are looking for an expensive restaurant. Between Taste of Greek Cuisine and Lahore Grill & Fast Food, you should go to Taste of Greek Cuisine.', 'answer': 'Taste of Greek Cuisine', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'You are looking for an expensive restaurant. Between Kairali - Taste of Kerala and Villa Madina, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Villa Madina'}
{'statement': 'You are looking for an expensive restaurant. Between Sky Dragon Chinese Restaurant and Bonne Journee, you should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "You are looking for an expensive restaurant. Between McDonald's and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "McDonald's"}
{'statement': 'You are looking for an expensive restaurant. Between Taste of Greek Cuisine and Shawarma Twist, you should go to Taste of Greek Cuisine.', 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': 'You are looking for an expensive restaurant. Between Branca and Maurya East Indian Roti, you should go to Branca.', 'answer': 'Branca', 'candidate': 'Maurya East Indian Roti'}
{'statement': "You are looking for an expensive restaurant. Between Harvey's and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': "Harvey's"}
{'statement': "You are looking for an expensive restaurant. Between Milo's Pita and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Milo's Pita"}
{'statement': 'You are looking for an expensive restaurant. Between The Duke of Devon and Cake Opera, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'The Duke of Devon'}
{'statement': 'You are looking for an expensive restaurant. Between Popeyes Louisiana Kitchen and Thompson Rooftop, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'You are looking for an expensive restaurant. Between Grappa Ristorante and Green Grotto, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': 'You are looking for an expensive restaurant. Between Freshii and Tim Hortons, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Tim Hortons'}
{'statement': 'You are looking for an expensive restaurant. Between Queen Slice and Basil Express Restaurant, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Slice'}
{'statement': 'You are looking for an expensive restaurant. Between Ciao Europa wine bar and Sizzlers, you should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Sizzlers'}
{'statement': 'You are looking for an expensive restaurant. Between Cake Opera and Aris Place, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Aris Place'}
{'statement': 'You are looking for an expensive restaurant. Between Banjara Indian Cuisine and Verona Restaurant, you should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': 'You are looking for an expensive restaurant. Between Bonne Journee and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.', 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': 'You are looking for an expensive restaurant. Between Goldstone Noodle Restaurant and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You are looking for an expensive restaurant. Between KFC and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'KFC'}
{'statement': 'You are looking for an expensive restaurant. Between Thai 4 You Restaurant and Eastern legend, you should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'Eastern legend'}
{'statement': "You are looking for an expensive restaurant. Between The Duke of Devon and Smoke's Weinerie, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Smoke's Weinerie"}
{'statement': 'You are looking for an expensive restaurant. Between Lebanese Bakery and Sushi World, you should go to Lebanese Bakery.', 'answer': 'Lebanese Bakery', 'candidate': 'Sushi World'}
{'statement': 'You are looking for an expensive restaurant. Between Green Room and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Room'}
{'statement': "You are looking for an expensive restaurant. Between Pizza Pizza and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Pizza Pizza'}
{'statement': 'You are looking for an expensive restaurant. Between Tortería San Cosme and Just Soups Take Out & Catering, you should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You are looking for an expensive restaurant. Between Assembly Chef's Hall and Supermodel Pizza, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Supermodel Pizza'}
{'statement': "You are looking for an expensive restaurant. Between Druxy's Famous Deli and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Druxy's Famous Deli"}
{'statement': 'You are looking for an expensive restaurant. Between LCBO and Queen Slice, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Queen Slice'}
{'statement': "You are looking for an expensive restaurant. Between Big Al's Diner and Pisco 1641, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Big Al's Diner"}
{'statement': "You are looking for an expensive restaurant. Between Dinah's Cupboard and Farmacia Health Bar, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Farmacia Health Bar'}
{'statement': "You are looking for an expensive restaurant. Between Mamma's Pizza and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Mamma's Pizza"}
{'statement': 'You are looking for an expensive restaurant. Between Kairali - Taste of Kerala and Thompson Rooftop, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'You are looking for an expensive restaurant. Between Tortería San Cosme and Queen Slice, you should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Queen Slice'}
{'statement': 'You are looking for an expensive restaurant. Between The Coffee Pocket and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for an expensive restaurant. Between Bagel Nash and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': 'You are looking for an expensive restaurant. Between Farmacia Health Bar and Grappa Ristorante, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Farmacia Health Bar'}
{'statement': "You are looking for an expensive restaurant. Between Watson's and Smoke's Weinerie, you should go to Watson's.", 'answer': "Watson's", 'candidate': "Smoke's Weinerie"}
{'statement': "You are looking for an expensive restaurant. Between Verona Restaurant and Watson's, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Watson's"}
{'statement': 'You are looking for an expensive restaurant. Between Aris Place and Pisco 1641, you should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Aris Place'}
{'statement': 'You are looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Villa Madina, you should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Villa Madina'}
{'statement': "You are looking for an expensive restaurant. Between The Duke of Devon and McDonald's, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "McDonald's"}
{'statement': 'You are looking for an expensive restaurant. Between Eastern legend and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Eastern legend'}
{'statement': 'You are looking for an expensive restaurant. Between Scaddabush Italian Kitchen & Bar and Bake Island, you should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Bake Island'}
{'statement': 'You are looking for an expensive restaurant. Between Chick Fiesta and Branca, you should go to Branca.', 'answer': 'Branca', 'candidate': 'Chick Fiesta'}
{'statement': "You are looking for an expensive restaurant. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Smoke's Weinerie"}
{'statement': 'You are looking for an expensive restaurant. Between Basha Middle Eastern Grill and Villa Madina, you should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Villa Madina'}
{'statement': 'You are looking for an expensive restaurant. Between Pizza Pizza and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizza Pizza'}
{'statement': 'You are looking for an expensive restaurant. Between Bao Bao Plus Dim Sum and Aris Place, you should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Aris Place'}
{'statement': 'You are looking for an expensive restaurant. Between Queen Pita and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Queen Pita'}
{'statement': "You are looking for an expensive restaurant. Between Tian An Cuisine and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tian An Cuisine'}
{'statement': "You are looking for an expensive restaurant. Between Mamma's Pizza and Green Grotto, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': "Mamma's Pizza"}
{'statement': "You are looking for an expensive restaurant. Between The Coffee Pocket and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for an expensive restaurant. Between Evoo Ristorante and Sushi Shop, you should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Sushi Shop'}
{'statement': "You are looking for an expensive restaurant. Between Dangerous Dan's Diner and Delicious Paradise Kitchen, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'You are looking for an expensive restaurant. Between Cantine Bar & Grill and Verona Restaurant, you should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
{'statement': 'You are looking for an expensive restaurant. Between Cake Opera and Green Grotto, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Green Grotto'}
