{'statement': 'You are looking for an affordable restaurant. Between Nook and Thompson Rooftop, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "You are looking for an affordable restaurant. Between Milo's Pita and Topham Corner, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Topham Corner'}
{'statement': 'You are looking for an affordable restaurant. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Itamae Ayce Sushi'}
{'statement': 'You are looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and Falafel Hut Village, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You are looking for an affordable restaurant. Between Carole's Cheesecake Cafe and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You are looking for an affordable restaurant. Between Sushi World and Domino's Pizza, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Domino's Pizza"}
{'statement': "You are looking for an affordable restaurant. Between LCBO and Dinah's Cupboard, you should go to LCBO.", 'answer': 'LCBO', 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for an affordable restaurant. Between Kim PO Vietnamese and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'You are looking for an affordable restaurant. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Thai 4 You Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': 'You are looking for an affordable restaurant. Between Nook and Falafel House, you should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Nook'}
{'statement': 'You are looking for an affordable restaurant. Between z-teca Gourmet Burritos and Grappa Ristorante, you should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for an affordable restaurant. Between Falafel Hut Village and Hapa Toronto, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Hapa Toronto'}
{'statement': "You are looking for an affordable restaurant. Between Carole's Cheesecake Cafe and Edible Arrangements, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for an affordable restaurant. Between Aris Place and Marcello’s pizzeria, you should go to Aris Place.', 'answer': 'Aris Place', 'candidate': 'Marcello’s pizzeria'}
{'statement': 'You are looking for an affordable restaurant. Between 9 Restaurant and Fit For Life, you should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': '9 Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between Popeyes Louisiana Kitchen and Big Al's Diner, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'You are looking for an affordable restaurant. Between Farmacia Health Bar and Mirage Grill & Lounge, you should go to Farmacia Health Bar.', 'answer': 'Farmacia Health Bar', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You are looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'You are looking for an affordable restaurant. Between Bao Bao Plus Dim Sum and Edible Arrangements, you should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Edible Arrangements'}
{'statement': "You are looking for an affordable restaurant. Between Queen Slice and Phil's Original BBQ, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Phil's Original BBQ"}
{'statement': 'You are looking for an affordable restaurant. Between Ciao Europa wine bar and Top Sushi, you should go to Top Sushi.', 'answer': 'Top Sushi', 'candidate': 'Ciao Europa wine bar'}
{'statement': 'You are looking for an affordable restaurant. Between Tortería San Cosme and Tim Hortons, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Tortería San Cosme'}
{'statement': 'You are looking for an affordable restaurant. Between Grappa Ristorante and Supermodel Pizza, you should go to Supermodel Pizza.', 'answer': 'Supermodel Pizza', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for an affordable restaurant. Between Mi Mi Restaurant and Ardor Bistro, you should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': 'You are looking for an affordable restaurant. Between Cantine Bar & Grill and Bake Island, you should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You are looking for an affordable restaurant. Between Edible Arrangements and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for an affordable restaurant. Between Hina Sushi and Pizza Pizza, you should go to Pizza Pizza.', 'answer': 'Pizza Pizza', 'candidate': 'Hina Sushi'}
{'statement': 'You are looking for an affordable restaurant. Between Lahore Grill & Fast Food and 9 Restaurant, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': '9 Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between Maurya East Indian Roti and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Maurya East Indian Roti'}
{'statement': "You are looking for an affordable restaurant. Between The Coffee Pocket and Nutella Cafe by Pusateri's, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'You are looking for an affordable restaurant. Between Edible Arrangements and Top Sushi, you should go to Top Sushi.', 'answer': 'Top Sushi', 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for an affordable restaurant. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, you should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Taste of Greek Cuisine and Falafel Hut Village, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Taste of Greek Cuisine'}
{'statement': 'You are looking for an affordable restaurant. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You are looking for an affordable restaurant. Between Nook and Druxy's Famous Deli, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Nook'}
{'statement': 'You are looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Hina Sushi, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "You are looking for an affordable restaurant. Between Eggspectation and Smoke's Weinerie, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Eggspectation'}
{'statement': 'You are looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and Pisco 1641, you should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'You are looking for an affordable restaurant. Between Kibo Sushi House and Tim Hortons, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Kibo Sushi House'}
{'statement': "You are looking for an affordable restaurant. Between Helena's Magic Kitchen and Aroma Espresso Bar, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Aroma Espresso Bar'}
{'statement': 'You are looking for an affordable restaurant. Between Freshii and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Freshii'}
{'statement': 'You are looking for an affordable restaurant. Between Pasta Pantry and Mysteriously Yours Dinner Theatre, you should go to Pasta Pantry.', 'answer': 'Pasta Pantry', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for an affordable restaurant. Between La Cocina De Dona Luz and KFC, you should go to KFC.', 'answer': 'KFC', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You are looking for an affordable restaurant. Between Hawthorne Food and Drink and Smoke's Weinerie, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "You are looking for an affordable restaurant. Between Warung Indonesia D'Eglinton and Branca, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Branca'}
{'statement': 'You are looking for an affordable restaurant. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, you should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You are looking for an affordable restaurant. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You are looking for an affordable restaurant. Between Bao Bao Plus Dim Sum and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'You are looking for an affordable restaurant. Between Milestones Restaurants and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Milestones Restaurants'}
{'statement': "You are looking for an affordable restaurant. Between Anatolia Restaurant and Druxy's Famous Deli, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Anatolia Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Cake Opera and Chick Fiesta, you should go to Chick Fiesta.', 'answer': 'Chick Fiesta', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for an affordable restaurant. Between Delicious Paradise Kitchen and Marcello’s pizzeria, you should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Marcello’s pizzeria'}
{'statement': 'You are looking for an affordable restaurant. Between Bake Island and Verona Restaurant, you should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Verona Restaurant and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.', 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, you should go to Viccino Pizzeria.', 'answer': 'Viccino Pizzeria', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You are looking for an affordable restaurant. Between Druxy's Famous Deli and Paradise Farms Prime Beef Bistro, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': 'You are looking for an affordable restaurant. Between Aroma Espresso Bar and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You are looking for an affordable restaurant. Between Warung Indonesia D'Eglinton and Cafe Jules, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'You are looking for an affordable restaurant. Between LCBO and The Empire, you should go to The Empire.', 'answer': 'The Empire', 'candidate': 'LCBO'}
{'statement': 'You are looking for an affordable restaurant. Between Sushi World and Verona Restaurant, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between JJ Bean and Sushi World, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'JJ Bean'}
{'statement': 'You are looking for an affordable restaurant. Between Lahore Grill & Fast Food and La Pupusa Loka, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'La Pupusa Loka'}
{'statement': 'You are looking for an affordable restaurant. Between Queen Pita and Marcello’s pizzeria, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Marcello’s pizzeria'}
{'statement': 'You are looking for an affordable restaurant. Between Sizzlers and La Cocina De Dona Luz, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You are looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Sweet Jesus, you should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'You are looking for an affordable restaurant. Between Nook and Green Room, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Nook'}
{'statement': 'You are looking for an affordable restaurant. Between Bake Island and The Duke of Devon, you should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'The Duke of Devon'}
{'statement': 'You are looking for an affordable restaurant. Between Sushi Time Japanese Restaurant and Ici Bistro, you should go to Sushi Time Japanese Restaurant.', 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for an affordable restaurant. Between Shawarma Twist and Marcello’s pizzeria, you should go to Shawarma Twist.', 'answer': 'Shawarma Twist', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You are looking for an affordable restaurant. Between Queen Pita and Nutella Cafe by Pusateri's, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You are looking for an affordable restaurant. Between Sushi Time Japanese Restaurant and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Sushi World and z-teca Gourmet Burritos, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for an affordable restaurant. Between Taste of Greek Cuisine and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Taste of Greek Cuisine'}
{'statement': 'You are looking for an affordable restaurant. Between Kairali - Taste of Kerala and Villa Madina, you should go to Villa Madina.', 'answer': 'Villa Madina', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'You are looking for an affordable restaurant. Between Bonne Journee and Sky Dragon Chinese Restaurant, you should go to Bonne Journee.', 'answer': 'Bonne Journee', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between McDonald's and Bao Bao Plus Dim Sum, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'You are looking for an affordable restaurant. Between Shawarma Twist and Taste of Greek Cuisine, you should go to Shawarma Twist.', 'answer': 'Shawarma Twist', 'candidate': 'Taste of Greek Cuisine'}
{'statement': 'You are looking for an affordable restaurant. Between Branca and Maurya East Indian Roti, you should go to Maurya East Indian Roti.', 'answer': 'Maurya East Indian Roti', 'candidate': 'Branca'}
{'statement': "You are looking for an affordable restaurant. Between Harvey's and Sichuan Landscape Chinese Restaurant, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between Milo's Pita and Tik Talk Cafe, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Tik Talk Cafe'}
{'statement': 'You are looking for an affordable restaurant. Between The Duke of Devon and Cake Opera, you should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for an affordable restaurant. Between Thompson Rooftop and Popeyes Louisiana Kitchen, you should go to Popeyes Louisiana Kitchen.', 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': 'You are looking for an affordable restaurant. Between Green Grotto and Grappa Ristorante, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for an affordable restaurant. Between Freshii and Tim Hortons, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Freshii'}
{'statement': 'You are looking for an affordable restaurant. Between Basil Express Restaurant and Queen Slice, you should go to Queen Slice.', 'answer': 'Queen Slice', 'candidate': 'Basil Express Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Ciao Europa wine bar and Sizzlers, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Ciao Europa wine bar'}
{'statement': 'You are looking for an affordable restaurant. Between Cake Opera and Aris Place, you should go to Aris Place.', 'answer': 'Aris Place', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for an affordable restaurant. Between Verona Restaurant and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Bonne Journee and Sushi Time Japanese Restaurant, you should go to Bonne Journee.', 'answer': 'Bonne Journee', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You are looking for an affordable restaurant. Between KFC and Assembly Chef's Hall, you should go to KFC.", 'answer': 'KFC', 'candidate': "Assembly Chef's Hall"}
{'statement': 'You are looking for an affordable restaurant. Between Thai 4 You Restaurant and Eastern legend, you should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between Smoke's Weinerie and The Duke of Devon, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'The Duke of Devon'}
{'statement': 'You are looking for an affordable restaurant. Between Lebanese Bakery and Sushi World, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Lebanese Bakery'}
{'statement': 'You are looking for an affordable restaurant. Between Green Room and Banjara Indian Cuisine, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You are looking for an affordable restaurant. Between Pizza Pizza and Assembly Chef's Hall, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': 'You are looking for an affordable restaurant. Between Tortería San Cosme and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Tortería San Cosme'}
{'statement': "You are looking for an affordable restaurant. Between Assembly Chef's Hall and Supermodel Pizza, you should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "You are looking for an affordable restaurant. Between Druxy's Famous Deli and Chipotle Mexican Grill, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'You are looking for an affordable restaurant. Between Queen Slice and LCBO, you should go to Queen Slice.', 'answer': 'Queen Slice', 'candidate': 'LCBO'}
{'statement': "You are looking for an affordable restaurant. Between Pisco 1641 and Big Al's Diner, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pisco 1641'}
{'statement': "You are looking for an affordable restaurant. Between Farmacia Health Bar and Dinah's Cupboard, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': "Dinah's Cupboard"}
{'statement': "You are looking for an affordable restaurant. Between Mamma's Pizza and Edible Arrangements, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for an affordable restaurant. Between Thompson Rooftop and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Thompson Rooftop'}
{'statement': 'You are looking for an affordable restaurant. Between Tortería San Cosme and Queen Slice, you should go to Queen Slice.', 'answer': 'Queen Slice', 'candidate': 'Tortería San Cosme'}
{'statement': 'You are looking for an affordable restaurant. Between The Coffee Pocket and Eggspectation, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for an affordable restaurant. Between Eggspectation and Bagel Nash, you should go to Bagel Nash.', 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for an affordable restaurant. Between Grappa Ristorante and Farmacia Health Bar, you should go to Farmacia Health Bar.', 'answer': 'Farmacia Health Bar', 'candidate': 'Grappa Ristorante'}
{'statement': "You are looking for an affordable restaurant. Between Watson's and Smoke's Weinerie, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': "Watson's"}
{'statement': "You are looking for an affordable restaurant. Between Watson's and Verona Restaurant, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Aris Place and Pisco 1641, you should go to Aris Place.', 'answer': 'Aris Place', 'candidate': 'Pisco 1641'}
{'statement': 'You are looking for an affordable restaurant. Between Villa Madina and Oxygen Restaurant & Lounge, you should go to Villa Madina.', 'answer': 'Villa Madina', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You are looking for an affordable restaurant. Between The Duke of Devon and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'The Duke of Devon'}
{'statement': 'You are looking for an affordable restaurant. Between Itamae Ayce Sushi and Eastern legend, you should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Itamae Ayce Sushi'}
{'statement': 'You are looking for an affordable restaurant. Between Scaddabush Italian Kitchen & Bar and Bake Island, you should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': 'You are looking for an affordable restaurant. Between Branca and Chick Fiesta, you should go to Chick Fiesta.', 'answer': 'Chick Fiesta', 'candidate': 'Branca'}
{'statement': "You are looking for an affordable restaurant. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for an affordable restaurant. Between Villa Madina and Basha Middle Eastern Grill, you should go to Villa Madina.', 'answer': 'Villa Madina', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'You are looking for an affordable restaurant. Between Mirage Grill & Lounge and Pizza Pizza, you should go to Pizza Pizza.', 'answer': 'Pizza Pizza', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'You are looking for an affordable restaurant. Between Aris Place and Bao Bao Plus Dim Sum, you should go to Aris Place.', 'answer': 'Aris Place', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'You are looking for an affordable restaurant. Between Queen Pita and Eggspectation, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Eggspectation'}
{'statement': "You are looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Tian An Cuisine, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You are looking for an affordable restaurant. Between Mamma's Pizza and Green Grotto, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Green Grotto'}
{'statement': "You are looking for an affordable restaurant. Between The Coffee Pocket and Dinah's Cupboard, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for an affordable restaurant. Between Sushi Shop and Evoo Ristorante, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Evoo Ristorante'}
{'statement': "You are looking for an affordable restaurant. Between Dangerous Dan's Diner and Delicious Paradise Kitchen, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'You are looking for an affordable restaurant. Between Verona Restaurant and Cantine Bar & Grill, you should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Cake Opera and Green Grotto, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for an affordable restaurant. Between Sizzlers and Galata Cafe, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Galata Cafe'}
{'statement': "You are looking for an affordable restaurant. Between McDonald's and Beryl's Pepper Pot, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Beryl's Pepper Pot"}
{'statement': 'You are looking for an affordable restaurant. Between Madras Pantry and Daily Press Juicery, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Daily Press Juicery'}
