{'statement': 'Between San Diego and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'Between Canberra and Buenos Aires, the city with a smaller population is Canberra.', 'answer': 'Canberra', 'candidate': 'Buenos Aires'}
{'statement': 'Between Kunming and Perth, the city with a smaller population is Perth.', 'answer': 'Perth', 'candidate': 'Kunming'}
{'statement': 'Between Conakry and Alexandria, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Alexandria'}
{'statement': 'Between Niamey and Berlin, the city with a smaller population is Niamey.', 'answer': 'Niamey', 'candidate': 'Berlin'}
{'statement': 'Between Toronto and Bangkok, the city with a smaller population is Toronto.', 'answer': 'Toronto', 'candidate': 'Bangkok'}
{'statement': 'Between Kuwait City and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Kuwait City'}
{'statement': 'Between Yaoundé and Jakarta, the city with a smaller population is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Jakarta'}
{'statement': 'Between San Juan and Phoenix, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Phoenix'}
{'statement': 'Between Minneapolis and Suva, the city with a smaller population is Suva.', 'answer': 'Suva', 'candidate': 'Minneapolis'}
{'statement': 'Between Wellington and Riyadh, the city with a smaller population is Wellington.', 'answer': 'Wellington', 'candidate': 'Riyadh'}
{'statement': 'Between Mexico City and Tirana, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Mexico City'}
{'statement': 'Between Mumbai and Tampa, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'Mumbai'}
{'statement': 'Between Sucre and Tampa, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Tampa'}
{'statement': 'Between Sapporo and Johannesburg, the city with a smaller population is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Johannesburg'}
{'statement': 'Between Baltimore and Tamanrasset, the city with a smaller population is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Baltimore'}
{'statement': 'Between Garissa and Tampa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Tampa'}
{'statement': 'Between Erzurum and Melbourne, the city with a smaller population is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Melbourne'}
{'statement': 'Between Manila and Curitiba, the city with a smaller population is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Manila'}
{'statement': 'Between Palermo and Bangkok, the city with a smaller population is Palermo.', 'answer': 'Palermo', 'candidate': 'Bangkok'}
{'statement': 'Between Riyadh and Lomé, the city with a smaller population is Lomé.', 'answer': 'Lomé', 'candidate': 'Riyadh'}
{'statement': 'Between Cairo and Fukuoka, the city with a smaller population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Cairo'}
{'statement': 'Between Wellington and Beijing, the city with a smaller population is Wellington.', 'answer': 'Wellington', 'candidate': 'Beijing'}
{'statement': 'Between Harare and Antsiranana, the city with a smaller population is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Harare'}
{'statement': 'Between Denver and El Paso, the city with a smaller population is El Paso.', 'answer': 'El Paso', 'candidate': 'Denver'}
{'statement': 'Between Cairo and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cairo'}
{'statement': 'Between San Juan and Brasília, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Brasília'}
{'statement': 'Between Los Angeles and Santiago, the city with a smaller population is Santiago.', 'answer': 'Santiago', 'candidate': 'Los Angeles'}
{'statement': 'Between Quito and Chicago, the city with a smaller population is Quito.', 'answer': 'Quito', 'candidate': 'Chicago'}
{'statement': 'Between Nakhon Ratchasima and Berlin, the city with a smaller population is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Berlin'}
{'statement': 'Between Denpasar and Buenos Aires, the city with a smaller population is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Buenos Aires'}
{'statement': 'Between Surabaya and Christchurch, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Surabaya'}
{'statement': 'Between Sydney and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Sydney'}
{'statement': 'Between Bangkok and Cayenne, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Bangkok'}
{'statement': 'Between Johannesburg and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Johannesburg'}
{'statement': 'Between Kabul and Rosario, the city with a smaller population is Rosario.', 'answer': 'Rosario', 'candidate': 'Kabul'}
{'statement': 'Between Viedma and Yaoundé, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Yaoundé'}
{'statement': 'Between Ho Chi Minh City and Lhasa, the city with a smaller population is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Cairo and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Cairo'}
{'statement': 'Between Auckland and Riyadh, the city with a smaller population is Auckland.', 'answer': 'Auckland', 'candidate': 'Riyadh'}
{'statement': 'Between Bergen and Riyadh, the city with a smaller population is Bergen.', 'answer': 'Bergen', 'candidate': 'Riyadh'}
{'statement': 'Between Brasília and Parakou, the city with a smaller population is Parakou.', 'answer': 'Parakou', 'candidate': 'Brasília'}
{'statement': 'Between Tabora and Nairobi, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Nairobi'}
{'statement': 'Between Tampa and Irkutsk, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Tampa'}
{'statement': 'Between Phoenix and Ulaanbaatar, the city with a smaller population is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Phoenix'}
{'statement': 'Between El Paso and Baghdad, the city with a smaller population is El Paso.', 'answer': 'El Paso', 'candidate': 'Baghdad'}
{'statement': 'Between Kano and Saint Petersburg, the city with a smaller population is Kano.', 'answer': 'Kano', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Yinchuan and Dar es Salaam, the city with a smaller population is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Kunming and Lviv, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Kunming'}
{'statement': 'Between Santiago and Rabat, the city with a smaller population is Rabat.', 'answer': 'Rabat', 'candidate': 'Santiago'}
{'statement': 'Between Kuwait City and Tucson, the city with a smaller population is Tucson.', 'answer': 'Tucson', 'candidate': 'Kuwait City'}
{'statement': 'Between Kabul and Paramaribo, the city with a smaller population is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Kabul'}
{'statement': 'Between Lahore and La Ceiba, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Lahore'}
{'statement': 'Between Santiago and Bergen, the city with a smaller population is Bergen.', 'answer': 'Bergen', 'candidate': 'Santiago'}
{'statement': 'Between Bangui and Monterrey, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Monterrey'}
{'statement': 'Between Houston and Albuquerque, the city with a smaller population is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Houston'}
{'statement': 'Between Lahore and Toronto, the city with a smaller population is Toronto.', 'answer': 'Toronto', 'candidate': 'Lahore'}
{'statement': 'Between Santiago and Milwaukee, the city with a smaller population is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Santiago'}
{'statement': 'Between Irkutsk and Bangkok, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bangkok'}
{'statement': 'Between Ushuaia and Alexandria, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Alexandria'}
{'statement': 'Between Denpasar and Monterrey, the city with a smaller population is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Monterrey'}
{'statement': 'Between Lima and Bangui, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Lima'}
{'statement': 'Between Tabora and Algiers, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Algiers'}
{'statement': 'Between Nairobi and Halifax, the city with a smaller population is Halifax.', 'answer': 'Halifax', 'candidate': 'Nairobi'}
{'statement': 'Between San Diego and Djibouti, the city with a smaller population is Djibouti.', 'answer': 'Djibouti', 'candidate': 'San Diego'}
{'statement': 'Between Minsk and Toronto, the city with a smaller population is Minsk.', 'answer': 'Minsk', 'candidate': 'Toronto'}
{'statement': 'Between Manaus and Karachi, the city with a smaller population is Manaus.', 'answer': 'Manaus', 'candidate': 'Karachi'}
{'statement': 'Between Canberra and Tashkent, the city with a smaller population is Canberra.', 'answer': 'Canberra', 'candidate': 'Tashkent'}
{'statement': 'Between Berlin and Bangui, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Berlin'}
{'statement': 'Between Toliara and Manila, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Manila'}
{'statement': 'Between Christchurch and Saint Petersburg, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Ürümqi and Ljubljana, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Ürümqi'}
{'statement': 'Between Houston and Belize City, the city with a smaller population is Belize City.', 'answer': 'Belize City', 'candidate': 'Houston'}
{'statement': 'Between Malabo and Lahore, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Lahore'}
{'statement': 'Between Baghdad and Upington, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Baghdad'}
