{'statement': "I don't like expensive restaurants. Between Nook and Thompson Rooftop, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Ardor Bistro and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like expensive restaurants. Between Bake Island and Cantine Bar & Grill, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like expensive restaurants. Between Watson's and Edible Arrangements, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Hina Sushi and Pizza Pizza, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Hina Sushi'}
{'statement': "I don't like expensive restaurants. Between 9 Restaurant and Lahore Grill & Fast Food, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': '9 Restaurant'}
{'statement': "I don't like expensive restaurants. Between Maurya East Indian Roti and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Maurya East Indian Roti'}
{'statement': "I don't like expensive restaurants. Between Nutella Cafe by Pusateri's and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Edible Arrangements and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Tian An Cuisine and Sichuan Landscape Chinese Restaurant, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Taste of Greek Cuisine and Falafel Hut Village, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I don't like expensive restaurants. Between Druxy's Famous Deli and Nook, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Nook'}
{'statement': "I don't like expensive restaurants. Between Hina Sushi and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and Eggspectation, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between Pisco 1641 and Oxygen Restaurant & Lounge, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Tim Hortons and Kibo Sushi House, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Kibo Sushi House'}
{'statement': "I don't like expensive restaurants. Between Aroma Espresso Bar and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like expensive restaurants. Between St. Clair Shawarma and Falafel and Freshii, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Freshii'}
{'statement': "I don't like expensive restaurants. Between Pasta Pantry and Mysteriously Yours Dinner Theatre, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between KFC and La Cocina De Dona Luz, I should go to KFC.", 'answer': 'KFC', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and Hawthorne Food and Drink, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Branca, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and Bao Bao Plus Dim Sum, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like expensive restaurants. Between Solero Mediterranean Bakery and Milestones Restaurants, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Milestones Restaurants'}
{'statement': "I don't like expensive restaurants. Between Anatolia Restaurant and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like expensive restaurants. Between Cake Opera and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and Marcello’s pizzeria, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between Bake Island and Verona Restaurant, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Modo Mio Italian Bistro, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like expensive restaurants. Between Solero Mediterranean Bakery and Aroma Espresso Bar, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like expensive restaurants. Between The Empire and LCBO, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'LCBO'}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Sushi World and JJ Bean, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'JJ Bean'}
{'statement': "I don't like expensive restaurants. Between Lahore Grill & Fast Food and La Pupusa Loka, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like expensive restaurants. Between Marcello’s pizzeria and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between Sizzlers and La Cocina De Dona Luz, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I don't like expensive restaurants. Between Sweet Jesus and Nutella Cafe by Pusateri's, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Nook and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Nook'}
{'statement': "I don't like expensive restaurants. Between The Duke of Devon and Bake Island, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like expensive restaurants. Between Sushi Time Japanese Restaurant and Ici Bistro, I should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Shawarma Twist and Marcello’s pizzeria, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between McDonald's and Sushi Time Japanese Restaurant, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like expensive restaurants. Between z-teca Gourmet Burritos and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like expensive restaurants. Between Lahore Grill & Fast Food and Taste of Greek Cuisine, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Kairali - Taste of Kerala and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like expensive restaurants. Between Bonne Journee and Sky Dragon Chinese Restaurant, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between McDonald's and Bao Bao Plus Dim Sum, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like expensive restaurants. Between Shawarma Twist and Taste of Greek Cuisine, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Branca and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Harvey's and Sichuan Landscape Chinese Restaurant, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and Tik Talk Cafe, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Tik Talk Cafe'}
{'statement': "I don't like expensive restaurants. Between Cake Opera and The Duke of Devon, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Freshii and Tim Hortons, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Freshii'}
{'statement': "I don't like expensive restaurants. Between Basil Express Restaurant and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like expensive restaurants. Between Sizzlers and Ciao Europa wine bar, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I don't like expensive restaurants. Between Aris Place and Cake Opera, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Banjara Indian Cuisine and Verona Restaurant, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Bonne Journee and Sushi Time Japanese Restaurant, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like expensive restaurants. Between Assembly Chef's Hall and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like expensive restaurants. Between Eastern legend and Thai 4 You Restaurant, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and The Duke of Devon, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'The Duke of Devon'}
{'statement': "I don't like expensive restaurants. Between Lebanese Bakery and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Lebanese Bakery'}
{'statement': "I don't like expensive restaurants. Between Banjara Indian Cuisine and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like expensive restaurants. Between Pizza Pizza and Assembly Chef's Hall, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like expensive restaurants. Between Tortería San Cosme and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Tortería San Cosme'}
{'statement': "I don't like expensive restaurants. Between Assembly Chef's Hall and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like expensive restaurants. Between Chipotle Mexican Grill and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like expensive restaurants. Between Queen Slice and LCBO, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'LCBO'}
{'statement': "I don't like expensive restaurants. Between Big Al's Diner and Pisco 1641, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pisco 1641'}
{'statement': "I don't like expensive restaurants. Between Farmacia Health Bar and Dinah's Cupboard, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Edible Arrangements and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Thompson Rooftop and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Tortería San Cosme and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'Tortería San Cosme'}
{'statement': "I don't like expensive restaurants. Between Eggspectation and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between Eggspectation and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and Watson's, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': "Watson's"}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Pisco 1641 and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Pisco 1641'}
{'statement': "I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between McDonald's and The Duke of Devon, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'The Duke of Devon'}
{'statement': "I don't like expensive restaurants. Between Eastern legend and Itamae Ayce Sushi, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like expensive restaurants. Between Scaddabush Italian Kitchen & Bar and Bake Island, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like expensive restaurants. Between Chick Fiesta and Branca, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Villa Madina and Basha Middle Eastern Grill, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like expensive restaurants. Between Pizza Pizza and Mirage Grill & Lounge, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like expensive restaurants. Between Aris Place and Bao Bao Plus Dim Sum, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like expensive restaurants. Between Eggspectation and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between Tian An Cuisine and Nutella Cafe by Pusateri's, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Green Grotto and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Green Grotto'}
{'statement': "I don't like expensive restaurants. Between The Coffee Pocket and Dinah's Cupboard, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Sushi Shop and Evoo Ristorante, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like expensive restaurants. Between Dangerous Dan's Diner and Delicious Paradise Kitchen, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like expensive restaurants. Between Cantine Bar & Grill and Verona Restaurant, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Cake Opera and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Sizzlers and Galata Cafe, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Galata Cafe'}
{'statement': "I don't like expensive restaurants. Between McDonald's and Beryl's Pepper Pot, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like expensive restaurants. Between Madras Pantry and Daily Press Juicery, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Daily Press Juicery'}
{'statement': "I don't like expensive restaurants. Between Le Papillon Park and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Le Papillon Park'}
{'statement': "I don't like expensive restaurants. Between Queen Pita and Thai 4 You Restaurant, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and Cantine Bar & Grill, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like expensive restaurants. Between Dinah's Cupboard and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Dinah's Cupboard"}
