{'statement': 'Between Guadalajara and Kansas City, the smaller city is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Guadalajara'}
{'statement': 'Between Lima and Baltimore, the smaller city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Lima'}
{'statement': 'Between Lima and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Lima'}
{'statement': 'Between Beijing and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Beijing'}
{'statement': 'Between Guadalajara and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Guadalajara'}
{'statement': 'Between Moscow and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Moscow'}
{'statement': 'Between Beijing and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Beijing'}
{'statement': 'Between Minneapolis and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Minneapolis'}
{'statement': 'Between Mexico City and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Mexico City'}
{'statement': 'Between Paris and Palermo, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Paris'}
{'statement': 'Between Riyadh and Kano, the smaller city is Kano.', 'answer': 'Kano', 'candidate': 'Riyadh'}
{'statement': 'Between Luanda and Guadalajara, the smaller city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Luanda'}
{'statement': 'Between Lagos and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Lagos'}
{'statement': 'Between Kabul and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Kabul'}
{'statement': 'Between Kunming and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Kunming'}
{'statement': 'Between Kuwait City and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kuwait City'}
{'statement': 'Between Chicago and Perth, the smaller city is Perth.', 'answer': 'Perth', 'candidate': 'Chicago'}
{'statement': 'Between Karachi and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Karachi'}
{'statement': 'Between London and Bamako, the smaller city is Bamako.', 'answer': 'Bamako', 'candidate': 'London'}
{'statement': 'Between Santiago and Berlin, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Santiago'}
{'statement': 'Between Lima and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Lima'}
{'statement': 'Between Lagos and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Lagos'}
{'statement': 'Between Mexico City and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Mexico City'}
{'statement': 'Between Mexico City and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Mexico City'}
{'statement': 'Between Jakarta and Mombasa, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Jakarta'}
{'statement': 'Between Sydney and Brussels, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Sydney'}
{'statement': 'Between Jakarta and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Jakarta'}
{'statement': 'Between Mexico City and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Mexico City'}
{'statement': 'Between Baghdad and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Baghdad'}
{'statement': 'Between Buenos Aires and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Buenos Aires'}
{'statement': 'Between Luanda and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Luanda'}
{'statement': 'Between Rome and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Rome'}
{'statement': 'Between Guangzhou and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Guangzhou'}
{'statement': 'Between Phoenix and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Phoenix'}
{'statement': 'Between Nairobi and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Nairobi'}
{'statement': 'Between Johannesburg and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Johannesburg'}
{'statement': 'Between Bangkok and Muscat, the smaller city is Muscat.', 'answer': 'Muscat', 'candidate': 'Bangkok'}
{'statement': 'Between Paris and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Paris'}
{'statement': 'Between Los Angeles and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Los Angeles'}
{'statement': 'Between Dar es Salaam and Phoenix, the smaller city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Shanghai and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Shanghai'}
{'statement': 'Between Baku and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Baku'}
{'statement': 'Between Riyadh and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Riyadh'}
{'statement': 'Between Surabaya and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Surabaya'}
{'statement': 'Between Shanghai and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Shanghai'}
{'statement': 'Between Nairobi and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Nairobi'}
{'statement': 'Between Douala and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Douala'}
{'statement': 'Between Lahore and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Lahore'}
{'statement': 'Between Alexandria and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Alexandria'}
{'statement': 'Between Kuwait City and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Kuwait City'}
{'statement': 'Between Beijing and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Beijing'}
{'statement': 'Between Tampa and Mendoza, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Tampa'}
{'statement': 'Between Tampa and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Tampa'}
{'statement': 'Between Lagos and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Lagos'}
{'statement': 'Between Dar es Salaam and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Fukuoka and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Fukuoka'}
{'statement': 'Between Melbourne and Mombasa, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Melbourne'}
{'statement': 'Between Hanoi and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Hanoi'}
{'statement': 'Between Toronto and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Toronto'}
{'statement': 'Between Houston and Denpasar, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Houston'}
{'statement': 'Between Brasília and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Brasília'}
{'statement': 'Between Mumbai and Kunming, the smaller city is Kunming.', 'answer': 'Kunming', 'candidate': 'Mumbai'}
{'statement': 'Between Addis Ababa and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Addis Ababa'}
{'statement': 'Between Ankara and San Antonio, the smaller city is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Ankara'}
{'statement': 'Between Brisbane and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Brisbane'}
{'statement': 'Between Surabaya and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Surabaya'}
{'statement': 'Between Lahore and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Lahore'}
{'statement': 'Between Jakarta and Yerevan, the smaller city is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Jakarta'}
{'statement': 'Between London and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'London'}
{'statement': 'Between Dar es Salaam and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ankara and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Ankara'}
{'statement': 'Between Santiago and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Santiago'}
{'statement': 'Between Sydney and Perth, the smaller city is Perth.', 'answer': 'Perth', 'candidate': 'Sydney'}
{'statement': 'Between Minneapolis and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Minneapolis'}
{'statement': 'Between Minneapolis and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Minneapolis'}
{'statement': 'Between Kabul and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Kabul'}
{'statement': 'Between Manila and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Manila'}
{'statement': 'Between Lagos and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Lagos'}
{'statement': 'Between Los Angeles and San Salvador, the smaller city is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Los Angeles'}
{'statement': 'Between Santiago and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Santiago'}
{'statement': 'Between Kuwait City and Kansas City, the smaller city is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Kuwait City'}
{'statement': 'Between Guangzhou and Valencia, the smaller city is Valencia.', 'answer': 'Valencia', 'candidate': 'Guangzhou'}
{'statement': 'Between Moscow and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Moscow'}
{'statement': 'Between Alexandria and San Antonio, the smaller city is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Alexandria'}
{'statement': 'Between Paris and El Paso, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Paris'}
{'statement': 'Between Kano and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Kano'}
{'statement': 'Between Monterrey and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Monterrey'}
{'statement': 'Between Yaoundé and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Yaoundé'}
{'statement': 'Between Phoenix and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Phoenix'}
{'statement': 'Between Dar es Salaam and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Houston and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Houston'}
{'statement': 'Between Mumbai and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Mumbai'}
{'statement': 'Between Melbourne and Auckland, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Melbourne'}
{'statement': 'Between Lahore and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Lahore'}
{'statement': 'Between San Diego and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'San Diego'}
{'statement': 'Between Ho Chi Minh City and Valencia, the smaller city is Valencia.', 'answer': 'Valencia', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Melbourne and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Melbourne'}
{'statement': 'Between Ankara and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Ankara'}
{'statement': 'Between Medellín and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Medellín'}
{'statement': 'Between Los Angeles and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Los Angeles'}
{'statement': 'Between Tashkent and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Tashkent'}
{'statement': 'Between Cairo and Vladivostok, the smaller city is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Cairo'}
{'statement': 'Between Perth and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Perth'}
{'statement': 'Between Mumbai and Ndola, the smaller city is Ndola.', 'answer': 'Ndola', 'candidate': 'Mumbai'}
{'statement': 'Between Yaoundé and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Yaoundé'}
{'statement': 'Between Jakarta and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Jakarta'}
{'statement': 'Between Riyadh and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Riyadh'}
{'statement': 'Between Johannesburg and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Johannesburg'}
{'statement': 'Between Monterrey and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Monterrey'}
{'statement': 'Between Addis Ababa and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Addis Ababa'}
{'statement': 'Between Los Angeles and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Los Angeles'}
{'statement': 'Between Houston and Bahía Blanca, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Houston'}
{'statement': 'Between Baghdad and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Baghdad'}
{'statement': 'Between Riyadh and Douala, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Riyadh'}
{'statement': 'Between Kabul and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Kabul'}
{'statement': 'Between Phoenix and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Shanghai'}
{'statement': 'Between Chicago and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Chicago'}
{'statement': 'Between Lahore and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Lahore'}
{'statement': 'Between Karachi and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Karachi'}
{'statement': 'Between Lagos and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Lagos'}
{'statement': 'Between Surabaya and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Surabaya'}
{'statement': 'Between Algiers and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Algiers'}
{'statement': 'Between Guangzhou and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Guangzhou'}
{'statement': 'Between Moscow and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Moscow'}
{'statement': 'Between Alexandria and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Alexandria'}
{'statement': 'Between Bogotá and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bogotá'}
{'statement': 'Between Denver and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Denver'}
{'statement': 'Between Brasília and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Brasília'}
{'statement': 'Between Berlin and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Berlin'}
{'statement': 'Between Hanoi and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Hanoi'}
{'statement': 'Between Ankara and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Ankara'}
{'statement': 'Between Tashkent and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Tashkent'}
{'statement': 'Between Bangkok and Brussels, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Bangkok'}
{'statement': 'Between Paris and Vientiane, the smaller city is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Paris'}
{'statement': 'Between Guadalajara and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Guadalajara'}
{'statement': 'Between Cairo and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Cairo'}
{'statement': 'Between Cairo and Belize City, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Cairo'}
{'statement': 'Between Surabaya and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Surabaya'}
{'statement': 'Between Brasília and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Brasília'}
{'statement': 'Between London and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'London'}
{'statement': 'Between Santiago and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Santiago'}
{'statement': 'Between Lahore and Yerevan, the smaller city is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Lahore'}
{'statement': 'Between Bogotá and Benghazi, the smaller city is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Bogotá'}
{'statement': 'Between Alexandria and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Alexandria'}
{'statement': 'Between Surabaya and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Surabaya'}
{'statement': 'Between Addis Ababa and Cayenne, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Addis Ababa'}
{'statement': 'Between Medellín and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Medellín'}
{'statement': 'Between Hanoi and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Hanoi'}
{'statement': 'Between San Diego and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'San Diego'}
{'statement': 'Between Monterrey and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Monterrey'}
{'statement': 'Between London and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'London'}
{'statement': 'Between London and Hanoi, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'London'}
{'statement': 'Between Manila and Karachi, the smaller city is Karachi.', 'answer': 'Karachi', 'candidate': 'Manila'}
{'statement': 'Between Nairobi and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Nairobi'}
{'statement': 'Between Paris and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Paris'}
{'statement': 'Between Melbourne and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Melbourne'}
{'statement': 'Between Dar es Salaam and Mombasa, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Lahore and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lahore'}
{'statement': 'Between Beijing and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Beijing'}
{'statement': 'Between Los Angeles and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Los Angeles'}
{'statement': 'Between Johannesburg and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Johannesburg'}
{'statement': 'Between Saint Petersburg and Auckland, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Denver and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Denver'}
{'statement': 'Between Addis Ababa and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Addis Ababa'}
{'statement': 'Between Mumbai and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Mumbai'}
{'statement': 'Between Ankara and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Ankara'}
{'statement': 'Between Kano and Nakhon Ratchasima, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Kano'}
{'statement': 'Between Moscow and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Moscow'}
{'statement': 'Between Karachi and Baghdad, the smaller city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Karachi'}
{'statement': 'Between Manila and Phnom Penh, the smaller city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Manila'}
{'statement': 'Between Melbourne and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Melbourne'}
{'statement': 'Between Lima and Abéché, the smaller city is Abéché.', 'answer': 'Abéché', 'candidate': 'Lima'}
{'statement': 'Between Luanda and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Luanda'}
{'statement': 'Between Lima and Houston, the smaller city is Houston.', 'answer': 'Houston', 'candidate': 'Lima'}
{'statement': 'Between Moscow and Rome, the smaller city is Rome.', 'answer': 'Rome', 'candidate': 'Moscow'}
{'statement': 'Between Yaoundé and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Yaoundé'}
{'statement': 'Between Jakarta and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Jakarta'}
{'statement': 'Between Baghdad and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Baghdad'}
{'statement': 'Between Karachi and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Karachi'}
{'statement': 'Between Baghdad and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Baghdad'}
