{'statement': 'Someone is looking for restaurants further away. Between JJ Bean and Sushi Shop, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': 'Someone is looking for restaurants further away. Between The Empire and Eastern legend, this person should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'The Empire'}
{'statement': 'Someone is looking for restaurants further away. Between Basil Express Restaurant and Grappa Ristorante, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Basil Express Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Chick Fiesta and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Chick Fiesta'}
{'statement': "Someone is looking for restaurants further away. Between Amaya Express and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Amaya Express'}
{'statement': "Someone is looking for restaurants further away. Between Buk Chang Dong Soon Tofu and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': 'Someone is looking for restaurants further away. Between Magic Oven and Sushi World, this person should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': 'Someone is looking for restaurants further away. Between Ici Bistro and La Pupusa Loka, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone is looking for restaurants further away. Between Nutella Cafe by Pusateri's and Chick Fiesta, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Chick Fiesta'}
{'statement': 'Someone is looking for restaurants further away. Between Cake Opera and St. Louis Bar & Grill, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Oxygen Restaurant & Lounge and Freshii, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'Someone is looking for restaurants further away. Between Kim PO Vietnamese and Freshii, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone is looking for restaurants further away. Between Assembly Chef's Hall and Mysteriously Yours Dinner Theatre, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'Someone is looking for restaurants further away. Between Paradise Farms Prime Beef Bistro and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone is looking for restaurants further away. Between Big Al's Diner and Tik Talk Cafe, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tik Talk Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between To-ne Sushi and Thai 4 You Restaurant, this person should go to To-ne Sushi.', 'answer': 'To-ne Sushi', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between Beryl's Pepper Pot and Mysteriously Yours Dinner Theatre, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'Someone is looking for restaurants further away. Between Grappa Ristorante and Cantine Bar & Grill, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Cantine Bar & Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Cake Opera and Kairali - Taste of Kerala, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'Someone is looking for restaurants further away. Between Nook and Itamae Ayce Sushi, this person should go to Nook.', 'answer': 'Nook', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone is looking for restaurants further away. Between To-ne Sushi and Harvey's, this person should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Harvey's"}
{'statement': 'Someone is looking for restaurants further away. Between Chipotle Mexican Grill and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Aris Place and Madras Pantry, this person should go to Aris Place.', 'answer': 'Aris Place', 'candidate': 'Madras Pantry'}
{'statement': 'Someone is looking for restaurants further away. Between Sky Dragon Chinese Restaurant and Hina Sushi, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Mövenpick Café and Magic Oven, this person should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'Mövenpick Café'}
{'statement': 'Someone is looking for restaurants further away. Between Cake Opera and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Cake Opera'}
{'statement': 'Someone is looking for restaurants further away. Between Madras Pantry and Solero Mediterranean Bakery, this person should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Madras Pantry'}
{'statement': "Someone is looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'Someone is looking for restaurants further away. Between Evoo Ristorante and FreshCo, this person should go to FreshCo.', 'answer': 'FreshCo', 'candidate': 'Evoo Ristorante'}
{'statement': 'Someone is looking for restaurants further away. Between Fit For Life and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Fit For Life'}
{'statement': 'Someone is looking for restaurants further away. Between Queen Pita and Basil Express Restaurant, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Basil Express Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Ici Bistro and Anatolia Restaurant, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between z-teca Gourmet Burritos and It's All Grk, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': "It's All Grk"}
{'statement': "Someone is looking for restaurants further away. Between Basha Middle Eastern Grill and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'Someone is looking for restaurants further away. Between New Bilan Restaurant and Tim Hortons, this person should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Tim Hortons'}
{'statement': 'Someone is looking for restaurants further away. Between Lahore Grill & Fast Food and LCBO, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'Someone is looking for restaurants further away. Between JJ Bean and z-teca Gourmet Burritos, this person should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'JJ Bean'}
{'statement': 'Someone is looking for restaurants further away. Between Sushi Time Japanese Restaurant and The Empire, this person should go to Sushi Time Japanese Restaurant.', 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'The Empire'}
{'statement': 'Someone is looking for restaurants further away. Between Topham Corner and Goldstone Noodle Restaurant, this person should go to Topham Corner.', 'answer': 'Topham Corner', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Sushi Shop and Freshii, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Sushi Shop'}
{'statement': 'Someone is looking for restaurants further away. Between Bao Bao Plus Dim Sum and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'Someone is looking for restaurants further away. Between Pizzeria Via Mercanti and Ardor Bistro, this person should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Ardor Bistro'}
{'statement': "Someone is looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone is looking for restaurants further away. Between Le Papillon Park and Roncy's Bean, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Le Papillon Park'}
{'statement': 'Someone is looking for restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, this person should go to Tierra Azteca.', 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'Someone is looking for restaurants further away. Between Tierra Azteca and Juice & Java Cafe, this person should go to Tierra Azteca.', 'answer': 'Tierra Azteca', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between The Duke of Devon and Basha Middle Eastern Grill, this person should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Verona Restaurant and Sushi Shop, this person should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Sushi Shop'}
{'statement': 'Someone is looking for restaurants further away. Between Just Soups Take Out & Catering and Sizzlers, this person should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': 'Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Lebanese Bakery, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Lebanese Bakery'}
{'statement': 'Someone is looking for restaurants further away. Between LCBO and z-teca Gourmet Burritos, this person should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'LCBO'}
{'statement': 'Someone is looking for restaurants further away. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'Someone is looking for restaurants further away. Between Eggspectation and Evoo Ristorante, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Evoo Ristorante'}
{'statement': 'Someone is looking for restaurants further away. Between Mt Everest Restaurant and Kairali - Taste of Kerala, this person should go to Mt Everest Restaurant.', 'answer': 'Mt Everest Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone is looking for restaurants further away. Between Fit For Life and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Fit For Life'}
{'statement': 'Someone is looking for restaurants further away. Between Sichuan Landscape Chinese Restaurant and Hina Sushi, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between Queen Slice and Piper's Pub And Grill, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone is looking for restaurants further away. Between Roncy's Bean and Dinah's Cupboard, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Dinah's Cupboard"}
{'statement': 'Someone is looking for restaurants further away. Between Thompson Rooftop and Breakfast Room, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Breakfast Room'}
{'statement': 'Someone is looking for restaurants further away. Between Viccino Pizzeria and Daily Press Juicery, this person should go to Viccino Pizzeria.', 'answer': 'Viccino Pizzeria', 'candidate': 'Daily Press Juicery'}
{'statement': 'Someone is looking for restaurants further away. Between Mövenpick Café and Tian An Cuisine, this person should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Tian An Cuisine'}
{'statement': "Someone is looking for restaurants further away. Between Madras Pantry and Roncy's Bean, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Madras Pantry'}
{'statement': "Someone is looking for restaurants further away. Between Assembly Chef's Hall and Falafel House, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Falafel House'}
{'statement': 'Someone is looking for restaurants further away. Between Chipotle Mexican Grill and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Basil Express Restaurant and The Duke of Devon, this person should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between Capitol Trattoria Pizzeria and Dinah's Cupboard, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone is looking for restaurants further away. Between Joe Badali's Ristorante Italiano & Bar and Itamae Ayce Sushi, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone is looking for restaurants further away. Between El Fogón and Beryl's Pepper Pot, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'El Fogón'}
{'statement': 'Someone is looking for restaurants further away. Between Eggspectation and Mysteriously Yours Dinner Theatre, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone is looking for restaurants further away. Between Piper's Pub And Grill and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone is looking for restaurants further away. Between Watson's and Eggspectation, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Watson's"}
{'statement': 'Someone is looking for restaurants further away. Between Fitness Avenue and Tortería San Cosme, this person should go to Fitness Avenue.', 'answer': 'Fitness Avenue', 'candidate': 'Tortería San Cosme'}
{'statement': "Someone is looking for restaurants further away. Between The Duke of Devon and Warung Indonesia D'Eglinton, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'Someone is looking for restaurants further away. Between Kim PO Vietnamese and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Modo Mio Italian Bistro, this person should go to Modo Mio Italian Bistro.', 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'Someone is looking for restaurants further away. Between The Coffee Pocket and Ardor Bistro, this person should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Ardor Bistro'}
{'statement': 'Someone is looking for restaurants further away. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Ici Bistro and JJ Bean, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'JJ Bean'}
{'statement': 'Someone is looking for restaurants further away. Between Evoo Ristorante and Pizzeria Via Mercanti, this person should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone is looking for restaurants further away. Between Assembly Chef's Hall and Juice & Java Cafe, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone is looking for restaurants further away. Between Tortería San Cosme and Harvey's, this person should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Tortería San Cosme'}
{'statement': "Someone is looking for restaurants further away. Between Phil's Original BBQ and Delicious Paradise Kitchen, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone is looking for restaurants further away. Between Kibo Sushi House and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Kibo Sushi House'}
{'statement': 'Someone is looking for restaurants further away. Between Le Papillon Park and Green Room, this person should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Le Papillon Park'}
{'statement': 'Someone is looking for restaurants further away. Between Eggspectation and Kim PO Vietnamese, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'Someone is looking for restaurants further away. Between Goldstone Noodle Restaurant and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between St. Clair Shawarma and Falafel and Madras Pantry, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Madras Pantry'}
{'statement': 'Someone is looking for restaurants further away. Between Capitol Trattoria Pizzeria and Itamae Ayce Sushi, this person should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Itamae Ayce Sushi'}
{'statement': 'Someone is looking for restaurants further away. Between El Fogón and Galata Cafe, this person should go to Galata Cafe.', 'answer': 'Galata Cafe', 'candidate': 'El Fogón'}
{'statement': 'Someone is looking for restaurants further away. Between Fit For Life and Galata Cafe, this person should go to Galata Cafe.', 'answer': 'Galata Cafe', 'candidate': 'Fit For Life'}
{'statement': "Someone is looking for restaurants further away. Between Cafe Jules and Piper's Pub And Grill, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone is looking for restaurants further away. Between Assembly Chef's Hall and Edible Arrangements, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Edible Arrangements'}
{'statement': "Someone is looking for restaurants further away. Between Smoke's Weinerie and Sushi Time Japanese Restaurant, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Grappa Ristorante and Milestones Restaurants, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': 'Someone is looking for restaurants further away. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': 'Someone is looking for restaurants further away. Between Capitol Trattoria Pizzeria and Tim Hortons, this person should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Tim Hortons'}
{'statement': "Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Tian An Cuisine'}
{'statement': 'Someone is looking for restaurants further away. Between Chick Fiesta and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': 'Someone is looking for restaurants further away. Between Maurya East Indian Roti and Sizzlers, this person should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Topham Corner, this person should go to Topham Corner.', 'answer': 'Topham Corner', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone is looking for restaurants further away. Between Green Room and It's All Grk, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': "It's All Grk"}
{'statement': "Someone is looking for restaurants further away. Between Dangerous Dan's Diner and Viccino Pizzeria, this person should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'Someone is looking for restaurants further away. Between Mövenpick Café and Juice & Java Cafe, this person should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone is looking for restaurants further away. Between Fitness Avenue and It's All Grk, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "It's All Grk"}
{'statement': 'Someone is looking for restaurants further away. Between JJ Bean and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'JJ Bean'}
{'statement': 'Someone is looking for restaurants further away. Between Madras Pantry and Mövenpick Café, this person should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Madras Pantry'}
{'statement': 'Someone is looking for restaurants further away. Between LCBO and Delicious Paradise Kitchen, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and Sushi Shop, this person should go to Popeyes Louisiana Kitchen.', 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi Shop'}
{'statement': "Someone is looking for restaurants further away. Between Phil's Original BBQ and FreshCo, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'FreshCo'}
{'statement': 'Someone is looking for restaurants further away. Between Green Grotto and Ardor Bistro, this person should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': 'Someone is looking for restaurants further away. Between Pasta Pantry and Tortería San Cosme, this person should go to Pasta Pantry.', 'answer': 'Pasta Pantry', 'candidate': 'Tortería San Cosme'}
{'statement': 'Someone is looking for restaurants further away. Between Eggspectation and Solero Mediterranean Bakery, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': 'Someone is looking for restaurants further away. Between Ici Bistro and Falafel House, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Falafel House'}
{'statement': 'Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Tierra Azteca, this person should go to Tierra Azteca.', 'answer': 'Tierra Azteca', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "Someone is looking for restaurants further away. Between Freshii and Dangerous Dan's Diner, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone is looking for restaurants further away. Between Magic Oven and It's All Grk, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "It's All Grk"}
{'statement': "Someone is looking for restaurants further away. Between Evoo Ristorante and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Evoo Ristorante'}
{'statement': 'Someone is looking for restaurants further away. Between Lahore Grill & Fast Food and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'Someone is looking for restaurants further away. Between Cafe Jules and Sky Dragon Chinese Restaurant, this person should go to Cafe Jules.', 'answer': 'Cafe Jules', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between Mövenpick Café and Warung Indonesia D'Eglinton, this person should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'Someone is looking for restaurants further away. Between Cake Opera and Supermodel Pizza, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone is looking for restaurants further away. Between Dinah's Cupboard and Bonne Journee, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "Dinah's Cupboard"}
{'statement': 'Someone is looking for restaurants further away. Between Edible Arrangements and Just Soups Take Out & Catering, this person should go to Edible Arrangements.', 'answer': 'Edible Arrangements', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': 'Someone is looking for restaurants further away. Between Nook and Cantine Bar & Grill, this person should go to Nook.', 'answer': 'Nook', 'candidate': 'Cantine Bar & Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Hina Sushi and 9 Restaurant, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': '9 Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Branca and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Branca'}
{'statement': "Someone is looking for restaurants further away. Between Sushi Time Japanese Restaurant and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Bagel Nash and Falafel Hut Village, this person should go to Bagel Nash.', 'answer': 'Bagel Nash', 'candidate': 'Falafel Hut Village'}
