{'statement': 'Between Yakutsk and San Diego, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Yakutsk'}
{'statement': 'Between Mahajanga and Buenos Aires, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Mahajanga'}
{'statement': 'Between Hanoi and Tauranga, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Tauranga'}
{'statement': 'Between Tripoli and Lagos, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Tripoli'}
{'statement': 'Between Paris and Vladivostok, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Vladivostok'}
{'statement': 'Between Sucre and Nairobi, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Sucre'}
{'statement': 'Between Chihuahua and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Chihuahua'}
{'statement': 'Between Buenos Aires and Canberra, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Canberra'}
{'statement': 'Between Perth and Kunming, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Perth'}
{'statement': 'Between Alexandria and Conakry, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Conakry'}
{'statement': 'Between Niamey and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Niamey'}
{'statement': 'Between Bangkok and Toronto, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Toronto'}
{'statement': 'Between Kuwait City and Mahajanga, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Mahajanga'}
{'statement': 'Between Jakarta and Yaoundé, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Yaoundé'}
{'statement': 'Between Phoenix and San Juan, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'San Juan'}
{'statement': 'Between Minneapolis and Suva, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': 'Between Riyadh and Wellington, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Wellington'}
{'statement': 'Between Tirana and Mexico City, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tirana'}
{'statement': 'Between Mumbai and Tampa, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tampa'}
{'statement': 'Between Sucre and Tampa, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Sucre'}
{'statement': 'Between Johannesburg and Sapporo, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Sapporo'}
{'statement': 'Between Baltimore and Tamanrasset, the bigger city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Tamanrasset'}
{'statement': 'Between Tampa and Garissa, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Garissa'}
{'statement': 'Between Erzurum and Melbourne, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Erzurum'}
{'statement': 'Between Curitiba and Manila, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Curitiba'}
{'statement': 'Between Bangkok and Palermo, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Palermo'}
{'statement': 'Between Lomé and Riyadh, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Lomé'}
{'statement': 'Between Cairo and Fukuoka, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Fukuoka'}
{'statement': 'Between Wellington and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Wellington'}
{'statement': 'Between Antsiranana and Harare, the bigger city is Harare.', 'answer': 'Harare', 'candidate': 'Antsiranana'}
{'statement': 'Between El Paso and Denver, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'El Paso'}
{'statement': 'Between Minneapolis and Cairo, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Minneapolis'}
{'statement': 'Between San Juan and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'San Juan'}
{'statement': 'Between Los Angeles and Santiago, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Santiago'}
{'statement': 'Between Chicago and Quito, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Quito'}
{'statement': 'Between Nakhon Ratchasima and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Buenos Aires and Denpasar, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Denpasar'}
{'statement': 'Between Surabaya and Christchurch, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Christchurch'}
{'statement': 'Between Garoua and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': 'Between Bangkok and Cayenne, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Cayenne'}
{'statement': 'Between Almaty and Johannesburg, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Almaty'}
{'statement': 'Between Rosario and Kabul, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Rosario'}
{'statement': 'Between Viedma and Yaoundé, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Viedma'}
{'statement': 'Between Ho Chi Minh City and Lhasa, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Lhasa'}
{'statement': 'Between Cairo and Bujumbura, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Bujumbura'}
{'statement': 'Between Riyadh and Auckland, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Auckland'}
{'statement': 'Between Bergen and Riyadh, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Bergen'}
{'statement': 'Between Parakou and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Parakou'}
{'statement': 'Between Nairobi and Tabora, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Tabora'}
{'statement': 'Between Tampa and Irkutsk, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Irkutsk'}
{'statement': 'Between Ulaanbaatar and Phoenix, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Baghdad and El Paso, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'El Paso'}
{'statement': 'Between Kano and Saint Petersburg, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Kano'}
{'statement': 'Between Dar es Salaam and Yinchuan, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Yinchuan'}
{'statement': 'Between Kunming and Lviv, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Lviv'}
{'statement': 'Between Rabat and Santiago, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Rabat'}
{'statement': 'Between Tucson and Kuwait City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Tucson'}
{'statement': 'Between Kabul and Paramaribo, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Paramaribo'}
{'statement': 'Between Lahore and La Ceiba, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'La Ceiba'}
{'statement': 'Between Santiago and Bergen, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Bergen'}
{'statement': 'Between Bangui and Monterrey, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Bangui'}
{'statement': 'Between Houston and Albuquerque, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Albuquerque'}
{'statement': 'Between Toronto and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Toronto'}
{'statement': 'Between Milwaukee and Santiago, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Milwaukee'}
{'statement': 'Between Irkutsk and Bangkok, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Irkutsk'}
{'statement': 'Between Ushuaia and Alexandria, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Ushuaia'}
{'statement': 'Between Denpasar and Monterrey, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Denpasar'}
{'statement': 'Between Lima and Bangui, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Bangui'}
{'statement': 'Between Tabora and Algiers, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Tabora'}
{'statement': 'Between Nairobi and Halifax, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Halifax'}
{'statement': 'Between San Diego and Djibouti, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Djibouti'}
{'statement': 'Between Minsk and Toronto, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Minsk'}
{'statement': 'Between Karachi and Manaus, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Manaus'}
{'statement': 'Between Tashkent and Canberra, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Canberra'}
{'statement': 'Between Berlin and Bangui, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Bangui'}
{'statement': 'Between Manila and Toliara, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Toliara'}
{'statement': 'Between Christchurch and Saint Petersburg, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Christchurch'}
{'statement': 'Between Ürümqi and Ljubljana, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Ljubljana'}
{'statement': 'Between Houston and Belize City, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Belize City'}
{'statement': 'Between Lahore and Malabo, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Malabo'}
{'statement': 'Between Baghdad and Upington, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Upington'}
