{'statement': "You don't like cheap restaurants. Between Basil Express Restaurant and Chick Fiesta, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Tian An Cuisine and Goldstone Noodle Restaurant, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between Basil Express Restaurant and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like cheap restaurants. Between Kibo Sushi House and Just Soups Take Out & Catering, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Farmacia Health Bar'}
{'statement': "You don't like cheap restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like cheap restaurants. Between Lahore Grill & Fast Food and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between Chick Fiesta and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Tim Hortons and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and Basha Middle Eastern Grill, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Daily Press Juicery, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Hawthorne Food and Drink and Pizza Pizza, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Bagel Nash and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Sizzlers and Evoo Ristorante, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between McDonald's and Le Papillon Park, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Pho 88, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between Hawthorne Food and Drink and St. Clair Shawarma and Falafel, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Aris Place and La Pupusa Loka, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Thompson Rooftop and Evoo Ristorante, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like cheap restaurants. Between Mirage Grill & Lounge and Solero Mediterranean Bakery, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Banjara Indian Cuisine, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like cheap restaurants. Between Dinah's Cupboard and Falafel House, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Pizza Pizza and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Tik Talk Cafe and Sizzlers, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and Basha Middle Eastern Grill, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Taste of Greek Cuisine and Shawarma Twist, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Queen Slice and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Madras Pantry and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between La Cocina De Dona Luz and Big Al's Diner, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and Mövenpick Café, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Lebanese Bakery and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Lebanese Bakery'}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Warung Indonesia D'Eglinton, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Le Papillon Park and Villa Madina, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Bao Bao Plus Dim Sum, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like cheap restaurants. Between EJ Sushi and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'EJ Sushi'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Amaya Express, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Amaya Express'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Sheriff Broaster Chicken and Cafe Jules, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Green Room and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Harry's Char Broil & Dining Lounge, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Sushi Time Japanese Restaurant, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Eggspectation, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Eggspectation'}
{'statement': "You don't like cheap restaurants. Between McDonald's and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Top Sushi and The Duke of Devon, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Dangerous Dan's Diner, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Green Room and Freshii, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Sweet Jesus, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Beryl's Pepper Pot and Aris Place, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and Kibo Sushi House, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Bagel Nash and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Branca and Piper's Pub And Grill, you should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like cheap restaurants. Between Dangerous Dan's Diner and McDonald's, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Cantine Bar & Grill, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between FreshCo and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'FreshCo'}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Harvey's and Helena's Magic Kitchen, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Beryl's Pepper Pot and McDonald's, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Hawthorne Food and Drink and Supermodel Pizza, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Adega Restaurante and Mövenpick Café, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like cheap restaurants. Between Aroma Espresso Bar and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You don't like cheap restaurants. Between Eastern legend and Adega Restaurante, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Farmacia Health Bar and Buk Chang Dong Soon Tofu, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between Villa Madina and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and EJ Sushi, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'EJ Sushi'}
{'statement': "You don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between JJ Bean and McDonald's, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Falafel Hut Village and Marcello’s pizzeria, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Taste of Greek Cuisine and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "You don't like cheap restaurants. Between Pho 88 and Amaya Express, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between St. Louis Bar & Grill and Tim Hortons, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between KFC and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Villa Madina and LCBO, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Galata Cafe and St. Louis Bar & Grill, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Galata Cafe and Green Room, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Anatolia Restaurant and Villa Madina, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between New Bilan Restaurant and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Watson's and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Watson's"}
{'statement': "You don't like cheap restaurants. Between Hawthorne Food and Drink and Aris Place, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Aris Place'}
{'statement': "You don't like cheap restaurants. Between Kibo Sushi House and Fit For Life, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Fit For Life'}
{'statement': "You don't like cheap restaurants. Between Sizzlers and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Anatolia Restaurant and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like cheap restaurants. Between Branca and Mamma's Pizza, you should go to Branca.", 'answer': 'Branca', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and New Bilan Restaurant, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Juice & Java Cafe and Villa Madina, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Freshii and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Freshii'}
{'statement': "You don't like cheap restaurants. Between Freshii and Solero Mediterranean Bakery, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Phil's Original BBQ and St. Clair Shawarma and Falafel, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Bonne Journee and Ciao Europa wine bar, you should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between LCBO and Green Room, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Sushi World and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Freshii and Goldstone Noodle Restaurant, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Bonne Journee, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Branca and Druxy's Famous Deli, you should go to Branca.", 'answer': 'Branca', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Kim PO Vietnamese and Queen Slice, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Pizza Pizza and Pasta Pantry, you should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Edible Arrangements and Le Papillon Park, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Le Papillon Park'}
{'statement': "You don't like cheap restaurants. Between It's All Grk and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "It's All Grk"}
{'statement': "You don't like cheap restaurants. Between Solero Mediterranean Bakery and EJ Sushi, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between La Pupusa Loka and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like cheap restaurants. Between Top Sushi and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between Adega Restaurante and Hawthorne Food and Drink, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Topham Corner, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between Nook and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Nook'}
{'statement': "You don't like cheap restaurants. Between Breakfast Room and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Breakfast Room'}
{'statement': "You don't like cheap restaurants. Between Banjara Indian Cuisine and Bagel Nash, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Madras Pantry and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Nook and Buk Chang Dong Soon Tofu, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between z-teca Gourmet Burritos and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like cheap restaurants. Between McDonald's and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': "McDonald's"}
