{'statement': 'Between Tampa and Anchorage, the city with warmer weather is Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Between Bata and Ankara, the city with warmer weather is Bata.', 'answer': 'Bata', 'candidate': 'Ankara'}
{'statement': 'Between Makurdi and Bogotá, the city with warmer weather is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Bogotá'}
{'statement': 'Between Ottawa and Luanda, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Ottawa'}
{'statement': 'Between Ho Chi Minh City and Kabul, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Kabul'}
{'statement': 'Between Belize City and Irkutsk, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Irkutsk'}
{'statement': 'Between Moscow and Douala, the city with warmer weather is Douala.', 'answer': 'Douala', 'candidate': 'Moscow'}
{'statement': 'Between Boise and Lake Havasu City, the city with warmer weather is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Boise'}
{'statement': 'Between San Juan and Beijing, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Beijing'}
{'statement': 'Between Ottawa and Valencia, the city with warmer weather is Valencia.', 'answer': 'Valencia', 'candidate': 'Ottawa'}
{'statement': 'Between Kansas City and Manila, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Kansas City'}
{'statement': 'Between Douala and Tirana, the city with warmer weather is Douala.', 'answer': 'Douala', 'candidate': 'Tirana'}
{'statement': 'Between Nairobi and Wau, the city with warmer weather is Wau.', 'answer': 'Wau', 'candidate': 'Nairobi'}
{'statement': 'Between Piura and La Serena, the city with warmer weather is Piura.', 'answer': 'Piura', 'candidate': 'La Serena'}
{'statement': 'Between Almaty and Kingston, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Almaty'}
{'statement': 'Between Perth and Lhasa, the city with warmer weather is Perth.', 'answer': 'Perth', 'candidate': 'Lhasa'}
{'statement': 'Between Ankara and Bujumbura, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Ankara'}
{'statement': 'Between Fukuoka and Ho Chi Minh City, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Fukuoka'}
{'statement': 'Between Bamako and Melbourne, the city with warmer weather is Bamako.', 'answer': 'Bamako', 'candidate': 'Melbourne'}
{'statement': 'Between Lahore and Kabul, the city with warmer weather is Lahore.', 'answer': 'Lahore', 'candidate': 'Kabul'}
{'statement': 'Between Manila and Palmerston North, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Palmerston North'}
{'statement': 'Between Cairo and Milwaukee, the city with warmer weather is Cairo.', 'answer': 'Cairo', 'candidate': 'Milwaukee'}
{'statement': 'Between Mexicali and Beijing, the city with warmer weather is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Beijing'}
{'statement': 'Between Conakry and Wellington, the city with warmer weather is Conakry.', 'answer': 'Conakry', 'candidate': 'Wellington'}
{'statement': 'Between Belize City and Albuquerque, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Albuquerque'}
{'statement': 'Between Melbourne and Djibouti, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Melbourne'}
{'statement': 'Between Dar es Salaam and Napier, the city with warmer weather is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Napier'}
{'statement': 'Between Milwaukee and Djibouti, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Milwaukee'}
{'statement': 'Between Lisbon and Pontianak, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Lisbon'}
{'statement': 'Between Paris and Karachi, the city with warmer weather is Karachi.', 'answer': 'Karachi', 'candidate': 'Paris'}
{'statement': 'Between Ouahigouya and Kathmandu, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Kathmandu'}
{'statement': 'Between Rome and Cotonou, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Rome'}
{'statement': 'Between Rosario and Saint Petersburg, the city with warmer weather is Rosario.', 'answer': 'Rosario', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Asmara and Kingston, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Asmara'}
{'statement': 'Between Parakou and Vladivostok, the city with warmer weather is Parakou.', 'answer': 'Parakou', 'candidate': 'Vladivostok'}
{'statement': 'Between Kingston and Vienna, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Vienna'}
{'statement': 'Between Dodoma and Lyon, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Lyon'}
{'statement': 'Between Toamasina and Kuopio, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Kuopio'}
{'statement': 'Between Ségou and London, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'London'}
{'statement': 'Between Bamako and Johannesburg, the city with warmer weather is Bamako.', 'answer': 'Bamako', 'candidate': 'Johannesburg'}
{'statement': 'Between Malabo and Kansas City, the city with warmer weather is Malabo.', 'answer': 'Malabo', 'candidate': 'Kansas City'}
{'statement': 'Between Brasília and Brussels, the city with warmer weather is Brasília.', 'answer': 'Brasília', 'candidate': 'Brussels'}
{'statement': 'Between Bergen and Luanda, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Bergen'}
{'statement': 'Between Nouakchott and Ulaanbaatar, the city with warmer weather is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Saint Petersburg and Goiânia, the city with warmer weather is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Pittsburgh and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Pittsburgh'}
{'statement': 'Between Kampala and Yinchuan, the city with warmer weather is Kampala.', 'answer': 'Kampala', 'candidate': 'Yinchuan'}
{'statement': 'Between Canberra and San Salvador, the city with warmer weather is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Canberra'}
{'statement': 'Between La Ceiba and Río Gallegos, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Río Gallegos'}
{'statement': 'Between Mandalay and Podgorica, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Podgorica'}
{'statement': 'Between Changsha and Ségou, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Changsha'}
{'statement': 'Between Saint Petersburg and Phoenix, the city with warmer weather is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Quito and Wau, the city with warmer weather is Wau.', 'answer': 'Wau', 'candidate': 'Quito'}
{'statement': 'Between Rome and Fairbanks, the city with warmer weather is Rome.', 'answer': 'Rome', 'candidate': 'Fairbanks'}
{'statement': 'Between Córdoba and Oslo, the city with warmer weather is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Oslo'}
{'statement': 'Between Manila and Fairbanks, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Fairbanks'}
{'statement': 'Between Ho Chi Minh City and Bahía Blanca, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Jakarta and Paris, the city with warmer weather is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Paris'}
{'statement': 'Between Garissa and Zagreb, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Zagreb'}
{'statement': 'Between Chicago and Riyadh, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Chicago'}
{'statement': 'Between Riyadh and Ushuaia, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ushuaia'}
{'statement': 'Between Baltimore and Managua, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Baltimore'}
{'statement': 'Between Palembang and Bogotá, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Bogotá'}
{'statement': 'Between Vientiane and Yakutsk, the city with warmer weather is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Yakutsk'}
{'statement': 'Between Christchurch and Niamey, the city with warmer weather is Niamey.', 'answer': 'Niamey', 'candidate': 'Christchurch'}
{'statement': 'Between Omaha and Manaus, the city with warmer weather is Manaus.', 'answer': 'Manaus', 'candidate': 'Omaha'}
{'statement': 'Between Surabaya and Milwaukee, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Milwaukee'}
{'statement': 'Between Yaoundé and Bucharest, the city with warmer weather is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Bucharest'}
{'statement': 'Between Conakry and Ushuaia, the city with warmer weather is Conakry.', 'answer': 'Conakry', 'candidate': 'Ushuaia'}
{'statement': 'Between Copenhagen and Maputo, the city with warmer weather is Maputo.', 'answer': 'Maputo', 'candidate': 'Copenhagen'}
{'statement': 'Between Cairo and Bergen, the city with warmer weather is Cairo.', 'answer': 'Cairo', 'candidate': 'Bergen'}
{'statement': 'Between Minneapolis and Honolulu, the city with warmer weather is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Minneapolis'}
{'statement': 'Between Pittsburgh and Tucson, the city with warmer weather is Tucson.', 'answer': 'Tucson', 'candidate': 'Pittsburgh'}
{'statement': 'Between Willemstad and Lyon, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Lyon'}
{'statement': 'Between Kabul and Ouahigouya, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Kabul'}
{'statement': 'Between Rome and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Rome'}
{'statement': 'Between Algiers and Sokoto, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Algiers'}
{'statement': 'Between Frankfurt and Palembang, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Frankfurt'}
{'statement': 'Between Yerevan and Yakutsk, the city with warmer weather is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Yakutsk'}
{'statement': 'Between Saskatoon and Monterrey, the city with warmer weather is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Saskatoon'}
{'statement': 'Between Almaty and La Ceiba, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Almaty'}
{'statement': 'Between Surabaya and Bergen, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bergen'}
{'statement': 'Between Cotonou and Lhasa, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Lhasa'}
{'statement': 'Between Barranquilla and Campos do Jordão, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Bata and Novosibirsk, the city with warmer weather is Bata.', 'answer': 'Bata', 'candidate': 'Novosibirsk'}
{'statement': 'Between Anchorage and Curitiba, the city with warmer weather is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Anchorage'}
{'statement': 'Between Bratislava and Honolulu, the city with warmer weather is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Bratislava'}
{'statement': 'Between Cabo San Lucas and Chicago, the city with warmer weather is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Chicago'}
{'statement': 'Between Zürich and Toamasina, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Zürich'}
{'statement': 'Between Campos do Jordão and Honolulu, the city with warmer weather is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Lyon and Lake Havasu City, the city with warmer weather is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Lyon'}
{'statement': 'Between Omaha and Palembang, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Omaha'}
{'statement': 'Between Ouahigouya and Valencia, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Valencia'}
{'statement': 'Between Hanoi and Nur-Sultan, the city with warmer weather is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Kuwait City and Murmansk, the city with warmer weather is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Murmansk'}
{'statement': 'Between La Paz and Omaha, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Omaha'}
{'statement': 'Between Ulaanbaatar and Brisbane, the city with warmer weather is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Rome and Garissa, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Rome'}
{'statement': 'Between Omaha and Lahore, the city with warmer weather is Lahore.', 'answer': 'Lahore', 'candidate': 'Omaha'}
{'statement': 'Between Melbourne and Juba, the city with warmer weather is Juba.', 'answer': 'Juba', 'candidate': 'Melbourne'}
{'statement': 'Between Amsterdam and Caracas, the city with warmer weather is Caracas.', 'answer': 'Caracas', 'candidate': 'Amsterdam'}
{'statement': 'Between Reykjavík and Karachi, the city with warmer weather is Karachi.', 'answer': 'Karachi', 'candidate': 'Reykjavík'}
{'statement': 'Between La Paz and Moscow, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Moscow'}
{'statement': 'Between Bishkek and Toliara, the city with warmer weather is Toliara.', 'answer': 'Toliara', 'candidate': 'Bishkek'}
{'statement': 'Between Copenhagen and Karachi, the city with warmer weather is Karachi.', 'answer': 'Karachi', 'candidate': 'Copenhagen'}
{'statement': 'Between Erbil and Zürich, the city with warmer weather is Erbil.', 'answer': 'Erbil', 'candidate': 'Zürich'}
{'statement': 'Between Ankara and Toliara, the city with warmer weather is Toliara.', 'answer': 'Toliara', 'candidate': 'Ankara'}
{'statement': 'Between Harare and Río Gallegos, the city with warmer weather is Harare.', 'answer': 'Harare', 'candidate': 'Río Gallegos'}
{'statement': 'Between Shanghai and Irkutsk, the city with warmer weather is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Irkutsk'}
{'statement': 'Between Lviv and Yakutsk, the city with warmer weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Yakutsk'}
{'statement': 'Between Córdoba and Bangkok, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Córdoba'}
{'statement': 'Between Erzurum and Darwin, the city with warmer weather is Darwin.', 'answer': 'Darwin', 'candidate': 'Erzurum'}
{'statement': 'Between Calgary and Conakry, the city with warmer weather is Conakry.', 'answer': 'Conakry', 'candidate': 'Calgary'}
{'statement': 'Between Ljubljana and Mandalay, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Ljubljana'}
{'statement': 'Between Zagreb and Karachi, the city with warmer weather is Karachi.', 'answer': 'Karachi', 'candidate': 'Zagreb'}
{'statement': 'Between Vladivostok and Darwin, the city with warmer weather is Darwin.', 'answer': 'Darwin', 'candidate': 'Vladivostok'}
{'statement': 'Between Minsk and La Paz, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Minsk'}
{'statement': 'Between Bergen and Nairobi, the city with warmer weather is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Bergen'}
{'statement': 'Between London and Fairbanks, the city with warmer weather is London.', 'answer': 'London', 'candidate': 'Fairbanks'}
{'statement': 'Between Moscow and Durban, the city with warmer weather is Durban.', 'answer': 'Durban', 'candidate': 'Moscow'}
{'statement': 'Between Ulaanbaatar and Tabora, the city with warmer weather is Tabora.', 'answer': 'Tabora', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Novosibirsk and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Novosibirsk'}
{'statement': 'Between Bogotá and Calgary, the city with warmer weather is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Calgary'}
{'statement': 'Between Tashkent and Belize City, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Tashkent'}
{'statement': 'Between Albuquerque and Antsiranana, the city with warmer weather is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Albuquerque'}
{'statement': 'Between Bujumbura and Toronto, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Toronto'}
{'statement': 'Between Nouakchott and Melbourne, the city with warmer weather is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Melbourne'}
{'statement': 'Between Mumbai and Hobart, the city with warmer weather is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Hobart'}
{'statement': 'Between Moscow and Buenos Aires, the city with warmer weather is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Moscow'}
{'statement': 'Between Ulaanbaatar and Yerevan, the city with warmer weather is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between San Juan and Melbourne, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Melbourne'}
{'statement': 'Between Chihuahua and Vladivostok, the city with warmer weather is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Vladivostok'}
{'statement': 'Between Djibouti and Vladivostok, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Vladivostok'}
{'statement': 'Between Fairbanks and Lviv, the city with warmer weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Fairbanks'}
{'statement': 'Between Pontianak and Amsterdam, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Amsterdam'}
{'statement': 'Between Saskatoon and Florianópolis, the city with warmer weather is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Saskatoon'}
{'statement': 'Between London and Lagos, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'London'}
{'statement': 'Between Quito and Reykjavík, the city with warmer weather is Quito.', 'answer': 'Quito', 'candidate': 'Reykjavík'}
{'statement': 'Between Cairo and Ürümqi, the city with warmer weather is Cairo.', 'answer': 'Cairo', 'candidate': 'Ürümqi'}
{'statement': 'Between Christchurch and Barranquilla, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Christchurch'}
{'statement': 'Between Yakutsk and Benghazi, the city with warmer weather is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Yakutsk'}
{'statement': 'Between Pittsburgh and Dodoma, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Pittsburgh'}
{'statement': 'Between Barranquilla and Sucre, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Sucre'}
{'statement': 'Between Bujumbura and Almaty, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Almaty'}
{'statement': 'Between Baltimore and Bangui, the city with warmer weather is Bangui.', 'answer': 'Bangui', 'candidate': 'Baltimore'}
{'statement': 'Between Monterrey and Brussels, the city with warmer weather is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Brussels'}
{'statement': 'Between Antofagasta and Willemstad, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Antofagasta'}
{'statement': 'Between Lomé and Almaty, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Almaty'}
{'statement': 'Between Palmerston North and Juba, the city with warmer weather is Juba.', 'answer': 'Juba', 'candidate': 'Palmerston North'}
{'statement': 'Between Punta Arenas and San Salvador, the city with warmer weather is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Punta Arenas'}
{'statement': 'Between Belgrade and Garissa, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Belgrade'}
