{'statement': "You don't like the restaurants nearby. Between Mi Mi Restaurant and Sushi Shop, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between St. Louis Bar & Grill and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Chipotle Mexican Grill and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Tierra Azteca and Branca, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Branca'}
{'statement': "You don't like the restaurants nearby. Between Kibo Sushi House and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Kibo Sushi House'}
{'statement': "You don't like the restaurants nearby. Between Adega Restaurante and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Adega Restaurante'}
{'statement': "You don't like the restaurants nearby. Between Le Papillon Park and Topham Corner, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Le Papillon Park'}
{'statement': "You don't like the restaurants nearby. Between Ici Bistro and St. Louis Bar & Grill, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Beryl's Pepper Pot and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Tik Talk Cafe, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like the restaurants nearby. Between EJ Sushi and Tian An Cuisine, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like the restaurants nearby. Between Shawarma Twist and Milo's Pita, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Milo's Pita"}
{'statement': "You don't like the restaurants nearby. Between Phil's Original BBQ and Warung Indonesia D'Eglinton, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between Thompson Rooftop and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like the restaurants nearby. Between Queen Pita and Cake Opera, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Cake Opera'}
{'statement': "You don't like the restaurants nearby. Between La Pupusa Loka and Druxy's Famous Deli, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like the restaurants nearby. Between Breakfast Room and Topham Corner, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Chipotle Mexican Grill and EJ Sushi, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Piper's Pub And Grill, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between St. Louis Bar & Grill and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Goldstone Noodle Restaurant and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Fit For Life and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Falafel House and La Pupusa Loka, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like the restaurants nearby. Between Piper's Pub And Grill and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between Lahore Grill & Fast Food and Freshii, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like the restaurants nearby. Between Verona Restaurant and Tik Talk Cafe, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like the restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like the restaurants nearby. Between Grappa Ristorante and McDonald's, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "McDonald's"}
{'statement': "You don't like the restaurants nearby. Between Galata Cafe and Sichuan Landscape Chinese Restaurant, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between New Bilan Restaurant and Delicious Paradise Kitchen, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like the restaurants nearby. Between New Bilan Restaurant and Kairali - Taste of Kerala, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Pisco 1641 and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Pisco 1641'}
{'statement': "You don't like the restaurants nearby. Between Thompson Rooftop and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like the restaurants nearby. Between Bonne Journee and Green Grotto, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Green Grotto'}
{'statement': "You don't like the restaurants nearby. Between The Coffee Pocket and Tik Talk Cafe, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like the restaurants nearby. Between Chipotle Mexican Grill and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Big Al's Diner and Pizza Pizza, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pizza Pizza'}
{'statement': "You don't like the restaurants nearby. Between Sheriff Broaster Chicken and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "You don't like the restaurants nearby. Between Edible Arrangements and Goldstone Noodle Restaurant, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between New Bilan Restaurant and Sushi World, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sushi World'}
{'statement': "You don't like the restaurants nearby. Between Amaya Express and Sweet Jesus, you should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Amaya Express'}
{'statement': "You don't like the restaurants nearby. Between Big Al's Diner and Goldstone Noodle Restaurant, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Cantine Bar & Grill and Phil's Original BBQ, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Piper's Pub And Grill and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Shawarma Twist, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Dinah's Cupboard, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like the restaurants nearby. Between Bonne Journee and Breakfast Room, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Daily Press Juicery and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like the restaurants nearby. Between Basil Express Restaurant and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Fitness Avenue and Sushi Shop, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Bake Island and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Bake Island'}
{'statement': "You don't like the restaurants nearby. Between Edible Arrangements and El Fogón, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'El Fogón'}
{'statement': "You don't like the restaurants nearby. Between Phil's Original BBQ and The Empire, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Empire'}
{'statement': "You don't like the restaurants nearby. Between It's All Grk and Shawarma Twist, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "It's All Grk"}
{'statement': "You don't like the restaurants nearby. Between St. Louis Bar & Grill and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between z-teca Gourmet Burritos and Top Sushi, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Top Sushi'}
{'statement': "You don't like the restaurants nearby. Between Chipotle Mexican Grill and Shawarma Twist, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Queen Slice and 9 Restaurant, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': '9 Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Viccino Pizzeria and Kibo Sushi House, you should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Kibo Sushi House'}
{'statement': "You don't like the restaurants nearby. Between Smoke's Weinerie and Chipotle Mexican Grill, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Bagel Nash and El Fogón, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'El Fogón'}
{'statement': "You don't like the restaurants nearby. Between The Coffee Pocket and Hawthorne Food and Drink, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "You don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and New Bilan Restaurant, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Piper's Pub And Grill and Top Sushi, you should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like the restaurants nearby. Between Top Sushi and La Pupusa Loka, you should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like the restaurants nearby. Between McDonald's and Cafe Jules, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "You don't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Paradise Farms Prime Beef Bistro, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Kibo Sushi House, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Kibo Sushi House'}
{'statement': "You don't like the restaurants nearby. Between KFC and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'KFC'}
{'statement': "You don't like the restaurants nearby. Between Dangerous Dan's Diner and Bagel Nash, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like the restaurants nearby. Between Goldstone Noodle Restaurant and Sizzlers, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Mamma's Pizza and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like the restaurants nearby. Between Breakfast Room and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Fit For Life and Tierra Azteca, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Bagel Nash and Warung Indonesia D'Eglinton, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between Cafe Jules and McDonald's, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "McDonald's"}
{'statement': "You don't like the restaurants nearby. Between Carole's Cheesecake Cafe and Milo's Pita, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "Milo's Pita"}
{'statement': "You don't like the restaurants nearby. Between Watson's and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Watson's"}
{'statement': "You don't like the restaurants nearby. Between Fit For Life and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Edible Arrangements and Milo's Pita, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Milo's Pita"}
{'statement': "You don't like the restaurants nearby. Between Green Grotto and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Green Grotto'}
