{'statement': "I'm looking for an affordable restaurant. Between Branca and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between It's All Grk and Pho 88, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': "It's All Grk"}
{'statement': "I'm looking for an affordable restaurant. Between Farmacia Health Bar and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an affordable restaurant. Between El Fogón and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'El Fogón'}
{'statement': "I'm looking for an affordable restaurant. Between Dangerous Dan's Diner and Nutella Cafe by Pusateri's, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Joe Badali's Ristorante Italiano & Bar and Bake Island, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I'm looking for an affordable restaurant. Between Piper's Pub And Grill and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for an affordable restaurant. Between Bonne Journee and Basil Express Restaurant, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between The Empire and Chipotle Mexican Grill, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Amaya Express and Adega Restaurante, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Adega Restaurante'}
{'statement': "I'm looking for an affordable restaurant. Between Sushi World and Basha Middle Eastern Grill, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Tian An Cuisine and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Carole's Cheesecake Cafe and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an affordable restaurant. Between Assembly Chef's Hall and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for an affordable restaurant. Between Freshii and Hapa Toronto, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an affordable restaurant. Between Breakfast Room and Fitness Avenue, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for an affordable restaurant. Between Top Sushi and Oxygen Restaurant & Lounge, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Banjara Indian Cuisine and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Madras Pantry and Watson's, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Watson's"}
{'statement': "I'm looking for an affordable restaurant. Between Thai 4 You Restaurant and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between LCBO and Pizza Pizza, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'LCBO'}
{'statement': "I'm looking for an affordable restaurant. Between Aroma Espresso Bar and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I'm looking for an affordable restaurant. Between Chick Fiesta and It's All Grk, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "It's All Grk"}
{'statement': "I'm looking for an affordable restaurant. Between Farmacia Health Bar and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an affordable restaurant. Between Itamae Ayce Sushi and Adega Restaurante, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Adega Restaurante'}
{'statement': "I'm looking for an affordable restaurant. Between EJ Sushi and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'EJ Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Nook and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Nook'}
{'statement': "I'm looking for an affordable restaurant. Between Solero Mediterranean Bakery and The Duke of Devon, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for an affordable restaurant. Between Branca and Cake Opera, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for an affordable restaurant. Between Bagel Nash and La Pupusa Loka, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for an affordable restaurant. Between Sushi Time Japanese Restaurant and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Pizza Pizza and Basil Express Restaurant, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Delicious Paradise Kitchen and El Fogón, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'El Fogón'}
{'statement': "I'm looking for an affordable restaurant. Between Bagel Nash and Mysteriously Yours Dinner Theatre, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for an affordable restaurant. Between Milo's Pita and Cake Opera, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Cake Opera'}
{'statement': "I'm looking for an affordable restaurant. Between Aris Place and Carole's Cheesecake Cafe, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an affordable restaurant. Between Chipotle Mexican Grill and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Sizzlers and Capitol Trattoria Pizzeria, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between Ici Bistro and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Milestones Restaurants and Ici Bistro, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Mirage Grill & Lounge and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Chick Fiesta and Carole's Cheesecake Cafe, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an affordable restaurant. Between Modo Mio Italian Bistro and Chick Fiesta, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Evoo Ristorante and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Pizzeria Via Mercanti and Dinah's Cupboard, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for an affordable restaurant. Between Adega Restaurante and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Adega Restaurante'}
{'statement': "I'm looking for an affordable restaurant. Between Farmacia Health Bar and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an affordable restaurant. Between Juice & Java Cafe and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an affordable restaurant. Between Lebanese Bakery and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Lebanese Bakery'}
{'statement': "I'm looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for an affordable restaurant. Between KFC and Le Papillon Park, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Edible Arrangements and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for an affordable restaurant. Between Kairali - Taste of Kerala and Edible Arrangements, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for an affordable restaurant. Between Chick Fiesta and Sheriff Broaster Chicken, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Oxygen Restaurant & Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Amaya Express and Pizza Pizza, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for an affordable restaurant. Between Eggspectation and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for an affordable restaurant. Between Sweet Jesus and To-ne Sushi, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'To-ne Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Fit For Life and Marcello’s pizzeria, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between Sushi World and Capitol Trattoria Pizzeria, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between KFC and Dangerous Dan's Diner, I should go to KFC.", 'answer': 'KFC', 'candidate': "Dangerous Dan's Diner"}
