{'statement': 'Someone is looking for restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between Watson's and Mirage Grill & Lounge, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'Someone is looking for restaurants nearby. Between Tik Talk Cafe and Bagel Nash, this person should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'Bagel Nash'}
{'statement': "Someone is looking for restaurants nearby. Between Ardor Bistro and Mamma's Pizza, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Ardor Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for restaurants nearby. Between Tierra Azteca and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': 'Someone is looking for restaurants nearby. Between Modo Mio Italian Bistro and Basil Express Restaurant, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between KFC and Bagel Nash, this person should go to KFC.', 'answer': 'KFC', 'candidate': 'Bagel Nash'}
{'statement': 'Someone is looking for restaurants nearby. Between Tortería San Cosme and Cake Opera, this person should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Cake Opera'}
{'statement': "Someone is looking for restaurants nearby. Between Fit For Life and Carole's Cheesecake Cafe, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': 'Someone is looking for restaurants nearby. Between St. Louis Bar & Grill and Eggspectation, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Chipotle Mexican Grill and Eggspectation, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Tierra Azteca and Branca, this person should go to Branca.', 'answer': 'Branca', 'candidate': 'Tierra Azteca'}
{'statement': 'Someone is looking for restaurants nearby. Between Kibo Sushi House and Ici Bistro, this person should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Adega Restaurante and Ici Bistro, this person should go to Adega Restaurante.', 'answer': 'Adega Restaurante', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Le Papillon Park and Topham Corner, this person should go to Le Papillon Park.', 'answer': 'Le Papillon Park', 'candidate': 'Topham Corner'}
{'statement': 'Someone is looking for restaurants nearby. Between St. Louis Bar & Grill and Ici Bistro, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Ici Bistro'}
{'statement': "Someone is looking for restaurants nearby. Between Beryl's Pepper Pot and Assembly Chef's Hall, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Assembly Chef's Hall"}
{'statement': 'Someone is looking for restaurants nearby. Between Tik Talk Cafe and St. Clair Shawarma and Falafel, this person should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for restaurants nearby. Between EJ Sushi and Tian An Cuisine, this person should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'EJ Sushi'}
{'statement': "Someone is looking for restaurants nearby. Between Milo's Pita and Shawarma Twist, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Shawarma Twist'}
{'statement': "Someone is looking for restaurants nearby. Between Phil's Original BBQ and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Phil's Original BBQ"}
{'statement': 'Someone is looking for restaurants nearby. Between Thompson Rooftop and Magic Oven, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between Queen Pita and Cake Opera, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Queen Pita'}
{'statement': "Someone is looking for restaurants nearby. Between Druxy's Famous Deli and La Pupusa Loka, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for restaurants nearby. Between Topham Corner and Breakfast Room, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Topham Corner'}
{'statement': 'Someone is looking for restaurants nearby. Between Chipotle Mexican Grill and EJ Sushi, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'EJ Sushi'}
{'statement': "Someone is looking for restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': 'Someone is looking for restaurants nearby. Between St. Louis Bar & Grill and Edible Arrangements, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Edible Arrangements'}
{'statement': 'Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Ici Bistro, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "Someone is looking for restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': 'Someone is looking for restaurants nearby. Between La Pupusa Loka and Falafel House, this person should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Falafel House'}
{'statement': "Someone is looking for restaurants nearby. Between Piper's Pub And Grill and Mt Everest Restaurant, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Mt Everest Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Lahore Grill & Fast Food and Freshii, this person should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Freshii'}
{'statement': 'Someone is looking for restaurants nearby. Between Verona Restaurant and Tik Talk Cafe, this person should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between Mt Everest Restaurant and Mamma's Pizza, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between McDonald's and Grappa Ristorante, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between Galata Cafe and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Galata Cafe'}
{'statement': 'Someone is looking for restaurants nearby. Between Delicious Paradise Kitchen and New Bilan Restaurant, this person should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between New Bilan Restaurant and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Sushi Time Japanese Restaurant and Pisco 1641, this person should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Thompson Rooftop and The Coffee Pocket, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for restaurants nearby. Between Green Grotto and Bonne Journee, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Bonne Journee'}
{'statement': 'Someone is looking for restaurants nearby. Between The Coffee Pocket and Tik Talk Cafe, this person should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for restaurants nearby. Between Pizzeria Via Mercanti and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone is looking for restaurants nearby. Between Pizza Pizza and Big Al's Diner, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Big Al's Diner"}
{'statement': 'Someone is looking for restaurants nearby. Between Sheriff Broaster Chicken and Verona Restaurant, this person should go to Sheriff Broaster Chicken.', 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Verona Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Edible Arrangements, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Edible Arrangements'}
{'statement': 'Someone is looking for restaurants nearby. Between Sushi World and New Bilan Restaurant, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Amaya Express and Sweet Jesus, this person should go to Amaya Express.', 'answer': 'Amaya Express', 'candidate': 'Sweet Jesus'}
{'statement': "Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Big Al's Diner, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "Someone is looking for restaurants nearby. Between Phil's Original BBQ and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone is looking for restaurants nearby. Between The Coffee Pocket and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'The Coffee Pocket'}
{'statement': "Someone is looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Shawarma Twist, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Shawarma Twist'}
{'statement': "Someone is looking for restaurants nearby. Between Dinah's Cupboard and St. Clair Shawarma and Falafel, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for restaurants nearby. Between Breakfast Room and Bonne Journee, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': 'Someone is looking for restaurants nearby. Between Daily Press Juicery and Magic Oven, this person should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between Basil Express Restaurant and Mt Everest Restaurant, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Mt Everest Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Fitness Avenue and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Fitness Avenue'}
{'statement': 'Someone is looking for restaurants nearby. Between Bake Island and The Coffee Pocket, this person should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for restaurants nearby. Between El Fogón and Edible Arrangements, this person should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Edible Arrangements'}
{'statement': "Someone is looking for restaurants nearby. Between The Empire and Phil's Original BBQ, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone is looking for restaurants nearby. Between Shawarma Twist and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Shawarma Twist'}
{'statement': 'Someone is looking for restaurants nearby. Between St. Louis Bar & Grill and Magic Oven, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between z-teca Gourmet Burritos and Top Sushi, this person should go to Top Sushi.', 'answer': 'Top Sushi', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for restaurants nearby. Between Shawarma Twist and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Shawarma Twist'}
{'statement': 'Someone is looking for restaurants nearby. Between 9 Restaurant and Queen Slice, this person should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Queen Slice'}
{'statement': 'Someone is looking for restaurants nearby. Between Kibo Sushi House and Viccino Pizzeria, this person should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Viccino Pizzeria'}
{'statement': "Someone is looking for restaurants nearby. Between Smoke's Weinerie and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': 'Someone is looking for restaurants nearby. Between Bagel Nash and El Fogón, this person should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Bagel Nash'}
{'statement': 'Someone is looking for restaurants nearby. Between Hawthorne Food and Drink and The Coffee Pocket, this person should go to Hawthorne Food and Drink.', 'answer': 'Hawthorne Food and Drink', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for restaurants nearby. Between New Bilan Restaurant and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between Piper's Pub And Grill and Top Sushi, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Top Sushi'}
{'statement': 'Someone is looking for restaurants nearby. Between Top Sushi and La Pupusa Loka, this person should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Top Sushi'}
{'statement': "Someone is looking for restaurants nearby. Between Cafe Jules and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': 'Someone is looking for restaurants nearby. Between Paradise Farms Prime Beef Bistro and St. Clair Shawarma and Falafel, this person should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for restaurants nearby. Between Kibo Sushi House and Freshii, this person should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Freshii'}
{'statement': 'Someone is looking for restaurants nearby. Between KFC and z-teca Gourmet Burritos, this person should go to KFC.', 'answer': 'KFC', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone is looking for restaurants nearby. Between Dangerous Dan's Diner and Bagel Nash, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Bagel Nash'}
{'statement': 'Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Sizzlers, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "Someone is looking for restaurants nearby. Between Hina Sushi and Mamma's Pizza, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Hina Sushi'}
{'statement': 'Someone is looking for restaurants nearby. Between Breakfast Room and z-teca Gourmet Burritos, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for restaurants nearby. Between Fit For Life and Tierra Azteca, this person should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Tierra Azteca'}
{'statement': "Someone is looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Bagel Nash, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "Someone is looking for restaurants nearby. Between Cafe Jules and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "Someone is looking for restaurants nearby. Between Carole's Cheesecake Cafe and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone is looking for restaurants nearby. Between The Coffee Pocket and Watson's, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'The Coffee Pocket'}
{'statement': "Someone is looking for restaurants nearby. Between Fit For Life and Nutella Cafe by Pusateri's, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone is looking for restaurants nearby. Between Edible Arrangements and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Edible Arrangements'}
{'statement': 'Someone is looking for restaurants nearby. Between Green Grotto and Falafel House, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Falafel House'}
