{'statement': 'Someone is looking for restaurants nearby. Between JJ Bean and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "Someone is looking for restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': 'Someone is looking for restaurants nearby. Between Mi Mi Restaurant and La Pupusa Loka, this person should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone is looking for restaurants nearby. Between Tierra Azteca and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Tierra Azteca'}
{'statement': 'Someone is looking for restaurants nearby. Between Eastern legend and The Empire, this person should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Eastern legend'}
{'statement': 'Someone is looking for restaurants nearby. Between Basil Express Restaurant and Grappa Ristorante, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Chick Fiesta, this person should go to Chick Fiesta.', 'answer': 'Chick Fiesta', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone is looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Domino's Pizza, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Domino's Pizza"}
{'statement': 'Someone is looking for restaurants nearby. Between Sushi World and Magic Oven, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between Ici Bistro and La Pupusa Loka, this person should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Ici Bistro'}
{'statement': "Someone is looking for restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'Someone is looking for restaurants nearby. Between Cake Opera and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': 'Someone is looking for restaurants nearby. Between Freshii and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Freshii'}
{'statement': 'Someone is looking for restaurants nearby. Between Freshii and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Freshii'}
{'statement': "Someone is looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Assembly Chef's Hall"}
{'statement': 'Someone is looking for restaurants nearby. Between Queen Pita and Paradise Farms Prime Beef Bistro, this person should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Queen Pita'}
{'statement': "Someone is looking for restaurants nearby. Between Tik Talk Cafe and Big Al's Diner, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Big Al's Diner"}
{'statement': 'Someone is looking for restaurants nearby. Between Thai 4 You Restaurant and To-ne Sushi, this person should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'To-ne Sushi'}
{'statement': "Someone is looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': 'Someone is looking for restaurants nearby. Between Grappa Ristorante and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between Kairali - Taste of Kerala and Cake Opera, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Cake Opera'}
{'statement': 'Someone is looking for restaurants nearby. Between Itamae Ayce Sushi and Nook, this person should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Nook'}
{'statement': "Someone is looking for restaurants nearby. Between Harvey's and To-ne Sushi, this person should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'To-ne Sushi'}
{'statement': 'Someone is looking for restaurants nearby. Between Chipotle Mexican Grill and Eggspectation, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Madras Pantry and Aris Place, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Aris Place'}
{'statement': 'Someone is looking for restaurants nearby. Between Hina Sushi and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': 'Someone is looking for restaurants nearby. Between Mövenpick Café and Magic Oven, this person should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between Cake Opera and Eggspectation, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Solero Mediterranean Bakery and Madras Pantry, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone is looking for restaurants nearby. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Domino's Pizza"}
{'statement': 'Someone is looking for restaurants nearby. Between Evoo Ristorante and FreshCo, this person should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'FreshCo'}
{'statement': 'Someone is looking for restaurants nearby. Between Fit For Life and Bao Bao Plus Dim Sum, this person should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'Someone is looking for restaurants nearby. Between Queen Pita and Basil Express Restaurant, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for restaurants nearby. Between Anatolia Restaurant and Ici Bistro, this person should go to Anatolia Restaurant.', 'answer': 'Anatolia Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "Someone is looking for restaurants nearby. Between It's All Grk and z-teca Gourmet Burritos, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone is looking for restaurants nearby. Between Domino's Pizza and Basha Middle Eastern Grill, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Domino's Pizza"}
{'statement': 'Someone is looking for restaurants nearby. Between New Bilan Restaurant and Tim Hortons, this person should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Lahore Grill & Fast Food and LCBO, this person should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'LCBO'}
{'statement': 'Someone is looking for restaurants nearby. Between z-teca Gourmet Burritos and JJ Bean, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for restaurants nearby. Between The Empire and Sushi Time Japanese Restaurant, this person should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Topham Corner, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Topham Corner'}
{'statement': 'Someone is looking for restaurants nearby. Between Freshii and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Freshii'}
{'statement': 'Someone is looking for restaurants nearby. Between Bao Bao Plus Dim Sum and Eggspectation, this person should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Pizzeria Via Mercanti and Ardor Bistro, this person should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone is looking for restaurants nearby. Between Roncy's Bean and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Roncy's Bean"}
{'statement': "Someone is looking for restaurants nearby. Between Le Papillon Park and Roncy's Bean, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Roncy's Bean"}
{'statement': 'Someone is looking for restaurants nearby. Between Kairali - Taste of Kerala and Tierra Azteca, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': 'Someone is looking for restaurants nearby. Between Juice & Java Cafe and Tierra Azteca, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Tierra Azteca'}
{'statement': 'Someone is looking for restaurants nearby. Between The Duke of Devon and Basha Middle Eastern Grill, this person should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'The Duke of Devon'}
{'statement': 'Someone is looking for restaurants nearby. Between Verona Restaurant and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Verona Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Just Soups Take Out & Catering and Sizzlers, this person should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Sizzlers'}
{'statement': 'Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Lebanese Bakery, this person should go to Lebanese Bakery.', 'answer': 'Lebanese Bakery', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'Someone is looking for restaurants nearby. Between LCBO and z-teca Gourmet Burritos, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for restaurants nearby. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'Someone is looking for restaurants nearby. Between Queen Pita and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for restaurants nearby. Between Eggspectation and Evoo Ristorante, this person should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Kairali - Taste of Kerala and Mt Everest Restaurant, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between Fit For Life and Big Al's Diner, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Big Al's Diner"}
{'statement': 'Someone is looking for restaurants nearby. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "Someone is looking for restaurants nearby. Between Queen Slice and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Queen Slice'}
{'statement': "Someone is looking for restaurants nearby. Between Dinah's Cupboard and Roncy's Bean, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Roncy's Bean"}
{'statement': 'Someone is looking for restaurants nearby. Between Breakfast Room and Thompson Rooftop, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Thompson Rooftop'}
{'statement': 'Someone is looking for restaurants nearby. Between Daily Press Juicery and Viccino Pizzeria, this person should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Viccino Pizzeria'}
{'statement': 'Someone is looking for restaurants nearby. Between Tian An Cuisine and Mövenpick Café, this person should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Mövenpick Café'}
{'statement': "Someone is looking for restaurants nearby. Between Roncy's Bean and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Roncy's Bean"}
{'statement': "Someone is looking for restaurants nearby. Between Falafel House and Assembly Chef's Hall, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Assembly Chef's Hall"}
{'statement': 'Someone is looking for restaurants nearby. Between Chipotle Mexican Grill and Queen Pita, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for restaurants nearby. Between The Duke of Devon and Basil Express Restaurant, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'The Duke of Devon'}
{'statement': "Someone is looking for restaurants nearby. Between Dinah's Cupboard and Capitol Trattoria Pizzeria, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone is looking for restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "Someone is looking for restaurants nearby. Between Beryl's Pepper Pot and El Fogón, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Beryl's Pepper Pot"}
{'statement': 'Someone is looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Eggspectation, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Eggspectation'}
{'statement': "Someone is looking for restaurants nearby. Between Magic Oven and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Magic Oven'}
{'statement': "Someone is looking for restaurants nearby. Between Watson's and Eggspectation, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Fitness Avenue and Tortería San Cosme, this person should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Fitness Avenue'}
{'statement': "Someone is looking for restaurants nearby. Between The Duke of Devon and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'The Duke of Devon'}
{'statement': 'Someone is looking for restaurants nearby. Between Kim PO Vietnamese and Queen Pita, this person should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for restaurants nearby. Between Modo Mio Italian Bistro and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between The Coffee Pocket and Ardor Bistro, this person should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Mi Mi Restaurant, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between JJ Bean and Ici Bistro, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Pizzeria Via Mercanti and Evoo Ristorante, this person should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone is looking for restaurants nearby. Between Juice & Java Cafe and Assembly Chef's Hall, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone is looking for restaurants nearby. Between Harvey's and Tortería San Cosme, this person should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Harvey's"}
{'statement': "Someone is looking for restaurants nearby. Between Phil's Original BBQ and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone is looking for restaurants nearby. Between Druxy's Famous Deli and Kibo Sushi House, this person should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for restaurants nearby. Between Green Room and Le Papillon Park, this person should go to Le Papillon Park.', 'answer': 'Le Papillon Park', 'candidate': 'Green Room'}
{'statement': 'Someone is looking for restaurants nearby. Between Eggspectation and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Goldstone Noodle Restaurant and Queen Pita, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Madras Pantry, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for restaurants nearby. Between Itamae Ayce Sushi and Capitol Trattoria Pizzeria, this person should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': 'Someone is looking for restaurants nearby. Between El Fogón and Galata Cafe, this person should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Galata Cafe'}
{'statement': 'Someone is looking for restaurants nearby. Between Galata Cafe and Fit For Life, this person should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Galata Cafe'}
{'statement': "Someone is looking for restaurants nearby. Between Cafe Jules and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Cafe Jules'}
{'statement': "Someone is looking for restaurants nearby. Between Edible Arrangements and Assembly Chef's Hall, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone is looking for restaurants nearby. Between Sushi Time Japanese Restaurant and Smoke's Weinerie, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': 'Someone is looking for restaurants nearby. Between Grappa Ristorante and Milestones Restaurants, this person should go to Milestones Restaurants.', 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between Paradise Farms Prime Beef Bistro and Mi Mi Restaurant, this person should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Tim Hortons and Capitol Trattoria Pizzeria, this person should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone is looking for restaurants nearby. Between Roncy's Bean and Tian An Cuisine, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Roncy's Bean"}
{'statement': 'Someone is looking for restaurants nearby. Between Eggspectation and Chick Fiesta, this person should go to Chick Fiesta.', 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Maurya East Indian Roti and Sizzlers, this person should go to Maurya East Indian Roti.', 'answer': 'Maurya East Indian Roti', 'candidate': 'Sizzlers'}
{'statement': 'Someone is looking for restaurants nearby. Between Topham Corner and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Topham Corner'}
{'statement': "Someone is looking for restaurants nearby. Between Green Room and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Green Room'}
{'statement': "Someone is looking for restaurants nearby. Between Viccino Pizzeria and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Viccino Pizzeria'}
{'statement': 'Someone is looking for restaurants nearby. Between Juice & Java Cafe and Mövenpick Café, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "Someone is looking for restaurants nearby. Between Fitness Avenue and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Fitness Avenue'}
{'statement': 'Someone is looking for restaurants nearby. Between Queen Pita and JJ Bean, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for restaurants nearby. Between Mövenpick Café and Madras Pantry, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Mövenpick Café'}
{'statement': 'Someone is looking for restaurants nearby. Between Delicious Paradise Kitchen and LCBO, this person should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'LCBO'}
{'statement': 'Someone is looking for restaurants nearby. Between Popeyes Louisiana Kitchen and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone is looking for restaurants nearby. Between Phil's Original BBQ and FreshCo, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Phil's Original BBQ"}
{'statement': 'Someone is looking for restaurants nearby. Between Ardor Bistro and Green Grotto, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Pasta Pantry and Tortería San Cosme, this person should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Pasta Pantry'}
{'statement': 'Someone is looking for restaurants nearby. Between Solero Mediterranean Bakery and Eggspectation, this person should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Ici Bistro and Falafel House, this person should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Tierra Azteca and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.', 'answer': 'La Cocina De Dona Luz', 'candidate': 'Tierra Azteca'}
{'statement': "Someone is looking for restaurants nearby. Between Freshii and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Freshii'}
{'statement': "Someone is looking for restaurants nearby. Between It's All Grk and Magic Oven, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Magic Oven'}
{'statement': "Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Helena's Magic Kitchen"}
{'statement': 'Someone is looking for restaurants nearby. Between Lahore Grill & Fast Food and Eggspectation, this person should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Cafe Jules and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "Someone is looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Mövenpick Café, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Mövenpick Café'}
{'statement': 'Someone is looking for restaurants nearby. Between Cake Opera and Supermodel Pizza, this person should go to Supermodel Pizza.', 'answer': 'Supermodel Pizza', 'candidate': 'Cake Opera'}
{'statement': "Someone is looking for restaurants nearby. Between Dinah's Cupboard and Bonne Journee, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Bonne Journee'}
{'statement': 'Someone is looking for restaurants nearby. Between Just Soups Take Out & Catering and Edible Arrangements, this person should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Edible Arrangements'}
{'statement': 'Someone is looking for restaurants nearby. Between Cantine Bar & Grill and Nook, this person should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Nook'}
