{'statement': "Someone doesn't like cheap restaurants. Between Branca and Piper's Pub And Grill, this person should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like cheap restaurants. Between Eastern legend and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Pisco 1641 and Villa Madina, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Itamae Ayce Sushi and KFC, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Falafel House, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between McDonald's and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Bonne Journee, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Juice & Java Cafe, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like cheap restaurants. Between The Empire and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Delicious Paradise Kitchen and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Delicious Paradise Kitchen and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Thompson Rooftop and La Pupusa Loka, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like cheap restaurants. Between Modo Mio Italian Bistro and Aris Place, this person should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and Tierra Azteca, this person should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Just Soups Take Out & Catering and The Duke of Devon, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Falafel House, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Falafel House and Galata Cafe, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Domino's Pizza, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like cheap restaurants. Between Nook and Sizzlers, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi Time Japanese Restaurant and Supermodel Pizza, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Tian An Cuisine and Big Al's Diner, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Hina Sushi and Supermodel Pizza, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between To-ne Sushi and Smoke's Weinerie, this person should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between El Fogón and Aris Place, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Marcello’s pizzeria and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like cheap restaurants. Between La Cocina De Dona Luz and Cafe Jules, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Marcello’s pizzeria and Smoke's Weinerie, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Banjara Indian Cuisine and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like cheap restaurants. Between Helena's Magic Kitchen and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Cafe Jules and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Sheriff Broaster Chicken and Sushi World, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Taste of Greek Cuisine and Sushi World, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Eggspectation and Chick Fiesta, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between JJ Bean and Cafe Jules, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Capitol Trattoria Pizzeria and Bake Island, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Pisco 1641 and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Grotto and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like cheap restaurants. Between Aris Place and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Goldstone Noodle Restaurant, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between New Bilan Restaurant and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Milestones Restaurants and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Milestones Restaurants'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Topham Corner, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Pita and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Le Papillon Park and Milo's Pita, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Bagel Nash, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Juice & Java Cafe, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and Hina Sushi, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Nook and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Nook'}
{'statement': "Someone doesn't like cheap restaurants. Between Solero Mediterranean Bakery and Basil Express Restaurant, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Dangerous Dan's Diner and New Bilan Restaurant, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Modo Mio Italian Bistro and Buk Chang Dong Soon Tofu, this person should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like cheap restaurants. Between Eastern legend and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and McDonald's, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between Marcello’s pizzeria and Helena's Magic Kitchen, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Amaya Express, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Taste of Greek Cuisine, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "Someone doesn't like cheap restaurants. Between Capitol Trattoria Pizzeria and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like cheap restaurants. Between Shawarma Twist and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Assembly Chef's Hall and Shawarma Twist, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Mamma's Pizza and Pisco 1641, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like cheap restaurants. Between Capitol Trattoria Pizzeria and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like cheap restaurants. Between Harvey's and St. Clair Shawarma and Falafel, this person should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between z-teca Gourmet Burritos and Eastern legend, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Aris Place and Freshii, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between FreshCo and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'FreshCo'}
{'statement': "Someone doesn't like cheap restaurants. Between Watson's and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Watson's"}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and 9 Restaurant, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Top Sushi and EJ Sushi, this person should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Shawarma Twist and FreshCo, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between St. Clair Shawarma and Falafel and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Pho 88 and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like cheap restaurants. Between Chick Fiesta and Farmacia Health Bar, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between El Fogón and Druxy's Famous Deli, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Dangerous Dan's Diner and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Bake Island and Joe Badali's Ristorante Italiano & Bar, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Basil Express Restaurant and Bonne Journee, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between The Empire and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Adega Restaurante and Amaya Express, this person should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like cheap restaurants. Between Basha Middle Eastern Grill and Sushi World, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Tian An Cuisine and Druxy's Famous Deli, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Carole's Cheesecake Cafe and Bagel Nash, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Assembly Chef's Hall and Sushi World, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Freshii, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like cheap restaurants. Between Breakfast Room and Fitness Avenue, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like cheap restaurants. Between Top Sushi and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Queen Pita, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Madras Pantry and Watson's, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Thai 4 You Restaurant, this person should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Pizza Pizza and LCBO, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Falafel House and Aroma Espresso Bar, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Chick Fiesta and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Farmacia Health Bar and The Empire, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Adega Restaurante and Itamae Ayce Sushi, this person should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Cafe Jules and EJ Sushi, this person should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Nook, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Solero Mediterranean Bakery and The Duke of Devon, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and Branca, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Branca'}
{'statement': "Someone doesn't like cheap restaurants. Between La Pupusa Loka and Bagel Nash, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi Time Japanese Restaurant and Eastern legend, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Basil Express Restaurant and Pizza Pizza, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between El Fogón and Delicious Paradise Kitchen, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Bagel Nash and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and Cake Opera, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Carole's Cheesecake Cafe and Aris Place, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Madras Pantry and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Capitol Trattoria Pizzeria and Sizzlers, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Freshii, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Milestones Restaurants, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Milestones Restaurants'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Carole's Cheesecake Cafe and Chick Fiesta, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Modo Mio Italian Bistro and Chick Fiesta, this person should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Mirage Grill & Lounge and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and Pizzeria Via Mercanti, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like cheap restaurants. Between Adega Restaurante and Just Soups Take Out & Catering, this person should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Bonne Journee and Farmacia Health Bar, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between Shawarma Twist and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Lebanese Bakery and Fit For Life, this person should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Mi Mi Restaurant, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Le Papillon Park and KFC, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and La Pupusa Loka, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like cheap restaurants. Between Edible Arrangements and Marcello’s pizzeria, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like cheap restaurants. Between Kairali - Taste of Kerala and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like cheap restaurants. Between Sheriff Broaster Chicken and Chick Fiesta, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Chick Fiesta'}
