{'statement': "I'm looking for restaurants nearby. Between Mi Mi Restaurant and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Bonne Journee and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for restaurants nearby. Between The Coffee Pocket and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between Chipotle Mexican Grill and Pizzeria Via Mercanti, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for restaurants nearby. Between Pizza Pizza and Big Al's Diner, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for restaurants nearby. Between Sheriff Broaster Chicken and Verona Restaurant, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Goldstone Noodle Restaurant and Edible Arrangements, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for restaurants nearby. Between New Bilan Restaurant and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Amaya Express and Sweet Jesus, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for restaurants nearby. Between Big Al's Diner and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for restaurants nearby. Between Cantine Bar & Grill and Phil's Original BBQ, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for restaurants nearby. Between The Coffee Pocket and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Shawarma Twist, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between Breakfast Room and Bonne Journee, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for restaurants nearby. Between Magic Oven and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Mt Everest Restaurant and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and Fitness Avenue, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for restaurants nearby. Between Bake Island and The Coffee Pocket, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between El Fogón and Edible Arrangements, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for restaurants nearby. Between The Empire and Phil's Original BBQ, I should go to The Empire.", 'answer': 'The Empire', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for restaurants nearby. Between It's All Grk and Shawarma Twist, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for restaurants nearby. Between St. Louis Bar & Grill and Magic Oven, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Shawarma Twist and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for restaurants nearby. Between 9 Restaurant and Queen Slice, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Queen Slice'}
{'statement': "I'm looking for restaurants nearby. Between Viccino Pizzeria and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Viccino Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Smoke's Weinerie and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for restaurants nearby. Between Bagel Nash and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for restaurants nearby. Between The Coffee Pocket and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and New Bilan Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Piper's Pub And Grill and Top Sushi, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Top Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Top Sushi and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Cafe Jules and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for restaurants nearby. Between Paradise Farms Prime Beef Bistro and St. Clair Shawarma and Falafel, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between Kibo Sushi House and Freshii, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between KFC and z-teca Gourmet Burritos, I should go to KFC.", 'answer': 'KFC', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Dangerous Dan's Diner and Bagel Nash, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for restaurants nearby. Between Goldstone Noodle Restaurant and Sizzlers, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for restaurants nearby. Between Mamma's Pizza and Hina Sushi, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Fit For Life and Tierra Azteca, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Bagel Nash, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for restaurants nearby. Between McDonald's and Cafe Jules, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for restaurants nearby. Between Milo's Pita and Carole's Cheesecake Cafe, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for restaurants nearby. Between Watson's and The Coffee Pocket, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between Nutella Cafe by Pusateri's and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for restaurants nearby. Between Edible Arrangements and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for restaurants nearby. Between Falafel House and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Falafel House'}
