{'statement': 'Between Córdoba and Bogotá, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Córdoba'}
{'statement': 'Between Minsk and Dar es Salaam, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Minsk'}
{'statement': 'Between Tirana and Johannesburg, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Tirana'}
{'statement': 'Between Luanda and Suwałki, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Suwałki'}
{'statement': 'Between Managua and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Managua'}
{'statement': 'Between Nairobi and Copenhagen, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Copenhagen'}
{'statement': 'Between Christchurch and Monterrey, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Christchurch'}
{'statement': 'Between Surabaya and Bamako, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bamako'}
{'statement': 'Between Ouahigouya and Santiago, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Ouahigouya'}
{'statement': 'Between Piura and Kunming, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Piura'}
{'statement': 'Between Los Angeles and Lomé, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': 'Between Beirut and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Beirut'}
{'statement': 'Between Omaha and Ürümqi, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Omaha'}
{'statement': 'Between Darwin and Melbourne, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Darwin'}
{'statement': 'Between Kabul and Zürich, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Zürich'}
{'statement': 'Between Kingston and Lima, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Kingston'}
{'statement': 'Between Luanda and Malabo, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Malabo'}
{'statement': 'Between Sydney and Chicago, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Sydney'}
{'statement': 'Between Johannesburg and Rangpur, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Rangpur'}
{'statement': 'Between Nur-Sultan and Karachi, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Alexandria and Jakarta, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Alexandria'}
{'statement': 'Between Surabaya and La Ceiba, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'La Ceiba'}
{'statement': 'Between Nairobi and Perth, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Perth'}
{'statement': 'Between Baghdad and Kampala, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Kampala'}
{'statement': 'Between Minneapolis and Río Gallegos, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Río Gallegos'}
{'statement': 'Between Tamanrasset and Los Angeles, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Tamanrasset'}
{'statement': 'Between Melbourne and Mombasa, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Mombasa'}
{'statement': 'Between San Diego and Lisbon, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Lisbon'}
{'statement': 'Between Moscow and Palermo, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Palermo'}
{'statement': 'Between Beijing and Lisbon, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Lisbon'}
{'statement': 'Between Lahore and Kathmandu, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Kathmandu'}
{'statement': 'Between Toronto and Christchurch, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Christchurch'}
{'statement': 'Between Irkutsk and Paris, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Irkutsk'}
{'statement': 'Between Toliara and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Toliara'}
{'statement': 'Between Caracas and Ho Chi Minh City, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Caracas'}
{'statement': 'Between Napier and Houston, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Napier'}
{'statement': 'Between Rosario and Johannesburg, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Rosario'}
{'statement': 'Between Saint Petersburg and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Saint Petersburg'}
{'statement': 'Between San Juan and Monterrey, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'San Juan'}
{'statement': 'Between Dodoma and London, the bigger city is London.', 'answer': 'London', 'candidate': 'Dodoma'}
{'statement': 'Between Paris and Mendoza, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Mendoza'}
{'statement': 'Between Antsiranana and Baghdad, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Antsiranana'}
{'statement': 'Between Christchurch and Kuwait City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Christchurch'}
{'statement': 'Between Lisbon and Melbourne, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lisbon'}
{'statement': 'Between Saint Petersburg and Viedma, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Viedma'}
{'statement': 'Between Nur-Sultan and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Wau and Ankara, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Wau'}
{'statement': 'Between Barranquilla and Cairo, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Barranquilla'}
{'statement': 'Between Mexico City and Tashkent, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tashkent'}
{'statement': 'Between Hanoi and Amsterdam, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Amsterdam'}
{'statement': 'Between Hat Yai and Tampa, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Hat Yai'}
{'statement': 'Between Santiago del Estero and San Diego, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Santiago del Estero'}
{'statement': 'Between Melbourne and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Melbourne'}
{'statement': 'Between Beirut and Ürümqi, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Beirut'}
{'statement': 'Between Mumbai and Paramaribo, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Paramaribo'}
{'statement': 'Between Phoenix and Santiago del Estero, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Santiago del Estero'}
{'statement': 'Between Sokoto and Luanda, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Sokoto'}
{'statement': 'Between Kuwait City and Gabès, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Gabès'}
{'statement': 'Between Mexico City and Bucharest, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Bucharest'}
{'statement': 'Between Melbourne and Hat Yai, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Hat Yai'}
{'statement': 'Between Lima and Upington, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Upington'}
{'statement': 'Between Lusaka and Santiago, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Lusaka'}
{'statement': 'Between Perth and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Perth'}
{'statement': 'Between Denpasar and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Denpasar'}
{'statement': 'Between Algiers and Dodoma, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Dodoma'}
{'statement': 'Between Santiago and Djibouti, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Djibouti'}
{'statement': 'Between La Paz and Ho Chi Minh City, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'La Paz'}
{'statement': 'Between Douala and Halifax, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Halifax'}
{'statement': 'Between Shanghai and Zagreb, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Zagreb'}
{'statement': 'Between Piura and Denver, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Piura'}
{'statement': 'Between Shanghai and Mahajanga, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Mahajanga'}
{'statement': 'Between Los Angeles and Port Sudan, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Port Sudan'}
{'statement': 'Between Luanda and Reykjavík, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Reykjavík'}
{'statement': 'Between Toluca and Saint Petersburg, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Toluca'}
{'statement': 'Between Chicago and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Chicago'}
{'statement': 'Between Minneapolis and Zürich, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Zürich'}
{'statement': 'Between El Paso and Cairo, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'El Paso'}
{'statement': 'Between Podgorica and Los Angeles, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Podgorica'}
{'statement': 'Between San Diego and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'San Diego'}
{'statement': 'Between Podgorica and Denver, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Podgorica'}
{'statement': 'Between Kano and Vladivostok, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Vladivostok'}
{'statement': 'Between Algiers and Florianópolis, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Florianópolis'}
{'statement': 'Between Zagreb and Houston, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Zagreb'}
{'statement': 'Between Mexicali and Los Angeles, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Mexicali'}
{'statement': 'Between Alexandria and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Alexandria'}
{'statement': 'Between Bogotá and Napier, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Napier'}
{'statement': 'Between Beijing and Lviv, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Lviv'}
{'statement': 'Between Aden and Paris, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Aden'}
{'statement': 'Between London and Valencia, the bigger city is London.', 'answer': 'London', 'candidate': 'Valencia'}
{'statement': 'Between Hanoi and Bratislava, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'Between Guadalajara and La Paz, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'La Paz'}
{'statement': 'Between Johannesburg and Garoua, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Garoua'}
{'statement': 'Between Juba and Kunming, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Juba'}
{'statement': 'Between Lhasa and Paris, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Lhasa'}
{'statement': 'Between Zürich and Mexico City, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Zürich'}
{'statement': 'Between Kansas City and Bogotá, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Kansas City'}
{'statement': 'Between Douala and Nouadhibou, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Nouadhibou'}
{'statement': 'Between Pontianak and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Pontianak'}
{'statement': 'Between Mumbai and Florianópolis, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Florianópolis'}
{'statement': 'Between Douala and Sucre, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Sucre'}
{'statement': 'Between Makurdi and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Makurdi'}
{'statement': 'Between Beijing and Albuquerque, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Albuquerque'}
{'statement': 'Between Jakarta and Guangzhou, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Guangzhou'}
{'statement': 'Between Buenos Aires and Bamako, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Bamako'}
{'statement': 'Between Denver and Durban, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Durban'}
{'statement': 'Between Bamako and Monterrey, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Bamako'}
{'statement': 'Between Erbil and Mexico City, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Erbil'}
{'statement': 'Between Luanda and Tampa, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Tampa'}
{'statement': 'Between Muscat and Melbourne, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Muscat'}
{'statement': 'Between Luanda and Cotonou, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Cotonou'}
{'statement': 'Between Melbourne and San Salvador, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'San Salvador'}
{'statement': 'Between Hanoi and Sacramento, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Sacramento'}
{'statement': 'Between Karachi and Vientiane, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Vientiane'}
{'statement': 'Between Ushuaia and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Ushuaia'}
{'statement': 'Between Chicago and Harare, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Harare'}
{'statement': 'Between Tucson and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Tucson'}
{'statement': 'Between Tabora and Los Angeles, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Tabora'}
{'statement': 'Between Lahore and Paramaribo, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Paramaribo'}
{'statement': 'Between Bamako and Saint Petersburg, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Bamako'}
{'statement': 'Between Tauranga and Fukuoka, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Tauranga'}
{'statement': 'Between Addis Ababa and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Addis Ababa'}
{'statement': 'Between Santiago and Mendoza, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Mendoza'}
{'statement': 'Between Denpasar and Monterrey, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Denpasar'}
{'statement': 'Between Ankara and Upington, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Upington'}
{'statement': 'Between Paris and Benghazi, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Benghazi'}
{'statement': 'Between Cayenne and Phnom Penh, the bigger city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Cayenne'}
{'statement': 'Between Riyadh and San Juan, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'San Juan'}
{'statement': 'Between Tashkent and Manila, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Tashkent'}
{'statement': 'Between Bogotá and Brasília, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Brasília'}
{'statement': 'Between Santiago and Abéché, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Abéché'}
{'statement': 'Between Melbourne and San José, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'San José'}
{'statement': 'Between Kunming and Kuopio, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Kuopio'}
{'statement': 'Between Kunming and Cabo San Lucas, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Chicago and Brasília, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Brasília'}
{'statement': 'Between Moscow and Vienna, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Vienna'}
{'statement': 'Between Baltimore and Kuopio, the bigger city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Kuopio'}
{'statement': 'Between Nur-Sultan and Baghdad, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Palembang and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Palembang'}
{'statement': 'Between Douala and Hobart, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Hobart'}
{'statement': 'Between Kampala and Mumbai, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Kampala'}
{'statement': 'Between Sydney and Lomé, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Lomé'}
{'statement': 'Between London and Sacramento, the bigger city is London.', 'answer': 'London', 'candidate': 'Sacramento'}
{'statement': 'Between Belgrade and Lima, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Belgrade'}
{'statement': 'Between Bangkok and Erzurum, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Erzurum'}
{'statement': 'Between San Juan and Brisbane, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'San Juan'}
{'statement': 'Between Mexico City and Lisbon, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Lisbon'}
{'statement': 'Between Berlin and Toluca, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Toluca'}
{'statement': 'Between Tauranga and Brasília, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Tauranga'}
{'statement': 'Between Entebbe and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Entebbe'}
{'statement': 'Between Baku and Neuquén, the bigger city is Baku.', 'answer': 'Baku', 'candidate': 'Neuquén'}
{'statement': 'Between Houston and Albuquerque, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Albuquerque'}
{'statement': 'Between Benghazi and Johannesburg, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Benghazi'}
{'statement': 'Between San Salvador and Mexico City, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'San Salvador'}
{'statement': 'Between Hamilton and Toronto, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Hamilton'}
{'statement': 'Between Fairbanks and Fukuoka, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Fairbanks'}
{'statement': 'Between Baku and Ankara, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Baku'}
{'statement': 'Between Toronto and Toluca, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Toluca'}
{'statement': 'Between Sucre and Paris, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Sucre'}
{'statement': 'Between Mexico City and Minsk, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Minsk'}
{'statement': 'Between Kunming and Tirana, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Tirana'}
{'statement': 'Between Nur-Sultan and Mexico City, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Viedma and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Viedma'}
{'statement': 'Between Jakarta and Omaha, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Omaha'}
{'statement': 'Between Surabaya and Mexicali, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Mexicali'}
{'statement': 'Between Santiago and Sapporo, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Sapporo'}
{'statement': 'Between Nairobi and Cayenne, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Cayenne'}
{'statement': 'Between Medellín and Cape Town, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Cape Town'}
{'statement': 'Between Guadalajara and Chicago, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Guadalajara'}
{'statement': 'Between Baghdad and Ürümqi, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Ürümqi'}
{'statement': 'Between Minneapolis and Lagos, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Minneapolis'}
{'statement': 'Between Honolulu and Kabul, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Honolulu'}
{'statement': 'Between Harare and Guadalajara, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Harare'}
{'statement': 'Between Wau and Baghdad, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Wau'}
{'statement': 'Between Nouakchott and Sydney, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Nouakchott'}
{'statement': 'Between Córdoba and Mumbai, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Córdoba'}
{'statement': 'Between Saint Petersburg and Denpasar, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Denpasar'}
{'statement': 'Between Houston and Makurdi, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Makurdi'}
{'statement': 'Between Mendoza and Kabul, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Mendoza'}
{'statement': 'Between Los Angeles and Bishkek, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Bishkek'}
{'statement': 'Between Kunming and Napier, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Napier'}
