{'statement': 'Between Chicago and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Chicago'}
{'statement': 'Between Ürümqi and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Ürümqi'}
{'statement': 'Between Santiago and Sacramento, the smaller city is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Santiago'}
{'statement': 'Between Surabaya and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Surabaya'}
{'statement': 'Between Hanoi and Pontianak, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Hanoi'}
{'statement': 'Between Saint Petersburg and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Denver and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Denver'}
{'statement': 'Between Brasília and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Brasília'}
{'statement': 'Between Riyadh and Milan, the smaller city is Milan.', 'answer': 'Milan', 'candidate': 'Riyadh'}
{'statement': 'Between Moscow and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Moscow'}
{'statement': 'Between Berlin and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Berlin'}
{'statement': 'Between Monterrey and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Monterrey'}
{'statement': 'Between Denver and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Denver'}
{'statement': 'Between Riyadh and Ulaanbaatar, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Riyadh'}
{'statement': 'Between Yaoundé and Bata, the smaller city is Bata.', 'answer': 'Bata', 'candidate': 'Yaoundé'}
{'statement': 'Between Moscow and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Moscow'}
{'statement': 'Between Algiers and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Algiers'}
{'statement': 'Between Santiago and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Santiago'}
{'statement': 'Between Johannesburg and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Johannesburg'}
{'statement': 'Between Dar es Salaam and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Guangzhou and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Guangzhou'}
{'statement': 'Between Moscow and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Moscow'}
{'statement': 'Between Rome and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Rome'}
{'statement': 'Between Jakarta and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Jakarta'}
{'statement': 'Between Ankara and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Ankara'}
{'statement': 'Between San Diego and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'San Diego'}
{'statement': 'Between Mumbai and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Mumbai'}
{'statement': 'Between Jakarta and Ankara, the smaller city is Ankara.', 'answer': 'Ankara', 'candidate': 'Jakarta'}
{'statement': 'Between Shanghai and Ulaanbaatar, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Shanghai'}
{'statement': 'Between Lahore and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Lahore'}
{'statement': 'Between Beijing and Lisbon, the smaller city is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Beijing'}
{'statement': 'Between Phoenix and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Phoenix'}
{'statement': 'Between Surabaya and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Surabaya'}
{'statement': 'Between Lima and Damascus, the smaller city is Damascus.', 'answer': 'Damascus', 'candidate': 'Lima'}
{'statement': 'Between Toronto and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Toronto'}
{'statement': 'Between Manila and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Manila'}
{'statement': 'Between Toronto and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Toronto'}
{'statement': 'Between Shanghai and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Shanghai'}
{'statement': 'Between Toronto and Phnom Penh, the smaller city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Toronto'}
{'statement': 'Between Beijing and Johannesburg, the smaller city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Beijing'}
{'statement': 'Between Perth and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Perth'}
{'statement': 'Between Nairobi and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Nairobi'}
{'statement': 'Between Lagos and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Lagos'}
{'statement': 'Between Lagos and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Lagos'}
{'statement': 'Between Moscow and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Moscow'}
{'statement': 'Between Beijing and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Beijing'}
{'statement': 'Between Kunming and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Kunming'}
{'statement': 'Between Kunming and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Kunming'}
{'statement': 'Between Buenos Aires and Los Angeles, the smaller city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Buenos Aires'}
{'statement': 'Between Berlin and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Berlin'}
{'statement': 'Between Guadalajara and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Guadalajara'}
{'statement': 'Between Algiers and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Algiers'}
{'statement': 'Between Johannesburg and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Johannesburg'}
{'statement': 'Between Lima and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Lima'}
{'statement': 'Between Sydney and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Sydney'}
{'statement': 'Between Hanoi and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Hanoi'}
{'statement': 'Between Guadalajara and Aden, the smaller city is Aden.', 'answer': 'Aden', 'candidate': 'Guadalajara'}
{'statement': 'Between San Diego and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'San Diego'}
{'statement': 'Between Ankara and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Ankara'}
{'statement': 'Between Cairo and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Cairo'}
{'statement': 'Between Luanda and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Luanda'}
{'statement': 'Between Ho Chi Minh City and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Beijing and Palermo, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Beijing'}
{'statement': 'Between Kuwait City and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kuwait City'}
{'statement': 'Between Shanghai and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Shanghai'}
{'statement': 'Between Jakarta and Denpasar, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Jakarta'}
{'statement': 'Between Chicago and Nairobi, the smaller city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Chicago'}
{'statement': 'Between Johannesburg and Perth, the smaller city is Perth.', 'answer': 'Perth', 'candidate': 'Johannesburg'}
{'statement': 'Between Melbourne and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Melbourne'}
{'statement': 'Between Surabaya and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Surabaya'}
{'statement': 'Between Kabul and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Kabul'}
{'statement': 'Between Shanghai and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Shanghai'}
{'statement': 'Between Minneapolis and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Minneapolis'}
{'statement': 'Between Baghdad and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Baghdad'}
{'statement': 'Between Manila and Rosario, the smaller city is Rosario.', 'answer': 'Rosario', 'candidate': 'Manila'}
{'statement': 'Between San Diego and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'San Diego'}
{'statement': 'Between Ho Chi Minh City and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Sydney and Vientiane, the smaller city is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Sydney'}
{'statement': 'Between Cairo and Lagos, the smaller city is Lagos.', 'answer': 'Lagos', 'candidate': 'Cairo'}
{'statement': 'Between Manila and Berlin, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Manila'}
{'statement': 'Between Lagos and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Lagos'}
{'statement': 'Between Dar es Salaam and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Buenos Aires and Bamako, the smaller city is Bamako.', 'answer': 'Bamako', 'candidate': 'Buenos Aires'}
{'statement': 'Between Toronto and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Toronto'}
{'statement': 'Between Bogotá and San Diego, the smaller city is San Diego.', 'answer': 'San Diego', 'candidate': 'Bogotá'}
{'statement': 'Between Moscow and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Moscow'}
{'statement': 'Between Sydney and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Sydney'}
{'statement': 'Between Alexandria and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Alexandria'}
{'statement': 'Between Paris and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Paris'}
{'statement': 'Between Ankara and Rome, the smaller city is Rome.', 'answer': 'Rome', 'candidate': 'Ankara'}
{'statement': 'Between Buenos Aires and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Buenos Aires'}
{'statement': 'Between Sydney and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kabul'}
{'statement': 'Between Mumbai and Monterrey, the smaller city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Mumbai'}
{'statement': 'Between Shanghai and Moscow, the smaller city is Moscow.', 'answer': 'Moscow', 'candidate': 'Shanghai'}
{'statement': 'Between Jakarta and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Jakarta'}
{'statement': 'Between Kuwait City and Wellington, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Kuwait City'}
{'statement': 'Between Luanda and Houston, the smaller city is Houston.', 'answer': 'Houston', 'candidate': 'Luanda'}
{'statement': 'Between Ho Chi Minh City and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Riyadh and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Riyadh'}
{'statement': 'Between Moscow and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Moscow'}
{'statement': 'Between Mexico City and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Mexico City'}
{'statement': 'Between Ürümqi and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Ürümqi'}
{'statement': 'Between Toronto and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Toronto'}
{'statement': 'Between Manila and Damascus, the smaller city is Damascus.', 'answer': 'Damascus', 'candidate': 'Manila'}
{'statement': 'Between Algiers and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Algiers'}
{'statement': 'Between Los Angeles and Guadalajara, the smaller city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Los Angeles'}
{'statement': 'Between Ho Chi Minh City and Nakhon Ratchasima, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Shanghai and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Shanghai'}
{'statement': 'Between Yaoundé and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Yaoundé'}
{'statement': 'Between London and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'London'}
{'statement': 'Between Johannesburg and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Johannesburg'}
{'statement': 'Between Phnom Penh and Belize City, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Phnom Penh'}
{'statement': 'Between Kuwait City and Belize City, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Kuwait City'}
{'statement': 'Between Berlin and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Berlin'}
{'statement': 'Between Ürümqi and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Ürümqi'}
{'statement': 'Between Dar es Salaam and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Dar es Salaam and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Mumbai and Bishkek, the smaller city is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Mumbai'}
{'statement': 'Between Cairo and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Cairo'}
{'statement': 'Between Melbourne and Curitiba, the smaller city is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Melbourne'}
{'statement': 'Between Baghdad and Valencia, the smaller city is Valencia.', 'answer': 'Valencia', 'candidate': 'Baghdad'}
{'statement': 'Between Kabul and Palermo, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Kabul'}
{'statement': 'Between Mexico City and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Mexico City'}
{'statement': 'Between Luanda and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Luanda'}
{'statement': 'Between Chicago and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Chicago'}
{'statement': 'Between Manila and Santiago, the smaller city is Santiago.', 'answer': 'Santiago', 'candidate': 'Manila'}
{'statement': 'Between Ürümqi and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ürümqi'}
{'statement': 'Between Tashkent and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Tashkent'}
{'statement': 'Between Johannesburg and Mombasa, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Johannesburg'}
{'statement': 'Between Kabul and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Kabul'}
{'statement': 'Between Shanghai and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Shanghai'}
{'statement': 'Between Buenos Aires and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Buenos Aires'}
{'statement': 'Between Bangkok and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'Between Monterrey and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Monterrey'}
{'statement': 'Between Melbourne and Muscat, the smaller city is Muscat.', 'answer': 'Muscat', 'candidate': 'Melbourne'}
{'statement': 'Between Shanghai and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Shanghai'}
{'statement': 'Between Tampa and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Tampa'}
{'statement': 'Between Dar es Salaam and Monterrey, the smaller city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Denver and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Denver'}
{'statement': 'Between Mumbai and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Mumbai'}
{'statement': 'Between Surabaya and Port Sudan, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Surabaya'}
{'statement': 'Between Riyadh and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Riyadh'}
{'statement': 'Between Karachi and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Karachi'}
{'statement': 'Between Mumbai and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Mumbai'}
{'statement': 'Between Cairo and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Cairo'}
{'statement': 'Between Toronto and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Toronto'}
{'statement': 'Between Denver and Rabat, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Denver'}
{'statement': 'Between Lahore and Pontianak, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Lahore'}
{'statement': 'Between Paris and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Paris'}
{'statement': 'Between Lima and Rome, the smaller city is Rome.', 'answer': 'Rome', 'candidate': 'Lima'}
{'statement': 'Between Mumbai and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Mumbai'}
{'statement': 'Between Guangzhou and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Guangzhou'}
{'statement': 'Between Santiago and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Santiago'}
{'statement': 'Between Beijing and Vienna, the smaller city is Vienna.', 'answer': 'Vienna', 'candidate': 'Beijing'}
{'statement': 'Between Lahore and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Lahore'}
{'statement': 'Between Saint Petersburg and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Manila and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Manila'}
{'statement': 'Between Sydney and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Sydney'}
{'statement': 'Between Johannesburg and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Johannesburg'}
{'statement': 'Between Paris and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Paris'}
{'statement': 'Between Sydney and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Sydney'}
{'statement': 'Between Addis Ababa and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Addis Ababa'}
