{'statement': 'Between Vientiane and Nairobi, the city with a smaller population is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Nairobi'}
{'statement': 'Between Luanda and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Luanda'}
{'statement': 'Between Irkutsk and London, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'London'}
{'statement': 'Between Santiago and Manaus, the city with a smaller population is Manaus.', 'answer': 'Manaus', 'candidate': 'Santiago'}
{'statement': 'Between Nairobi and Darwin, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Nairobi'}
{'statement': 'Between Beijing and Bamako, the city with a smaller population is Bamako.', 'answer': 'Bamako', 'candidate': 'Beijing'}
{'statement': 'Between Erbil and San Diego, the city with a smaller population is Erbil.', 'answer': 'Erbil', 'candidate': 'San Diego'}
{'statement': 'Between Baku and Fianarantsoa, the city with a smaller population is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Baku'}
{'statement': 'Between Baku and Campos do Jordão, the city with a smaller population is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Baku'}
{'statement': 'Between Bogotá and Djibouti, the city with a smaller population is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Bogotá'}
{'statement': 'Between Upington and Guangzhou, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Guangzhou'}
{'statement': 'Between Garissa and Houston, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Houston'}
{'statement': 'Between Port Moresby and Alexandria, the city with a smaller population is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Alexandria'}
{'statement': 'Between Palembang and Lahore, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Lahore'}
{'statement': 'Between Parakou and Kuwait City, the city with a smaller population is Parakou.', 'answer': 'Parakou', 'candidate': 'Kuwait City'}
{'statement': 'Between Denver and Durban, the city with a smaller population is Durban.', 'answer': 'Durban', 'candidate': 'Denver'}
{'statement': 'Between Ankara and Panama City, the city with a smaller population is Panama City.', 'answer': 'Panama City', 'candidate': 'Ankara'}
{'statement': 'Between Hobart and Monterrey, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Monterrey'}
{'statement': 'Between Nouadhibou and Santiago, the city with a smaller population is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Santiago'}
{'statement': 'Between Phoenix and Pontianak, the city with a smaller population is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Phoenix'}
{'statement': 'Between Córdoba and Toronto, the city with a smaller population is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Toronto'}
{'statement': 'Between Beijing and Pontianak, the city with a smaller population is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Beijing'}
{'statement': 'Between Phnom Penh and Beijing, the city with a smaller population is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Beijing'}
{'statement': 'Between Fairbanks and Paris, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Paris'}
{'statement': 'Between Mumbai and El Paso, the city with a smaller population is El Paso.', 'answer': 'El Paso', 'candidate': 'Mumbai'}
{'statement': 'Between Yakutsk and Beijing, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Beijing'}
{'statement': 'Between Kano and Mumbai, the city with a smaller population is Kano.', 'answer': 'Kano', 'candidate': 'Mumbai'}
{'statement': 'Between Baghdad and Boise, the city with a smaller population is Boise.', 'answer': 'Boise', 'candidate': 'Baghdad'}
{'statement': 'Between Algiers and Bata, the city with a smaller population is Bata.', 'answer': 'Bata', 'candidate': 'Algiers'}
{'statement': 'Between Toronto and Antsiranana, the city with a smaller population is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Toronto'}
{'statement': 'Between Medellín and Kuopio, the city with a smaller population is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Medellín'}
{'statement': 'Between Ottawa and Guangzhou, the city with a smaller population is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Guangzhou'}
{'statement': 'Between Rabat and Bangkok, the city with a smaller population is Rabat.', 'answer': 'Rabat', 'candidate': 'Bangkok'}
{'statement': 'Between Santiago and Rome, the city with a smaller population is Rome.', 'answer': 'Rome', 'candidate': 'Santiago'}
{'statement': 'Between Rosario and Sydney, the city with a smaller population is Rosario.', 'answer': 'Rosario', 'candidate': 'Sydney'}
{'statement': 'Between Dodoma and Beijing, the city with a smaller population is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Beijing'}
{'statement': 'Between Lahore and Juba, the city with a smaller population is Juba.', 'answer': 'Juba', 'candidate': 'Lahore'}
{'statement': 'Between Boise and Hanoi, the city with a smaller population is Boise.', 'answer': 'Boise', 'candidate': 'Hanoi'}
{'statement': 'Between Auckland and Nairobi, the city with a smaller population is Auckland.', 'answer': 'Auckland', 'candidate': 'Nairobi'}
{'statement': 'Between Kabul and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Kabul'}
{'statement': 'Between Bahía Blanca and Toronto, the city with a smaller population is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Toronto'}
{'statement': 'Between La Ceiba and Karachi, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Karachi'}
{'statement': 'Between Douala and Toamasina, the city with a smaller population is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Douala'}
{'statement': 'Between Paris and Pontianak, the city with a smaller population is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Paris'}
{'statement': 'Between Paramaribo and Karachi, the city with a smaller population is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Karachi'}
{'statement': 'Between Guadalajara and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Guadalajara'}
{'statement': 'Between Shanghai and Anchorage, the city with a smaller population is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Shanghai'}
{'statement': 'Between Lima and La Serena, the city with a smaller population is La Serena.', 'answer': 'La Serena', 'candidate': 'Lima'}
{'statement': 'Between Lisbon and Alexandria, the city with a smaller population is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Alexandria'}
{'statement': 'Between Monterrey and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Monterrey'}
{'statement': 'Between Jakarta and Lusaka, the city with a smaller population is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Jakarta'}
{'statement': 'Between Houston and Nouadhibou, the city with a smaller population is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Houston'}
{'statement': 'Between Cotonou and Ürümqi, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ürümqi'}
{'statement': 'Between Los Angeles and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Los Angeles'}
{'statement': 'Between Houston and Bamako, the city with a smaller population is Bamako.', 'answer': 'Bamako', 'candidate': 'Houston'}
{'statement': 'Between Lomé and Kabul, the city with a smaller population is Lomé.', 'answer': 'Lomé', 'candidate': 'Kabul'}
{'statement': 'Between Palmerston North and Riyadh, the city with a smaller population is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Riyadh'}
{'statement': 'Between Antofagasta and Kabul, the city with a smaller population is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Kabul'}
{'statement': 'Between Brasília and Anchorage, the city with a smaller population is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Brasília'}
{'statement': 'Between Halifax and Surabaya, the city with a smaller population is Halifax.', 'answer': 'Halifax', 'candidate': 'Surabaya'}
{'statement': 'Between Bangui and Los Angeles, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Los Angeles'}
{'statement': 'Between Bujumbura and Denver, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Denver'}
{'statement': 'Between Lviv and Paris, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Paris'}
{'statement': 'Between Christchurch and Riyadh, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Riyadh'}
{'statement': 'Between Nairobi and Curitiba, the city with a smaller population is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Nairobi'}
{'statement': 'Between Cotonou and Shanghai, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Shanghai'}
{'statement': 'Between Mumbai and Sacramento, the city with a smaller population is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Mumbai'}
{'statement': 'Between Suwałki and Guadalajara, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Guadalajara'}
{'statement': 'Between Napier and Buenos Aires, the city with a smaller population is Napier.', 'answer': 'Napier', 'candidate': 'Buenos Aires'}
{'statement': 'Between Mexico City and Murmansk, the city with a smaller population is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Mexico City'}
{'statement': 'Between Upington and Lahore, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Lahore'}
{'statement': 'Between Melbourne and Erbil, the city with a smaller population is Erbil.', 'answer': 'Erbil', 'candidate': 'Melbourne'}
{'statement': 'Between Hanoi and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Hanoi'}
{'statement': 'Between Murmansk and Moscow, the city with a smaller population is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Moscow'}
{'statement': 'Between Port Sudan and Kabul, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Kabul'}
{'statement': 'Between Suwałki and Guangzhou, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Guangzhou'}
{'statement': 'Between Jakarta and Sacramento, the city with a smaller population is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Jakarta'}
{'statement': 'Between Luanda and Porto Alegre, the city with a smaller population is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Luanda'}
{'statement': 'Between Conakry and Dar es Salaam, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Dar es Salaam'}
