{'statement': "Someone doesn't like expensive restaurants. Between Nook and Thompson Rooftop, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Topham Corner and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Topham Corner'}
{'statement': "Someone doesn't like expensive restaurants. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Solero Mediterranean Bakery and Carole's Cheesecake Cafe, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Domino's Pizza, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like expensive restaurants. Between LCBO and Dinah's Cupboard, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between St. Clair Shawarma and Falafel and Kim PO Vietnamese, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like expensive restaurants. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Nook and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Nook'}
{'statement': "Someone doesn't like expensive restaurants. Between z-teca Gourmet Burritos and Grappa Ristorante, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Hapa Toronto and Falafel Hut Village, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Carole's Cheesecake Cafe and Edible Arrangements, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Aris Place and Marcello’s pizzeria, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Fit For Life and 9 Restaurant, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Popeyes Louisiana Kitchen and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone doesn't like expensive restaurants. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Bao Bao Plus Dim Sum and Edible Arrangements, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Slice and Phil's Original BBQ, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like expensive restaurants. Between Top Sushi and Ciao Europa wine bar, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Ciao Europa wine bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Tim Hortons and Tortería San Cosme, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Tortería San Cosme'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Grappa Ristorante, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Ardor Bistro and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Bake Island and Cantine Bar & Grill, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Watson's and Edible Arrangements, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizza Pizza and Hina Sushi, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between 9 Restaurant and Lahore Grill & Fast Food, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Maurya East Indian Roti and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Maurya East Indian Roti'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Edible Arrangements and Top Sushi, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Tian An Cuisine and Sichuan Landscape Chinese Restaurant, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Taste of Greek Cuisine and Falafel Hut Village, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Solero Mediterranean Bakery and Pizzeria Via Mercanti, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like expensive restaurants. Between Nook and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Nook'}
{'statement': "Someone doesn't like expensive restaurants. Between Goldstone Noodle Restaurant and Hina Sushi, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Eggspectation and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like expensive restaurants. Between Pisco 1641 and Oxygen Restaurant & Lounge, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Tim Hortons and Kibo Sushi House, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Kibo Sushi House'}
{'statement': "Someone doesn't like expensive restaurants. Between Aroma Espresso Bar and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Aroma Espresso Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Freshii and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Pasta Pantry, this person should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between La Cocina De Dona Luz and KFC, this person should go to KFC.", 'answer': 'KFC', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "Someone doesn't like expensive restaurants. Between Hawthorne Food and Drink and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "Someone doesn't like expensive restaurants. Between Branca and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Hapa Toronto, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "Someone doesn't like expensive restaurants. Between Bao Bao Plus Dim Sum and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone doesn't like expensive restaurants. Between Milestones Restaurants and Solero Mediterranean Bakery, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Milestones Restaurants'}
{'statement': "Someone doesn't like expensive restaurants. Between Anatolia Restaurant and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Cake Opera and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Delicious Paradise Kitchen and Marcello’s pizzeria, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Verona Restaurant and Bake Island, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Modo Mio Italian Bistro and Verona Restaurant, this person should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, this person should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Druxy's Famous Deli and Paradise Farms Prime Beef Bistro, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Solero Mediterranean Bakery and Aroma Espresso Bar, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Aroma Espresso Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Cafe Jules and Warung Indonesia D'Eglinton, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like expensive restaurants. Between The Empire and LCBO, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like expensive restaurants. Between Verona Restaurant and Sushi World, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and JJ Bean, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'JJ Bean'}
{'statement': "Someone doesn't like expensive restaurants. Between Lahore Grill & Fast Food and La Pupusa Loka, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Queen Pita, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Sizzlers and La Cocina De Dona Luz, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Sweet Jesus, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Nook and Green Room, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Nook'}
{'statement': "Someone doesn't like expensive restaurants. Between Bake Island and The Duke of Devon, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi Time Japanese Restaurant and Ici Bistro, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Pita and Nutella Cafe by Pusateri's, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between McDonald's and Sushi Time Japanese Restaurant, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between z-teca Gourmet Burritos and Sushi World, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like expensive restaurants. Between Lahore Grill & Fast Food and Taste of Greek Cuisine, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Villa Madina and Kairali - Taste of Kerala, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like expensive restaurants. Between Bonne Journee and Sky Dragon Chinese Restaurant, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Bao Bao Plus Dim Sum and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone doesn't like expensive restaurants. Between Shawarma Twist and Taste of Greek Cuisine, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Maurya East Indian Roti and Branca, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and Harvey's, this person should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Milo's Pita and Tik Talk Cafe, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Cake Opera and The Duke of Devon, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Thompson Rooftop and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Green Grotto and Grappa Ristorante, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Freshii and Tim Hortons, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like expensive restaurants. Between Basil Express Restaurant and Queen Slice, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Sizzlers and Ciao Europa wine bar, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Ciao Europa wine bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Aris Place and Cake Opera, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Banjara Indian Cuisine and Verona Restaurant, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi Time Japanese Restaurant and Bonne Journee, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between KFC and Assembly Chef's Hall, this person should go to KFC.", 'answer': 'KFC', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like expensive restaurants. Between Thai 4 You Restaurant and Eastern legend, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between The Duke of Devon and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Lebanese Bakery, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Lebanese Bakery'}
{'statement': "Someone doesn't like expensive restaurants. Between Green Room and Banjara Indian Cuisine, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizza Pizza and Assembly Chef's Hall, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like expensive restaurants. Between Just Soups Take Out & Catering and Tortería San Cosme, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Tortería San Cosme'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Assembly Chef's Hall, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like expensive restaurants. Between Druxy's Famous Deli and Chipotle Mexican Grill, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Slice and LCBO, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like expensive restaurants. Between Big Al's Diner and Pisco 1641, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like expensive restaurants. Between Farmacia Health Bar and Dinah's Cupboard, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Edible Arrangements and Mamma's Pizza, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Thompson Rooftop and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Tortería San Cosme and Queen Slice, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'Tortería San Cosme'}
{'statement': "Someone doesn't like expensive restaurants. Between The Coffee Pocket and Eggspectation, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like expensive restaurants. Between Bagel Nash and Eggspectation, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like expensive restaurants. Between Grappa Ristorante and Farmacia Health Bar, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Watson's and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': "Watson's"}
{'statement': "Someone doesn't like expensive restaurants. Between Verona Restaurant and Watson's, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Pisco 1641 and Aris Place, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like expensive restaurants. Between Villa Madina and Oxygen Restaurant & Lounge, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between McDonald's and The Duke of Devon, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like expensive restaurants. Between Itamae Ayce Sushi and Eastern legend, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Bake Island and Scaddabush Italian Kitchen & Bar, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Branca and Chick Fiesta, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Villa Madina and Basha Middle Eastern Grill, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Mirage Grill & Lounge and Pizza Pizza, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Bao Bao Plus Dim Sum and Aris Place, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone doesn't like expensive restaurants. Between Eggspectation and Queen Pita, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Tian An Cuisine, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Green Grotto and Mamma's Pizza, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like expensive restaurants. Between The Coffee Pocket and Dinah's Cupboard, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Evoo Ristorante and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Delicious Paradise Kitchen and Dangerous Dan's Diner, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like expensive restaurants. Between Cantine Bar & Grill and Verona Restaurant, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Verona Restaurant'}
